City,Region,Municipal,Population,Violent_crime,Violent_crime_Rate,Murder_and_nonnegligent_manslaughter,Murder_and_nonnegligent_manslaughter_Rate,Rape,Rape_Rate,Robbery,Robbery_Rate,Aggravated_assault,Aggravated_assault_Rate,Property_crime,Property_crime_Rate,Burglary,Burglary_Rate,Larceny_theft,Larceny_theft_Rate,Motor_vehicle_theft,Motor_vehicle_theft_Rate,Arson,Arson_Rate,Year
NA,United States,NA,"309,330,219",1251248,404.5,14722,4.76,85593,27.67,369089,119.32,781844,252.75,9112625,2945.92,2168459,701.02,6204601,2005.82,739565,239.09,NA,NA,2010
NA,United States,NA,"311,587,816",1206031,387.06,14661,4.71,84175,27.01,354772,113.86,752423,241.48,9052743,2905.36,2185140,701.29,6151095,1974.11,716508,229.95,NA,NA,2011
NA,United States,NA,"313,873,685",1217067,387.76,14866,4.74,85141,27.13,355051,113.12,762009,242.78,9001992,2868.03,2109932,672.22,6168874,1965.4,723186,230.41,NA,NA,2012
NA,United States,NA,"316,497,531",1199684,379.05,14319,4.52,113695,35.92,345095,109.04,726575,229.57,8650761,2733.28,1931835,610.38,6018632,1901.64,700294,221.26,NA,NA,2013
NA,United States,NA,"318,907,401",1186185,371.95,14164,4.44,118027,37.01,322905,101.25,731089,229.25,8209010,2574.1,1713153,537.19,5809054,1821.55,686803,215.36,NA,NA,2014
NA,United States,NA,"320,896,618",1234183,384.6,15883,4.95,126134,39.31,328109,102.25,764057,238.1,8024115,2500.53,1587564,494.73,5723488,1783.59,713063,222.21,NA,NA,2015
NA,United States,NA,"323,127,513",1283058,397.07,17250,5.34,130603,40.42,332198,102.81,803007,248.51,7919035,2450.75,1515096,468.88,5638455,1744.96,765484,236.9,NA,NA,2016
NA,United States,NA,"325,719,178",1283220,393.97,17284,5.31,135755,41.68,319356,98.05,810825,248.93,7694086,2362.18,1401840,430.38,5519107,1694.44,773139,237.36,NA,NA,2017
NA,MA,NA,"6,555,466",30737,468.88,214,3.26,1784,27.21,6897,105.21,21842,333.19,154496,2356.75,37903,578.19,105124,1603.61,11469,174.95,NA,NA,2010
NA,MA,NA,"6,607,003",28232,427.3,184,2.78,1654,25.03,6768,102.44,19626,297.05,148829,2252.59,36403,550.98,101644,1538.43,10782,163.19,NA,NA,2011
NA,MA,NA,"6,645,303",27047,407.01,121,1.82,1650,24.83,6555,98.64,18721,281.72,143325,2156.79,34635,521.2,99453,1496.59,9237,139,NA,NA,2012
NA,MA,NA,"6,708,874",27264,406.39,138,2.06,2303,34.33,6705,99.94,18118,270.06,137274,2046.16,30716,457.84,97437,1452.36,9121,135.95,NA,NA,2013
NA,MA,NA,"6,755,124",26689,395.09,133,1.97,2202,32.6,6077,89.96,18277,270.56,125481,1857.57,24951,369.36,92226,1365.27,8304,122.93,NA,NA,2014
NA,MA,NA,"6,784,240",26453,389.92,131,1.93,2082,30.69,5266,77.62,18974,279.68,114547,1688.43,21826,321.72,84676,1248.13,8045,118.58,NA,NA,2015
NA,MA,NA,"6,811,779",25677,376.95,134,1.97,2128,31.24,5365,78.76,18050,264.98,106339,1561.1,19193,281.76,79088,1161.05,8058,118.3,NA,NA,2016
NA,MA,NA,6859819,24560,358.03,173,2.52,2197,32.03,4871,71.01,17319,252.47,98575,1436.99,17089,249.12,73946,1077.96,7540,109.92,NA,NA,2017
Abington,Abington,Abington,"16,836",46,273.22,0,0,2,11.88,9,53.46,35,207.89,346,2055.12,112,665.24,213,1265.15,21,124.73,3,17.82,2010
Abington,Abington,Abington,"16,082",22,136.8,0,0,1,6.22,6,37.31,15,93.27,351,2182.56,102,634.25,226,1405.3,23,143.02,1,6.22,2011
Abington,Abington,Abington,"16,215",41,252.85,0,0,1,6.17,6,37,34,209.68,358,2207.83,97,598.21,244,1504.78,17,104.84,1,6.17,2012
