Municipal	County	State	F_year	AR001_001	AR001_002	AR001_003	AR001_004	AR001_005	AR001_006	AR001_007	AR001_008
Barnstable	Barnstable	MA	2003	$6,496,915,232.00	$0.00	$767,960,498.00	$56,678,770.00	$188,114,795.00	$7,509,669,295.00	86.5	13.5
Barnstable	Barnstable	MA	2004	$10,023,257,151.00	$0.00	$967,131,329.00	$75,686,020.00	$214,717,352.00	$11,280,791,852.00	88.9	11.1
Barnstable	Barnstable	MA	2005	$11,381,231,761.00	$0.00	$1,129,516,623.00	$80,250,820.00	$228,014,240.00	$12,819,013,444.00	88.8	11.2
Barnstable	Barnstable	MA	2006	$12,710,161,443.00	$0.00	$1,230,557,567.00	$77,084,090.00	$245,409,010.00	$14,263,212,110.00	89.1	10.9
Barnstable	Barnstable	MA	2007	$13,443,704,362.00	$0.00	$1,275,048,264.00	$77,011,100.00	$149,981,380.00	$14,945,745,106.00	90	10
Barnstable	Barnstable	MA	2008	$13,323,872,172.00	$0.00	$1,286,489,328.00	$73,265,400.00	$151,079,850.00	$14,834,706,750.00	89.8	10.2
Barnstable	Barnstable	MA	2009	$12,983,016,619.00	$0.00	$1,303,893,716.00	$78,598,400.00	$179,274,450.00	$14,544,783,185.00	89.3	10.7
Barnstable	Barnstable	MA	2010	$11,822,832,710.00	$0.00	$1,279,251,935.00	$81,780,400.00	$176,352,980.00	$13,360,218,025.00	88.5	11.5
Barnstable	Barnstable	MA	2011	$11,474,497,625.00	$0.00	$1,235,696,120.00	$82,267,300.00	$194,882,820.00	$12,987,343,865.00	88.4	11.6
Barnstable	Barnstable	MA	2012	$11,343,180,287.00	$0.00	$1,205,426,293.00	$79,571,600.00	$196,937,290.00	$12,825,115,470.00	88.4	11.6
Barnstable	Barnstable	MA	2013	$11,220,887,767.00	$0.00	$1,223,179,078.00	$80,290,800.00	$197,055,870.00	$12,721,413,515.00	88.2	11.8
Bourne	Barnstable	MA	2003	$2,600,848,928.00	$806,100.00	$263,052,832.00	$20,572,900.00	$64,764,890.00	$2,950,045,650.00	88.2	11.8
Bourne	Barnstable	MA	2004	$3,032,972,582.00	$454,780.00	$285,432,968.00	$22,982,800.00	$73,250,330.00	$3,415,093,460.00	88.8	11.2
Bourne	Barnstable	MA	2005	$3,572,807,952.00	$609,460.00	$319,706,968.00	$26,922,220.00	$80,046,050.00	$4,000,092,650.00	89.3	10.7
Bourne	Barnstable	MA	2006	$4,073,243,219.00	$280,600.00	$355,491,436.00	$31,210,720.00	$70,262,030.00	$4,530,488,005.00	89.9	10.1
Bourne	Barnstable	MA	2007	$4,298,715,115.00	$311,500.00	$376,809,785.00	$34,114,210.00	$72,729,670.00	$4,782,680,280.00	89.9	10.1
Bourne	Barnstable	MA	2008	$4,377,051,879.00	$316,000.00	$385,936,461.00	$33,163,110.00	$81,476,190.00	$4,877,943,640.00	89.7	10.3
Bourne	Barnstable	MA	2009	$4,089,345,385.00	$0.00	$400,553,265.00	$33,376,210.00	$92,112,520.00	$4,615,387,380.00	88.6	11.4
Bourne	Barnstable	MA	2010	$4,085,719,149.00	$0.00	$394,574,831.00	$33,374,510.00	$96,212,450.00	$4,609,880,940.00	88.6	11.4
Bourne	Barnstable	MA	2011	$3,870,024,721.00	$0.00	$391,147,829.00	$33,203,910.00	$99,747,500.00	$4,394,123,960.00	88.1	11.9
Bourne	Barnstable	MA	2012	$3,578,236,558.00	$0.00	$378,290,712.00	$31,454,500.00	$100,014,230.00	$4,087,996,000.00	87.5	12.5
Bourne	Barnstable	MA	2013	$3,577,954,295.00	$0.00	$374,249,795.00	$31,253,700.00	$99,433,210.00	$4,082,891,000.00	87.6	12.4
Brewster	Barnstable	MA	2003	$2,105,255,727.00	$0.00	$115,858,013.00	$5,405,000.00	$43,301,830.00	$2,269,820,570.00	92.7	7.3
Brewster	Barnstable	MA	2004	$2,412,448,967.00	$0.00	$122,625,053.00	$9,865,600.00	$47,489,480.00	$2,592,429,100.00	93.1	6.9
Brewster	Barnstable	MA	2005	$3,026,822,332.00	$0.00	$127,322,428.00	$10,423,700.00	$55,439,560.00	$3,220,008,020.00	94	6
Brewster	Barnstable	MA	2006	$3,446,053,665.00	$0.00	$141,716,615.00	$8,155,000.00	$56,318,470.00	$3,652,243,750.00	94.4	5.6
Brewster	Barnstable	MA	2007	$3,663,604,330.00	$0.00	$156,038,020.00	$9,314,100.00	$32,062,000.00	$3,861,018,450.00	94.9	5.1
Brewster	Barnstable	MA	2008	$3,659,276,435.00	$0.00	$159,793,855.00	$9,391,500.00	$30,530,330.00	$3,858,992,120.00	94.8	5.2
Brewster	Barnstable	MA	2009	$3,587,865,966.00	$0.00	$161,870,154.00	$10,129,700.00	$33,795,470.00	$3,793,661,290.00	94.6	5.4
Brewster	Barnstable	MA	2010	$3,539,749,545.00	$0.00	$164,629,445.00	$10,086,100.00	$38,376,280.00	$3,752,841,370.00	94.3	5.7
Brewster	Barnstable	MA	2011	$3,227,010,196.00	$0.00	$151,680,284.00	$9,300,200.00	$39,616,660.00	$3,427,607,340.00	94.1	5.9
Brewster	Barnstable	MA	2012	$3,153,569,867.00	$0.00	$146,327,053.00	$8,886,500.00	$37,398,990.00	$3,346,182,410.00	94.2	5.8
Brewster	Barnstable	MA	2013	$3,062,749,028.00	$0.00	$141,858,222.00	$9,755,400.00	$37,604,460.00	$3,251,967,110.00	94.2	5.8
Chatham	Barnstable	MA	2003	$2,776,375,719.00	$0.00	$214,719,273.00	$10,624,808.00	$25,229,879.00	$3,026,949,679.00	91.7	8.3
Chatham	Barnstable	MA	2004	$4,185,750,418.00	$0.00	$242,724,514.00	$13,741,782.00	$31,752,057.00	$4,473,968,771.00	93.6	6.4
Chatham	Barnstable	MA	2005	$4,958,749,595.00	$0.00	$257,174,782.00	$15,806,944.00	$37,296,723.00	$5,269,028,044.00	94.1	5.9
Chatham	Barnstable	MA	2006	$5,451,938,845.00	$0.00	$289,532,590.00	$17,502,565.00	$45,418,605.00	$5,804,392,605.00	93.9	6.1
Chatham	Barnstable	MA	2007	$6,090,554,615.00	$0.00	$313,558,515.00	$26,341,470.00	$22,308,418.00	$6,452,763,018.00	94.4	5.6
Chatham	Barnstable	MA	2008	$5,990,905,365.00	$0.00	$320,954,765.00	$30,436,670.00	$25,254,372.00	$6,367,551,172.00	94.1	5.9
Chatham	Barnstable	MA	2009	$6,004,324,648.00	$0.00	$347,582,892.00	$30,881,660.00	$28,908,316.00	$6,411,697,516.00	93.6	6.4
Chatham	Barnstable	MA	2010	$5,949,895,817.00	$0.00	$347,898,048.00	$35,056,635.00	$31,198,734.00	$6,364,049,234.00	93.5	6.5
Chatham	Barnstable	MA	2011	$5,440,065,307.00	$0.00	$342,716,473.00	$35,972,020.00	$33,322,350.00	$5,852,076,150.00	93	7
Chatham	Barnstable	MA	2012	$5,459,707,886.00	$0.00	$339,064,694.00	$36,444,220.00	$34,877,010.00	$5,870,093,810.00	93	7
Chatham	Barnstable	MA	2013	$5,380,886,064.00	$0.00	$355,685,721.00	$20,640,735.00	$34,676,510.00	$5,791,889,030.00	92.9	7.1
Dennis	Barnstable	MA	2003	$3,666,004,438.00	$722,400.00	$232,608,952.00	$15,080,600.00	$102,233,860.00	$4,016,650,250.00	91.3	8.7
Dennis	Barnstable	MA	2004	$4,691,564,860.00	$846,700.00	$263,784,150.00	$16,723,200.00	$86,093,430.00	$5,059,012,340.00	92.8	7.2
Dennis	Barnstable	MA	2005	$5,218,353,458.00	$817,200.00	$300,671,472.00	$19,965,800.00	$53,752,018.00	$5,593,559,948.00	93.3	6.7
Dennis	Barnstable	MA	2006	$5,816,462,064.00	$1,150,500.00	$348,175,836.00	$23,850,800.00	$57,212,810.00	$6,246,852,010.00	93.1	6.9
Dennis	Barnstable	MA	2007	$6,200,949,945.00	$995,500.00	$368,213,355.00	$23,761,800.00	$59,883,330.00	$6,653,803,930.00	93.2	6.8
Dennis	Barnstable	MA	2008	$6,239,624,772.00	$711,900.00	$375,053,658.00	$24,657,600.00	$64,537,400.00	$6,704,585,330.00	93.1	6.9
