JURISDICTIONCODE,NAME,Year,Residential,Open_Space,Commercial,Industrial,Personal_Property,Total,Res_as_a___of_Total,CIP
001,Abington,2003,"861,879,424",0,"99,951,076","12,448,400","21,562,100","995,841,000",86.55,13.45
001,Abington,2004,"1,329,267,215",0,"120,481,985","16,380,400","28,547,000","1,494,676,600",88.93,11.07
001,Abington,2005,"1,578,032,895",0,"159,621,805","21,698,700","28,382,000","1,787,735,400",88.27,11.73
001,Abington,2006,"1,737,162,084",0,"192,407,016","25,224,000","29,844,400","1,984,637,500",87.53,12.47
001,Abington,2007,"1,770,145,493",0,"204,611,907","23,319,200","29,430,900","2,027,507,500",87.31,12.69
001,Abington,2008,"1,731,789,914",0,"211,705,086","23,830,600","32,475,600","1,999,801,200",86.60,13.40
001,Abington,2009,"1,701,541,803",0,"213,202,397","24,534,000","36,369,600","1,975,647,800",86.13,13.87
001,Abington,2010,"1,576,227,669",0,"206,441,931","21,988,800","37,134,200","1,841,792,600",85.58,14.42
001,Abington,2011,"1,511,054,126",0,"201,455,574","20,535,600","42,709,500","1,775,754,800",85.09,14.91
001,Abington,2012,"1,509,039,517",0,"198,943,617","20,958,400","37,289,700","1,766,231,234",85.44,14.56
001,Abington,2013,"1,448,302,746",0,"189,960,354","20,445,800","35,583,800","1,694,292,700",85.48,14.52
001,Abington,2014,"1,408,661,922",0,"191,315,578","20,505,100","34,270,200","1,654,752,800",85.13,14.87
001,Abington,2015,"1,479,900,513",0,"190,050,987","20,451,000","35,463,900","1,725,866,400",85.75,14.25
001,Abington,2016,"1,519,664,814",0,"188,311,486","17,516,200","36,688,600","1,762,181,100",86.24,13.76
001,Abington,2017,"1,622,413,621",0,"187,205,279","17,936,000","38,922,400","1,866,477,300",86.92,13.08
002,Acton,2003,"2,700,372,191",0,"265,829,646","91,647,125","35,937,711","3,093,786,673",87.28,12.72
002,Acton,2004,"2,898,836,685",0,"281,976,596","98,700,720","49,149,382","3,328,663,383",87.09,12.91
002,Acton,2005,"3,103,206,201",0,"287,139,825","98,745,115","53,163,636","3,542,254,777",87.61,12.39
002,Acton,2006,"3,318,844,983",0,"310,323,682","106,668,445","40,528,806","3,776,365,916",87.88,12.12
002,Acton,2007,"3,426,424,133",0,"364,989,988","115,243,945","41,313,257","3,947,971,323",86.79,13.21
002,Acton,2008,"3,334,950,720",0,"358,212,176","111,533,010","46,680,230","3,851,376,136",86.59,13.41
002,Acton,2009,"3,252,816,010",0,"336,316,163","103,515,920","58,607,037","3,751,255,130",86.71,13.29
002,Acton,2010,"3,257,545,318",0,"321,119,694","97,872,285","64,884,117","3,741,421,414",87.07,12.93
002,Acton,2011,"3,174,679,623",0,"309,194,597","90,955,570","65,944,035","3,640,773,825",87.20,12.80
002,Acton,2012,"3,185,180,125",0,"299,215,620","91,837,570","65,316,803","3,641,550,118",87.47,12.53
002,Acton,2013,"3,208,128,927",0,"312,904,977","94,158,445","63,924,158","3,679,116,507",87.20,12.80
002,Acton,2014,"3,247,953,628",0,"305,863,245","92,840,385","69,608,967","3,716,266,225",87.40,12.60
002,Acton,2015,"3,448,511,074",0,"303,720,173","91,365,090","62,157,821","3,905,754,158",88.29,11.71
002,Acton,2016,"3,556,433,998",0,"316,225,705","91,392,100","70,131,545","4,034,183,348",88.16,11.84
002,Acton,2017,"3,738,480,702",0,"321,116,548","91,159,455","79,697,808","4,230,454,513",88.37,11.63
003,Acushnet,2003,"523,751,170",0,"19,992,842","17,526,300","15,369,440","576,639,752",90.83,9.17
003,Acushnet,2004,"758,620,330",0,"29,114,413","35,316,960","17,235,630","840,287,333",90.28,9.72
003,Acushnet,2005,"880,379,978",0,"28,798,917","36,230,360","17,592,656","963,001,911",91.42,8.58
003,Acushnet,2006,"1,035,364,435",0,"32,106,175","33,472,860","17,701,403","1,118,644,873",92.56,7.44
003,Acushnet,2007,"1,151,884,937",0,"34,556,955","33,821,500","18,348,932","1,238,612,324",93.00,7.00
003,Acushnet,2008,"1,167,359,397",0,"34,486,859","33,839,100","20,508,288","1,256,193,644",92.93,7.07
003,Acushnet,2009,"1,156,957,142",0,"34,429,535","33,322,800","25,019,041","1,249,728,518",92.58,7.42
003,Acushnet,2010,"1,103,317,207",0,"33,640,063","28,612,200","26,155,084","1,191,724,554",92.58,7.42
003,Acushnet,2011,"1,040,507,712",0,"32,544,464","26,760,200","26,817,834","1,126,630,210",92.36,7.64
003,Acushnet,2012,"978,365,846",0,"32,296,178","25,435,640","29,370,217","1,065,467,881",91.82,8.18
003,Acushnet,2013,"950,463,741",0,"31,469,777","24,295,640","29,591,783","1,035,820,941",91.76,8.24
003,Acushnet,2014,"927,217,143",0,"31,735,599","22,077,360","30,798,783","1,011,828,885",91.64,8.36
003,Acushnet,2015,"934,443,438",0,"32,178,163","22,094,060","34,158,984","1,022,874,645",91.35,8.65
003,Acushnet,2016,"970,272,527",0,"32,319,275","22,408,360","37,424,161","1,062,424,323",91.33,8.67
003,Acushnet,2017,"1,010,497,382",0,"32,026,660","22,844,160","43,038,414","1,108,406,616",91.17,8.83
004,Adams,2003,"275,008,610",0,"29,060,890","20,243,700","16,143,000","340,456,200",80.78,19.22
004,Adams,2004,"276,418,765",0,"28,468,735","20,368,600","15,982,700","341,238,800",81.00,19.00
004,Adams,2005,"293,196,845",0,"28,804,855","20,298,100","15,634,700","357,934,500",81.91,18.09
004,Adams,2006,"380,683,102",0,"32,366,350","22,517,477","15,575,588","451,142,517",84.38,15.62
004,Adams,2007,"381,233,202",0,"32,191,350","22,654,877","15,791,118","451,870,547",84.37,15.63
004,Adams,2008,"398,484,165",0,"32,238,967","25,237,133","16,501,506","472,461,771",84.34,15.66
004,Adams,2009,"409,584,325",0,"34,224,465","26,966,300","21,233,788","492,008,878",83.25,16.75
004,Adams,2010,"410,355,404",0,"34,389,186","27,448,200","21,818,172","494,010,962",83.07,16.93
004,Adams,2011,"413,526,388",0,"34,167,659","27,573,900","21,629,242","496,897,189",83.22,16.78
004,Adams,2012,"410,328,060",0,"33,960,404","27,666,000","22,084,635","494,039,099",83.06,16.94
004,Adams,2013,"385,154,436",0,"32,735,524","26,102,505","21,565,982","465,558,447",82.73,17.27
004,Adams,2014,"385,704,188",0,"33,727,472","25,301,905","21,568,868","466,302,433",82.72,17.28
004,Adams,2015,"387,969,794",0,"34,142,065","26,704,105","21,405,066","470,221,030",82.51,17.49
004,Adams,2016,"395,861,354",0,"35,065,859","27,933,752","24,021,368","482,882,333",81.98,18.02
004,Adams,2017,"420,646,648",0,"34,226,969","28,711,488","24,331,971","507,917,076",82.82,17.18
005,Agawam,2003,"1,338,823,695",0,"181,696,609","284,104,590","111,394,090","1,916,018,984",69.88,30.12
005,Agawam,2004,"1,433,092,427",0,"185,460,506","247,782,601","149,967,523","2,016,303,057",71.08,28.92
005,Agawam,2005,"1,675,144,285",0,"202,314,052","222,029,516","132,405,570","2,231,893,423",75.05,24.95
005,Agawam,2006,"1,968,696,013",0,"239,250,006","255,787,485","119,570,890","2,583,304,394",76.21,23.79
005,Agawam,2007,"2,134,894,744",0,"236,451,370","254,467,650","115,276,920","2,741,090,684",77.88,22.12
005,Agawam,2008,"2,240,077,024",0,"239,625,157","258,567,160","117,429,290","2,855,698,631",78.44,21.56
005,Agawam,2009,"2,288,721,328",0,"239,106,109","231,578,030","105,255,230","2,864,660,697",79.90,20.10
005,Agawam,2010,"2,224,622,388",0,"237,753,135","230,388,360","103,532,510","2,796,296,393",79.56,20.44
005,Agawam,2011,"2,134,419,640",0,"227,929,867","221,513,330","105,754,890","2,689,617,727",79.36,20.64
005,Agawam,2012,"2,144,942,590",0,"235,002,583","219,389,330","116,456,060","2,715,790,563",78.98,21.02
005,Agawam,2013,"2,052,239,146",0,"245,656,660","215,381,930","188,238,250","2,701,515,986",75.97,24.03
005,Agawam,2014,"2,048,635,056",0,"249,993,774","215,379,430","246,500,350","2,760,508,610",74.21,25.79
005,Agawam,2015,"2,056,434,096",0,"250,219,394","215,241,830","290,865,960","2,812,761,280",73.11,26.89
005,Agawam,2016,"2,086,621,645",0,"255,393,412","187,848,430","277,715,230","2,807,578,717",74.32,25.68
005,Agawam,2017,"2,135,580,230",0,"255,698,393","190,806,230","281,298,670","2,863,383,523",74.58,25.42
006,Alford,2003,"118,446,684",0,"1,648,054","21,000","2,296,587","122,412,325",96.76,3.24
006,Alford,2004,"122,946,663",0,"1,452,578","21,000","3,006,854","127,427,095",96.48,3.52
006,Alford,2005,"175,483,200",0,"1,905,400",0,"3,346,350","180,734,950",97.09,2.91
006,Alford,2006,"181,845,261",0,"1,887,206","27,498","3,459,742","187,219,707",97.13,2.87
006,Alford,2007,"188,378,711",0,"1,828,756","27,498","4,108,026","194,342,991",96.93,3.07
006,Alford,2008,"241,208,742",0,"2,393,632","27,499","3,586,364","247,216,237",97.57,2.43
006,Alford,2009,"243,881,112",0,"2,084,975","27,499","4,123,590","250,117,176",97.51,2.49
