"Municipal","County","State","Year","Residential","Open.Space","Commercial","Industrial","Personal.Property","Total.Assessed","R/O as % of Total Value","CIP as % of Total Value","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Assessed"
"Barnstable","Barnstable","MA",2003,6496915232,0,767960498,56678770,188114795,7509669295,86.51,13.49,8474484424,0,1001716822,73930987,245374280,9795506514
"Barnstable","Barnstable","MA",2004,10023257151,0,967131329,75686020,214717352,11280791852,88.85,11.15,12735054945,0,1228789248,96162915,272809251,14332816358
"Barnstable","Barnstable","MA",2005,11381231761,0,1129516623,80250820,228014240,12819013444,88.78,11.22,13986560631,0,1388079345,98621396,280210004,15753471376
"Barnstable","Barnstable","MA",2006,12710161443,0,1230557567,77084090,245409010,14263212110,89.11,10.89,15131585900,0,1464992212,91769450,292162104,16980509667
"Barnstable","Barnstable","MA",2007,13443704362,0,1275048264,77011100,149981380,14945745106,89.95,10.05,15561647678,0,1475921466,89143555,173609693,17300322393
"Barnstable","Barnstable","MA",2008,13323872172,0,1286489328,73265400,151079850,14834706750,89.82,10.18,14852661544,0,1434101913,81671918,168414846,16536850220
"Barnstable","Barnstable","MA",2009,12983016619,0,1303893716,78598400,179274450,14544783185,89.26,10.74,14524370480,0,1458692995,87929663,200558053,16271551191
"Barnstable","Barnstable","MA",2010,11822832710,0,1279251935,81780400,176352980,13360218025,88.49,11.51,13012999460,0,1408030135,90012971,194105870,14705148437
"Barnstable","Barnstable","MA",2011,11474497625,0,1235696120,82267300,194882820,12987343865,88.35,11.65,12243140369,0,1318471758,87778144,207937445,13857327716
"Barnstable","Barnstable","MA",2012,11343180287,0,1205426293,79571600,196937290,12825115470,88.45,11.55,11857638576,0,1260097164,83180488,205869178,13406785406
"Barnstable","Barnstable","MA",2013,11220887767,0,1223179078,80290800,197055870,12721413515,88.2,11.8,11560466568,0,1260196264,82720648,203019391,13106402870
"Barnstable","Barnstable","MA",2014,11114256735,0,1206529030,79328500,193985740,12594100005,88.25,11.75,11267823298,0,1223199737,80424588,196666056,12768113679
"Barnstable","Barnstable","MA",2015,11207187750,0,1204713235,78592100,212290440,12702783525,88.23,11.77,11348567868,0,1219910848,79583549,214968511,12863030776
"Barnstable","Barnstable","MA",2016,11559979680,0,1266853600,79821600,236236480,13142891360,87.96,12.04,11559979680,0,1266853600,79821600,236236480,13142891360
"Barnstable","Barnstable","MA",2017,11609385779,0,1291731901,80275500,249000650,13230393830,87.75,12.25,11609385779,0,1291731901,80275500,249000650,13230393830
"Bourne","Barnstable","MA",2003,2600848928,806100,263052832,20572900,64764890,2950045650,88.19,11.81,3392510591,1051465,343122397,26835000,84478407,3847997860
"Bourne","Barnstable","MA",2004,3032972582,454780,285432968,22982800,73250330,3415093460,88.82,11.18,3853545000,577821,362657016,29200809,93068247,4339048894
"Bourne","Barnstable","MA",2005,3572807952,609460,319706968,26922220,80046050,4000092650,89.33,10.67,4390675464,748974,392892526,33085106,98369751,4915771821
"Bourne","Barnstable","MA",2006,4073243219,280600,355491436,31210720,70262030,4530488005,89.91,10.09,4849240502,334057,423216434,37156703,83647713,5393595410
"Bourne","Barnstable","MA",2007,4298715115,311500,376809785,34114210,72729670,4782680280,89.89,10.11,4975941771,360574,436173019,39488619,84187622,5536151604
"Bourne","Barnstable","MA",2008,4377051879,316000,385936461,33163110,81476190,4877943640,89.74,10.26,4879277531,352258,430219050,36968266,90824819,5437641924
"Bourne","Barnstable","MA",2009,4089345385,0,400553265,33376210,92112520,4615387380,88.6,11.4,4574835659,0,448107261,37338660,103048190,5163329770
"Bourne","Barnstable","MA",2010,4085719149,0,394574831,33374510,96212450,4609880940,88.63,11.37,4497015426,0,434295417,36734215,105897850,5073942908
"Bourne","Barnstable","MA",2011,3870024721,0,391147829,33203910,99747500,4394123960,88.07,11.93,4129266260,0,417349668,35428142,106429291,4688473361
"Bourne","Barnstable","MA",2012,3578236558,0,378290712,31454500,100014230,4087996000,87.53,12.47,3740523801,0,395447699,32881087,104550273,4273402859
"Bourne","Barnstable","MA",2013,3577954295,0,374249795,31253700,99433210,4082891000,87.63,12.37,3686234268,0,385575752,32199534,102442367,4206451921
