Municipal	County	State	C_year	AR002_001	AR002_002	AR002_003	AR002_004	AR002_005	AR002_006	AR002_007	AR002_008	AR002_009	AR002_010	AR002_011	AR002_012	AR002_013	AR002_014	AR002_015	AR002_016	AR002_017	AR002_018	AR002_019	AR002_020	AR002_021	AR002_022	AR002_023	AR002_024	AR002_025	AR002_026	AR002_027	AR002_028	AR002_029	AR002_030	AR002_031	AR002_032	AR002_033	AR002_034
Barnstable	Barnstable	MA	2000	12	Barnstable	205	205	$50,829,877.00	1	2	$280,000.00	0	0	$0.00	0	0	$0.00	205	205	$50,829,877.00	1	2	$280,000.00	0	0	$0.00	0	0	$0.00	206	207	$51,109,877.00	$246,907.62	206	207	$51,109,877.00	$246,907.62
Barnstable	Barnstable	MA	2001	12	Barnstable	204	204	$57,848,393.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	204	204	$57,848,393.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	204	204	$57,848,393.00	$283,570.55	204	204	$57,848,393.00	$283,570.55
Barnstable	Barnstable	MA	2002	12	Barnstable	121	121	$28,914,475.00	1	2	$253,440.00	1	3	$185,600.00	1	8	$1,454,624.00	121	121	$28,914,475.00	1	2	$253,440.00	1	3	$185,600.00	1	8	$1,454,624.00	124	134	$30,808,139.00	$229,911.49	124	134	$30,808,139.00	$229,911.49
Barnstable	Barnstable	MA	2003	12	Barnstable	114	114	$30,205,342.00	1	2	$156,864.00	4	14	$1,904,280.00	0	0	$0.00	114	114	$30,205,342.00	1	2	$156,864.00	4	14	$1,904,280.00	0	0	$0.00	119	130	$32,266,486.00	$248,203.74	119	130	$32,266,486.00	$248,203.74
Barnstable	Barnstable	MA	2004	12	Barnstable	99	99	$30,149,362.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	99	99	$30,149,362.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	99	99	$30,149,362.00	$304,539.01	99	99	$30,149,362.00	$304,539.01
Barnstable	Barnstable	MA	2005	12	Barnstable	128	128	$39,656,715.00	2	4	$500,040.00	1	4	$610,560.00	2	36	$3,127,408.00	128	128	$39,656,715.00	2	4	$500,040.00	1	4	$610,560.00	2	36	$3,127,408.00	133	172	$43,894,723.00	$255,201.88	133	172	$43,894,723.00	$255,201.88
Barnstable	Barnstable	MA	2006	12	Barnstable	77	77	$33,290,876.00	0	0	$0.00	0	0	$0.00	1	16	$3,251,020.00	77	77	$33,290,876.00	0	0	$0.00	0	0	$0.00	1	16	$3,251,020.00	78	93	$36,541,896.00	$392,923.61	78	93	$36,541,896.00	$392,923.61
Barnstable	Barnstable	MA	2007	12	Barnstable Town	51	51	$20,938,566.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	51	51	$20,938,566.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	51	51	$20,938,566.00	$410,560.12	51	51	$20,938,566.00	$410,560.12
Barnstable	Barnstable	MA	2008	12	Barnstable Town	37	37	$13,442,596.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	37	37	$13,442,596.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	37	37	$13,442,596.00	$363,313.41	37	37	$13,442,596.00	$363,313.41
Barnstable	Barnstable	MA	2009	12	Barnstable Town	30	30	$9,284,000.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	30	30	$9,284,000.00	0	0	$0.00	0	0	$0.00	0	0	$0.00								
Barnstable	Barnstable	MA	2010	12	Barnstable Town	32	32	$8,654,354.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	32	32	$8,654,354.00	0	0	$0.00	0	0	$0.00	0	0	$0.00								
Barnstable	Barnstable	MA	2011	12	Barnstable Town	25	25	$18,628,500.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	25	25	$18,628,500.00	0	0	$0.00	0	0	$0.00	0	0	$0.00								
Bourne	Barnstable	MA	2000	8	Bourne town	178	178	$24,387,791.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	100	100	$14,634,539.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	178	178	$24,387,791.00	$137,010.06	100	100	$14,634,539.00	$146,345.39
Bourne	Barnstable	MA	2001	12	Bourne town	107	107	$19,744,508.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	107	107	$19,744,508.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	107	107	$19,744,508.00	$184,528.11	107	107	$19,744,508.00	$184,528.11
Bourne	Barnstable	MA	2002	1	Bourne town	132	132	$23,037,721.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	6	6	$1,022,650.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	132	132	$23,037,721.00	$174,528.19	6	6	$1,022,650.00	$170,441.67
Bourne	Barnstable	MA	2003	12	Bourne town	82	82	$13,130,100.00	2	4	$408,000.00	15	48	$5,130,000.00	0	0	$0.00	82	82	$13,130,100.00	2	4	$408,000.00	15	48	$5,130,000.00	0	0	$0.00	99	134	$18,668,100.00	$139,314.18	99	134	$18,668,100.00	$139,314.18
Bourne	Barnstable	MA	2004	12	Bourne town	113	113	$27,868,596.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	113	113	$27,868,596.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	113	113	$27,868,596.00	$246,624.74	113	113	$27,868,596.00	$246,624.74
Bourne	Barnstable	MA	2005	12	Bourne town	89	89	$18,119,713.00	0	0	$0.00	4	14	$1,496,250.00	0	0	$0.00	31	31	$5,113,000.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	93	103	$19,615,963.00	$190,446.24	31	31	$5,113,000.00	$164,935.48
Bourne	Barnstable	MA	2006	12	Bourne town	73	73	$13,984,000.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	73	73	$13,984,000.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	73	73	$13,984,000.00	$191,561.64	73	73	$13,984,000.00	$191,561.64
Bourne	Barnstable	MA	2007	12	Bourne town	62	62	$14,204,000.00	0	0	$0.00	1	3	$250,000.00	0	0	$0.00	62	62	$14,204,000.00	0	0	$0.00	1	3	$250,000.00	0	0	$0.00	63	65	$14,454,000.00	$222,369.23	63	65	$14,454,000.00	$222,369.23
Bourne	Barnstable	MA	2008	12	Bourne town	23	23	$5,469,200.00	0	0	$0.00	0	0	$0.00	1	28	$3,090,000.00	23	23	$5,469,200.00	0	0	$0.00	0	0	$0.00	1	28	$3,090,000.00	24	51	$8,559,200.00	$167,827.45	24	51	$8,559,200.00	$167,827.45
Bourne	Barnstable	MA	2009	12	Bourne town	40	40	$10,380,604.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	40	40	$10,380,604.00	0	0	$0.00	0	0	$0.00	0	0	$0.00								
Bourne	Barnstable	MA	2010	12	Bourne town	27	27	$8,943,876.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	27	27	$8,943,876.00	0	0	$0.00	0	0	$0.00	0	0	$0.00								
Bourne	Barnstable	MA	2011	10	Bourne town	24	24	$7,232,150.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	20	20	$5,907,132.00	0	0	$0.00	0	0	$0.00	0	0	$0.00								
Brewster	Barnstable	MA	2000	12	Brewster town	95	95	$18,589,620.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	95	95	$18,589,620.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	95	95	$18,589,620.00	$195,680.21	95	95	$18,589,620.00	$195,680.21
Brewster	Barnstable	MA	2001	12	Brewster town	75	75	$15,472,000.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	75	75	$15,472,000.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	75	75	$15,472,000.00	$206,293.33	75	75	$15,472,000.00	$206,293.33
Brewster	Barnstable	MA	2002	5	Brewster town	68	68	$14,715,879.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	20	20	$4,813,800.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	68	68	$14,715,879.00	$216,409.99	20	20	$4,813,800.00	$240,690.00
Brewster	Barnstable	MA	2003	12	Brewster town	51	51	$16,056,700.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	51	51	$16,056,700.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	51	51	$16,056,700.00	$314,837.25	51	51	$16,056,700.00	$314,837.25
Brewster	Barnstable	MA	2004	8	Brewster town	47	47	$12,887,233.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	30	30	$7,535,000.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	47	47	$12,887,233.00	$274,196.45	30	30	$7,535,000.00	$251,166.67
Brewster	Barnstable	MA	2005	0	Brewster town	49	49	$13,801,392.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	0	0	$0.00	49	49	$13,801,392.00	$281,661.06	0	0	$0.00	
