"","Region","Year","Number_of_Months_Reported","Single_Family_Buildings","Single_Family_Units","Single_Family_Valuation","I2_Family_Buildings","I2_Family_Units","I2_Family_Valuation","I3-4_Family_Buildings","I3-4_Family_Units","I3-4_Family_Valuation","I5_Family_Buildings","I5_Family_Units","I5_Family_Valuation","Total_Buildings","Total_Units","Total_Valuation","Average_Valuation_PerUnits","Total_Pct_Change","Change_from_previous","Pct_Change_from_previous","Percentage_of_1_Family","Percentage_of_2_Family","Percentage_of_3_and_4_Family","Percentage_of_5_Family","Inflation_Adjusted_1_Family_Valuation","Inflation_Adjusted_2_Family_Valuation","Inflation_Adjusted_3_4_Family_Valuation","Inflation_Adjusted_5_Family_Valuation","Inflation_Adjusted_Total_Valuation","Inflation_Adjusted_Average_Valuation","Permits_Per_1000_Population"
"1","Abington",2000,12,60,60,7247000,1,2,105000,0,0,0,3,34,2550000,64,96,9902000,103145.833333333,0,NA,NA,62.5,2.08,0,35.42,10315822.5319396,149463.414634146,0,3629825.78397213,14095111.7305459,146824.080526519,4.37996167533534
"2","Abington",2001,12,90,90,9183757,0,0,0,0,0,0,0,0,0,90,90,9183757,102041.744444444,-6.25,-0.0625,-6.25,100,0,0,0,12711024.9341615,0,0,0,12711024.9341615,141233.610379572,6.07779578606159
"3","Abington",2002,12,137,137,17293185,0,0,0,0,0,0,8,192,13069808,145,329,30362993,92288.7325227964,242.71,2.65555555555556,265.56,41.64,0,0,58.36,23562565.3540856,0,0,17808067.4650361,41370632.8191217,125746.60431344,9.66280154604825
"4","Abington",2003,12,37,37,6403010,0,0,0,0,0,0,6,72,10200000,43,109,16603010,152321.19266055,13.54,-0.668693009118541,-66.87,33.94,0,0,66.06,8529922.88695652,0,0,13588173.9130435,22118096.8,202918.319266054,2.83865856878796
"5","Abington",2004,12,31,31,6024000,0,0,0,0,0,0,4,48,6800000,35,79,12824000,162329.113924051,-17.71,-0.275229357798165,-27.52,39.24,0,0,60.76,7816849.55002647,0,0,8823800.95288512,16640650.5029116,210641.145606476,2.29523247426061
"6","Abington",2005,12,23,23,4569000,0,0,0,1,3,210000,9,52,6500000,33,78,11279000,144602.564102564,-18.75,-0.0126582278481013,-1.27,29.49,0,3.85,66.67,5734527.80337942,0,263569.892473118,8158115.71940604,14156213.4152586,181489.915580238,2.14815779195417
"7","Abington",2006,12,29,29,5404769,3,6,853000,0,0,0,5,60,6412575,37,95,12670344,133372.042105263,-1.04,0.217948717948718,21.79,30.53,6.32,0,63.16,6571512.78412698,1037139.68253968,0,7796876.90476191,15405529.3714286,162163.467067669,2.39513205592957
"8","Abington",2007,12,27,27,5868000,2,4,486000,0,0,0,10,120,12850000,39,151,19204000,127178.80794702,57.29,0.589473684210526,58.95,17.88,2.65,0,79.47,6937157.7393871,574549.874121017,0,15191287.8239816,22702995.4374898,150350.963162184,2.50642673521851
"9","Abington",2008,12,18,18,4168000,0,0,0,0,0,0,0,0,0,18,18,4168000,231555.555555556,-81.25,-0.880794701986755,-88.08,100,0,0,0,4745220.27096696,0,0,0,4745220.27096696,263623.348387054,1.14627778131567
"10","Abington",2009,5,12,12,3106383,0,0,0,0,0,0,0,0,0,12,12,3106383,258865.25,-87.5,-0.333333333333333,-33.33,100,0,0,0,3549208.76566746,0,0,0,3549208.76566746,295767.397138955,0.756715853197125
"11","Abington",2010,0,15,15,3773738,0,0,0,0,0,0,0,0,0,15,15,3773738,251582.533333333,-84.38,0.25,25,100,0,0,0,4242115.13812966,0,0,0,4242115.13812966,282807.67587531,0.0373042459692762
"12","Abington",2011,12,14,14,3141366,0,0,0,0,0,0,0,0,0,14,14,3141366,224383.285714286,-85.42,-0.0666666666666667,-6.67,100,0,0,0,3423201.9966302,0,0,0,3423201.9966302,244514.428330729,0.0346459187107759
"13","Abington",2012,12,12,12,2441590,0,0,0,0,0,0,0,0,0,12,12,2441590,203465.833333333,-87.5,-0.142857142857143,-14.2857142857143,100,0,0,0,2606699.39458348,0,0,0,2606699.39458348,217224.949548623,0.0295956494395324
"14","Abington",2013,12,14,14,3114472,2,4,4e+05,0,0,0,0,0,0,16,18,3514472,195248.444444444,-81.25,0.5,50,77.7777777777778,22.2222222222222,0,0,3277082.79485055,420884.540923861,0,0,3697967.33577441,205442.629765245,0.0391634683167541
"15","Abington",2014,4,13,13,2998145,1,2,2e+05,0,0,0,0,0,0,4,4,995986,248996.5,-95.8333333333333,-0.777777777777778,-77.7777777777778,325,50,0,0,3104324.23628008,207082.995404163,0,0,1031258.82130305,257814.705325764,0.00971682735869911
"16","Abington",2015,11,5,5,1656365,0,0,0,0,0,0,2,10,6e+05,6,14,2025738,144695.571428571,-85.4166666666667,2.5,250,35.7142857142857,0,0,71.4285714285714,1712991.84784214,0,0,620512.452693267,2094992.75815659,149642.339868327,0.0145011951401661
"17","Abington",2016,12,5,5,1585370,6,12,1500000,0,0,0,1,7,6e+05,12,24,3685370,153557.083333333,-75,0.714285714285714,71.4285714285714,20.8333333333333,50,0,29.1666666666667,1619144.00163329,1531955.31796989,0,612782.127187957,3763881.44679114,156828.393616297,0.0288151913688897
"18","Abington",2017,12,30,30,8026500,3,6,750000,2,7,889400,1,7,6e+05,36,50,10265900,205318,-47.9166666666667,1.08333333333333,108.333333333333,60,12,14,14,8026500,750000,889400,6e+05,10265900,205318,0.0858225856437886
"19","Acton",2000,12,96,96,14663800,7,14,1680000,5,16,1920000,0,0,0,108,126,18263800,144950.793650794,0,NA,NA,76.19,11.11,12.7,0,20873348.757259,2391414.63414634,2733045.29616725,0,25997808.6875726,206331.814980735,5.29931305201178
"20","Acton",2001,12,47,47,7348500,0,0,0,0,0,0,1,24,4e+06,48,71,11348500,159838.028169014,-43.65,-0.436507936507937,-43.65,66.2,0,0,33.8,10170888.3116883,0,0,5536307.17108978,15707195.4827781,221228.105391241,2.33428974371444
"21","Acton",2002,12,42,42,7055300,0,0,0,0,0,0,0,0,0,42,42,7055300,167983.333333333,-66.67,-0.408450704225352,-40.85,100,0,0,0,9613091.36186771,0,0,0,9613091.36186771,228883.127663516,2.03873598369011
