"Municipal","County","State","C_year","Number of Months Reported","Area Name","Single Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Buildings- Reported Data Only","Single Family Units- Reported Data Only","Single Family Valuation- Reported Data Only","2 Family Buildings- Reported Data Only","2 Family Units- Reported Data Only","2 Family Valuation- Reported Data Only","3+4 Family Buildings- Reported Data Only","3+4 Family Units- Reported Data Only","3+4 Family Valuation- Reported Data Only","5+ Family Buildings- Reported Data Only","5+ Family Units- Reported Data Only","5+ Family Valuation- Reported Data Only","Total Buildings- Reported plus Imputed Data","Total Units- Reported plus Imputed Data","Total Valuation- Reported plus Imputed Data","Average Valuation Per Unit- Reported plus Imputed Data","Total Buildings- Reported Data Only","Total Units- Reported Data Only","Total Valuation- Reported Data Only","Average Valuation Per Unit- Reported Data Only"
"Barnstable","Barnstable","MA","2000",12,"Barnstable",205,205,50829877,1,2,280000,0,0,0,0,0,0,205,205,50829877,1,2,280000,0,0,0,0,0,0,206,207,51109877,246907.6184,206,207,51109877,246907.6184
"Barnstable","Barnstable","MA","2001",12,"Barnstable",204,204,57848393,0,0,0,0,0,0,0,0,0,204,204,57848393,0,0,0,0,0,0,0,0,0,204,204,57848393,283570.5539,204,204,57848393,283570.5539
"Barnstable","Barnstable","MA","2002",12,"Barnstable",121,121,28914475,1,2,253440,1,3,185600,1,8,1454624,121,121,28914475,1,2,253440,1,3,185600,1,8,1454624,124,134,30808139,229911.4851,124,134,30808139,229911.4851
"Barnstable","Barnstable","MA","2003",12,"Barnstable",114,114,30205342,1,2,156864,4,14,1904280,0,0,0,114,114,30205342,1,2,156864,4,14,1904280,0,0,0,119,130,32266486,248203.7385,119,130,32266486,248203.7385
"Barnstable","Barnstable","MA","2004",12,"Barnstable",99,99,30149362,0,0,0,0,0,0,0,0,0,99,99,30149362,0,0,0,0,0,0,0,0,0,99,99,30149362,304539.0101,99,99,30149362,304539.0101
"Barnstable","Barnstable","MA","2005",12,"Barnstable",128,128,39656715,2,4,500040,1,4,610560,2,36,3127408,128,128,39656715,2,4,500040,1,4,610560,2,36,3127408,133,172,43894723,255201.8779,133,172,43894723,255201.8779
"Barnstable","Barnstable","MA","2006",12,"Barnstable",77,77,33290876,0,0,0,0,0,0,1,16,3251020,77,77,33290876,0,0,0,0,0,0,1,16,3251020,78,93,36541896,392923.6129,78,93,36541896,392923.6129
"Barnstable","Barnstable","MA","2007",12,"Barnstable Town",51,51,20938566,0,0,0,0,0,0,0,0,0,51,51,20938566,0,0,0,0,0,0,0,0,0,51,51,20938566,410560.1176,51,51,20938566,410560.1176
"Barnstable","Barnstable","MA","2008",12,"Barnstable Town",37,37,13442596,0,0,0,0,0,0,0,0,0,37,37,13442596,0,0,0,0,0,0,0,0,0,37,37,13442596,363313.4054,37,37,13442596,363313.4054
"Barnstable","Barnstable","MA","2009",12,"Barnstable Town",30,30,9284000,0,0,0,0,0,0,0,0,0,30,30,9284000,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Barnstable","Barnstable","MA","2010",12,"Barnstable Town",32,32,8654354,0,0,0,0,0,0,0,0,0,32,32,8654354,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Barnstable","Barnstable","MA","2011",12,"Barnstable Town",25,25,18628500,0,0,0,0,0,0,0,0,0,25,25,18628500,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"Bourne","Barnstable","MA","2000",8,"Bourne town",178,178,24387791,0,0,0,0,0,0,0,0,0,100,100,14634539,0,0,0,0,0,0,0,0,0,178,178,24387791,137010.0618,100,100,14634539,146345.39
