"Municipal","County","State","C_year","Number of Months Reported","Area Name","Single Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Buildings- Reported Data Only","Single Family Units- Reported Data Only","Single Family Valuation- Reported Data Only","2 Family Buildings- Reported Data Only","2 Family Units- Reported Data Only","2 Family Valuation- Reported Data Only","3+4 Family Buildings- Reported Data Only","3+4 Family Units- Reported Data Only","3+4 Family Valuation- Reported Data Only","5+ Family Buildings- Reported Data Only","5+ Family Units- Reported Data Only","5+ Family Valuation- Reported Data Only","Total_Buildings_Reported_Imputed","Total_Units_Reported_Imputed","Total_Valuation_Reported_Imputed","Average_Valuation_PerUnits_Reported_Imputed","Total_Buildings_Reported","Total_Units_Reported","Total_Valuation_Reported","Average_Valuation_PerUnits_Reported","Region","Inflation_Adjusted_1_Family_Valuation","Inflation_Adjusted_2_Family_Valuation","Inflation_Adjusted_3_4_Family_Valuation","Inflation_Adjusted_5_Family_Valuation","Inflation_Adjusted_Total_Valuation","Inflation_Adjusted_Average_Valuation"
"Abington","Plymouth","MA","2000"," 12","Abington town",60,60,7247000,1,2,105000,0,0,0,3,34,2550000,60,60,7247000,1,2,105000,0,0,0,3,34,2550000,64,96,9902000,103145.833333333,64,96,9902000,103145.833333333,"Abington",9466509,137158,0,3330978,12934645,134735.885416667
"Abington","Plymouth","MA","2001"," 12","Abington town",90,90,9183757,0,0,0,0,0,0,0,0,0,90,90,9183757,0,0,0,0,0,0,0,0,0,90,90,9183757,102041.744444444,90,90,9183757,102041.744444444,"Abington",11664512,0,0,0,11664512,129605.688888889
"Abington","Plymouth","MA","2002"," 12","Abington town",137,137,17293185,0,0,0,0,0,0,8,192,13069808,137,137,17293185,0,0,0,0,0,0,8,192,13069808,145,329,30362993,92288.7325227964,145,329,30362993,92288.7325227964,"Abington",21622633,0,0,16341910,37964543,115393.747720365
"Abington","Plymouth","MA","2003"," 12","Abington town",37,37,6403010,0,0,0,0,0,0,6,72,10200000,37,37,6403010,0,0,0,0,0,0,6,72,10200000,43,109,16603010,152321.19266055,43,109,16603010,152321.19266055,"Abington",7827645,0,0,12469445,20297090,186211.834862385
"Abington","Plymouth","MA","2004"," 12","Abington town",31,31,6024000,0,0,0,0,0,0,4,48,6800000,31,31,6024000,0,0,0,0,0,0,4,48,6800000,35,79,12824000,162329.113924051,35,79,12824000,162329.113924051,"Abington",7173280,0,0,8097328,15270608,193298.835443038
"Abington","Plymouth","MA","2005"," 12","Abington town",23,23,4569000,0,0,0,1,3,210000,9,52,6500000,23,23,4569000,0,0,0,1,3,210000,9,52,6500000,33,78,11279000,144602.564102564,33,78,11279000,144602.564102564,"Abington",5262398,0,241870,7486449,12990717,166547.653846154
"Abington","Plymouth","MA","2006"," 12","Abington town",29,29,5404769,3,6,853000,0,0,0,5,60,6412575,29,29,5404769,3,6,853000,0,0,0,5,60,6412575,37,95,12670344,133372.042105263,37,95,12670344,133372.042105263,"Abington",6030473,951751,0,7154951,14137175,148812.368421053
"Abington","Plymouth","MA","2007"," 12","Abington town",27,27,5868000,2,4,486000,0,0,0,10,120,12850000,27,27,5868000,2,4,486000,0,0,0,10,120,12850000,39,151,19204000,127178.80794702,39,151,19204000,127178.80794702,"Abington",6366014,527247,0,13940572,20833833,137972.40397351
"Abington","Plymouth","MA","2008"," 12","Abington town",18,18,4168000,0,0,0,0,0,0,0,0,0,18,18,4168000,0,0,0,0,0,0,0,0,0,18,18,4168000,231555.555555556,18,18,4168000,231555.555555556,"Abington",4354541,0,0,0,4354541,241918.944444444
"Abington","Plymouth","MA","2009","  5","Abington town",12,12,3106383,0,0,0,0,0,0,0,0,0,4,4,1253936,0,0,0,0,0,0,0,0,0,12,12,3106383,258865.25,4,4,1253936,313484,"Abington",3256998,0,0,0,3256998,271416.5
