SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018
040,25,000,00000,00000,00000,0,A,Massachusetts,Massachusetts,6547629,6547790,6566431,6613149,6663158,6713944,6763652,6795891,6826022,6863246,6902149
162,25,000,00840,00000,00000,0,A,Agawam Town city,Massachusetts,28438,28438,28451,28584,28632,28707,28712,28746,28693,28696,28854
162,25,000,01260,00000,00000,0,A,Amesbury Town city,Massachusetts,16283,16286,16324,16429,16536,16741,17229,17292,17337,17474,17569
162,25,000,02690,00000,00000,0,A,Attleboro city,Massachusetts,43593,43586,43604,43681,43830,43953,44156,44317,44413,44744,45117
162,25,000,03690,00000,00000,0,A,Barnstable Town city,Massachusetts,45193,45187,45146,44852,44738,44581,44469,44267,44155,44165,44460
162,25,000,05595,00000,00000,0,A,Beverly city,Massachusetts,39502,39504,39730,40092,40393,40851,41231,41519,41649,41961,42312
162,25,000,07000,00000,00000,0,A,Boston city,Massachusetts,617594,617786,621074,630480,643003,653103,663017,670791,680470,688276,694583
162,25,000,07740,00000,00000,0,A,Braintree Town city,Massachusetts,35744,35726,35806,36015,36347,36789,37181,37180,37187,37242,37250
162,25,000,09000,00000,00000,0,A,Brockton city,Massachusetts,93810,93767,93809,94109,94047,94365,94863,95433,95391,95659,95777
162,25,000,11000,00000,00000,0,A,Cambridge city,Massachusetts,105162,105176,105038,105905,107911,112069,113019,113497,115730,117133,118977
162,25,000,13205,00000,00000,0,A,Chelsea city,Massachusetts,35177,35170,35334,36195,36904,37641,38685,39745,40288,40333,40160
162,25,000,13660,00000,00000,0,A,Chicopee city,Massachusetts,55298,55305,55305,55583,55795,55882,56233,55789,55342,55363,55582
162,25,000,19370,00000,00000,0,A,Easthampton Town city,Massachusetts,16053,16050,16052,16072,16108,16080,16055,16004,16051,16026,15987
162,25,000,21990,00000,00000,0,A,Everett city,Massachusetts,41667,41650,41755,42242,42740,43227,44463,45625,46011,46196,46880
162,25,000,23000,00000,00000,0,A,Fall River city,Massachusetts,88857,88857,88874,88812,88842,88993,89153,89313,89288,89274,89661
162,25,000,23875,00000,00000,0,A,Fitchburg city,Massachusetts,40318,40325,40443,40422,40513,40572,40668,40686,40680,40800,40882
162,25,000,24960,00000,00000,0,A,Framingham city,Massachusetts,A,68325,68667,69651,70064,70417,70787,70937,71469,71866,73123
162,25,000,25172,00000,00000,0,A,Franklin Town city,Massachusetts,31635,31633,31847,32164,32336,32616,32821,32892,32971,33155,33230
162,25,000,25485,00000,00000,0,A,Gardner city,Massachusetts,20228,20233,20174,20223,20368,20408,20344,20522,20542,20650,20719
162,25,000,26150,00000,00000,0,A,Gloucester city,Massachusetts,28789,28789,28872,29056,29275,29527,29742,29907,29999,30184,30401
162,25,000,27100,00000,00000,0,A,Greenfield Town city,Massachusetts,17456,17452,17433,17603,17631,17486,17604,17441,17448,17424,17460
162,25,000,29405,00000,00000,0,A,Haverhill city,Massachusetts,60879,60878,61000,61503,61865,62283,62620,62881,63236,63669,64041
162,25,000,30840,00000,00000,0,A,Holyoke city,Massachusetts,39880,39881,39917,40124,40192,40105,40673,40339,40266,40220,40358
162,25,000,34550,00000,00000,0,A,Lawrence city,Massachusetts,76377,76348,76558,77263,77922,78401,79208,79732,79870,80062,80376
