SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
040,25,000,00000,00000,00000,0,A,Massachusetts,Massachusetts,6547629,6547785,6566307,6613583,6663005,6713315,6762596,6794228,6823608,6859789,6882635,6892503
162,25,000,00840,00000,00000,0,A,Agawam Town city,Massachusetts,28438,28438,28451,28608,28653,28726,28733,28762,28696,28683,28733,28613
162,25,000,01260,00000,00000,0,A,Amesbury Town city,Massachusetts,16283,16286,16323,16429,16535,16738,17224,17287,17327,17459,17510,17532
162,25,000,02690,00000,00000,0,A,Attleboro city,Massachusetts,43593,43568,43586,43666,43811,43932,44130,44304,44418,44779,45162,45237
162,25,000,03690,00000,00000,0,A,Barnstable Town city,Massachusetts,45193,45188,45149,44860,44747,44593,44488,44308,44215,44361,44662,44477
162,25,000,05595,00000,00000,0,A,Beverly city,Massachusetts,39502,39504,39729,40091,40390,40846,41220,41506,41625,41936,42195,42174
162,25,000,07000,00000,00000,0,A,Boston city,Massachusetts,617594,617792,621048,630505,642955,653002,662855,670491,679848,687788,691147,692600
162,25,000,07740,00000,00000,0,A,Braintree Town city,Massachusetts,35744,35726,35804,36017,36345,36782,37174,37176,37194,37256,37225,37190
162,25,000,08130,00000,00000,0,A,Bridgewater Town city,Massachusetts,A,26569,26708,26825,26888,27308,27498,27436,27382,27279,27441,27619
162,25,000,09000,00000,00000,0,A,Brockton city,Massachusetts,93810,93767,93809,94117,94050,94361,94858,95425,95441,95682,95723,95708
162,25,000,11000,00000,00000,0,A,Cambridge city,Massachusetts,105162,105148,105008,105884,107886,112036,112993,113471,115685,116869,118151,118927
162,25,000,13205,00000,00000,0,A,Chelsea city,Massachusetts,35177,35181,35341,36207,36911,37644,38685,39735,40261,40287,39937,39690
162,25,000,13660,00000,00000,0,A,Chicopee city,Massachusetts,55298,55307,55306,55630,55840,55923,56274,55820,55342,55336,55424,55126
