Municipal,County,State,Region,Five_Year_Range,Pop_25,Margin_Error_Pop,HS_Pct,Margin_Error_HS,Bachelors_Pct,Margin_Error_Bach,Grad_Pct,Margin_Error_Grad
NA,NA County,NA,United States,2006-2010,199726659,18056,85,0.1,27.9,0.1,10.3,0.1
NA,NA County,NA,United States,2007-2011,202048123,16972,85.4,0.1,28.2,0.1,10.5,0.1
NA,NA County,NA,United States,2008-2012,204336017,15340,85.7,0.1,28.5,0.1,10.6,0.1
NA,NA County,NA,United States,2009-2013,206587852,15585,86,0.1,28.8,0.1,10.8,0.1
NA,NA County,NA,United States,2010-2014,209056129,15007,86.3,0.1,29.3,0.1,11,0.1
NA,NA County,NA,United States,2011-2015,211462522,16135,86.7,0.1,29.8,0.1,11.2,0.1
NA,NA County,NA,United States,2012-2016,213649147,15761,87,0.1,30.3,0.1,11.5,0.1
NA,NA County,NA,United States,2013-2017,216271644,15647,87.3,0.1,30.9,0.1,11.8,0.1
NA,NA County,NA,United States,2014-2018,218446071,16291,87.7,0.1,31.5,0.1,12.1,0.1
NA,NA County,MA,MA,2006-2010,4382378,675,88.7,0.1,38.3,0.2,16.4,0.1
NA,NA County,MA,MA,2007-2011,4419291,629,88.9,0.1,38.7,0.2,16.6,0.1
NA,NA County,MA,MA,2008-2012,4465898,555,89.1,0.1,39,0.2,16.8,0.1
NA,NA County,MA,MA,2009-2013,4510714,521,89.4,0.1,39.4,0.2,17.1,0.2
NA,NA County,MA,MA,2010-2014,4561346,533,89.5,0.1,40,0.2,17.4,0.1
NA,NA County,MA,MA,2011-2015,4610510,593,89.8,0.1,40.5,0.2,17.7,0.1
NA,NA County,MA,MA,2012-2016,4649997,519,90.1,0.1,41.2,0.2,18.2,0.1
NA,NA County,MA,MA,2013-2017,4706536,653,90.3,0.1,42.1,0.2,18.7,0.2
NA,NA County,MA,MA,2014-2018,4748795,565,90.4,0.1,42.9,0.2,19.1,0.2
NA,Barnstable County,MA,Barnstable County,2006-2010,164152,254,94.7,0.4,40.5,1,16.1,0.6
NA,Barnstable County,MA,Barnstable County,2007-2011,164014,230,94.9,0.5,40.5,0.9,16.3,0.6
NA,Barnstable County,MA,Barnstable County,2009-2013,164230,232,94.5,0.5,39.1,1,16.1,0.7
NA,Barnstable County,MA,Barnstable County,2010-2014,164363,241,95,0.4,39.9,0.7,16.9,0.5
NA,Barnstable County,MA,Barnstable County,2012-2016,164809,223,95.4,0.3,41.1,0.9,17.4,0.6
NA,Barnstable County,MA,Barnstable County,2011-2015,164458,238,95.1,0.4,40.1,0.9,17,0.5
NA,Barnstable County,MA,Barnstable County,2014-2018,165336,223,95.5,0.4,42.8,0.7,18.3,0.6
NA,Barnstable County,MA,Barnstable County,2013-2017,165101,215,95.6,0.4,41.7,0.8,17.8,0.6
NA,Barnstable County,MA,Barnstable County,2008-2012,164127,239,94.8,0.4,39.9,0.9,16.4,0.6
NA,Berkshire County,MA,Berkshire County,2013-2017,92897,143,90.8,0.7,33.2,1.1,14.9,0.8
NA,Berkshire County,MA,Berkshire County,2012-2016,92918,183,90.6,0.6,32.6,0.9,14.2,0.7
NA,Berkshire County,MA,Berkshire County,2014-2018,92946,204,91.1,0.7,33.4,1.3,14.7,0.8
NA,Berkshire County,MA,Berkshire County,2007-2011,93241,203,90.7,0.8,30.2,1.1,12.8,0.7
NA,Berkshire County,MA,Berkshire County,2009-2013,93121,198,90.6,0.6,30.3,1,13.4,0.7
NA,Berkshire County,MA,Berkshire County,2006-2010,93038,194,90.2,0.7,29.6,1.2,12.6,0.8
NA,Berkshire County,MA,Berkshire County,2011-2015,93114,189,90.7,0.6,31.6,1.1,13.8,0.7
NA,Berkshire County,MA,Berkshire County,2010-2014,93321,165,90.6,0.7,31.3,1.1,13.7,0.7
NA,Berkshire County,MA,Berkshire County,2008-2012,93083,200,91,0.6,29.8,1,12.6,0.8
NA,Bristol County,MA,Bristol County,2014-2018,390230,87,84.9,0.5,28,0.5,10.2,0.4
NA,Bristol County,MA,Bristol County,2011-2015,380990,149,82.8,0.5,25.9,0.5,9.3,0.3
NA,Bristol County,MA,Bristol County,2013-2017,387417,99,84.3,0.4,27.3,0.5,10.1,0.3
NA,Bristol County,MA,Bristol County,2012-2016,383924,113,83.7,0.4,26.5,0.5,9.7,0.3
NA,Bristol County,MA,Bristol County,2009-2013,376222,149,81.9,0.5,25.3,0.5,8.8,0.3
NA,Bristol County,MA,Bristol County,2008-2012,374421,76,81.3,0.5,25.2,0.5,8.6,0.3
NA,Bristol County,MA,Bristol County,2010-2014,378358,155,82.2,0.5,25.6,0.6,9,0.3
NA,Bristol County,MA,Bristol County,2007-2011,372139,72,80.6,0.5,25.1,0.5,8.4,0.3
NA,Bristol County,MA,Bristol County,2006-2010,370326,79,80.1,0.5,24.7,0.5,8.1,0.3
NA,Dukes County,MA,Dukes County,2014-2018,12731,211,95.5,1.8,44.2,4.2,19.1,2.5
NA,Dukes County,MA,Dukes County,2011-2015,12774,164,93.2,4.4,40.3,3.6,15.2,2.5
NA,Dukes County,MA,Dukes County,2012-2016,12726,189,92.8,3.8,39.8,3.6,15.8,2.1
NA,Dukes County,MA,Dukes County,2008-2012,12393,NA,92.2,3,40.2,3.9,17.2,2.3
NA,Dukes County,MA,Dukes County,2010-2014,12674,NA,93.4,3.7,41.2,3.8,14.1,2.4
NA,Dukes County,MA,Dukes County,2006-2010,11298,449,93.5,2.4,40,4.6,18.1,2.8
NA,Dukes County,MA,Dukes County,2013-2017,12727,213,96.6,1.2,46.3,4.4,18.1,2.6
NA,Dukes County,MA,Dukes County,2007-2011,11863,232,92.7,2.2,42.5,4.2,17.6,3
NA,Dukes County,MA,Dukes County,2009-2013,12544,NA,93.4,3.2,40.7,3.3,15.8,2.5
NA,Essex County,MA,Essex County,2008-2012,507496,63,88.7,0.4,36.4,0.5,14.8,0.4
NA,Essex County,MA,Essex County,2011-2015,523024,159,89.3,0.3,37.5,0.5,15.2,0.3
NA,Essex County,MA,Essex County,2012-2016,527506,113,89.3,0.3,38,0.5,15.4,0.4
NA,Essex County,MA,Essex County,2014-2018,538981,142,89.3,0.3,39.4,0.5,15.9,0.3
NA,Essex County,MA,Essex County,2006-2010,498319,127,88.2,0.4,36.1,0.5,14.4,0.3
NA,Essex County,MA,Essex County,2007-2011,502544,60,88.4,0.3,36.4,0.5,14.5,0.3
NA,Essex County,MA,Essex County,2010-2014,517701,71,89.2,0.3,37.2,0.5,15.1,0.3
NA,Essex County,MA,Essex County,2013-2017,534288,117,89.4,0.3,38.8,0.5,15.6,0.4
NA,Essex County,MA,Essex County,2009-2013,512201,68,89,0.3,36.6,0.5,14.8,0.4
NA,Franklin County,MA,Franklin County,2011-2015,52268,132,92.2,0.8,35.2,1.3,16.4,0.9
NA,Franklin County,MA,Franklin County,2014-2018,53210,176,93.1,0.7,37.2,1.3,17.5,1
NA,Franklin County,MA,Franklin County,2012-2016,52404,132,92.8,0.7,35.9,1.2,17.3,1
NA,Franklin County,MA,Franklin County,2009-2013,51771,115,92,0.7,34,1.3,15.1,1
NA,Franklin County,MA,Franklin County,2010-2014,52063,134,91.9,0.6,34.4,1.1,15.8,0.9
NA,Franklin County,MA,Franklin County,2008-2012,51643,120,91.8,0.6,32.9,1.1,14.3,0.8
NA,Franklin County,MA,Franklin County,2013-2017,52862,115,92.8,0.6,36.8,1.2,18,1
NA,Franklin County,MA,Franklin County,2007-2011,51302,127,91.2,0.8,32.3,1.2,14,0.9
NA,Franklin County,MA,Franklin County,2006-2010,51066,126,91.1,0.9,32.5,1.4,14.3,0.9
NA,Hampden County,MA,Hampden County,2014-2018,316312,80,85.3,0.4,27.2,0.6,10.8,0.4
NA,Hampden County,MA,Hampden County,2008-2012,305343,63,83.7,0.5,24.2,0.5,9.1,0.3
NA,Hampden County,MA,Hampden County,2011-2015,310367,99,84.8,0.5,25.8,0.5,10.2,0.3
NA,Hampden County,MA,Hampden County,2007-2011,303689,80,83.5,0.5,23.9,0.5,8.9,0.3
NA,Hampden County,MA,Hampden County,2006-2010,302877,121,83.2,0.5,23.8,0.5,8.8,0.3
NA,Hampden County,MA,Hampden County,2012-2016,311830,88,85.4,0.5,26.2,0.6,10.5,0.4
NA,Hampden County,MA,Hampden County,2010-2014,308398,117,84.1,0.5,25.4,0.6,10.1,0.4
NA,Hampden County,MA,Hampden County,2009-2013,306698,70,83.7,0.5,24.5,0.6,9.5,0.4
NA,Hampden County,MA,Hampden County,2013-2017,314809,85,85.4,0.5,26.5,0.5,10.8,0.4
NA,Hampshire County,MA,Hampshire County,2013-2017,99070,327,94.5,0.5,45.6,1.2,23,0.9
NA,Hampshire County,MA,Hampshire County,2011-2015,98119,211,93.9,0.6,44.2,1.1,22.6,0.9
