Municipal,County,State,Region,Year,Five_Year_Average,Median_Annual_Household_Income,Margin_Error_Median
NA,NA County,NA,United States,2006-2010,2008,51914,89
NA,NA County,NA,United States,2007-2011,2009,52762,99
NA,NA County,NA,United States,2008-2012,2010,53046,85
NA,NA County,NA,United States,2009-2013,2011,53046,89
NA,NA County,NA,United States,2010-2014,2012,53482,95
NA,NA County,NA,United States,2011-2015,2013,53889,110
NA,NA County,NA,United States,2012-2016,2014,55322,120
NA,NA County,NA,United States,2013-2017,2015,57652,138
NA,NA County,NA,United States,2014-2018,2016,60293,140
NA,NA County,MA,MA,2006-2010,2008,64509,344
NA,NA County,MA,MA,2007-2011,2009,65981,328
NA,NA County,MA,MA,2008-2012,2010,66658,306
NA,NA County,MA,MA,2009-2013,2011,66866,318
NA,NA County,MA,MA,2010-2014,2012,67846,387
NA,NA County,MA,MA,2011-2015,2013,68563,384
NA,NA County,MA,MA,2012-2016,2014,70954,343
NA,NA County,MA,MA,2013-2017,2015,74167,380
NA,NA County,MA,MA,2014-2018,2016,77378,425
NA,Barnstable County,MA,Barnstable County,2006-2010,2008,60317,1168
NA,Barnstable County,MA,Barnstable County,2007-2011,2009,60525,1544
NA,Barnstable County,MA,Barnstable County,2009-2013,2011,60526,1348
NA,Barnstable County,MA,Barnstable County,2010-2014,2012,61597,1142
NA,Barnstable County,MA,Barnstable County,2012-2016,2014,65382,1119
NA,Barnstable County,MA,Barnstable County,2011-2015,2013,63251,1533
NA,Barnstable County,MA,Barnstable County,2014-2018,2016,70621,1245
NA,Barnstable County,MA,Barnstable County,2013-2017,2015,68048,1279
NA,Barnstable County,MA,Barnstable County,2008-2012,2010,60424,1478
NA,Berkshire County,MA,Berkshire County,2013-2017,2015,55190,1350
NA,Berkshire County,MA,Berkshire County,2012-2016,2014,52253,1386
NA,Berkshire County,MA,Berkshire County,2014-2018,2016,56674,1559
NA,Berkshire County,MA,Berkshire County,2007-2011,2009,48705,1494
NA,Berkshire County,MA,Berkshire County,2009-2013,2011,48450,1647
NA,Berkshire County,MA,Berkshire County,2006-2010,2008,48907,1429
NA,Berkshire County,MA,Berkshire County,2011-2015,2013,49956,1524
NA,Berkshire County,MA,Berkshire County,2010-2014,2012,49737,1509
NA,Berkshire County,MA,Berkshire County,2008-2012,2010,47513,1532
NA,Bristol County,MA,Bristol County,2014-2018,2016,66157,880
NA,Bristol County,MA,Bristol County,2011-2015,2013,56842,935
NA,Bristol County,MA,Bristol County,2013-2017,2015,62514,883
NA,Bristol County,MA,Bristol County,2012-2016,2014,59343,1234
NA,Bristol County,MA,Bristol County,2009-2013,2011,55298,906
NA,Bristol County,MA,Bristol County,2008-2012,2010,55995,928
NA,Bristol County,MA,Bristol County,2010-2014,2012,55957,1007
NA,Bristol County,MA,Bristol County,2007-2011,2009,55813,882
NA,Bristol County,MA,Bristol County,2006-2010,2008,54955,849
NA,Dukes County,MA,Dukes County,2014-2018,2016,71224,12123
NA,Dukes County,MA,Dukes County,2011-2015,2013,64222,8996
NA,Dukes County,MA,Dukes County,2012-2016,2014,63534,10331
NA,Dukes County,MA,Dukes County,2008-2012,2010,65896,5828
NA,Dukes County,MA,Dukes County,2010-2014,2012,65518,6121
NA,Dukes County,MA,Dukes County,2006-2010,2008,62407,8087
NA,Dukes County,MA,Dukes County,2013-2017,2015,67535,8612
NA,Dukes County,MA,Dukes County,2007-2011,2009,69760,9374
NA,Dukes County,MA,Dukes County,2009-2013,2011,66288,4857
NA,Essex County,MA,Essex County,2008-2012,2010,66918,856
NA,Essex County,MA,Essex County,2011-2015,2013,69068,1020
NA,Essex County,MA,Essex County,2012-2016,2014,70886,792
NA,Essex County,MA,Essex County,2014-2018,2016,75878,1022
NA,Essex County,MA,Essex County,2006-2010,2008,64153,773
NA,Essex County,MA,Essex County,2007-2011,2009,65785,866
NA,Essex County,MA,Essex County,2010-2014,2012,68776,865
NA,Essex County,MA,Essex County,2013-2017,2015,73533,773
NA,Essex County,MA,Essex County,2009-2013,2011,67311,895
NA,Franklin County,MA,Franklin County,2011-2015,2013,55221,1954
NA,Franklin County,MA,Franklin County,2014-2018,2016,59522,1827
NA,Franklin County,MA,Franklin County,2012-2016,2014,56347,1704
NA,Franklin County,MA,Franklin County,2009-2013,2011,53663,1333
NA,Franklin County,MA,Franklin County,2010-2014,2012,54072,1378
NA,Franklin County,MA,Franklin County,2008-2012,2010,53298,1687
NA,Franklin County,MA,Franklin County,2013-2017,2015,57307,2221
NA,Franklin County,MA,Franklin County,2007-2011,2009,52246,1241
NA,Franklin County,MA,Franklin County,2006-2010,2008,52002,1718
NA,Hampden County,MA,Hampden County,2014-2018,2016,53403,860
NA,Hampden County,MA,Hampden County,2008-2012,2010,49729,934
NA,Hampden County,MA,Hampden County,2011-2015,2013,50461,855
NA,Hampden County,MA,Hampden County,2007-2011,2009,48866,839
NA,Hampden County,MA,Hampden County,2006-2010,2008,47724,852
NA,Hampden County,MA,Hampden County,2012-2016,2014,51005,783
NA,Hampden County,MA,Hampden County,2010-2014,2012,50036,916
NA,Hampden County,MA,Hampden County,2009-2013,2011,49094,769
NA,Hampden County,MA,Hampden County,2013-2017,2015,52205,1036
NA,Hampshire County,MA,Hampshire County,2013-2017,2015,64974,1932
NA,Hampshire County,MA,Hampshire County,2011-2015,2013,61368,1419
NA,Hampshire County,MA,Hampshire County,2008-2012,2010,61264,1578
NA,Hampshire County,MA,Hampshire County,2012-2016,2014,62608,1855
NA,Hampshire County,MA,Hampshire County,2010-2014,2012,61460,1617
NA,Hampshire County,MA,Hampshire County,2006-2010,2008,59505,1652
NA,Hampshire County,MA,Hampshire County,2007-2011,2009,60331,1693
NA,Hampshire County,MA,Hampshire County,2009-2013,2011,61227,1309
NA,Hampshire County,MA,Hampshire County,2014-2018,2016,67044,1955
NA,Middlesex County,MA,Middlesex County,2010-2014,2012,83488,882
NA,Middlesex County,MA,Middlesex County,2008-2012,2010,81420,636
NA,Middlesex County,MA,Middlesex County,2011-2015,2013,85118,757
NA,Middlesex County,MA,Middlesex County,2006-2010,2008,77377,719
NA,Middlesex County,MA,Middlesex County,2007-2011,2009,79691,690
NA,Middlesex County,MA,Middlesex County,2014-2018,2016,97012,1021
NA,Middlesex County,MA,Middlesex County,2012-2016,2014,89019,875
NA,Middlesex County,MA,Middlesex County,2013-2017,2015,92878,735
NA,Middlesex County,MA,Middlesex County,2009-2013,2011,82090,812
NA,Nantucket County,MA,Nantucket County,2012-2016,2014,89428,7915
NA,Nantucket County,MA,Nantucket County,2011-2015,2013,84057,7361
NA,Nantucket County,MA,Nantucket County,2008-2012,2010,83546,5281
NA,Nantucket County,MA,Nantucket County,2014-2018,2016,105171,5612
NA,Nantucket County,MA,Nantucket County,2010-2014,2012,86529,4175
NA,Nantucket County,MA,Nantucket County,2007-2011,2009,84979,5174
NA,Nantucket County,MA,Nantucket County,2013-2017,2015,91942,11350
NA,Nantucket County,MA,Nantucket County,2009-2013,2011,85478,4052
NA,Nantucket County,MA,Nantucket County,2006-2010,2008,83347,7132
NA,Norfolk County,MA,Norfolk County,2010-2014,2012,86469,1261
NA,Norfolk County,MA,Norfolk County,2012-2016,2014,90226,1188
NA,Norfolk County,MA,Norfolk County,2013-2017,2015,95668,1134
NA,Norfolk County,MA,Norfolk County,2008-2012,2010,84087,1309
NA,Norfolk County,MA,Norfolk County,2014-2018,2016,99511,1321
NA,Norfolk County,MA,Norfolk County,2011-2015,2013,88262,1348
NA,Norfolk County,MA,Norfolk County,2007-2011,2009,83733,1184
NA,Norfolk County,MA,Norfolk County,2009-2013,2011,84916,1225
NA,Norfolk County,MA,Norfolk County,2006-2010,2008,81027,1039
NA,Plymouth County,MA,Plymouth County,2012-2016,2014,77627,1209
NA,Plymouth County,MA,Plymouth County,2011-2015,2013,75459,1061
NA,Plymouth County,MA,Plymouth County,2014-2018,2016,85654,1241
NA,Plymouth County,MA,Plymouth County,2007-2011,2009,74698,1004
NA,Plymouth County,MA,Plymouth County,2010-2014,2012,75816,1026
NA,Plymouth County,MA,Plymouth County,2008-2012,2010,74722,1182
NA,Plymouth County,MA,Plymouth County,2013-2017,2015,82081,1195
NA,Plymouth County,MA,Plymouth County,2009-2013,2011,75092,1042
NA,Plymouth County,MA,Plymouth County,2006-2010,2008,73131,895
NA,Suffolk County,MA,Suffolk County,2009-2013,2011,53540,902
NA,Suffolk County,MA,Suffolk County,2013-2017,2015,61242,825
NA,Suffolk County,MA,Suffolk County,2007-2011,2009,51638,717
NA,Suffolk County,MA,Suffolk County,2010-2014,2012,54169,878
NA,Suffolk County,MA,Suffolk County,2012-2016,2014,57439,937
NA,Suffolk County,MA,Suffolk County,2011-2015,2013,55044,992
NA,Suffolk County,MA,Suffolk County,2006-2010,2008,50597,809
NA,Suffolk County,MA,Suffolk County,2008-2012,2010,52700,613
NA,Suffolk County,MA,Suffolk County,2014-2018,2016,64582,805
NA,Worcester County,MA,Worcester County,2013-2017,2015,69313,924
NA,Worcester County,MA,Worcester County,2012-2016,2014,67005,924
NA,Worcester County,MA,Worcester County,2006-2010,2008,64152,768
NA,Worcester County,MA,Worcester County,2009-2013,2011,65223,757
NA,Worcester County,MA,Worcester County,2008-2012,2010,65968,893
NA,Worcester County,MA,Worcester County,2010-2014,2012,65453,863
NA,Worcester County,MA,Worcester County,2011-2015,2013,65313,682
NA,Worcester County,MA,Worcester County,2007-2011,2009,65772,757
NA,Worcester County,MA,Worcester County,2014-2018,2016,71895,745
Abington,Plymouth County,MA,Abington,2011-2015,2013,80148,5782
Abington,Plymouth County,MA,Abington,2013-2017,2015,91643,9033
Abington,Plymouth County,MA,Abington,2008-2012,2010,76164,7710
Abington,Plymouth County,MA,Abington,2007-2011,2009,81677,9830
Abington,Plymouth County,MA,Abington,2006-2010,2008,74589,7143
Abington,Plymouth County,MA,Abington,2014-2018,2016,90873,9890
Abington,Plymouth County,MA,Abington,2012-2016,2014,76989,5595
Abington,Plymouth County,MA,Abington,2010-2014,2012,81500,7077
Abington,Plymouth County,MA,Abington,2009-2013,2011,78395,9303
Acton,Middlesex County,MA,Acton,2007-2011,2009,109491,11409
Acton,Middlesex County,MA,Acton,2006-2010,2008,105523,7844
Acton,Middlesex County,MA,Acton,2009-2013,2011,110592,7595
Acton,Middlesex County,MA,Acton,2012-2016,2014,131099,5833
Acton,Middlesex County,MA,Acton,2014-2018,2016,137910,6063
Acton,Middlesex County,MA,Acton,2008-2012,2010,114458,10250
Acton,Middlesex County,MA,Acton,2011-2015,2013,125635,6776
Acton,Middlesex County,MA,Acton,2010-2014,2012,120865,10967
Acton,Middlesex County,MA,Acton,2013-2017,2015,133713,4474
Acushnet,Bristol County,MA,Acushnet,2010-2014,2012,69570,7396
Acushnet,Bristol County,MA,Acushnet,2014-2018,2016,72125,5556
Acushnet,Bristol County,MA,Acushnet,2011-2015,2013,67421,10113
Acushnet,Bristol County,MA,Acushnet,2012-2016,2014,70375,9198
Acushnet,Bristol County,MA,Acushnet,2009-2013,2011,66367,4351
Acushnet,Bristol County,MA,Acushnet,2008-2012,2010,65222,4494
Acushnet,Bristol County,MA,Acushnet,2013-2017,2015,69402,5832
Acushnet,Bristol County,MA,Acushnet,2006-2010,2008,62457,6510
Acushnet,Bristol County,MA,Acushnet,2007-2011,2009,64695,6947
