,Municipal,County,State,Region,Five_Year_Range,Total_Pop,Pov_Pop,Percent_Pov,Margin_Error_Percent
9,Abington,Plymouth County,MA,Abington,2005-2009,16232,652,4,1.5
10,Abington,Plymouth County,MA,Abington,2006-2010,15521,685,4.4,1.6
11,Abington,Plymouth County,MA,Abington,2007-2011,15690,690,4.4,1.5
12,Abington,Plymouth County,MA,Abington,2008-2012,15780,599,3.8,1.5
1745,Abington,Plymouth County,MA,Abington,2009-2013,15907,551,3.5,1.3
2112,Abington,Plymouth County,MA,Abington,2010-2014,15986,470,2.9,0.9
2479,Abington,Plymouth County,MA,Abington,2011-2015,16028,462,2.9,1
2846,Abington,Plymouth County,MA,Abington,2012-2016,16112,513,3.2,1.1
3213,Abington,Plymouth County,MA,Abington,2013-2017,16194,579,3.6,1.3
13,Acton,Middlesex County,MA,Acton,2005-2009,20681,798,3.9,1.8
14,Acton,Middlesex County,MA,Acton,2006-2010,21243,800,3.8,1.6
15,Acton,Middlesex County,MA,Acton,2007-2011,21550,731,3.4,1.7
16,Acton,Middlesex County,MA,Acton,2008-2012,21859,631,2.9,1.3
1662,Acton,Middlesex County,MA,Acton,2009-2013,22175,535,2.4,0.8
2029,Acton,Middlesex County,MA,Acton,2010-2014,22497,682,3,0.8
2396,Acton,Middlesex County,MA,Acton,2011-2015,22806,705,3.1,0.9
2763,Acton,Middlesex County,MA,Acton,2012-2016,23053,707,3.1,0.9
3130,Acton,Middlesex County,MA,Acton,2013-2017,23307,893,3.8,0.9
17,Acushnet,Bristol County,MA,Acushnet,2005-2009,10363,448,4.3,2.3
18,Acushnet,Bristol County,MA,Acushnet,2006-2010,10278,470,4.6,2.6
19,Acushnet,Bristol County,MA,Acushnet,2007-2011,10299,513,5,3
20,Acushnet,Bristol County,MA,Acushnet,2008-2012,10250,557,5.4,2.8
1532,Acushnet,Bristol County,MA,Acushnet,2009-2013,10195,383,3.8,1.3
1899,Acushnet,Bristol County,MA,Acushnet,2010-2014,10210,420,4.1,1.6
2266,Acushnet,Bristol County,MA,Acushnet,2011-2015,10230,474,4.6,1.9
2633,Acushnet,Bristol County,MA,Acushnet,2012-2016,10294,461,4.5,1.6
3000,Acushnet,Bristol County,MA,Acushnet,2013-2017,10336,422,4.1,1.8
21,Adams,Berkshire County,MA,Adams,2005-2009,8363,765,9.1,2.9
22,Adams,Berkshire County,MA,Adams,2006-2010,8517,876,10.3,3
23,Adams,Berkshire County,MA,Adams,2007-2011,8489,956,11.3,3
24,Adams,Berkshire County,MA,Adams,2008-2012,8450,1001,11.8,3.2
1500,Adams,Berkshire County,MA,Adams,2009-2013,8404,952,11.3,3
1867,Adams,Berkshire County,MA,Adams,2010-2014,8368,956,11.4,3.1
2234,Adams,Berkshire County,MA,Adams,2011-2015,8306,812,9.8,3
2601,Adams,Berkshire County,MA,Adams,2012-2016,8257,852,10.3,2.9
2968,Adams,Berkshire County,MA,Adams,2013-2017,8209,910,11.1,3.1
25,Agawam,Hampden County,MA,Agawam,2005-2009,27840,1691,6.1,1.6
26,Agawam,Hampden County,MA,Agawam,2006-2010,27762,2235,8.1,2.1
27,Agawam,Hampden County,MA,Agawam,2007-2011,27742,2196,7.9,2.3
28,Agawam,Hampden County,MA,Agawam,2008-2012,27856,2118,7.6,2.1
1619,Agawam,Hampden County,MA,Agawam,2009-2013,27943,2780,9.9,2.2
1986,Agawam,Hampden County,MA,Agawam,2010-2014,28011,2605,9.3,2
2353,Agawam,Hampden County,MA,Agawam,2011-2015,28048,2375,8.5,2
2720,Agawam,Hampden County,MA,Agawam,2012-2016,27889,2586,9.3,2.1
3087,Agawam,Hampden County,MA,Agawam,2013-2017,27904,2614,9.4,1.9
29,Alford,Berkshire County,MA,Alford,2005-2009,400,20,5,2.8
30,Alford,Berkshire County,MA,Alford,2006-2010,432,16,3.7,1.8
31,Alford,Berkshire County,MA,Alford,2007-2011,501,18,3.6,2.3
32,Alford,Berkshire County,MA,Alford,2008-2012,469,20,4.3,2.5
1501,Alford,Berkshire County,MA,Alford,2009-2013,474,25,5.3,2.9
1868,Alford,Berkshire County,MA,Alford,2010-2014,471,29,6.2,3.3
2235,Alford,Berkshire County,MA,Alford,2011-2015,484,26,5.4,3.2
2602,Alford,Berkshire County,MA,Alford,2012-2016,418,23,5.5,3.5
2969,Alford,Berkshire County,MA,Alford,2013-2017,411,20,4.9,3.1
33,Amesbury,Essex County,MA,Amesbury,2005-2009,16221,631,3.9,1.2
34,Amesbury,Essex County,MA,Amesbury,2006-2010,15949,595,3.7,1.4
35,Amesbury,Essex County,MA,Amesbury,2007-2011,15979,630,3.9,1.1
36,Amesbury,Essex County,MA,Amesbury,2008-2012,16073,761,4.7,1.1
1559,Amesbury,Essex County,MA,Amesbury,2009-2013,16177,892,5.5,1.7
1926,Amesbury,Essex County,MA,Amesbury,2010-2014,16329,694,4.3,1.2
2293,Amesbury,Essex County,MA,Amesbury,2011-2015,16687,861,5.2,1.4
2660,Amesbury,Essex County,MA,Amesbury,2012-2016,16858,942,5.6,1.5
3027,Amesbury,Essex County,MA,Amesbury,2013-2017,16992,835,4.9,1.4
37,Amherst,Hampshire County,MA,Amherst,2005-2009,21016,6150,29.3,3.7
38,Amherst,Hampshire County,MA,Amherst,2006-2010,21415,6113,28.5,3.3
39,Amherst,Hampshire County,MA,Amherst,2007-2011,21007,5726,27.3,2.8
40,Amherst,Hampshire County,MA,Amherst,2008-2012,21399,6222,29.1,3.4
1642,Amherst,Hampshire County,MA,Amherst,2009-2013,22137,7323,33.1,3.4
2009,Amherst,Hampshire County,MA,Amherst,2010-2014,22773,7689,33.8,3.5
2376,Amherst,Hampshire County,MA,Amherst,2011-2015,23302,8081,34.7,3
2743,Amherst,Hampshire County,MA,Amherst,2012-2016,23304,8317,35.7,3.3
3110,Amherst,Hampshire County,MA,Amherst,2013-2017,23602,7842,33.2,3.3
41,Andover,Essex County,MA,Andover,2005-2009,32056,892,2.8,1.1
42,Andover,Essex County,MA,Andover,2006-2010,32239,1193,3.7,1
43,Andover,Essex County,MA,Andover,2007-2011,32343,1197,3.7,1
44,Andover,Essex County,MA,Andover,2008-2012,32649,1381,4.2,1.1
1560,Andover,Essex County,MA,Andover,2009-2013,32862,1404,4.3,1.2
