Municipal,County,State,Region,Five_Year_Range,Total_Pop,Pov_Pop,Percent_Pov,Margin_Error_Percent
NA,NA County,NA,United States,2006-2010,296141149,40917513,13.8,0.1
NA,NA County,NA,United States,2007-2011,298787998,42739924,14.3,0.1
NA,NA County,NA,United States,2008-2012,301333410,44852527,14.9,0.1
NA,NA County,NA,United States,2009-2013,303692076,46663433,15.4,0.1
NA,NA County,NA,United States,2010-2014,306226394,47755606,15.6,0.1
NA,NA County,NA,United States,2011-2015,308619550,47749043,15.5,0.1
NA,NA County,NA,United States,2012-2016,310629645,46932225,15.1,0.1
NA,NA County,NA,United States,2013-2017,313048563,45650345,14.6,0.1
NA,NA County,NA,United States,2014-2018,314943184,44257979,14.1,0.1
NA,NA County,MA,MA,2006-2010,6253462,658391,10.5,0.2
NA,NA County,MA,MA,2007-2011,6288679,673467,10.7,0.2
NA,NA County,MA,MA,2008-2012,6333378,698286,11,0.1
NA,NA County,MA,MA,2009-2013,6375042,725351,11.4,0.2
NA,NA County,MA,MA,2010-2014,6424688,742784,11.6,0.2
NA,NA County,MA,MA,2011-2015,6471313,748905,11.6,0.1
NA,NA County,MA,MA,2012-2016,6506029,740836,11.4,0.2
NA,NA County,MA,MA,2013-2017,6552347,727546,11.1,0.1
NA,NA County,MA,MA,2014-2018,6593960,710305,10.8,0.2
NA,Barnstable County,MA,Barnstable County,2006-2010,213500,15284,7.2,0.6
NA,Barnstable County,MA,Barnstable County,2007-2011,212789,17884,8.4,0.5
NA,Barnstable County,MA,Barnstable County,2008-2012,212567,19204,9,0.7
NA,Barnstable County,MA,Barnstable County,2009-2013,212189,19743,9.3,0.7
NA,Barnstable County,MA,Barnstable County,2010-2014,212184,20588,9.7,0.7
NA,Barnstable County,MA,Barnstable County,2011-2015,211827,18392,8.7,0.7
NA,Barnstable County,MA,Barnstable County,2012-2016,211875,17433,8.2,0.7
NA,Barnstable County,MA,Barnstable County,2013-2017,210968,15810,7.5,0.6
NA,Barnstable County,MA,Barnstable County,2014-2018,210671,14799,7,0.6
NA,Berkshire County,MA,Berkshire County,2006-2010,126219,14598,11.6,1.1
NA,Berkshire County,MA,Berkshire County,2007-2011,125881,14915,11.8,0.9
NA,Berkshire County,MA,Berkshire County,2008-2012,125353,15533,12.4,0.9
NA,Berkshire County,MA,Berkshire County,2009-2013,124709,16004,12.8,1
NA,Berkshire County,MA,Berkshire County,2010-2014,124013,15746,12.7,0.9
NA,Berkshire County,MA,Berkshire County,2011-2015,122987,16038,13,0.9
NA,Berkshire County,MA,Berkshire County,2012-2016,122336,15136,12.4,0.9
NA,Berkshire County,MA,Berkshire County,2013-2017,121393,13778,11.3,0.8
NA,Berkshire County,MA,Berkshire County,2014-2018,120939,13759,11.4,0.9
NA,Bristol County,MA,Bristol County,2006-2010,531848,60215,11.3,0.6
NA,Bristol County,MA,Bristol County,2007-2011,534131,60607,11.3,0.5
NA,Bristol County,MA,Bristol County,2008-2012,534527,64191,12,0.4
NA,Bristol County,MA,Bristol County,2009-2013,534527,66529,12.4,0.5
NA,Bristol County,MA,Bristol County,2010-2014,535181,67782,12.7,0.5
NA,Bristol County,MA,Bristol County,2011-2015,536309,68016,12.7,0.5
NA,Bristol County,MA,Bristol County,2012-2016,538921,67338,12.5,0.5
NA,Bristol County,MA,Bristol County,2013-2017,541142,65842,12.2,0.4
NA,Bristol County,MA,Bristol County,2014-2018,543583,62439,11.5,0.5
NA,Dukes County,MA,Dukes County,2006-2010,16145,1395,8.6,3
NA,Dukes County,MA,Dukes County,2007-2011,16217,1649,10.2,2.7
NA,Dukes County,MA,Dukes County,2008-2012,16440,1778,10.8,2.9
NA,Dukes County,MA,Dukes County,2009-2013,16598,1673,10.1,2.6
NA,Dukes County,MA,Dukes County,2010-2014,16786,1891,11.3,3.4
NA,Dukes County,MA,Dukes County,2011-2015,16894,1970,11.7,2.8
NA,Dukes County,MA,Dukes County,2012-2016,16985,1544,9.1,2.8
NA,Dukes County,MA,Dukes County,2013-2017,17124,1438,8.4,2.6
NA,Dukes County,MA,Dukes County,2014-2018,17170,1368,8,2.9
