Municipal,County,State,Region,Five.Year.Range,Median.Rent.2018.Dollar,Rent.Margin.of.Error.2018.Dollar
NA,NA County,NA,United States,2006-2010,805,1
NA,NA County,NA,United States,2007-2011,806,1
NA,NA County,NA,United States,2008-2012,802,1
NA,NA County,NA,United States,2009-2013,811,1
NA,NA County,NA,United States,2010-2014,814,2
NA,NA County,NA,United States,2011-2015,822,1
NA,NA County,NA,United States,2012-2016,835,1
NA,NA County,NA,United States,2013-2017,847,1
NA,NA County,NA,United States,2018,862,1
NA,NA County,MA,MA,2006-2010,1005,5
NA,NA County,MA,MA,2007-2011,997,4
NA,NA County,MA,MA,2008-2012,1004,5
NA,NA County,MA,MA,2009-2013,1009,4
NA,NA County,MA,MA,2010-2014,1012,5
NA,NA County,MA,MA,2011-2015,1023,5
NA,NA County,MA,MA,2012-2016,1034,4
NA,NA County,MA,MA,2013-2017,1056,5
NA,NA County,MA,MA,2018,1083,6
NA,Barnstable County,MA,Barnstable County,2006-2010,1057,32
NA,Barnstable County,MA,Barnstable County,2007-2011,1055,28
NA,Barnstable County,MA,Barnstable County,2009-2013,1051,31
NA,Barnstable County,MA,Barnstable County,2010-2014,1029,31
NA,Barnstable County,MA,Barnstable County,2012-2016,1053,26
NA,Barnstable County,MA,Barnstable County,2011-2015,1029,25
NA,Barnstable County,MA,Barnstable County,2013-2017,1078,27
NA,Barnstable County,MA,Barnstable County,2018,1118,28
NA,Barnstable County,MA,Barnstable County,2008-2012,1054,32
NA,Berkshire County,MA,Berkshire County,2009-2013,703,17
NA,Berkshire County,MA,Berkshire County,2012-2016,702,17
NA,Berkshire County,MA,Berkshire County,2018,717,12
NA,Berkshire County,MA,Berkshire County,2007-2011,700,21
NA,Berkshire County,MA,Berkshire County,2013-2017,706,16
NA,Berkshire County,MA,Berkshire County,2006-2010,692,18
NA,Berkshire County,MA,Berkshire County,2008-2012,692,16
NA,Berkshire County,MA,Berkshire County,2011-2015,683,13
NA,Berkshire County,MA,Berkshire County,2010-2014,680,15
NA,Bristol County,MA,Bristol County,2012-2016,734,8
NA,Bristol County,MA,Bristol County,2018,727,8
NA,Bristol County,MA,Bristol County,2013-2017,733,7
NA,Bristol County,MA,Bristol County,2011-2015,736,8
NA,Bristol County,MA,Bristol County,2008-2012,728,9
NA,Bristol County,MA,Bristol County,2010-2014,730,8
NA,Bristol County,MA,Bristol County,2009-2013,736,9
NA,Bristol County,MA,Bristol County,2006-2010,737,9
NA,Bristol County,MA,Bristol County,2007-2011,740,8
NA,Dukes County,MA,Dukes County,2011-2015,1223,132
NA,Dukes County,MA,Dukes County,2018,1217,136
NA,Dukes County,MA,Dukes County,2013-2017,1254,151
NA,Dukes County,MA,Dukes County,2010-2014,1242,106
NA,Dukes County,MA,Dukes County,2012-2016,1193,83
NA,Dukes County,MA,Dukes County,2009-2013,1134,97
NA,Dukes County,MA,Dukes County,2008-2012,1112,95
NA,Dukes County,MA,Dukes County,2006-2010,1131,202
NA,Dukes County,MA,Dukes County,2007-2011,1150,172
NA,Essex County,MA,Essex County,2018,1049,11
NA,Essex County,MA,Essex County,2010-2014,978,10
NA,Essex County,MA,Essex County,2013-2017,1022,13
NA,Essex County,MA,Essex County,2009-2013,981,10
NA,Essex County,MA,Essex County,2008-2012,976,9
NA,Essex County,MA,Essex County,2011-2015,992,11
NA,Essex County,MA,Essex County,2007-2011,973,11
NA,Essex County,MA,Essex County,2006-2010,985,9
NA,Essex County,MA,Essex County,2012-2016,1008,7
NA,Franklin County,MA,Franklin County,2018,780,32
NA,Franklin County,MA,Franklin County,2008-2012,779,25
NA,Franklin County,MA,Franklin County,2013-2017,786,31
NA,Franklin County,MA,Franklin County,2011-2015,768,18
NA,Franklin County,MA,Franklin County,2009-2013,786,23
NA,Franklin County,MA,Franklin County,2007-2011,805,26
NA,Franklin County,MA,Franklin County,2012-2016,767,22
NA,Franklin County,MA,Franklin County,2010-2014,761,19
NA,Franklin County,MA,Franklin County,2006-2010,810,32
NA,Hampden County,MA,Hampden County,2018,754,9
NA,Hampden County,MA,Hampden County,2007-2011,730,10
NA,Hampden County,MA,Hampden County,2013-2017,759,10
NA,Hampden County,MA,Hampden County,2011-2015,750,10
NA,Hampden County,MA,Hampden County,2008-2012,719,10
NA,Hampden County,MA,Hampden County,2006-2010,723,8
NA,Hampden County,MA,Hampden County,2012-2016,755,8
NA,Hampden County,MA,Hampden County,2010-2014,742,11
