school.name,ORG.CODE,Municipal,County,State,Google_Place,Lat,Lng,Loc.Type,Address,loc
Center Elementary School,10002,Abington,Plymouth,Massachusetts,Center School,42.1041551,-70.9443314,school,"65 Thaxter Ave, Abington, MA 02351, United States",42.1041551_-70.9443314
Beaver Brook Elementary School,10003,Abington,Plymouth,Massachusetts,Beaver Brook Elementary,42.119108,-70.9439993,school,"1 Ralph G Hamlin Jr Ln, Abington, MA 02351, United States",42.1191080_-70.9439993
Center,10005,Abington,Plymouth,Massachusetts,Center School,42.1041551,-70.9443314,school,"65 Thaxter Ave, Abington, MA 02351, United States",42.1041551_-70.9443314
North,10010,Abington,Plymouth,Massachusetts,Abington Public School District,42.1262336,-70.9430176,school,"171 Adams St, Abington, MA 02351, United States",42.1262336_-70.9430176
Woodsdale Elementary School,10015,Abington,Plymouth,Massachusetts,Woodsdale Elementary School,42.1304268,-70.972681,school,"128 Chestnut St, Abington, MA 02351, United States",42.1304268_-70.9726810
Frolio Middle School,10405,Abington,Plymouth,Massachusetts,Charles M. Frolio School,42.120066,-70.9460189,school,"1071 Washington St, Abington, MA 02351, United States",42.1200660_-70.9460189
Abington High,10505,Abington,Plymouth,Massachusetts,Abington High School,42.1184826,-70.9535277,school,"201 Gliniewicz Way, Abington, MA 02351, United States",42.1184826_-70.9535277
Merriam,20010,Acton,Middlesex,Massachusetts,Merriam Elementary School,42.4769084,-71.4535894,school,"11 Charter Rd, Acton, MA 01720, United States",42.4769084_-71.4535894
McCarthy-Towne,20015,Acton,Middlesex,Massachusetts,McCarthy-Towne School,42.4769577,-71.4539435,school,"11 Charter Rd, Acton, MA 01720, United States",42.4769577_-71.4539435
Douglas,20020,Acton,Middlesex,Massachusetts,Douglas Elementary School,42.4816957,-71.4716724,school,"21 Elm St, Acton, MA 01720, United States",42.4816957_-71.4716724
Gates,20025,Acton,Middlesex,Massachusetts,Paul P Gates Elementary School,42.4792045,-71.4736581,school,"75 Spruce St, Acton, MA 01720, United States",42.4792045_-71.4736581
Luther Conant,20030,Acton,Middlesex,Massachusetts,Luther Conant School,42.4751878,-71.4363831,school,"80 Taylor Rd, Acton, MA 01720, United States",42.4751878_-71.4363831
Acushnet Elementary School,30025,Acushnet,Bristol,Massachusetts,Acushnet Elementary School,41.7254237,-70.9059014,school,"800 Middle Rd, Acushnet, MA 02743, United States",41.7254237_-70.9059014
Albert F Ford Middle School,30305,Acushnet,Bristol,Massachusetts,Ford Middle School,41.7233555,-70.9049794,school,"708 Middle Rd, Acushnet, MA 02743, United States",41.7233555_-70.9049794
Agawam Early Childhood Center,50003,Agawam,Hampden,Massachusetts,Early Childhood Center,42.0670045,-72.6281712,school,"108 Perry Ln, Agawam, MA 01001, United States",42.0670045_-72.6281712
Clifford M Granger,50010,Agawam,Hampden,Massachusetts,Clifford Granger Elementary,42.0660162,-72.6774382,school,"31 S Westfield St, Feeding Hills, MA 01030, United States",42.0660162_-72.6774382
Benjamin J Phelps,50020,Agawam,Hampden,Massachusetts,Benjamin Phelps Elementary,42.07028,-72.6134115,school,"689 Main St, Agawam, MA 01001, United States",42.0702800_-72.6134115
Robinson Park,50025,Agawam,Hampden,Massachusetts,Robinson Park,42.0898205,-72.6418162,school,"Agawam, MA 01001, United States",42.0898205_-72.6418162
James Clark School,50030,Agawam,Hampden,Massachusetts,James Clark Elementary School,42.0454725,-72.6314773,school,"65 Oxford St, Agawam, MA 01001, United States",42.0454725_-72.6314773
Roberta G. Doering School,50303,Agawam,Hampden,Massachusetts,Doering School,42.0878628,-72.6249679,school,"68 Main St, Agawam, MA 01001, United States",42.0878628_-72.6249679
Agawam Junior High,50405,Agawam,Hampden,Massachusetts,Agawam Junior High School,42.0639714,-72.6739284,school,"1305 Springfield St, Feeding Hills, MA 01030, United States",42.0639714_-72.6739284
Agawam High,50505,Agawam,Hampden,Massachusetts,Agawam High School,42.0742612,-72.6448127,school,"760 Cooper St, Agawam, MA 01001, United States",42.0742612_-72.6448127
Amesbury Elementary,70005,Amesbury,Essex,Massachusetts,Amesbury Elementary School,42.8659891,-70.9318918,school,"Amesbury, MA 01913, United States",42.8659891_-70.9318918
Charles C Cashman Elementary,70010,Amesbury,Essex,Massachusetts,Charles C Cashman Elem School,42.8567245,-70.9492396,school,"193 Lions Mouth Rd, Amesbury, MA 01913, United States",42.8567245_-70.9492396
Amesbury Middle,70013,Amesbury,Essex,Massachusetts,Amesbury Middle School,42.8489847,-70.9294998,school,"220 Main St, Amesbury, MA 01913, United States",42.8489847_-70.9294998
Amesbury High,70505,Amesbury,Essex,Massachusetts,Amesbury High School,42.8510349,-70.9421191,school,"5 Highland St, Amesbury, MA 01913, United States",42.8510349_-70.9421191
Crocker Farm Elementary,80009,Amherst,Hampshire,Massachusetts,Crocker Farm Elementary School,42.3472776,-72.5175329,school,"280 West St, Amherst, MA 01002, United States",42.3472776_-72.5175329
Fort River Elementary,80020,Amherst,Hampshire,Massachusetts,Fort River Elementary School,42.374791,-72.497669,school,"70 S East St, Amherst, MA 01002, United States",42.3747910_-72.4976690
Marks Meadow Laboratory,80030,Amherst,Hampshire,Massachusetts,Marks Meadow Elementary School,42.3981844,-72.5266365,university,"813 N Pleasant St, Amherst, MA 01002, United States",42.3981844_-72.5266365
Wildwood Elementary,80050,Amherst,Hampshire,Massachusetts,Wildwood Elementary School,42.3872429,-72.5132239,school,"Amherst, MA 01002, United States",42.3872429_-72.5132239
Bancroft Elementary,90003,Andover,Essex,Massachusetts,Bancroft School,42.6370369,-71.1258895,school,"15 Bancroft Rd, Andover, MA 01810, United States",42.6370369_-71.1258895
High Plain Elementary,90004,Andover,Essex,Massachusetts,High Plain Elementary School,42.664198,-71.212349,school,"333 High Plain Rd, Andover, MA 01810, United States",42.6641980_-71.2123490
Shawsheen School,90005,Andover,Essex,Massachusetts,Shawsheen School,42.6762646,-71.1549564,school,"18 Magnolia Ave, Andover, MA 01810, United States",42.6762646_-71.1549564
Henry C Sanborn Elementary,90010,Andover,Essex,Massachusetts,Henry C Sanborn Elementary School,42.6420646,-71.1786014,school,"90 Lovejoy Rd, Andover, MA 01810, United States",42.6420646_-71.1786014
South Elementary,90020,Andover,Essex,Massachusetts,South Elementary School,42.6262663,-71.1498191,school,"01810, 55 Woburn St, Andover, MA 01810, United States",42.6262663_-71.1498191
West Elementary,90025,Andover,Essex,Massachusetts,West Elementary School,42.6645343,-71.1717153,school,"58 Beacon St, Andover, MA 01810, United States",42.6645343_-71.1717153
Doherty Middle,90305,Andover,Essex,Massachusetts,Doherty Middle School,42.6534254,-71.1361678,school,"50 Bartlet St, Andover, MA 01810, United States",42.6534254_-71.1361678
Andover West Middle,90310,Andover,Essex,Massachusetts,West Middle School,42.6590223,-71.1524391,school,"70 Shawsheen Rd, Andover, MA 01810, United States",42.6590223_-71.1524391
Wood Hill Middle School,90350,Andover,Essex,Massachusetts,Wood Hill Middle School,42.6653,-71.2133,school,"11 Cross St, Andover, MA 01810, United States",42.6653000_-71.2133000
Andover High,90505,Andover,Essex,Massachusetts,Andover High School,42.6571642,-71.1554961,school,"80 Shawsheen Rd, Andover, MA 01810, United States",42.6571642_-71.1554961
John A Bishop,100005,Arlington,Middlesex,Massachusetts,Bishop Elementary School,42.4243203,-71.1546251,school,"25 Columbia Rd, Arlington, MA 02474, United States",42.4243203_-71.1546251
Brackett,100010,Arlington,Middlesex,Massachusetts,Brackett Elementary School,42.4124585,-71.1764565,school,"66 Eastern Ave, Arlington, MA 02476, United States",42.4124585_-71.1764565
Cyrus E Dallin,100025,Arlington,Middlesex,Massachusetts,Dallin Elementary School,42.4176518,-71.1878321,school,"185 Florence Ave, Arlington, MA 02476, United States",42.4176518_-71.1878321
Hardy,100030,Arlington,Middlesex,Massachusetts,Hardy Elementary School,42.4043155,-71.1456317,school,"52 Lake St, Arlington, MA 02474, United States",42.4043155_-71.1456317
Menotomy Preschool,100038,Arlington,Middlesex,Massachusetts,Menotomy Preschool,42.4183376,-71.1608683,school,"Millbrook Drive, Arlington, MA 02476, United States",42.4183376_-71.1608683
Peirce,100045,Arlington,Middlesex,Massachusetts,Peirce School,42.4287056,-71.1783327,school,"85 Park Avenue Extension, Arlington, MA 02474, United States",42.4287056_-71.1783327
Thompson,100050,Arlington,Middlesex,Massachusetts,Thompson Elementary School,42.4119797,-71.1386793,school,"187 Everett St, Arlington, MA 02474, United States",42.4119797_-71.1386793
M Norcross Stratton,100055,Arlington,Middlesex,Massachusetts,Stratton Elementary School,42.4289318,-71.1673266,school,"180 Mountain Ave, Arlington, MA 02474, United States",42.4289318_-71.1673266
Ottoson Middle,100410,Arlington,Middlesex,Massachusetts,Ottoson Middle School,42.421107,-71.175771,school,"63 Acton St, Arlington, MA 02476, United States",42.4211070_-71.1757710
Arlington High,100505,Arlington,Middlesex,Massachusetts,Arlington High School,42.4181532,-71.1617188,school,"869 Massachusetts Ave, Arlington, MA 02476, United States",42.4181532_-71.1617188
William Pittaway Elementary,140005,Ashland,Middlesex,Massachusetts,William Pittaway Elementary School,42.2581367,-71.4598417,school,"75 Central St, Ashland, MA 01721, United States",42.2581367_-71.4598417
Henry E Warren Elementary,140010,Ashland,Middlesex,Massachusetts,Henry E. Warren Elementary School,42.2420478,-71.4450587,school,"73 Fruit St, Ashland, MA 01721, United States",42.2420478_-71.4450587
David Mindess,140015,Ashland,Middlesex,Massachusetts,David Mindess School,42.2635401,-71.4601323,school,"90 Concord St, Ashland, MA 01721, United States",42.2635401_-71.4601323
Ashland Middle,140405,Ashland,Middlesex,Massachusetts,Ashland Middle School,42.2516651,-71.4749157,school,"87 W Union St, Ashland, MA 01721, United States",42.2516651_-71.4749157
Ashland High,140505,Ashland,Middlesex,Massachusetts,Ashland High School,42.2623135,-71.4457498,school,"65 E Union St, Ashland, MA 01721, United States",42.2623135_-71.4457498
A. Irvin Studley Elementary School,160001,Attleboro,Bristol,Massachusetts,A. Irvin Studley Elementary School,41.9370406,-71.3056095,school,United States,41.9370406_-71.3056095
Early Learning Center,160008,Attleboro,Bristol,Massachusetts,Early Childhood Center,41.9319863,-71.2805209,school,"7 James St, Attleboro, MA 02703, United States",41.9319863_-71.2805209
Thomas E. Willett School,160035,Attleboro,Bristol,Massachusetts,City of Attleboro: Willett Elementary School,41.9462107,-71.2914418,school,"100 Rathbun Willard Dr, Attleboro, MA 02703, United States",41.9462107_-71.2914418
Hyman Fine Elementary School,160040,Attleboro,Bristol,Massachusetts,Hyman Fine Elementary School,41.9161716,-71.2720138,school,"790 Oak Hill Ave, Attleboro, MA 02703, United States",41.9161716_-71.2720138
Hill-Roberts Elementary School,160045,Attleboro,Bristol,Massachusetts,Hill Roberts Elementary School,41.9189599,-71.3523086,school,"80 Roy Ave, Attleboro, MA 02703, United States",41.9189599_-71.3523086
Peter Thacher Elementary School,160050,Attleboro,Bristol,Massachusetts,Peter Thacher Elementary School,41.9317562,-71.280343,school,"7 James St, Attleboro, MA 02703, United States",41.9317562_-71.2803430
