new_series_id,new_area_code,measure_code,measure_text,region
LASST250000000000003,ST2500000000000,3,unemployment rate,Massachusetts
LASST250000000000004,ST2500000000000,4,unemployment,Massachusetts
LASST250000000000005,ST2500000000000,5,employment,Massachusetts
LASST250000000000006,ST2500000000000,6,labor force,Massachusetts
LAUCS250052000000003,CS2500520000000,3,unemployment rate,Acushnet
LAUCS250052000000004,CS2500520000000,4,unemployment,Acushnet
LAUCS250052000000005,CS2500520000000,5,employment,Acushnet
LAUCS250052000000006,CS2500520000000,6,labor force,Acushnet
LAUCS251642500000003,CS2516425000000,3,unemployment rate,Dartmouth
LAUCS251642500000004,CS2516425000000,4,unemployment,Dartmouth
LAUCS251642500000005,CS2516425000000,5,employment,Dartmouth
LAUCS251642500000006,CS2516425000000,6,labor force,Dartmouth
LAUCS252213000000003,CS2522130000000,3,unemployment rate,Fairhaven
LAUCS252213000000004,CS2522130000000,4,unemployment,Fairhaven
LAUCS252213000000005,CS2522130000000,5,employment,Fairhaven
LAUCS252213000000006,CS2522130000000,6,labor force,Fairhaven
LAUCS253854000000003,CS2538540000000,3,unemployment rate,Marion
LAUCS253854000000004,CS2538540000000,4,unemployment,Marion
LAUCS253854000000005,CS2538540000000,5,employment,Marion
LAUCS253854000000006,CS2538540000000,6,labor force,Marion
LAUCS253945000000003,CS2539450000000,3,unemployment rate,Mattapoisett
LAUCS253945000000004,CS2539450000000,4,unemployment,Mattapoisett
LAUCS253945000000005,CS2539450000000,5,employment,Mattapoisett
LAUCS253945000000006,CS2539450000000,6,labor force,Mattapoisett
LAUCS255760000000003,CS2557600000000,3,unemployment rate,Rochester
LAUCS255760000000004,CS2557600000000,4,unemployment,Rochester
LAUCS255760000000005,CS2557600000000,5,employment,Rochester
LAUCS255760000000006,CS2557600000000,6,labor force,Rochester
LAUCS257298500000003,CS2572985000000,3,unemployment rate,Wareham
LAUCS257298500000004,CS2572985000000,4,unemployment,Wareham
LAUCS257298500000005,CS2572985000000,5,employment,Wareham
LAUCS257298500000006,CS2572985000000,6,labor force,Wareham
LAUCT257603000000003,CT2576030000000,3,unemployment rate,Westfield
LAUCT257603000000004,CT2576030000000,4,unemployment,Westfield
LAUCT257603000000005,CT2576030000000,5,employment,Westfield
LAUCT257603000000006,CT2576030000000,6,labor force,Westfield
LAUCT250084000000003,CT2500840000000,3,unemployment rate,Agawam
LAUCT250084000000004,CT2500840000000,4,unemployment,Agawam
LAUCT250084000000005,CT2500840000000,5,employment,Agawam
LAUCT250084000000006,CT2500840000000,6,labor force,Agawam
LAUCS251964500000003,CS2519645000000,3,unemployment rate,East Longmeadow
LAUCS251964500000004,CS2519645000000,4,unemployment,East Longmeadow
LAUCS251964500000005,CS2519645000000,5,employment,East Longmeadow
LAUCS251964500000006,CS2519645000000,6,labor force,East Longmeadow
LAUCS252807500000003,CS2528075000000,3,unemployment rate,Hampden
LAUCS252807500000004,CS2528075000000,4,unemployment,Hampden
LAUCS252807500000005,CS2528075000000,5,employment,Hampden
LAUCS252807500000006,CS2528075000000,6,labor force,Hampden
LAUCS253066500000003,CS2530665000000,3,unemployment rate,Holland
LAUCS253066500000004,CS2530665000000,4,unemployment,Holland
LAUCS253066500000005,CS2530665000000,5,employment,Holland
LAUCS253066500000006,CS2530665000000,6,labor force,Holland
