Municipal,County,State,Region,Five_Year_Range,Civililan_Pop,Vet_Pop,Percent_Vet,Margin_Error_Percent
NA,NA County,NA,United States,2006-2010,228808831,22652496,9.9,0.1
NA,NA County,NA,United States,2007-2011,231421987,22215303,9.6,0.1
NA,NA County,NA,United States,2008-2012,234029580,21853912,9.3,0.1
NA,NA County,NA,United States,2009-2013,236576902,21263779,9,0.1
NA,NA County,NA,United States,2010-2014,239305217,20700711,8.7,0.1
NA,NA County,NA,United States,2011-2015,241816698,20108332,8.3,0.1
NA,NA County,NA,United States,2012-2016,243935157,19535341,8,0.1
NA,NA County,NA,United States,2013-2017,246379319,18939219,7.7,0.1
NA,NA County,NA,United States,2014-2018,248322822,18611432,7.5,0.1
NA,NA County,MA,MA,2006-2010,5039038,425979,8.5,0.1
NA,NA County,MA,MA,2007-2011,5083130,412617,8.1,0.1
NA,NA County,MA,MA,2008-2012,5138208,400874,7.8,0.1
NA,NA County,MA,MA,2009-2013,5191938,383087,7.4,0.1
NA,NA County,MA,MA,2010-2014,5250153,368593,7,0.1
NA,NA County,MA,MA,2011-2015,5303395,355083,6.7,0.1
NA,NA County,MA,MA,2012-2016,5346964,340288,6.4,0.1
NA,NA County,MA,MA,2013-2017,5400834,325299,6,0.1
NA,NA County,MA,MA,2014-2018,5445375,315859,5.8,0.1
NA,Barnstable County,MA,Barnstable County,2006-2010,177640,25566,14.4,0.4
NA,Barnstable County,MA,Barnstable County,2007-2011,177715,24097,13.6,0.4
NA,Barnstable County,MA,Barnstable County,2009-2013,178410,21360,12,0.4
NA,Barnstable County,MA,Barnstable County,2010-2014,178969,20754,11.6,0.3
NA,Barnstable County,MA,Barnstable County,2012-2016,180011,19803,11,0.4
NA,Barnstable County,MA,Barnstable County,2011-2015,179448,20052,11.2,0.4
NA,Barnstable County,MA,Barnstable County,2014-2018,180069,18006,10,0.4
NA,Barnstable County,MA,Barnstable County,2013-2017,179883,18519,10.3,0.4
NA,Barnstable County,MA,Barnstable County,2008-2012,177957,22648,12.7,0.4
NA,Berkshire County,MA,Berkshire County,2013-2017,105184,9294,8.8,0.5
NA,Berkshire County,MA,Berkshire County,2012-2016,105460,9718,9.2,0.5
NA,Berkshire County,MA,Berkshire County,2014-2018,105165,8851,8.4,0.4
NA,Berkshire County,MA,Berkshire County,2007-2011,105292,11153,10.6,0.5
NA,Berkshire County,MA,Berkshire County,2009-2013,105709,10389,9.8,0.4
NA,Berkshire County,MA,Berkshire County,2006-2010,105100,11713,11.1,0.5
NA,Berkshire County,MA,Berkshire County,2011-2015,105622,10062,9.5,0.5
NA,Berkshire County,MA,Berkshire County,2010-2014,105709,10419,9.9,0.5
NA,Berkshire County,MA,Berkshire County,2008-2012,105429,10880,10.3,0.5
NA,Bristol County,MA,Bristol County,2014-2018,442123,29340,6.6,0.3
NA,Bristol County,MA,Bristol County,2011-2015,434348,31725,7.3,0.2
NA,Bristol County,MA,Bristol County,2013-2017,439894,30277,6.9,0.3
NA,Bristol County,MA,Bristol County,2012-2016,437197,30961,7.1,0.2
NA,Bristol County,MA,Bristol County,2009-2013,429110,33409,7.8,0.2
NA,Bristol County,MA,Bristol County,2008-2012,426363,35363,8.3,0.3
NA,Bristol County,MA,Bristol County,2010-2014,431651,32674,7.6,0.2
NA,Bristol County,MA,Bristol County,2007-2011,423505,36141,8.5,0.3
NA,Bristol County,MA,Bristol County,2006-2010,421000,37276,8.9,0.3
NA,Dukes County,MA,Dukes County,2014-2018,14024,709,5.1,1.3
NA,Dukes County,MA,Dukes County,2011-2015,13869,733,5.3,1.1
NA,Dukes County,MA,Dukes County,2012-2016,14016,673,4.8,1
NA,Dukes County,MA,Dukes County,2008-2012,13414,1212,9,1.7
NA,Dukes County,MA,Dukes County,2010-2014,13720,806,5.9,1.4
NA,Dukes County,MA,Dukes County,2006-2010,13005,1343,10.3,1.6
NA,Dukes County,MA,Dukes County,2013-2017,14009,622,4.4,1.3
NA,Dukes County,MA,Dukes County,2007-2011,12843,1204,9.4,1.4
NA,Dukes County,MA,Dukes County,2009-2013,13556,966,7.1,1.4
NA,Essex County,MA,Essex County,2008-2012,572677,44748,7.8,0.2
NA,Essex County,MA,Essex County,2011-2015,593636,39966,6.7,0.1
NA,Essex County,MA,Essex County,2012-2016,599554,37573,6.3,0.2
NA,Essex County,MA,Essex County,2014-2018,611551,34152,5.6,0.2
NA,Essex County,MA,Essex County,2006-2010,561417,47802,8.5,0.2
NA,Essex County,MA,Essex County,2007-2011,566602,46486,8.2,0.2
NA,Essex County,MA,Essex County,2010-2014,586853,41374,7.1,0.2
NA,Essex County,MA,Essex County,2013-2017,606457,35277,5.8,0.2
NA,Essex County,MA,Essex County,2009-2013,579535,43065,7.4,0.2
NA,Franklin County,MA,Franklin County,2011-2015,57900,5599,9.7,0.5
NA,Franklin County,MA,Franklin County,2014-2018,58372,5270,9,0.5
NA,Franklin County,MA,Franklin County,2012-2016,57918,5352,9.2,0.6
NA,Franklin County,MA,Franklin County,2009-2013,57613,5542,9.6,0.5
NA,Franklin County,MA,Franklin County,2010-2014,57777,5577,9.7,0.5
NA,Franklin County,MA,Franklin County,2008-2012,57444,6134,10.7,0.5
NA,Franklin County,MA,Franklin County,2013-2017,58130,5165,8.9,0.5
NA,Franklin County,MA,Franklin County,2007-2011,57202,6292,11,0.6
NA,Franklin County,MA,Franklin County,2006-2010,56982,6672,11.7,0.7
NA,Hampden County,MA,Hampden County,2014-2018,365812,26372,7.2,0.3
