Alphabetic List of Variables and Attributes,,,,,,
#,Variable,Type,Len,Format,Informat,Label
5,AP004_001,Char,30,$30.00 ,$30.00 ,AP004_001: Circ/Dist and County
6,AP004_002,Char,5,$5.00 ,$5.00 ,AP004_002: County Code
7,AP004_003,Num,8,,,AP004_003: All Filings Total
8,AP004_004,Num,8,,,AP004_004: All Filings Chapter 7
9,AP004_005,Num,8,,,AP004_005: All Filings Chapter 11
10,AP004_006,Num,8,,,AP004_006: All Filings Chapter 12
11,AP004_007,Num,8,,,AP004_007: All Filings Chapter 13
12,AP004_008,Num,8,,,AP004_008: Business Filings Total
13,AP004_009,Num,8,,,AP004_009: Business Filings Chapter 7
14,AP004_010,Num,8,,,AP004_010: Business Filings Chapter 11
15,AP004_011,Num,8,,,AP004_011: Business Filings Chapter 12
16,AP004_012,Num,8,,,AP004_012: Business Filings Chapter 13
17,AP004_013,Num,8,,,AP004_013: Nonbusiness Filings Total
18,AP004_014,Num,8,,,AP004_014: Nonbusiness Filings Chapter 7
19,AP004_015,Num,8,,,AP004_015: Nonbusiness Filings Chapter 11
20,AP004_016,Num,8,,,AP004_016: Nonbusiness Filings Chapter 13
1,Circuit,Char,4,$4.00 ,,Circuit
3,County,Char,30,$30.00 ,,County
2,District,Char,4,$4.00 ,,District
4,Region,Char,60,$60.00 ,,Region
