"Circuit","District","County","Region","Circ/Dist and County","County Code","All Filings Total","All Filings Chapter 7","All Filings Chapter 11","All Filings Chapter 12","All Filings Chapter 13","Business Filings Total","Business Filings Chapter 7","Business Filings Chapter 11","Business Filings Chapter 12","Business Filings Chapter 13","Nonbusiness Filings Total","Nonbusiness Filings Chapter 7","Nonbusiness Filings Chapter 11","Nonbusiness Filings Chapter 13"
NA,NA,NA,"United States","Total","",1071932,728833,8980,395,333626,33212,22334,7660,395,2727,1038720,706499,1320,330899
"DC","DC",NA,NA,"DC","",833,685,39,0,109,73,35,35,0,3,760,650,4,106
"DC","DC","Maricopa",NA,"MARICOPA","04013",1,0,1,0,0,1,0,1,0,0,0,NA,NA,NA
"DC","DC","Los Angeles",NA,"LOS ANGELES","06037",2,0,2,0,0,2,0,2,0,0,0,NA,NA,NA
"DC","DC","District Of Columbia",NA,"DISTRICT OF COLUMBIA","11001",801,664,33,0,104,66,34,29,0,3,735,630,4,101
"DC","DC","Miami-Dade",NA,"MIAMI-DADE","12086",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"DC","DC","Jackson",NA,"JACKSON","13157",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"DC","DC","Cook",NA,"COOK","17031",1,0,1,0,0,1,0,1,0,0,0,NA,NA,NA
"DC","DC","Carroll",NA,"CARROLL","24013",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"DC","DC","Montgomery",NA,"MONTGOMERY","24031",2,2,0,0,0,0,NA,NA,NA,NA,2,2,0,0
"DC","DC","Prince George's",NA,"PRINCE GEORGE'S","24033",13,11,0,0,2,0,NA,NA,NA,NA,13,11,0,2
"DC","DC","Washington",NA,"WASHINGTON","24043",1,1,0,0,0,1,1,0,0,0,0,NA,NA,NA
"DC","DC","Baltimore (City)",NA,"BALTIMORE (CITY)","24510",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"DC","DC","Ingham",NA,"INGHAM","26065",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"DC","DC","Palo Pinto",NA,"PALO PINTO","48363",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"DC","DC","Chittenden",NA,"CHITTENDEN","50007",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"DC","DC","Fairfax",NA,"FAIRFAX","51059",4,2,2,0,0,2,0,2,0,0,2,2,0,0
"DC","DC","Prince William",NA,"PRINCE WILLIAM","51153",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST",NA,NA,NA,"1ST","",33138,21284,383,53,11418,1316,763,308,53,192,31822,20521,75,11226
"1ST","ME",NA,NA,"ME","",2408,1988,21,5,394,135,86,20,5,24,2273,1902,1,370
"1ST","ME","Androscoggin",NA,"ANDROSCOGGIN","23001",241,215,1,0,25,8,6,1,0,1,233,209,0,24
"1ST","ME","Aroostook",NA,"AROOSTOOK","23003",105,98,0,0,7,6,5,0,0,1,99,93,0,6
"1ST","ME","Cumberland",NA,"CUMBERLAND","23005",483,376,9,1,97,43,25,9,1,8,440,351,0,89
"1ST","ME","Franklin",NA,"FRANKLIN","23007",31,28,0,0,3,2,1,0,0,1,29,27,0,2
"1ST","ME","Hancock",NA,"HANCOCK","23009",73,60,0,2,11,7,5,0,2,0,66,55,0,11
"1ST","ME","Kennebec",NA,"KENNEBEC","23011",218,180,2,0,36,11,8,2,0,1,207,172,0,35
"1ST","ME","Knox",NA,"KNOX","23013",68,56,4,1,7,10,5,4,1,0,58,51,0,7
"1ST","ME","Lincoln",NA,"LINCOLN","23015",58,47,0,0,11,4,3,0,0,1,54,44,0,10
"1ST","ME","Oxford",NA,"OXFORD","23017",91,78,1,0,12,2,1,0,0,1,89,77,1,11
"1ST","ME","Penobscot",NA,"PENOBSCOT","23019",311,269,3,0,39,10,7,3,0,0,301,262,0,39
"1ST","ME","Piscataquis",NA,"PISCATAQUIS","23021",17,15,0,0,2,1,1,0,0,0,16,14,0,2
"1ST","ME","Sagadahoc",NA,"SAGADAHOC","23023",54,47,0,0,7,0,NA,NA,NA,NA,54,47,0,7
"1ST","ME","Somerset",NA,"SOMERSET","23025",95,85,0,0,10,6,6,0,0,0,89,79,0,10
"1ST","ME","Waldo",NA,"WALDO","23027",74,63,0,0,11,4,3,0,0,1,70,60,0,10
"1ST","ME","Washington",NA,"WASHINGTON","23029",49,41,0,1,7,1,0,0,1,0,48,41,0,7
"1ST","ME","York",NA,"YORK","23031",438,328,1,0,109,20,10,1,0,9,418,318,0,100
"1ST","ME","Essex",NA,"ESSEX","25009",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","ME","Cumberland",NA,"CUMBERLAND","37051",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","MA",NA,NA,"MA","",12562,9864,114,25,2559,435,288,78,25,44,12127,9576,36,2515
"1ST","MA","Fresno",NA,"FRESNO","06019",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","MA","Litchfield",NA,"LITCHFIELD","09005",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","MA","Tolland",NA,"TOLLAND","09013",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","MA","Bay",NA,"BAY","12005",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","MA","Broward",NA,"BROWARD","12011",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","MA","Hillsborough",NA,"HILLSBOROUGH","12057",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","MA","Miami-Dade",NA,"MIAMI-DADE","12086",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"1ST","MA","Orange",NA,"ORANGE","12095",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"1ST","MA","Anne Arundel",NA,"ANNE ARUNDEL","24003",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","MA","Montgomery",NA,"MONTGOMERY","24031",1,1,0,0,0,1,1,0,0,0,0,NA,NA,NA
"1ST","MA","Barnstable",NA,"BARNSTABLE","25001",576,407,8,1,160,21,13,5,1,2,555,394,3,158
"1ST","MA","Berkshire",NA,"BERKSHIRE","25003",199,174,0,0,25,13,10,0,0,3,186,164,0,22
"1ST","MA","Bristol",NA,"BRISTOL","25005",1519,1170,5,21,323,55,25,5,21,4,1464,1145,0,319
"1ST","MA","Dukes",NA,"DUKES","25007",19,15,0,0,4,1,1,0,0,0,18,14,0,4
"1ST","MA","Essex",NA,"ESSEX","25009",1560,1249,10,0,301,43,32,7,0,4,1517,1217,3,297
"1ST","MA","Franklin",NA,"FRANKLIN","25011",143,134,0,0,9,2,2,0,0,0,141,132,0,9
"1ST","MA","Hampden",NA,"HAMPDEN","25013",916,795,3,0,118,25,18,3,0,4,891,777,0,114
"1ST","MA","Hampshire",NA,"HAMPSHIRE","25015",189,163,1,0,25,7,5,1,0,1,182,158,0,24
"1ST","MA","Middlesex",NA,"MIDDLESEX","25017",2157,1747,23,0,387,84,61,15,0,8,2073,1686,8,379
"1ST","MA","Nantucket",NA,"NANTUCKET","25019",19,15,3,0,1,3,1,2,0,0,16,14,1,1
"1ST","MA","Norfolk",NA,"NORFOLK","25021",1079,793,17,0,269,53,32,14,0,7,1026,761,3,262
"1ST","MA","Plymouth",NA,"PLYMOUTH","25023",1285,872,12,2,399,49,32,9,2,6,1236,840,3,393
"1ST","MA","Suffolk",NA,"SUFFOLK","25025",973,725,21,0,227,30,20,9,0,1,943,705,12,226
"1ST","MA","Worcester",NA,"WORCESTER","25027",1902,1585,9,1,307,45,33,7,1,4,1857,1552,2,303
"1ST","MA","Cheshire",NA,"CHESHIRE","33005",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","MA","Hillsborough",NA,"HILLSBOROUGH","33011",2,2,0,0,0,1,1,0,0,0,1,1,0,0
"1ST","MA","Rockingham",NA,"ROCKINGHAM","33015",4,4,0,0,0,0,NA,NA,NA,NA,4,4,0,0
"1ST","MA","St. Lawrence",NA,"ST. LAWRENCE","36089",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","MA","Suffolk",NA,"SUFFOLK","36103",1,1,0,0,0,1,1,0,0,0,0,NA,NA,NA
"1ST","MA","Providence",NA,"PROVIDENCE","44007",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"1ST","MA","Chittenden",NA,"CHITTENDEN","50007",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"1ST","MA","Outside Home State",NA,"OUTSIDE HOME STATE","88888",2,0,2,0,0,1,0,1,0,0,1,0,1,0
"1ST","MA","Outside U.S.",NA,"OUTSIDE U.S.","99999",3,3,0,0,0,0,NA,NA,NA,NA,3,3,0,0
"1ST","NH",NA,NA,"NH","",3231,2426,33,0,772,243,149,27,0,67,2988,2277,6,705
"1ST","NH","Maricopa",NA,"MARICOPA","04013",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","NH","Lee",NA,"LEE","12071",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","NH","Sarasota",NA,"SARASOTA","12115",1,1,0,0,0,1,1,0,0,0,0,NA,NA,NA
"1ST","NH","Kennebec",NA,"KENNEBEC","23011",1,1,0,0,0,1,1,0,0,0,0,NA,NA,NA
"1ST","NH","Oxford",NA,"OXFORD","23017",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"1ST","NH","York",NA,"YORK","23031",4,4,0,0,0,0,NA,NA,NA,NA,4,4,0,0
"1ST","NH","Bristol",NA,"BRISTOL","25005",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","NH","Essex",NA,"ESSEX","25009",2,0,0,0,2,0,NA,NA,NA,NA,2,0,0,2
"1ST","NH","Middlesex",NA,"MIDDLESEX","25017",2,2,0,0,0,0,NA,NA,NA,NA,2,2,0,0
"1ST","NH","Plymouth",NA,"PLYMOUTH","25023",2,2,0,0,0,0,NA,NA,NA,NA,2,2,0,0
"1ST","NH","Worcester",NA,"WORCESTER","25027",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","NH","Ottawa",NA,"OTTAWA","26139",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","NH","Belknap",NA,"BELKNAP","33001",209,164,1,0,44,14,11,0,0,3,195,153,1,41
"1ST","NH","Carroll",NA,"CARROLL","33003",112,84,1,0,27,12,7,1,0,4,100,77,0,23
"1ST","NH","Cheshire",NA,"CHESHIRE","33005",162,131,2,0,29,8,6,1,0,1,154,125,1,28
"1ST","NH","Coos",NA,"COOS","33007",52,43,1,0,8,3,2,1,0,0,49,41,0,8
"1ST","NH","Grafton",NA,"GRAFTON","33009",134,106,2,0,26,18,10,2,0,6,116,96,0,20
"1ST","NH","Hillsborough",NA,"HILLSBOROUGH","33011",1005,756,12,0,237,65,38,11,0,16,940,718,1,221
"1ST","NH","Merrimack",NA,"MERRIMACK","33013",394,309,4,0,81,32,15,4,0,13,362,294,0,68
"1ST","NH","Rockingham",NA,"ROCKINGHAM","33015",782,543,8,0,231,55,34,5,0,16,727,509,3,215
"1ST","NH","Strafford",NA,"STRAFFORD","33017",265,195,2,0,68,25,19,2,0,4,240,176,0,64
"1ST","NH","Sullivan",NA,"SULLIVAN","33019",91,74,0,0,17,9,5,0,0,4,82,69,0,13
"1ST","NH","Monmouth",NA,"MONMOUTH","34025",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"1ST","NH","Cabarrus",NA,"CABARRUS","37025",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","NH","Onslow",NA,"ONSLOW","37133",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","NH","Wayne",NA,"WAYNE","37191",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","NH","Windsor",NA,"WINDSOR","50027",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","NH","Spokane",NA,"SPOKANE","53063",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","NH","Outside U.S.",NA,"OUTSIDE U.S.","99999",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","RI",NA,NA,"RI","",3528,2967,6,0,555,120,107,5,0,8,3408,2860,1,547
"1ST","RI","Hartford",NA,"HARTFORD","09003",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","RI","Cobb",NA,"COBB","13067",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","RI","Hall",NA,"HALL","13139",2,0,0,0,2,0,NA,NA,NA,NA,2,0,0,2
"1ST","RI","Bristol",NA,"BRISTOL","25005",7,7,0,0,0,1,1,0,0,0,6,6,0,0
"1ST","RI","Worcester",NA,"WORCESTER","25027",2,2,0,0,0,1,1,0,0,0,1,1,0,0
"1ST","RI","Passaic",NA,"PASSAIC","34031",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","RI","Kings",NA,"KINGS","36047",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","RI","Cuyahoga",NA,"CUYAHOGA","39035",3,1,0,0,2,0,NA,NA,NA,NA,3,1,0,2
"1ST","RI","Chester",NA,"CHESTER","42029",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","RI","Bristol",NA,"BRISTOL","44001",98,83,0,0,15,3,3,0,0,0,95,80,0,15
"1ST","RI","Kent",NA,"KENT","44003",692,591,3,0,98,23,19,3,0,1,669,572,0,97
"1ST","RI","Newport",NA,"NEWPORT","44005",141,120,1,0,20,7,7,0,0,0,134,113,1,20
"1ST","RI","Providence",NA,"PROVIDENCE","44007",2274,1901,2,0,371,69,61,2,0,6,2205,1840,0,365
"1ST","RI","Washington",NA,"WASHINGTON","44009",303,256,0,0,47,16,15,0,0,1,287,241,0,46
"1ST","RI","Outside Home State",NA,"OUTSIDE HOME STATE","88888",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","PR",NA,NA,"PR","",11409,4039,209,23,7138,383,133,178,23,49,11026,3906,31,7089
"1ST","PR","New Castle",NA,"NEW CASTLE","10003",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"1ST","PR","Orange",NA,"ORANGE","12095",2,1,0,0,1,0,NA,NA,NA,NA,2,1,0,1
