"Region","All_Filings_Total","All_Filings_Chapter_7","All_Filings_Chapter_11","All_Filings_Chapter_12","All_Filings_Chapter_13","Business_Filings_Total","Business_Filings_Chapter_7","Business_Filings_Chapter_11","Business_Filings_Chapter_12","Business_Filings_Chapter_13","Personal_Filings_Total","Personal_Filings_Chapter_7","Personal_Filings_Chapter_11","Personal_Filings_Chapter_13","Year","Percentage_of_Chapter_7_in_Business_Filings","Percentage_of_Chapter_11_in_Business_Filings","Percentage_of_Chapter_12_in_Business_Filings","Percentage_of_Chapter_13_in_Business_Filings","Percentage_of_Chapter_7_in_Personal_Filings","Percentage_of_Chapter_11_in_Personal_Filings","Percentage_of_Chapter_13_in_Personal_Filings"
"United States",1071932,728833,8980,395,333626,33212,22334,7660,395,2727,1038720,706499,1320,330899,2013,67.2,23.1,1.2,8.2,68,0.1,31.9
"MA",12562,9864,114,25,2559,435,288,78,25,44,12127,9576,36,2515,2013,66.2,17.9,5.7,10.1,79,0.3,20.7
"Barnstable County",576,407,8,1,160,21,13,5,1,2,555,394,3,158,2013,61.9,23.8,4.8,9.5,71,0.5,28.5
"Berkshire County",199,174,0,0,25,13,10,0,0,3,186,164,0,22,2013,76.9,0,0,23.1,88.2,0,11.8
"Bristol County",1519,1170,5,21,323,55,25,5,21,4,1464,1145,0,319,2013,45.5,9.1,38.2,7.3,78.2,0,21.8
"Dukes County",19,15,0,0,4,1,1,0,0,0,18,14,0,4,2013,100,0,0,0,77.8,0,22.2
"Essex County",1560,1249,10,0,301,43,32,7,0,4,1517,1217,3,297,2013,74.4,16.3,0,9.3,80.2,0.2,19.6
"Franklin County",143,134,0,0,9,2,2,0,0,0,141,132,0,9,2013,100,0,0,0,93.6,0,6.4
"Hampden County",916,795,3,0,118,25,18,3,0,4,891,777,0,114,2013,72,12,0,16,87.2,0,12.8
"Hampshire County",189,163,1,0,25,7,5,1,0,1,182,158,0,24,2013,71.4,14.3,0,14.3,86.8,0,13.2
"Middlesex County",2157,1747,23,0,387,84,61,15,0,8,2073,1686,8,379,2013,72.6,17.9,0,9.5,81.3,0.4,18.3
"Nantucket County",19,15,3,0,1,3,1,2,0,0,16,14,1,1,2013,33.3,66.7,0,0,87.5,6.2,6.2
"Norfolk County",1079,793,17,0,269,53,32,14,0,7,1026,761,3,262,2013,60.4,26.4,0,13.2,74.2,0.3,25.5
"Plymouth County",1285,872,12,2,399,49,32,9,2,6,1236,840,3,393,2013,65.3,18.4,4.1,12.2,68,0.2,31.8
"Suffolk County",973,725,21,0,227,30,20,9,0,1,943,705,12,226,2013,66.7,30,0,3.3,74.8,1.3,24
"Worcester County",1902,1585,9,1,307,45,33,7,1,4,1857,1552,2,303,2013,73.3,15.6,2.2,8.9,83.6,0.1,16.3
"United States",936795,619069,7234,361,310061,26983,18184,6093,360,2278,909812,600885,1141,307783,2014,67.4,22.6,1.3,8.4,66,0.1,33.8
"MA",10394,8113,102,16,2163,443,311,81,16,35,9951,7802,21,2128,2014,70.2,18.3,3.6,7.9,78.4,0.2,21.4
"Barnstable County",534,386,1,1,146,17,15,1,1,0,517,371,0,146,2014,88.2,5.9,5.9,0,71.8,0,28.2
"Berkshire County",169,155,0,0,14,17,14,0,0,3,152,141,0,11,2014,82.4,0,0,17.6,92.8,0,7.2
"Bristol County",1378,1059,9,11,299,47,27,8,11,1,1331,1032,1,298,2014,57.4,17,23.4,2.1,77.5,0.1,22.4
"Dukes County",17,11,0,0,6,2,2,0,0,0,15,9,0,6,2014,100,0,0,0,60,0,40
"Essex County",1292,998,14,0,280,60,41,12,0,7,1232,957,2,273,2014,68.3,20,0,11.7,77.7,0.2,22.2
"Franklin County",111,95,5,0,11,5,0,5,0,0,106,95,0,11,2014,0,100,0,0,89.6,0,10.4
"Hampden County",789,682,5,0,102,25,18,5,0,2,764,664,0,100,2014,72,20,0,8,86.9,0,13.1
"Hampshire County",175,160,3,0,12,9,6,3,0,0,166,154,0,12,2014,66.7,33.3,0,0,92.8,0,7.2
"Middlesex County",1676,1353,21,0,302,91,69,16,0,6,1585,1284,5,296,2014,75.8,17.6,0,6.6,81,0.3,18.7
"Nantucket County",10,6,0,0,4,1,1,0,0,0,9,5,0,4,2014,100,0,0,0,55.6,0,44.4
"Norfolk County",817,591,11,0,215,40,32,7,0,1,777,559,4,214,2014,80,17.5,0,2.5,71.9,0.5,27.5
"Plymouth County",1009,695,9,3,302,46,28,7,3,8,963,667,2,294,2014,60.9,15.2,6.5,17.4,69.3,0.2,30.5
"Suffolk County",786,606,10,0,170,23,19,4,0,0,763,587,6,170,2014,82.6,17.4,0,0,76.9,0.8,22.3
"Worcester County",1609,1302,11,0,296,50,33,10,0,7,1559,1269,1,289,2014,66,20,0,14,81.4,0.1,18.5
