"","Circuit","District","County","Region","Circ.Dist.and.County","County.Code","All.Filings.Total","All.Filings.Chapter.7","All.Filings.Chapter.11","All.Filings.Chapter.12","All.Filings.Chapter.13","Business.Filings.Total","Business.Filings.Chapter.7","Business.Filings.Chapter.11","Business.Filings.Chapter.12","Business.Filings.Chapter.13","Nonbusiness.Filings.Total","Nonbusiness.Filings.Chapter.7","Nonbusiness.Filings.Chapter.11","Nonbusiness.Filings.Chapter.13","Year"
"1",NA,NA,NA,"United States","Total",NA,1071932,728833,8980,395,333626,33212,22334,7660,395,2727,1038720,706499,1320,330899,2013
"39","1ST","MA",NA,"MA","MA",NA,12562,9864,114,25,2559,435,288,78,25,44,12127,9576,36,2515,2013
"50","1ST","MA","Barnstable County","Barnstable County","BARNSTABLE",25001,576,407,8,1,160,21,13,5,1,2,555,394,3,158,2013
"51","1ST","MA","Berkshire County","Berkshire County","BERKSHIRE",25003,199,174,0,0,25,13,10,0,0,3,186,164,0,22,2013
"52","1ST","MA","Bristol County","Bristol County","BRISTOL",25005,1519,1170,5,21,323,55,25,5,21,4,1464,1145,0,319,2013
"53","1ST","MA","Dukes County","Dukes County","DUKES",25007,19,15,0,0,4,1,1,0,0,0,18,14,0,4,2013
"54","1ST","MA","Essex County","Essex County","ESSEX",25009,1560,1249,10,0,301,43,32,7,0,4,1517,1217,3,297,2013
"55","1ST","MA","Franklin County","Franklin County","FRANKLIN",25011,143,134,0,0,9,2,2,0,0,0,141,132,0,9,2013
"56","1ST","MA","Hampden County","Hampden County","HAMPDEN",25013,916,795,3,0,118,25,18,3,0,4,891,777,0,114,2013
"57","1ST","MA","Hampshire County","Hampshire County","HAMPSHIRE",25015,189,163,1,0,25,7,5,1,0,1,182,158,0,24,2013
"58","1ST","MA","Middlesex County","Middlesex County","MIDDLESEX",25017,2157,1747,23,0,387,84,61,15,0,8,2073,1686,8,379,2013
"59","1ST","MA","Nantucket County","Nantucket County","NANTUCKET",25019,19,15,3,0,1,3,1,2,0,0,16,14,1,1,2013
"60","1ST","MA","Norfolk County","Norfolk County","NORFOLK",25021,1079,793,17,0,269,53,32,14,0,7,1026,761,3,262,2013
"61","1ST","MA","Plymouth County","Plymouth County","PLYMOUTH",25023,1285,872,12,2,399,49,32,9,2,6,1236,840,3,393,2013
"62","1ST","MA","Suffolk County","Suffolk County","SUFFOLK",25025,973,725,21,0,227,30,20,9,0,1,943,705,12,226,2013
"63","1ST","MA","Worcester County","Worcester County","WORCESTER",25027,1902,1585,9,1,307,45,33,7,1,4,1857,1552,2,303,2013
