"Region","All_Filings_Total","All_Filings_Chapter_7","All_Filings_Chapter_11","All_Filings_Chapter_12","All_Filings_Chapter_13","Business_Filings_Total","Business_Filings_Chapter_7","Business_Filings_Chapter_11","Business_Filings_Chapter_12","Business_Filings_Chapter_13","NonBusiness_Filings_Total","NonBusiness_Filings_Chapter_7","NonBusiness_Filings_Chapter_11","NonBusiness_Filings_Chapter_13","Year","Proportion_Business_Filings_Chapter_7","Proportion_Business_Filings_Chapter_11","Proportion_Business_Filings_Chapter_12","Proportion_Business_Filings_Chapter_13","Proportion_NonBusiness_Filings_Chapter_7","Proportion_NonBusiness_Filings_Chapter_11","Proportion_NonBusiness_Filings_Chapter_13"
"United States",1071932,728833,8980,395,333626,33212,22334,7660,395,2727,1038720,706499,1320,330899,2013,0.672,0.231,0.012,0.082,0.68,0.001,0.319
"MA",12562,9864,114,25,2559,435,288,78,25,44,12127,9576,36,2515,2013,0.662,0.179,0.057,0.101,0.79,0.003,0.207
"Barnstable County",576,407,8,1,160,21,13,5,1,2,555,394,3,158,2013,0.619,0.238,0.048,0.095,0.71,0.005,0.285
"Berkshire County",199,174,0,0,25,13,10,0,0,3,186,164,0,22,2013,0.769,0,0,0.231,0.882,0,0.118
"Bristol County",1519,1170,5,21,323,55,25,5,21,4,1464,1145,0,319,2013,0.455,0.091,0.382,0.073,0.782,0,0.218
"Dukes County",19,15,0,0,4,1,1,0,0,0,18,14,0,4,2013,1,0,0,0,0.778,0,0.222
"Essex County",1560,1249,10,0,301,43,32,7,0,4,1517,1217,3,297,2013,0.744,0.163,0,0.093,0.802,0.002,0.196
"Franklin County",143,134,0,0,9,2,2,0,0,0,141,132,0,9,2013,1,0,0,0,0.936,0,0.064
"Hampden County",916,795,3,0,118,25,18,3,0,4,891,777,0,114,2013,0.72,0.12,0,0.16,0.872,0,0.128
"Hampshire County",189,163,1,0,25,7,5,1,0,1,182,158,0,24,2013,0.714,0.143,0,0.143,0.868,0,0.132
"Middlesex County",2157,1747,23,0,387,84,61,15,0,8,2073,1686,8,379,2013,0.726,0.179,0,0.095,0.813,0.004,0.183
"Nantucket County",19,15,3,0,1,3,1,2,0,0,16,14,1,1,2013,0.333,0.667,0,0,0.875,0.062,0.062
"Norfolk County",1079,793,17,0,269,53,32,14,0,7,1026,761,3,262,2013,0.604,0.264,0,0.132,0.742,0.003,0.255
"Plymouth County",1285,872,12,2,399,49,32,9,2,6,1236,840,3,393,2013,0.653,0.184,0.041,0.122,0.68,0.002,0.318
"Suffolk County",973,725,21,0,227,30,20,9,0,1,943,705,12,226,2013,0.667,0.3,0,0.033,0.748,0.013,0.24
"Worcester County",1902,1585,9,1,307,45,33,7,1,4,1857,1552,2,303,2013,0.733,0.156,0.022,0.089,0.836,0.001,0.163
"United States",936795,619069,7234,361,310061,26983,18184,6093,360,2278,909812,600885,1141,307783,2014,0.674,0.226,0.013,0.084,0.66,0.001,0.338
"MA",10394,8113,102,16,2163,443,311,81,16,35,9951,7802,21,2128,2014,0.702,0.183,0.036,0.079,0.784,0.002,0.214
"Barnstable County",534,386,1,1,146,17,15,1,1,0,517,371,0,146,2014,0.882,0.059,0.059,0,0.718,0,0.282
"Berkshire County",169,155,0,0,14,17,14,0,0,3,152,141,0,11,2014,0.824,0,0,0.176,0.928,0,0.072
"Bristol County",1378,1059,9,11,299,47,27,8,11,1,1331,1032,1,298,2014,0.574,0.17,0.234,0.021,0.775,0.001,0.224
"Dukes County",17,11,0,0,6,2,2,0,0,0,15,9,0,6,2014,1,0,0,0,0.6,0,0.4
"Essex County",1292,998,14,0,280,60,41,12,0,7,1232,957,2,273,2014,0.683,0.2,0,0.117,0.777,0.002,0.222
"Franklin County",111,95,5,0,11,5,0,5,0,0,106,95,0,11,2014,0,1,0,0,0.896,0,0.104
"Hampden County",789,682,5,0,102,25,18,5,0,2,764,664,0,100,2014,0.72,0.2,0,0.08,0.869,0,0.131
"Hampshire County",175,160,3,0,12,9,6,3,0,0,166,154,0,12,2014,0.667,0.333,0,0,0.928,0,0.072
"Middlesex County",1676,1353,21,0,302,91,69,16,0,6,1585,1284,5,296,2014,0.758,0.176,0,0.066,0.81,0.003,0.187
"Nantucket County",10,6,0,0,4,1,1,0,0,0,9,5,0,4,2014,1,0,0,0,0.556,0,0.444
"Norfolk County",817,591,11,0,215,40,32,7,0,1,777,559,4,214,2014,0.8,0.175,0,0.025,0.719,0.005,0.275
"Plymouth County",1009,695,9,3,302,46,28,7,3,8,963,667,2,294,2014,0.609,0.152,0.065,0.174,0.693,0.002,0.305
"Suffolk County",786,606,10,0,170,23,19,4,0,0,763,587,6,170,2014,0.826,0.174,0,0,0.769,0.008,0.223
"Worcester County",1609,1302,11,0,296,50,33,10,0,7,1559,1269,1,289,2014,0.66,0.2,0,0.14,0.814,0.001,0.185
