,,,"Population of Massachusetts Cities, Towns & Counties: Census Counts, 1930-2014",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIPS Codes,,,,Land Area,Decennial Census Count (as of April 1),,,,,,,,,,,,,Census Estimate (as of July 1),,,,,,,,,,
Cnty,CouSub,,Area Name,(Mi2),1930,1940,1950,1960,1970,1980,1990,2000,2010,2010 (Pop/Mi2),Share in 2010,2010 Revisions through CQR,Change from Original Count,2010,2011,2012,2013,2014,,,,,,
,,25,Massachusetts,"7,840.0"," 4,248,326 "," 4,316,721 "," 4,690,514 "," 5,148,578 "," 5,689,377 "," 5,737,037 "," 6,016,425 "," 6,349,113 "," 6,547,629 ",835.2,,,,"6,564,073","6,612,270","6,655,829","6,708,874","6,745,408",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,,25001,Barnstable County,395.5," 32,305 "," 37,295 "," 46,805 "," 70,286 "," 96,656 "," 147,925 "," 186,605 "," 222,232 "," 215,888 ",545.8,3.3%,,,"215,903","215,335","214,845","214,836","214,914",,,,,,
001,03690,2500103690,Barnstable Town city,60.0," 7,271 "," 8,333 "," 10,480 "," 13,465 "," 19,842 "," 30,898 "," 40,949 ","47,821"," 45,193 ",752.8,0.7%,,,"45,146","44,831","44,720","44,604","44,529",,,,,,
001,07175,2500107175,Bourne town,40.9," 2,895 "," 3,315 "," 4,720 "," 14,011 "," 12,636 "," 13,874 "," 16,064 ","18,721"," 19,754 ",482.8,0.3%,,,"19,767","19,789","19,748","19,738","19,711",,,,,,
001,07980,2500107980,Brewster town,23.0, 769 , 827 , 987 ," 1,236 "," 1,790 "," 5,226 "," 8,440 ","10,098"," 9,820 ",427.2,0.1%,,,"9,854","9,831","9,816","9,804","9,954",,,,,,
001,12995,2500112995,Chatham town,16.2," 1,931 "," 2,136 "," 2,457 "," 3,273 "," 4,554 "," 6,071 "," 6,579 ","6,627"," 6,125 ",377.6,0.1%,,,"6,126","6,115","6,120","6,135","6,151",,,,,,
001,16775,2500116775,Dennis town,20.6," 1,829 "," 2,015 "," 2,499 "," 3,727 "," 6,454 "," 12,360 "," 13,864 ","15,973"," 14,207 ",689.8,0.2%,,,"14,203","14,144","14,088","14,060","14,037",,,,,,
001,19295,2500119295,Eastham town,14.0, 543 , 582 , 860 ," 1,200 "," 2,043 "," 3,472 "," 4,462 ","5,453"," 4,956 ",354.2,0.1%,,,"4,956","4,940","4,926","4,927","4,928",,,,,,
001,23105,2500123105,Falmouth town,44.2," 4,821 "," 6,878 "," 8,662 "," 13,037 "," 15,942 "," 23,640 "," 27,960 ","32,660"," 31,531 ",712.7,0.5%,,,"31,540","31,584","31,549","31,573","31,631",,,,,,
001,29020,2500129020,Harwich town,21.0," 2,329 "," 2,535 "," 2,649 "," 3,747 "," 5,892 "," 8,971 "," 10,275 ","12,384"," 12,243 ",581.8,0.2%,,,"12,251","12,225","12,190","12,193","12,188",,,,,,
001,39100,2500139100,Mashpee town,23.5, 361 , 434 , 438 , 867 ," 1,288 "," 3,700 "," 7,884 ","12,946"," 14,006 ",596.5,0.2%,,,"14,003","13,977","13,950","13,994","14,049",,,,,,
001,51440,2500151440,Orleans town,14.2," 1,181 "," 1,451 "," 1,759 "," 2,342 "," 3,055 "," 5,306 "," 5,838 ","6,341"," 5,890 ",415.5,0.1%,,,"5,893","5,873","5,858","5,859","5,863",,,,,,
001,55500,2500155500,Provincetown town,9.7," 3,808 "," 3,668 "," 3,795 "," 3,389 "," 2,911 "," 3,536 "," 3,561 ","3,431"," 2,942 ",304.5,0.0%,,,"2,947","2,956","2,955","2,965","2,980",,,,,,
001,59735,2500159735,Sandwich town,43.0," 1,437 "," 1,360 "," 2,418 "," 2,082 "," 5,239 "," 8,727 "," 15,489 ","20,136"," 20,675 ",480.4,0.3%,,,"20,669","20,615","20,573","20,577","20,536",,,,,,
001,70605,2500170605,Truro town,21.1, 513 , 585 , 661 ," 1,002 "," 1,234 "," 1,486 "," 1,573 ","2,085"," 2,003 ",95.1,0.0%,,,"2,003","2,002","2,000","2,011","2,011",,,,,,
001,74385,2500174385,Wellfleet town,19.8, 823 , 890 ," 1,123 "," 1,404 "," 1,743 "," 2,209 "," 2,493 ","2,749"," 2,750 ",138.7,0.0%,,,"2,751","2,743","2,743","2,746","2,754",,,,,,
001,82525,2500182525,Yarmouth town,24.2," 1,794 "," 2,286 "," 3,297 "," 5,504 "," 12,033 "," 18,449 "," 21,174 ","24,807"," 23,793 ",981.2,0.4%,,,"23,794","23,710","23,609","23,650","23,592",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,,25003,Berkshire County,931.3," 120,700 "," 122,273 "," 132,966 "," 142,135 "," 149,407 "," 145,110 "," 139,352 "," 134,953 "," 131,219 ",140.9,2.0%,,,"131,310","130,575","130,230","129,489","128,715",,,,,,
003,00555,2500300555,Adams town,22.9," 12,697 "," 12,608 "," 12,034 "," 12,391 "," 11,772 "," 10,381 "," 9,445 ","8,809"," 8,485 ",369.9,0.1%,,,"8,476","8,420","8,397","8,344","8,271",,,,,,
003,00975,2500300975,Alford town,11.6, 200 , 201 , 212 , 256 , 302 , 394 , 418 ,399, 494 ,42.7,0.0%,,,494,495,493,491,490,,,,,,
003,04545,2500304545,Becket town,46.3, 672 , 689 , 755 , 770 , 929 ," 1,339 "," 1,481 ","1,755"," 1,779 ",38.5,0.0%,,,"1,779","1,779","1,782","1,780","1,777",,,,,,
003,13345,2500313345,Cheshire town,26.9," 1,697 "," 1,708 "," 2,022 "," 2,472 "," 3,006 "," 3,124 "," 3,479 ","3,401"," 3,235 ",120.1,0.0%,,,"3,233","3,225","3,223","3,202","3,181",,,,,,
003,14010,2500314010,Clarksburg town,12.8," 1,296 "," 1,317 "," 1,630 "," 1,741 "," 1,987 "," 1,871 "," 1,745 ","1,686"," 1,702 ",133.4,0.0%,,,"1,701","1,692","1,691","1,683","1,672",,,,,,
003,16180,2500316180,Dalton town,21.8," 4,220 "," 4,206 "," 4,772 "," 6,436 "," 7,505 "," 6,797 "," 7,155 ","6,892"," 6,756 ",309.8,0.1%,,,"6,758","6,748","6,751","6,727","6,693",,,,,,
003,21360,2500321360,Egremont town,18.8, 513 , 463 , 731 , 895 ," 1,138 "," 1,311 "," 1,229 ","1,345"," 1,225 ",65.0,0.0%,,,"1,226","1,227","1,228","1,225","1,217",,,,,,
003,24120,2500324120,Florida town,24.4, 307 , 421 , 479 , 569 , 672 , 730 , 742 ,676, 752 ,30.9,0.0%,,,752,751,750,745,738,,,,,,
003,26815,2500326815,Great Barrington town,45.2," 5,934 "," 5,824 "," 6,712 "," 6,624 "," 7,537 "," 7,405 "," 7,725 ","7,525"," 7,104 ",157.2,0.1%,,,"7,095","7,030","7,038","7,000","6,945",,,,,,
003,28180,2500328180,Hancock town,35.7, 361 , 332 , 445 , 455 , 675 , 643 , 628 ,719, 717 ,20.1,0.0%,,,717,716,717,716,713,,,,,,
003,30315,2500330315,Hinsdale town,20.8," 1,144 "," 1,235 "," 1,560 "," 1,414 "," 1,588 "," 1,707 "," 1,959 ","1,872"," 2,032 ",97.5,0.0%,,,"2,031","2,019","2,013","1,998","1,980",,,,,,
003,34340,2500334340,Lanesborough town,29.0," 1,170 "," 1,321 "," 2,069 "," 2,933 "," 2,972 "," 3,131 "," 3,032 ","2,996"," 3,091 ",106.4,0.0%,,,"3,087","3,069","3,061","3,039","3,015",,,,,,
003,34655,2500334655,Lee town,26.4," 4,061 "," 4,222 "," 4,820 "," 5,271 "," 6,426 "," 6,247 "," 5,849 ","5,989"," 5,943 ",225.1,0.1%,,,"5,947","5,928","5,937","5,906","5,861",,,,,,
003,34970,2500334970,Lenox town,21.2," 2,742 "," 2,884 "," 3,627 "," 4,253 "," 5,804 "," 6,523 "," 5,069 ","5,077"," 5,025 ",236.8,0.1%,,,"5,075","5,059","5,055","5,043","5,004",,,,,,
003,42460,2500342460,Monterey town,26.5, 321 , 320 , 367 , 480 , 600 , 818 , 805 ,936, 961 ,36.3,0.0%,,,960,957,957,955,954,,,,,,
003,43300,2500343300,Mount Washington town,22.2, 60 , 57 , 34 , 34 , 52 , 93 , 135 ,130, 167 ,7.5,0.0%,,,167,166,166,165,164,,,,,,
003,44385,2500344385,New Ashford town,13.5, 75 , 87 , 118 , 165 , 183 , 159 , 192 ,247, 228 ,16.8,0.0%,,,228,227,227,226,224,,,,,,
003,45420,2500345420,New Marlborough town,47.2, 864 , 956 , 989 ," 1,083 "," 1,031 "," 1,160 "," 1,240 ","1,494"," 1,509 ",32.0,0.0%,,,"1,508","1,504","1,503","1,499","1,492",,,,,,
003,46225,2500346225,North Adams city,20.4," 21,621 "," 22,213 "," 21,567 "," 19,905 "," 19,195 "," 18,063 "," 16,797 ","14,681"," 13,708 ",670.7,0.2%,,,"13,784","13,648","13,609","13,470","13,354",,,,,,
003,51580,2500351580,Otis town,35.8, 367 , 364 , 359 , 473 , 820 , 963 ," 1,073 ","1,365"," 1,612 ",45.0,0.0%,,,"1,610","1,605","1,603","1,596","1,585",,,,,,
003,53050,2500353050,Peru town,25.9, 108 , 142 , 143 , 197 , 256 , 633 , 779 ,821, 847 ,32.7,0.0%,,,849,853,853,847,846,,,,,,
003,53960,2500353960,Pittsfield city,40.7," 49,677 "," 49,684 "," 53,348 "," 57,879 "," 57,020 "," 51,974 "," 48,622 ","45,789"," 44,737 ","1,098.4",0.7%,,,"44,701","44,395","44,307","44,068","43,697",,,,,,
003,56795,2500356795,Richmond town,19.0, 583 , 624 , 737 , 890 ," 1,461 "," 1,659 "," 1,677 ","1,604"," 1,475 ",77.8,0.0%,,,"1,474","1,465","1,461","1,451","1,440",,,,,,
003,59665,2500359665,Sandisfield town,52.3, 412 , 421 , 437 , 536 , 547 , 720 , 667 ,824, 915 ,17.5,0.0%,,,921,921,926,924,919,,,,,,
003,60225,2500360225,Savoy town,35.9, 307 , 300 , 291 , 277 , 322 , 644 , 634 ,705, 692 ,19.3,0.0%,,,692,691,688,685,681,,,,,,
