"","Region","Year","Number_of_Months_Reported","Single_Family_Buildings","Single_Family_Units","Single_Family_Valuation","I2_Family_Buildings","I2_Family_Units","I2_Family_Valuation","I3-4_Family_Buildings","I3-4_Family_Units","I3-4_Family_Valuation","I5_Family_Buildings","I5_Family_Units","I5_Family_Valuation","Total_Buildings","Total_Units","Total_Valuation","Average_Valuation_PerUnits","Total_Pct_Change","Change_from_previous","Pct_Change_from_previous","Percentage_of_1_Family","Percentage_of_2_Family","Percentage_of_3_and_4_Family","Percentage_of_5_Family","Inflation_Adjusted_1_Family_Valuation","Inflation_Adjusted_2_Family_Valuation","Inflation_Adjusted_3_4_Family_Valuation","Inflation_Adjusted_5_Family_Valuation","Inflation_Adjusted_Total_Valuation","Inflation_Adjusted_Average_Valuation","Permits_Per_1000_Population"
"1","Abington",2000,12,60,60,7247000,1,2,105000,0,0,0,3,34,2550000,64,96,9902000,103145.833333333,0,NA,NA,62.5,2.08,0,35.42,10100643.0255517,146345.731707317,0,3554110.6271777,13801099.3844367,143761.451921215,4.37996167533534
"2","Abington",2001,12,90,90,9183757,0,0,0,0,0,0,0,0,0,90,90,9183757,102041.744444444,-6.25,-0.0625,-6.25,100,0,0,0,12445883.4912422,0,0,0,12445883.4912422,138287.594347135,6.07779578606159
"3","Abington",2002,12,137,137,17293185,0,0,0,0,0,0,8,192,13069808,145,329,30362993,92288.7325227964,242.71,2.65555555555556,265.56,41.64,0,0,58.36,23071069.7737354,0,0,17436605.9402779,40507675.7140133,123123.634389098,9.66280154604825
"4","Abington",2003,12,37,37,6403010,0,0,0,0,0,0,6,72,10200000,43,109,16603010,152321.19266055,13.54,-0.668693009118541,-66.87,33.94,0,0,66.06,8351995.76668478,0,0,13304735.8695652,21656731.63625,198685.611341743,2.83865856878796
"5","Abington",2004,12,31,31,6024000,0,0,0,0,0,0,4,48,6800000,35,79,12824000,162329.113924051,-17.71,-0.275229357798165,-27.52,39.24,0,0,60.76,7653796.54843833,0,0,8639743.77977766,16293540.328216,206247.345926785,2.29523247426061
"6","Abington",2005,12,23,23,4569000,0,0,0,1,3,210000,9,52,6500000,33,78,11279000,144602.564102564,-18.75,-0.0126582278481013,-1.27,29.49,0,3.85,66.67,5614910.30721966,0,258072.043010753,7987944.18842806,13860926.5386585,177704.186393057,2.14815779195417
"7","Abington",2006,12,29,29,5404769,3,6,853000,0,0,0,5,60,6412575,37,95,12670344,133372.042105263,-1.04,0.217948717948718,21.79,30.53,6.32,0,63.16,6434436.47511409,1015505.80853175,0,7634240.51599702,15084182.7996429,158780.871575188,2.39513205592957
"8","Abington",2007,12,27,27,5868000,2,4,486000,0,0,0,10,120,12850000,39,151,19204000,127178.80794702,57.29,0.589473684210526,58.95,17.88,2.65,0,79.47,6792454.37972046,562565.240038198,0,14874410.1532733,22229429.773032,147214.766708821,2.50642673521851
"9","Abington",2008,12,18,18,4168000,0,0,0,0,0,0,0,0,0,18,18,4168000,231555.555555556,-81.25,-0.880794701986755,-88.08,100,0,0,0,4646238.90981547,0,0,0,4646238.90981547,258124.383878638,1.14627778131567
"10","Abington",2009,5,12,12,3106383,0,0,0,0,0,0,0,0,0,12,12,3106383,258865.25,-87.5,-0.333333333333333,-33.33,100,0,0,0,3475175.21304484,0,0,0,3475175.21304484,289597.934420403,0.756715853197125
