"Municipal","County","State","Region","Five_Year_Range","Population","Never_Married","Never_Married_pct","Never_Married_pct_error","Now_Married","Now_Married_pct","Now_Married_pct_error","Separated","Separated_pct","Separated_pct_error","Widowed","Widowed_pct","Widowed_pct_error","Divorced","Divorced_pct","Divorced_pct_error","Gender"
"NA","NA County","NA","United States","2006-2010","118264295","40461438","34.2","0.1","61745693","52.2","0.2","2137849","1.8","0.1","2977072","2.5","0.1","10942243","9.3","0.1","Male"
"NA","NA County","MA","MA","2006-2010","2536607","951729","37.5","0.3","1287165","50.7","0.3","38976","1.5","0.1","66680","2.6","0.1","192057","7.6","0.1","Male"
"NA","Barnstable County","MA","Barnstable County","2006-2010","87824","24359","27.7","1.0","51824","59.0","1.2","905","1.0","0.3","2896","3.3","0.4","7840","8.9","0.6","Male"
"NA","Berkshire County","MA","Berkshire County","2006-2010","52641","18428","35.0","0.9","25405","48.3","1.3","990","1.9","0.4","2018","3.8","0.5","5800","11.0","1.0","Male"
"NA","Bristol County","MA","Bristol County","2006-2010","212635","73478","34.6","0.6","109790","51.6","0.8","3948","1.9","0.2","6819","3.2","0.2","18600","8.7","0.5","Male"
"NA","Dukes County","MA","Dukes County","2006-2010","6673","2382","35.7","4.4","3205","48.0","4.8","130","1.9","1.4","144","2.2","1.2","812","12.2","4.6","Male"
"NA","Essex County","MA","Essex County","2006-2010","280972","96854","34.5","0.5","149119","53.1","0.6","4644","1.7","0.2","8611","3.1","0.2","21744","7.7","0.3","Male"
"NA","Franklin County","MA","Franklin County","2006-2010","29046","9409","32.4","1.2","15124","52.1","1.6","473","1.6","0.5","754","2.6","0.5","3286","11.3","1.3","Male"
"NA","Hampden County","MA","Hampden County","2006-2010","176485","68229","38.7","0.8","83423","47.3","0.9","3770","2.1","0.3","5599","3.2","0.3","15464","8.8","0.5","Male"
"NA","Hampshire County","MA","Hampshire County","2006-2010","62461","26670","42.7","0.9","28387","45.4","1.2","717","1.1","0.3","1693","2.7","0.4","4994","8.0","0.7","Male"
"NA","Middlesex County","MA","Middlesex County","2006-2010","585490","215912","36.9","0.4","313358","53.5","0.4","6611","1.1","0.1","12511","2.1","0.1","37098","6.3","0.2","Male"
"NA","Nantucket County","MA","Nantucket County","2006-2010","4296","1548","36.0","5.5","2347","54.6","6.0","56","1.3","1.3","107","2.5","2.2","238","5.5","2.4","Male"
"NA","Norfolk County","MA","Norfolk County","2006-2010","253117","84344","33.3","0.6","143630","56.7","0.7","2396","0.9","0.1","7068","2.8","0.2","15679","6.2","0.3","Male"
"NA","Plymouth County","MA","Plymouth County","2006-2010","188123","61245","32.6","0.6","103420","55.0","0.7","3118","1.7","0.2","4855","2.6","0.2","15485","8.2","0.5","Male"
"NA","Suffolk County","MA","Suffolk County","2006-2010","286268","161077","56.3","0.6","94540","33.0","0.7","6645","2.3","0.2","5345","1.9","0.2","18661","6.5","0.3","Male"
"NA","Worcester County","MA","Worcester County","2006-2010","310576","107794","34.7","0.6","163593","52.7","0.6","4573","1.5","0.2","8260","2.7","0.2","26356","8.5","0.3","Male"
"Barnstable"," Barnstable County","MA","Barnstable","2006-2010","18646","5619","30.1","2.6","10655","57.1","2.6","256","1.4","0.7","480","2.6","0.7","1636","8.8","1.7","Male"
"Bourne"," Barnstable County","MA","Bourne","2006-2010","8108","2790","34.4","5.5","4400","54.3","5.0","55","0.7","0.5","333","4.1","1.3","530","6.5","1.6","Male"
"Brewster"," Barnstable County","MA","Brewster","2006-2010","4027","1021","25.4","5.5","2422","60.1","5.0","26","0.6","0.7","159","3.9","2.0","399","9.9","2.9","Male"
"Chatham"," Barnstable County","MA","Chatham","2006-2010","2647","596","22.5","4.9","1692","63.9","5.5","67","2.5","2.3","117","4.4","2.4","175","6.6","2.8","Male"
"Dennis"," Barnstable County","MA","Dennis","2006-2010","5777","1380","23.9","3.6","3403","58.9","3.8","54","0.9","0.7","259","4.5","1.6","681","11.8","2.5","Male"
"Eastham"," Barnstable County","MA","Eastham","2006-2010","2201","455","20.7","7.4","1453","66.0","8.8","0","0.0","1.7","85","3.9","2.8","208","9.5","4.6","Male"
"Falmouth"," Barnstable County","MA","Falmouth","2006-2010","12501","3061","24.5","3.1","7680","61.4","3.6","200","1.6","0.9","519","4.2","1.3","1041","8.3","1.8","Male"
"Harwich"," Barnstable County","MA","Harwich","2006-2010","4719","1024","21.7","3.4","3159","66.9","3.8","32","0.7","0.7","183","3.9","1.3","321","6.8","1.8","Male"
"Mashpee"," Barnstable County","MA","Mashpee","2006-2010","5600","1471","26.3","4.6","3444","61.5","5.2","13","0.2","0.3","122","2.2","1.0","550","9.8","2.4","Male"
"Orleans"," Barnstable County","MA","Orleans","2006-2010","2438","542","22.2","5.3","1548","63.5","6.9","0","0.0","1.5","109","4.5","2.8","239","9.8","4.3","Male"
"Provincetown"," Barnstable County","MA","Provincetown","2006-2010","1745","1038","59.5","6.9","329","18.9","5.5","43","2.5","3.0","0","0.0","2.1","335","19.2","6.6","Male"
"Sandwich"," Barnstable County","MA","Sandwich","2006-2010","7782","2059","26.5","4.0","5062","65.0","4.1","27","0.3","0.3","168","2.2","0.7","466","6.0","1.9","Male"
"Truro"," Barnstable County","MA","Truro","2006-2010","862","306","35.5","12.0","398","46.2","10.9","39","4.5","5.0","7","0.8","1.2","112","13.0","7.7","Male"
"Wellfleet"," Barnstable County","MA","Wellfleet","2006-2010","1116","222","19.9","10.3","748","67.0","10.1","0","0.0","3.3","0","0.0","3.3","146","13.1","8.5","Male"
"Yarmouth"," Barnstable County","MA","Yarmouth","2006-2010","9655","2775","28.7","3.6","5431","56.3","3.0","93","1.0","0.9","355","3.7","1.2","1001","10.4","2.7","Male"
"Adams"," Berkshire County","MA","Adams","2006-2010","3197","1037","32.4","6.1","1485","46.4","4.9","72","2.3","1.7","122","3.8","1.9","481","15.0","4.0","Male"
"Alford"," Berkshire County","MA","Alford","2006-2010","183","38","20.8","6.0","122","66.7","7.4","0","0.0","18.4","11","6.0","3.3","12","6.6","4.2","Male"
"Becket"," Berkshire County","MA","Becket","2006-2010","634","94","14.8","6.0","391","61.7","10.1","0","0.0","5.7","21","3.3","3.2","128","20.2","9.1","Male"
"Cheshire"," Berkshire County","MA","Cheshire","2006-2010","1472","427","29.0","7.9","752","51.1","7.5","10","0.7","1.0","27","1.8","1.6","256","17.4","5.1","Male"
"Clarksburg"," Berkshire County","MA","Clarksburg","2006-2010","741","148","20.0","6.1","444","59.9","5.9","11","1.5","1.2","28","3.8","2.8","110","14.8","4.7","Male"
"Dalton"," Berkshire County","MA","Dalton","2006-2010","2652","771","29.1","5.9","1550","58.4","6.9","13","0.5","0.8","118","4.4","2.4","200","7.5","3.8","Male"
"Egremont"," Berkshire County","MA","Egremont","2006-2010","518","133","25.7","6.7","309","59.7","6.3","4","0.8","1.0","14","2.7","3.0","58","11.2","4.3","Male"
"Florida"," Berkshire County","MA","Florida","2006-2010","347","106","30.5","9.1","184","53.0","10.0","0","0.0","10.2","19","5.5","4.7","38","11.0","5.8","Male"
"Great Barrington"," Berkshire County","MA","Great Barrington","2006-2010","2922","1058","36.2","7.1","1325","45.3","7.0","87","3.0","3.3","66","2.3","1.5","386","13.2","5.7","Male"
"Hancock"," Berkshire County","MA","Hancock","2006-2010","289","77","26.6","11.4","176","60.9","11.0","17","5.9","6.1","7","2.4","2.7","12","4.2","3.7","Male"
"Hinsdale"," Berkshire County","MA","Hinsdale","2006-2010","905","265","29.3","6.5","504","55.7","7.0","21","2.3","2.4","40","4.4","3.0","75","8.3","4.5","Male"
"Lanesborough"," Berkshire County","MA","Lanesborough","2006-2010","1308","356","27.2","8.5","717","54.8","9.2","15","1.1","1.8","22","1.7","1.7","198","15.1","7.5","Male"
"Lee"," Berkshire County","MA","Lee","2006-2010","2355","696","29.6","7.5","1217","51.7","7.7","100","4.2","4.0","136","5.8","3.5","206","8.7","4.6","Male"
"Lenox"," Berkshire County","MA","Lenox","2006-2010","1987","652","32.8","7.6","1064","53.5","8.1","17","0.9","1.3","120","6.0","2.8","134","6.7","3.9","Male"
"Monterey"," Berkshire County","MA","Monterey","2006-2010","382","176","46.1","34.0","171","44.8","28.6","4","1.0","1.4","15","3.9","5.7","16","4.2","5.5","Male"
"Mount Washington"," Berkshire County","MA","Mount Washington","2006-2010","55","12","21.8","10.7","37","67.3","14.4","0","0.0","43.0","0","0.0","43.0","6","10.9","10.7","Male"
"New Ashford"," Berkshire County","MA","New Ashford","2006-2010","119","42","35.3","11.8","55","46.2","12.1","5","4.2","6.6","0","0.0","26.5","17","14.3","10.2","Male"
"New Marlborough"," Berkshire County","MA","New Marlborough","2006-2010","640","197","30.8","8.5","341","53.3","8.9","12","1.9","2.9","36","5.6","3.4","54","8.4","4.6","Male"
"North Adams"," Berkshire County","MA","North Adams","2006-2010","5875","2958","50.3","3.9","2155","36.7","3.6","175","3.0","1.8","209","3.6","1.4","378","6.4","1.9","Male"
"Otis"," Berkshire County","MA","Otis","2006-2010","541","102","18.9","7.0","341","63.0","9.5","18","3.3","3.7","18","3.3","3.0","62","11.5","5.8","Male"
"Peru"," Berkshire County","MA","Peru","2006-2010","376","128","34.0","8.4","202","53.7","8.0","4","1.1","1.5","0","0.0","9.5","42","11.2","6.1","Male"
"Pittsfield"," Berkshire County","MA","Pittsfield","2006-2010","17017","6129","36.0","2.4","7772","45.7","2.3","268","1.6","0.6","651","3.8","1.0","2197","12.9","1.9","Male"
"Richmond"," Berkshire County","MA","Richmond","2006-2010","754","201","26.7","5.4","460","61.0","6.0","10","1.3","1.1","40","5.3","3.5","43","5.7","2.5","Male"
"Sandisfield"," Berkshire County","MA","Sandisfield","2006-2010","337","83","24.6","7.5","232","68.8","7.8","7","2.1","2.2","11","3.3","2.5","4","1.2","1.5","Male"
"Savoy"," Berkshire County","MA","Savoy","2006-2010","357","103","28.9","8.6","191","53.5","8.4","6","1.7","2.1","0","0.0","10.0","57","16.0","8.5","Male"
"Sheffield"," Berkshire County","MA","Sheffield","2006-2010","1346","476","35.4","9.1","613","45.5","9.0","0","0.0","2.7","73","5.4","5.1","184","13.7","7.5","Male"
"Stockbridge"," Berkshire County","MA","Stockbridge","2006-2010","609","131","21.5","10.9","301","49.4","12.3","59","9.7","8.0","55","9.0","7.1","63","10.3","6.7","Male"
"Tyringham"," Berkshire County","MA","Tyringham","2006-2010","178","54","30.3","13.2","104","58.4","11.5","0","0.0","18.9","10","5.6","4.8","10","5.6","4.1","Male"
"Washington"," Berkshire County","MA","Washington","2006-2010","269","76","28.3","7.7","158","58.7","8.8","0","0.0","13.0","3","1.1","1.7","32","11.9","5.5","Male"
"West Stockbridge"," Berkshire County","MA","West Stockbridge","2006-2010","585","178","30.4","9.3","316","54.0","9.5","24","4.1","3.3","22","3.8","3.4","45","7.7","2.7","Male"
"Williamstown"," Berkshire County","MA","Williamstown","2006-2010","3296","1449","44.0","10.0","1470","44.6","9.1","31","0.9","0.8","102","3.1","1.7","244","7.4","2.9","Male"
"Windsor"," Berkshire County","MA","Windsor","2006-2010","395","75","19.0","6.1","246","62.3","8.8","0","0.0","9.1","22","5.6","4.1","52","13.2","6.7","Male"
"Acushnet"," Bristol County","MA","Acushnet","2006-2010","4103","1192","29.1","4.4","2412","58.8","4.3","65","1.6","1.6","105","2.6","1.3","329","8.0","2.7","Male"
"Attleboro"," Bristol County","MA","Attleboro","2006-2010","17439","6042","34.6","2.4","9146","52.4","2.8","151","0.9","0.4","369","2.1","0.7","1731","9.9","1.6","Male"
"Berkley"," Bristol County","MA","Berkley","2006-2010","2480","674","27.2","4.6","1505","60.7","4.6","23","0.9","1.0","65","2.6","1.8","213","8.6","3.7","Male"
"Dartmouth"," Bristol County","MA","Dartmouth","2006-2010","14366","5255","36.6","6.6","7329","51.0","5.5","358","2.5","0.9","366","2.5","0.9","1058","7.4","1.6","Male"
"Dighton"," Bristol County","MA","Dighton","2006-2010","2752","686","24.9","6.3","1660","60.3","6.8","0","0.0","1.4","139","5.1","3.5","267","9.7","5.1","Male"
"Easton"," Bristol County","MA","Easton","2006-2010","9158","3510","38.3","3.4","4899","53.5","3.4","131","1.4","1.1","203","2.2","1.0","415","4.5","1.2","Male"
"Fairhaven"," Bristol County","MA","Fairhaven","2006-2010","6240","1953","31.3","3.7","3302","52.9","4.3","70","1.1","0.8","357","5.7","1.9","558","8.9","2.4","Male"
"Fall River"," Bristol County","MA","Fall River","2006-2010","34614","14208","41.0","2.1","14853","42.9","1.9","799","2.3","0.6","1258","3.6","0.7","3496","10.1","1.2","Male"
"Freetown"," Bristol County","MA","Freetown","2006-2010","3765","1093","29.0","3.7","2300","61.1","4.4","73","1.9","1.9","147","3.9","2.1","152","4.0","1.9","Male"
"Mansfield"," Bristol County","MA","Mansfield","2006-2010","8672","2802","32.3","3.7","4902","56.5","3.7","141","1.6","1.1","262","3.0","1.4","565","6.5","2.1","Male"
"New Bedford"," Bristol County","MA","New Bedford","2006-2010","34440","14102","40.9","1.7","14648","42.5","1.5","790","2.3","0.6","1237","3.6","0.6","3663","10.6","1.1","Male"
"North Attleborough"," Bristol County","MA","North Attleborough","2006-2010","11202","3388","30.2","3.1","6536","58.3","3.2","151","1.3","0.8","369","3.3","1.2","758","6.8","1.4","Male"
"Norton"," Bristol County","MA","Norton","2006-2010","7289","2597","35.6","4.9","3945","54.1","5.2","94","1.3","0.8","160","2.2","1.0","493","6.8","2.0","Male"
"Raynham"," Bristol County","MA","Raynham","2006-2010","4714","1000","21.2","3.9","2909","61.7","4.3","83","1.8","1.6","256","5.4","1.7","466","9.9","3.2","Male"
"Rehoboth"," Bristol County","MA","Rehoboth","2006-2010","4695","1254","26.7","4.5","3037","64.7","4.7","8","0.2","0.3","32","0.7","0.5","364","7.8","2.3","Male"
"Seekonk"," Bristol County","MA","Seekonk","2006-2010","5246","1420","27.1","3.6","3230","61.6","4.1","58","1.1","0.9","196","3.7","1.7","342","6.5","1.9","Male"
"Somerset"," Bristol County","MA","Somerset","2006-2010","7003","1805","25.8","3.4","4129","59.0","3.4","93","1.3","1.1","294","4.2","1.7","682","9.7","2.9","Male"
"Swansea"," Bristol County","MA","Swansea","2006-2010","6869","1818","26.5","3.9","4186","60.9","3.6","98","1.4","1.2","196","2.9","1.3","571","8.3","2.6","Male"
"Taunton"," Bristol County","MA","Taunton","2006-2010","21650","7330","33.9","2.6","11072","51.1","2.7","694","3.2","1.0","575","2.7","0.7","1979","9.1","1.5","Male"
"Westport"," Bristol County","MA","Westport","2006-2010","5938","1349","22.7","4.0","3790","63.8","5.0","68","1.1","0.9","233","3.9","1.6","498","8.4","2.5","Male"
"Aquinnah"," Dukes County","MA","Aquinnah","2006-2010","183","75","41.0","13.7","99","54.1","13.5","0","0.0","18.4","4","2.2","3.7","5","2.7","3.2","Male"
"Chilmark"," Dukes County","MA","Chilmark","2006-2010","368","75","20.4","10.7","262","71.2","12.8","5","1.4","2.1","4","1.1","1.5","22","6.0","5.4","Male"
"Edgartown"," Dukes County","MA","Edgartown","2006-2010","2047","842","41.1","9.9","689","33.7","9.2","81","4.0","3.8","63","3.1","2.9","372","18.2","10.1","Male"
"Gosnold"," Dukes County","MA","Gosnold","2006-2010","97","33","34.0","17.6","57","58.8","19.6","4","4.1","7.7","0","0.0","31.0","3","3.1","4.5","Male"
"Oak Bluffs"," Dukes County","MA","Oak Bluffs","2006-2010","1503","350","23.3","10.1","955","63.5","14.3","15","1.0","1.6","31","2.1","2.2","152","10.1","11.0","Male"
"Tisbury"," Dukes County","MA","Tisbury","2006-2010","1589","709","44.6","12.4","683","43.0","10.6","0","0.0","2.3","33","2.1","2.4","164","10.3","8.9","Male"
"West Tisbury"," Dukes County","MA","West Tisbury","2006-2010","886","298","33.6","12.4","460","51.9","12.5","25","2.8","4.2","9","1.0","1.5","94","10.6","6.7","Male"
"Amesbury"," Essex County","MA","Amesbury","2006-2010","6414","2187","34.1","3.6","3429","53.5","3.9","129","2.0","1.3","138","2.2","1.1","531","8.3","2.2","Male"
"Andover"," Essex County","MA","Andover","2006-2010","12133","3217","26.5","2.5","8041","66.3","2.5","51","0.4","0.3","328","2.7","0.9","496","4.1","1.2","Male"
"Beverly"," Essex County","MA","Beverly","2006-2010","15232","5126","33.7","2.5","8066","53.0","2.5","277","1.8","1.0","590","3.9","1.2","1173","7.7","1.7","Male"
"Boxford"," Essex County","MA","Boxford","2006-2010","3030","821","27.1","4.9","1972","65.1","5.3","17","0.6","0.9","56","1.8","1.5","164","5.4","3.0","Male"
"Danvers"," Essex County","MA","Danvers","2006-2010","10371","3161","30.5","3.4","6084","58.7","3.6","90","0.9","0.4","460","4.4","1.4","576","5.6","1.6","Male"
"Essex"," Essex County","MA","Essex","2006-2010","1366","332","24.3","5.9","860","63.0","7.2","23","1.7","1.9","60","4.4","2.9","91","6.7","4.4","Male"
