Region,All_Filings_Total,All_Filings_Chapter_7,All_Filings_Chapter_11,All_Filings_Chapter_12,All_Filings_Chapter_13,Business_Filings_Total,Business_Filings_Chapter_7,Business_Filings_Chapter_11,Business_Filings_Chapter_12,Business_Filings_Chapter_13,Personal_Filings_Total,Personal_Filings_Chapter_7,Personal_Filings_Chapter_11,Personal_Filings_Chapter_13,Year,Percentage_of_Chapter_7_in_Business_Filings,Percentage_of_Chapter_11_in_Business_Filings,Percentage_of_Chapter_12_in_Business_Filings,Percentage_of_Chapter_13_in_Business_Filings,Percentage_of_Chapter_7_in_Personal_Filings,Percentage_of_Chapter_11_in_Personal_Filings,Percentage_of_Chapter_13_in_Personal_Filings
United States,936795,936795,936795,936795,936795,936795,936795,936795,936795,936795,936795,936795,936795,936795,2014,100,100,100,100,100,100,100
MA,10394,10394,10394,10394,10394,10394,10394,10394,10394,10394,10394,10394,10394,10394,2014,100,100,100,100,100,100,100
Barnstable County,534,534,534,534,534,534,534,534,534,534,534,534,534,534,2014,100,100,100,100,100,100,100
Berkshire County,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2014,100,100,100,100,100,100,100
Bristol County,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,1378,2014,100,100,100,100,100,100,100
Dukes County,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2014,100,100,100,100,100,100,100
Essex County,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,1292,2014,100,100,100,100,100,100,100
Franklin County,111,111,111,111,111,111,111,111,111,111,111,111,111,111,2014,100,100,100,100,100,100,100
Hampden County,789,789,789,789,789,789,789,789,789,789,789,789,789,789,2014,100,100,100,100,100,100,100
Hampshire County,175,175,175,175,175,175,175,175,175,175,175,175,175,175,2014,100,100,100,100,100,100,100
Middlesex County,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,2014,100,100,100,100,100,100,100
Nantucket County,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2014,100,100,100,100,100,100,100
Norfolk County,817,817,817,817,817,817,817,817,817,817,817,817,817,817,2014,100,100,100,100,100,100,100
Plymouth County,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,2014,100,100,100,100,100,100,100
Suffolk County,786,786,786,786,786,786,786,786,786,786,786,786,786,786,2014,100,100,100,100,100,100,100
Worcester County,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,1609,2014,100,100,100,100,100,100,100
United States,844495,844495,844495,844495,844495,844495,844495,844495,844495,844495,844495,844495,844495,844495,2015,100,100,100,100,100,100,100
MA,9171,9171,9171,9171,9171,9171,9171,9171,9171,9171,9171,9171,9171,9171,2015,100,100,100,100,100,100,100
Barnstable County,428,428,428,428,428,428,428,428,428,428,428,428,428,428,2015,100,100,100,100,100,100,100
Berkshire County,169,169,169,169,169,169,169,169,169,169,169,169,169,169,2015,100,100,100,100,100,100,100
Bristol County,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,1188,2015,100,100,100,100,100,100,100
Dukes County,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2015,100,100,100,100,100,100,100
Essex County,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,1134,2015,100,100,100,100,100,100,100
Franklin County,92,92,92,92,92,92,92,92,92,92,92,92,92,92,2015,100,100,100,100,100,100,100
Hampden County,754,754,754,754,754,754,754,754,754,754,754,754,754,754,2015,100,100,100,100,100,100,100
Hampshire County,172,172,172,172,172,172,172,172,172,172,172,172,172,172,2015,100,100,100,100,100,100,100
Middlesex County,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,2015,100,100,100,100,100,100,100
Nantucket County,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2015,100,100,100,100,100,100,100
Norfolk County,734,734,734,734,734,734,734,734,734,734,734,734,734,734,2015,100,100,100,100,100,100,100
Plymouth County,877,877,877,877,877,877,877,877,877,877,877,877,877,877,2015,100,100,100,100,100,100,100
Suffolk County,716,716,716,716,716,716,716,716,716,716,716,716,716,716,2015,100,100,100,100,100,100,100
Worcester County,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,1422,2015,100,100,100,100,100,100,100
United States,794960,794960,794960,794960,794960,794960,794960,794960,794960,794960,794960,794960,794960,794960,2016,100,100,100,100,100,100,100
MA,8579,8579,8579,8579,8579,8579,8579,8579,8579,8579,8579,8579,8579,8579,2016,100,100,100,100,100,100,100
Barnstable County,415,415,415,415,415,415,415,415,415,415,415,415,415,415,2016,100,100,100,100,100,100,100
Berkshire County,146,146,146,146,146,146,146,146,146,146,146,146,146,146,2016,100,100,100,100,100,100,100
Bristol County,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,2016,100,100,100,100,100,100,100
Dukes County,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2016,100,100,100,100,100,100,100
Essex County,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,1063,2016,100,100,100,100,100,100,100
Franklin County,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2016,100,100,100,100,100,100,100
Hampden County,725,725,725,725,725,725,725,725,725,725,725,725,725,725,2016,100,100,100,100,100,100,100
Hampshire County,174,174,174,174,174,174,174,174,174,174,174,174,174,174,2016,100,100,100,100,100,100,100
Middlesex County,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,1268,2016,100,100,100,100,100,100,100
Nantucket County,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2016,100,100,100,100,100,100,100
Norfolk County,764,764,764,764,764,764,764,764,764,764,764,764,764,764,2016,100,100,100,100,100,100,100
Plymouth County,915,915,915,915,915,915,915,915,915,915,915,915,915,915,2016,100,100,100,100,100,100,100
Suffolk County,659,659,659,659,659,659,659,659,659,659,659,659,659,659,2016,100,100,100,100,100,100,100
Worcester County,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,2016,100,100,100,100,100,100,100
United States,789020,789020,789020,789020,789020,789020,789020,789020,789020,789020,789020,789020,789020,789020,2017,100,100,100,100,100,100,100
MA,8517,8517,8517,8517,8517,8517,8517,8517,8517,8517,8517,8517,8517,8517,2017,100,100,100,100,100,100,100
Barnstable County,441,441,441,441,441,441,441,441,441,441,441,441,441,441,2017,100,100,100,100,100,100,100
Berkshire County,125,125,125,125,125,125,125,125,125,125,125,125,125,125,2017,100,100,100,100,100,100,100
Bristol County,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,1070,2017,100,100,100,100,100,100,100
Dukes County,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2017,100,100,100,100,100,100,100
Essex County,1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,1042,2017,100,100,100,100,100,100,100
Franklin County,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2017,100,100,100,100,100,100,100
Hampden County,734,734,734,734,734,734,734,734,734,734,734,734,734,734,2017,100,100,100,100,100,100,100
Hampshire County,149,149,149,149,149,149,149,149,149,149,149,149,149,149,2017,100,100,100,100,100,100,100
Middlesex County,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,1317,2017,100,100,100,100,100,100,100
Nantucket County,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2017,100,100,100,100,100,100,100
Norfolk County,701,701,701,701,701,701,701,701,701,701,701,701,701,701,2017,100,100,100,100,100,100,100
Plymouth County,914,914,914,914,914,914,914,914,914,914,914,914,914,914,2017,100,100,100,100,100,100,100
Suffolk County,637,637,637,637,637,637,637,637,637,637,637,637,637,637,2017,100,100,100,100,100,100,100
Worcester County,1255,1255,1255,1255,1255,1255,1255,1255,1255,1255,1255,1255,1255,1255,2017,100,100,100,100,100,100,100
Barnstable County,424,212,2,0,210,8,8,0,0,0,416,204,2,210,2018,100,0,0,0,49,0.5,50.5
Berkshire County,127,107,0,0,20,5,5,0,0,0,122,102,0,20,2018,100,0,0,0,83.6,0,16.4
Bristol County,1044,663,5,3,373,24,13,5,3,3,1020,650,0,370,2018,54.2,20.8,12.5,12.5,63.7,0,36.3
Dukes County,18,5,1,0,12,1,0,1,0,0,17,5,0,12,2018,0,100,0,0,29.4,0,70.6
Essex County,1092,681,11,0,400,48,31,8,0,9,1044,650,3,391,2018,64.6,16.7,0,18.8,62.3,0.3,37.5
Franklin County,80,64,0,2,14,3,1,0,2,0,77,63,0,14,2018,33.3,0,66.7,0,81.8,0,18.2
Hampden County,772,541,1,1,229,13,7,1,1,4,759,534,0,225,2018,53.8,7.7,7.7,30.8,70.4,0,29.6
Hampshire County,164,133,0,0,31,3,3,0,0,0,161,130,0,31,2018,100,0,0,0,80.7,0,19.3
MA,8582,5217,99,9,3257,322,214,61,9,38,8260,5003,38,3219,2018,66.5,18.9,2.8,11.8,60.6,0.5,39
Middlesex County,1263,808,25,0,430,84,60,18,0,6,1179,748,7,424,2018,71.4,21.4,0,7.1,63.4,0.6,36
Nantucket County,6,3,0,0,3,1,1,0,0,0,5,2,0,3,2018,100,0,0,0,40,0,60
Norfolk County,719,344,18,0,357,34,15,14,0,5,685,329,4,352,2018,44.1,41.2,0,14.7,48,0.6,51.4
Plymouth County,876,396,8,1,471,29,21,4,1,3,847,375,4,468,2018,72.4,13.8,3.4,10.3,44.3,0.5,55.3
Suffolk County,624,375,20,0,229,38,27,6,0,5,586,348,14,224,2018,71.1,15.8,0,13.2,59.4,2.4,38.2
United States,773418,475575,7095,498,290146,22232,13678,6078,498,1874,751186,461897,1017,288272,2018,61.5,27.3,2.2,8.4,61.5,0.1,38.4
Worcester County,1356,872,8,2,474,30,21,4,2,3,1326,851,4,471,2018,70,13.3,6.7,10,64.2,0.3,35.5
Bristol County,1009,682,4,1,322,29,23,3,1,2,980,659,1,320,2019,79.3,10.3,3.4,6.9,67.2,0.1,32.7
BROWARD,2,2,0,0,0,0,NA,NA,0,NA,2,2,0,0,2019,NA,NA,NaN,NA,100,0,0
Dukes County,12,6,0,0,6,2,1,0,0,1,10,5,0,5,2019,50,0,0,50,50,0,50
Essex County,874,597,5,0,272,37,28,4,0,5,837,569,1,267,2019,75.7,10.8,0,13.5,68,0.1,31.9
Franklin County,80,64,1,0,15,4,3,0,0,1,76,61,1,14,2019,75,0,0,25,80.3,1.3,18.4
