"Region","C_year","Number of Months Reported","Single Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Single Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","2 Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","3+4 Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Buildings- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Units- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","5+ Family Valuation- Reported Data plus Data Imputed for Non-Reporters & Partial Reporters","Total_Buildings_Reported_Imputed","Total_Units_Reported_Imputed","Total_Valuation_Reported_Imputed","Average_Valuation_PerUnits_Reported_Imputed","Inflation_Adjusted_1_Family_Valuation","Inflation_Adjusted_2_Family_Valuation","Inflation_Adjusted_3_4_Family_Valuation","Inflation_Adjusted_5_Family_Valuation","Inflation_Adjusted_Total_Valuation","Inflation_Adjusted_Average_Valuation","Total_Pct_Change","Change_from_previous","Pct_Change_from_previous","Percentage_of_1_Family","Percentage_of_2_Family","Percentage_of_3_and_4_Family","Percentage_of_5_Family","Permits_Per_1000_Population"
"Abington","2000"," 12",60,60,7247000,1,2,105000,0,0,0,3,34,2550000,64,96,9902000,103145.833333333,9466509,137158,0,3330978,12934645,134735.885416667,0,NA,NA,62.5,2.08,0,35.42,6.57
"Abington","2001"," 12",90,90,9183757,0,0,0,0,0,0,0,0,0,90,90,9183757,102041.744444444,11664512,0,0,0,11664512,129605.688888889,-6.25,-0.0625,-6.25,100,0,0,0,6.16
"Abington","2002"," 12",137,137,17293185,0,0,0,0,0,0,8,192,13069808,145,329,30362993,92288.7325227964,21622633,0,0,16341910,37964543,115393.747720365,242.71,2.65555555555556,265.56,41.64,0,0,58.36,22.53
"Abington","2003"," 12",37,37,6403010,0,0,0,0,0,0,6,72,10200000,43,109,16603010,152321.19266055,7827645,0,0,12469445,20297090,186211.834862385,13.54,-0.668693009118541,-66.87,33.94,0,0,66.06,7.46
"Abington","2004"," 12",31,31,6024000,0,0,0,0,0,0,4,48,6800000,35,79,12824000,162329.113924051,7173280,0,0,8097328,15270608,193298.835443038,-17.71,-0.275229357798165,-27.52,39.24,0,0,60.76,5.41
"Abington","2005"," 12",23,23,4569000,0,0,0,1,3,210000,9,52,6500000,33,78,11279000,144602.564102564,5262398,0,241870,7486449,12990717,166547.653846154,-18.75,-0.0126582278481013,-1.27,29.49,0,3.85,66.67,5.34
"Abington","2006"," 12",29,29,5404769,3,6,853000,0,0,0,5,60,6412575,37,95,12670344,133372.042105263,6030473,951751,0,7154951,14137175,148812.368421053,-1.04,0.217948717948718,21.79,30.53,6.32,0,63.16,6.5
"Abington","2007"," 12",27,27,5868000,2,4,486000,0,0,0,10,120,12850000,39,151,19204000,127178.80794702,6366014,527247,0,13940572,20833833,137972.40397351,57.29,0.589473684210526,58.95,17.88,2.65,0,79.47,10.34
"Abington","2008"," 12",18,18,4168000,0,0,0,0,0,0,0,0,0,18,18,4168000,231555.555555556,4354541,0,0,0,4354541,241918.944444444,-81.25,-0.880794701986755,-88.08,100,0,0,0,1.23
"Abington","2009","  5",12,12,3106383,0,0,0,0,0,0,0,0,0,12,12,3106383,258865.25,3256998,0,0,0,3256998,271416.5,-87.5,-0.333333333333333,-33.33,100,0,0,0,0.82
"Abington","2010","  0",15,15,3773738,0,0,0,0,0,0,0,0,0,15,15,3773738,251582.533333333,3892857,0,0,0,3892857,259523.8,-84.38,0.25,25,100,0,0,0,0.94
"Abington","2011"," 12",14,14,3141366,0,0,0,0,0,0,0,0,0,14,14,3141366,224383.285714286,3141366,0,0,0,3141366,224383.285714286,-85.42,-0.0666666666666667,-6.67,100,0,0,0,0.88
"Acton","2000"," 12",96,96,14663800,7,14,1680000,5,16,1920000,0,0,0,108,126,18263800,144950.793650794,19154823,2194527,2508031,0,23857381,189344.293650794,0,NA,NA,76.19,11.11,12.7,0,6.2
"Acton","2001"," 12",47,47,7348500,0,0,0,0,0,0,1,24,4e+06,48,71,11348500,159838.028169014,9333508,0,0,5080497,14414005,203014.154929577,-43.65,-0.436507936507937,-43.65,66.2,0,0,33.8,3.49
"Acton","2002"," 12",42,42,7055300,0,0,0,0,0,0,0,0,0,42,42,7055300,167983.333333333,8821635,0,0,0,8821635,210038.928571429,-66.67,-0.408450704225352,-40.85,100,0,0,0,2.07
"Acton","2003"," 12",30,30,4225000,0,0,0,0,0,0,0,0,0,30,30,4225000,140833.333333333,5165040,0,0,0,5165040,172168,-76.19,-0.285714285714286,-28.57,100,0,0,0,1.48
"Acton","2004"," 12",30,30,6596500,6,12,1872000,0,0,0,0,0,0,36,42,8468500,201630.952380952,7855003,2229147,0,0,10084150,240098.80952381,-66.67,0.4,40,71.43,28.57,0,0,2.07
"Acton","2005"," 12",58,58,10658000,0,0,0,0,0,0,0,0,0,58,58,10658000,183758.620689655,12275473,0,0,0,12275473,211646.086206897,-53.97,0.380952380952381,38.1,100,0,0,0,2.85
"Acton","2006"," 12",71,71,13257720,0,0,0,0,0,0,0,0,0,71,71,13257720,186728.450704225,14792551,0,0,0,14792551,208345.788732394,-43.65,0.224137931034483,22.41,100,0,0,0,3.49
"Acton","2007"," 12",70,70,16162420,0,0,0,0,0,0,0,0,0,70,70,16162420,230891.714285714,17534116,0,0,0,17534116,250487.371428571,-44.44,-0.0140845070422535,-1.41,100,0,0,0,3.44
"Acton","2008"," 12",49,49,16070551,0,0,0,0,0,0,0,0,0,49,49,16070551,327970.428571429,16789797,0,0,0,16789797,342648.918367347,-61.11,-0.3,-30,100,0,0,0,2.41
"Acton","2009"," 12",32,32,8144275,0,0,0,1,3,774000,0,0,0,33,35,8918275,254807.857142857,8539157,0,811528,0,9350685,267162.428571429,-72.22,-0.285714285714286,-28.57,91.43,0,8.57,0,1.72
