Municipal,County,State,Region,Year,Unemployment_Rate_Avg,No_Unemployed_Avg,No_Employed_Avg,No_Labor_Avg,Labor_Pct_Change
Abington,Plymouth,MA,Abington,2003,5.1,459,8563,9022,0
Abington,Plymouth,MA,Abington,2004,5,459,8648,9107,0.9
Abington,Plymouth,MA,Abington,2005,4.8,442,8677,9119,1.1
Abington,Plymouth,MA,Abington,2006,4.9,448,8778,9226,2.3
Abington,Plymouth,MA,Abington,2007,4.7,440,8895,9335,3.5
Abington,Plymouth,MA,Abington,2008,5.6,529,8984,9513,5.4
Abington,Plymouth,MA,Abington,2009,8.5,816,8782,9598,6.4
Abington,Plymouth,MA,Abington,2010,9,793,8012,8805,-2.4
Abington,Plymouth,MA,Abington,2011,7.7,671,8047,8718,-3.4
Abington,Plymouth,MA,Abington,2012,7,604,8086,8690,-3.7
Abington,Plymouth,MA,Abington,2013,7.1,623,8126,8749,-3
Abington,Plymouth,MA,Abington,2014,6,526,8289,8815,-2.3
Abington,Plymouth,MA,Abington,2015,5.3,468,8375,8843,-2
Abington,Plymouth,MA,Abington,2016,4.2,375,8557,8932,-1
Abington,Plymouth,MA,Abington,2017,4,360,8733,9093,0.8
Abington,Plymouth,MA,Abington,2018,3.7,352,9072,9424,4.5
Acton,Middlesex,MA,Acton,2003,4.8,567,11275,11842,0
Acton,Middlesex,MA,Acton,2004,3.7,430,11225,11655,-1.6
Acton,Middlesex,MA,Acton,2005,3.4,395,11232,11627,-1.8
Acton,Middlesex,MA,Acton,2006,3.5,399,11080,11479,-3.1
Acton,Middlesex,MA,Acton,2007,3.1,358,11227,11585,-2.2
Acton,Middlesex,MA,Acton,2008,3.7,427,11249,11676,-1.4
Acton,Middlesex,MA,Acton,2009,5.8,683,11071,11754,-0.7
Acton,Middlesex,MA,Acton,2010,6.1,694,10735,11429,-3.5
Acton,Middlesex,MA,Acton,2011,5,579,10893,11472,-3.1
Acton,Middlesex,MA,Acton,2012,4.7,543,11117,11660,-1.5
