Municipal,Fiscal_Year,Total_Budget,Residential,Open_Space,Commercial,Industrial,Personal_Property,Total_Levy,Inflation_Adjusted_Residential,Inflation_Adjusted_Open_Space,Inflation_Adjusted_Commercial,Inflation_Adjusted_Industrial,Inflation_Adjusted_Personal_Property,Inflation_Adjusted_Total_Levy,Percentage_of_Residential,Percentage_of_Open_Space,Percentage_of_Commercial,Percentage_of_Industrial,Percentage_of_Personal_Property,Total_Levy_Pct_Change,Total_Levy_Million,Residential_Million,Open_Space_Million,Commercial_Million,Industrial_Million,Personal_Property_Million
Abington,2003,32728571.75,14091729,0,1634200,203531,352540,16282000,19231151,0,2230212,277761,481116,22220240,86.55,0,10.04,1.25,2.17,0,22.22,19.23,0,2.23,0.28,0.48
Abington,2004,33460683.07,16190475,0,1467471,199513,347702,18205161,21522190,0,1950727,265215,462204,24200335,88.93,0,8.06,1.1,1.91,8.9,24.2,21.52,0,1.95,0.27,0.46
Abington,2005,35924152.51,17058536,0,1725512,234563,306809,19325420,21933015,0,2218577,301589,394480,24847661,88.27,0,8.93,1.21,1.59,11.8,24.85,21.93,0,2.22,0.3,0.39
Abington,2006,39731412.16,17788540,0,1970248,258294,305607,20322689,22156880,0,2454083,321723,380655,25313341,87.53,0,9.69,1.27,1.5,13.9,25.31,22.16,0,2.45,0.32,0.38
Abington,2007,43207964.11,19117571,0,2209809,251847,317854,21897081,23152839,0,2676247,305006,384945,26519038,87.31,0,10.09,1.15,1.45,19.3,26.52,23.15,0,2.68,0.31,0.38
Abington,2008,43813673.18,19292140,0,2358395,265473,361778,22277786,22500343,0,2750586,309620,421940,25982490,86.6,0,10.59,1.19,1.62,16.9,25.98,22.5,0,2.75,0.31,0.42
Abington,2009,47011532.36,21082103,0,2641578,303976,450619,24478276,24675761,0,3091862,355792,527432,28650846,86.13,0,10.79,1.24,1.84,28.9,28.65,24.68,0,3.09,0.36,0.53
Abington,2010,43629169.5,21846515,0,2861285,304765,514680,25527245,25157817,0,3294973,350959,592691,29396439,85.58,0,11.21,1.19,2.02,32.3,29.4,25.16,0,3.29,0.35,0.59
Abington,2011,44697691.23,22877359,0,3050037,310909,646622,26884927,25538768,0,3404859,347078,721846,30012552,85.09,0,11.34,1.16,2.41,35.1,30.01,25.54,0,3.4,0.35,0.72
Abington,2012,46934186.06,23178847,0,3055774,321921,572770,27129312,25350709,0,3342101,352085,626439,29671334,85.44,0,11.26,1.19,2.11,33.5,29.67,25.35,0,3.34,0.35,0.63
Abington,2013,47342153.62,23969410,0,3143844,338378,588912,28040544,25836900,0,3388785,364741,634795,30225221,85.48,0,11.21,1.21,2.1,36,30.23,25.84,0,3.39,0.36,0.63
Abington,2014,48047309,24214898,0,3288715,352483,589105,28445201,25684857,0,3488356,373880,624866,30171960,85.13,0,11.56,1.24,2.07,35.8,30.17,25.68,0,3.49,0.37,0.62
Abington,2015,48040119,25158309,0,3230867,347667,602886,29339729,26653900,0,3422933,368335,638726,31083894,85.75,0,11.01,1.18,2.05,39.9,31.08,26.65,0,3.42,0.37,0.64
Abington,2016,51335227,27247590,0,3376425,314065,657827,31595907,32580155,0,4037218,375530,786569,37779471,86.24,0,10.69,0.99,2.08,70,37.78,32.58,0,4.04,0.38,0.79
Abington,2017,56678607,29771290,0,3435217,329126,714226,34249859,30498447,0,3519121,337165,731671,35086404,86.92,0,10.03,0.96,2.09,57.9,35.09,30.5,0,3.52,0.34,0.73
Abington,2018,58207580,30786379,0,3421353,329399,705704,35242835,30786379,0,3421353,329399,705704,35242835,87.36,0,9.71,0.93,2,58.6,35.24,30.79,0,3.42,0.33,0.71
Acton,2003,57504888.41,36590043,0,3601992,1241819,486956,41920810,49934869,0,4915682,1694725,664555,57209831,87.28,0,8.59,2.96,1.16,0,57.21,49.93,0,4.92,1.69,0.66
Acton,2004,64445851.97,40670679,0,3956132,1384771,689566,46701148,54064014,0,5258933,1840792,916648,62080387,87.09,0,8.47,2.97,1.48,8.5,62.08,54.06,0,5.26,1.84,0.92
Acton,2005,68881312.47,42855278,0,3965401,1363670,734190,48918539,55101179,0,5098515,1753339,943985,62897018,87.61,0,8.11,2.79,1.5,9.9,62.9,55.1,0,5.1,1.75,0.94
Acton,2006,68977826.55,48388760,0,4524519,1555226,590910,55059415,60271609,0,5635607,1937144,736020,68580380,87.88,0,8.22,2.82,1.07,19.9,68.58,60.27,0,5.64,1.94,0.74
Acton,2007,72881896.74,50094321,0,5336154,1684866,604000,57719341,60668049,0,6462490,2040501,731490,69902531,86.79,0,9.25,2.92,1.05,22.2,69.9,60.67,0,6.46,2.04,0.73
Acton,2008,77314915.73,51324892,0,5512885,1716493,718409,59272679,59860010,0,6429655,2001939,837877,69129481,86.59,0,9.3,2.9,1.21,20.8,69.13,59.86,0,6.43,2,0.84
Acton,2009,80925052.3,53769049,0,5559306,1711118,968774,62008247,62934527,0,6506946,2002795,1133911,72578179,86.71,0,8.97,2.76,1.56,26.9,72.58,62.93,0,6.51,2,1.13
Acton,2010,82498451.54,55769176,0,5497569,1675574,1110816,64053135,64222174,0,6330842,1929543,1279184,73761743,87.07,0,8.58,2.62,1.73,28.9,73.76,64.22,0,6.33,1.93,1.28
Acton,2011,85551488.14,57398208,0,5590238,1644477,1192268,65825191,64075557,0,6240571,1835785,1330969,73482883,87.2,0,8.49,2.5,1.81,28.4,73.48,64.08,0,6.24,1.84,1.33
Acton,2012,85484019.69,59085091,0,5550450,1703587,1211627,67550755,64621375,0,6070528,1863213,1325157,73880273,87.47,0,8.22,2.52,1.79,29.1,73.88,64.62,0,6.07,1.86,1.33
Acton,2013,87895061.29,61275263,0,5976485,1798426,1220951,70271125,66049303,0,6442121,1938544,1316077,75746045,87.2,0,8.5,2.56,1.74,32.4,75.75,66.05,0,6.44,1.94,1.32
Acton,2014,91841994,63172698,0,5949040,1805745,1353894,72281377,67007581,0,6310175,1915362,1436082,76669200,87.4,0,8.23,2.5,1.87,34,76.67,67.01,0,6.31,1.92,1.44
Acton,2015,90244123,65694136,0,5785869,1740505,1184106,74404616,69599469,0,6129823,1843973,1254498,78827763,88.29,0,7.78,2.34,1.59,37.8,78.83,69.6,0,6.13,1.84,1.25
Acton,2016,97777023,68390226,0,6081020,1757470,1348630,77577346,81774724,0,7271123,2101421,1612567,92759835,88.16,0,7.84,2.27,1.74,62.1,92.76,81.77,0,7.27,2.1,1.61
Acton,2017,98270842,71255442,0,6120481,1737499,1519040,80632462,72995840,0,6269972,1779937,1556142,82601891,88.37,0,7.59,2.15,1.88,44.4,82.6,73,0,6.27,1.78,1.56
Acton,2018,101271391,73989960,0,6116257,1759917,1626549,83492683,73989960,0,6116257,1759917,1626549,83492683,88.62,0,7.33,2.11,1.95,45.9,83.49,73.99,0,6.12,1.76,1.63
Acushnet,2003,21492265.63,8290981,0,387661,339835,298013,9316490,11314801,0,529046,463777,406702,12714325,88.99,0,4.16,3.65,3.2,0,12.71,11.31,0,0.53,0.46,0.41
Acushnet,2004,22907878.24,8921375,0,439919,533639,260430,10155363,11859289,0,584790,709373,346193,13499644,87.85,0,4.33,5.25,2.56,6.2,13.5,11.86,0,0.58,0.71,0.35
Acushnet,2005,23457794.08,9596142,0,366034,460488,223603,10646267,12338241,0,470628,592073,287498,13688439,90.14,0,3.44,4.33,2.1,7.7,13.69,12.34,0,0.47,0.59,0.29
Acushnet,2006,24820766.66,9980913,0,360231,375565,198610,10915319,12431930,0,448693,467793,247383,13595799,91.44,0,3.3,3.44,1.82,6.9,13.6,12.43,0,0.45,0.47,0.25
Acushnet,2007,25624194.86,10585823,0,369414,361552,196150,11512939,12820240,0,447389,437867,237553,13943049,91.95,0,3.21,3.14,1.7,9.7,13.94,12.82,0,0.45,0.44,0.24
Acushnet,2008,26875499.36,10798074,0,387632,380351,230513,11796570,12593749,0,452094,443602,268846,13758291,91.54,0,3.29,3.22,1.95,8.2,13.76,12.59,0,0.45,0.44,0.27
Acushnet,2009,27279303.8,11164636,0,404891,391876,294224,12255627,13067761,0,473909,458675,344377,14344722,91.1,0,3.3,3.2,2.4,12.8,14.34,13.07,0,0.47,0.46,0.34
Acushnet,2010,26539461.28,11551731,0,430929,366522,335047,12684229,13302640,0,496245,422076,385830,14606792,91.07,0,3.4,2.89,2.64,14.9,14.61,13.3,0,0.5,0.42,0.39
Acushnet,2011,27040316.62,11872193,0,453670,373037,373841,13072741,13253330,0,506447,416434,417331,14593542,90.82,0,3.47,2.85,2.86,14.8,14.59,13.25,0,0.51,0.42,0.42
Acushnet,2012,27701330.09,12200222,0,491871,387385,447308,13526786,13343385,0,537959,423683,489221,14794248,90.19,0,3.64,2.86,3.31,16.4,14.79,13.34,0,0.54,0.42,0.49
Acushnet,2013,28262209.72,12517607,0,529951,409139,498326,13955023,13492871,0,571240,441016,537151,15042278,89.7,0,3.8,2.93,3.57,18.3,15.04,13.49,0,0.57,0.44,0.54
Acushnet,2014,28511490,12934679,0,566480,394081,549758,14444998,13719875,0,600868,418004,583131,15321878,89.54,0,3.92,2.73,3.81,20.5,15.32,13.72,0,0.6,0.42,0.58
Acushnet,2015,29492388,13343852,0,588217,403879,624426,14960374,14137107,0,623185,427888,661546,15849727,89.19,0,3.93,2.7,4.17,24.7,15.85,14.14,0,0.62,0.43,0.66
Acushnet,2016,30821983,14098060,0,601139,416795,696089,15812083,16857160,0,718787,498365,832319,18906630,89.16,0,3.8,2.64,4.4,48.7,18.91,16.86,0,0.72,0.5,0.83
Acushnet,2017,31959620,14591582,0,594735,424216,799223,16409756,14947978,0,609261,434577,818744,16810561,88.92,0,3.62,2.59,4.87,32.2,16.81,14.95,0,0.61,0.43,0.82
Acushnet,2018,32399384,15059847,0,598913,439926,964102,17062788,15059847,0,598913,439926,964102,17062788,88.26,0,3.51,2.58,5.65,34.2,17.06,15.06,0,0.6,0.44,0.96
Adams,2003,11292756.47,4485390,0,584414,407101,324636,5801541,6121265,0,797557,555576,443035,7917432,77.31,0,10.07,7.02,5.6,0,7.92,6.12,0,0.8,0.56,0.44
Adams,2004,11552610.91,4707412,0,597274,427333,335317,6067336,6257618,0,793963,568059,445741,8065381,77.59,0,9.84,7.04,5.53,1.9,8.07,6.26,0,0.79,0.57,0.45
Adams,2005,12262738.2,5148537,0,621609,438033,337397,6545576,6619732,0,799234,563201,433808,8415975,78.66,0,9.5,6.69,5.15,6.3,8.42,6.62,0,0.8,0.56,0.43
Adams,2006,12702231.65,5268654,0,646356,449674,311044,6675728,6562480,0,805082,560101,387427,8315089,78.92,0,9.68,6.74,4.66,5,8.32,6.56,0,0.81,0.56,0.39
Adams,2007,13518883.1,5798557,0,706922,497501,346773,7349753,7022495,0,856137,602512,419969,8901112,78.89,0,9.62,6.77,4.72,12.4,8.9,7.02,0,0.86,0.6,0.42
Adams,2008,13332857.05,5985232,0,666702,521904,341251,7515089,6980551,0,777572,608694,398000,8764817,79.64,0,8.87,6.94,4.54,10.7,8.76,6.98,0,0.78,0.61,0.4
Adams,2009,14158695.69,6291215,0,692019,545259,429347,7957840,7363616,0,809981,638204,502534,9314334,79.06,0,8.7,6.85,5.4,17.6,9.31,7.36,0,0.81,0.64,0.5
