Alphabetic List of Variables and Attributes,,,,,,
#,Variable,Type,Len,Format,Informat,Label
5,BA003_001,Char,9,,,BA003_001 : Five Year Average
6,BA003_002,Char,19,$19.00 ,$19.00 ,BA003_002 : Id
7,BA003_003,Char,10,$10.00 ,$10.00 ,BA003_003 : Id2
8,BA003_004,Char,67,$67.00 ,$67.00 ,BA003_004 : Geography
9,BA003_005,Char,48,$48.00 ,$48.00 ,BA003_005 : Estimate; SEX AND AGE - Total population
10,BA003_006,Char,55,$55.00 ,$55.00 ,BA003_006 : Estimate Margin of Error; SEX AND AGE - Total population
11,BA003_007,Char,56,$56.00 ,$56.00 ,BA003_007 : Percent Margin of Error; SEX AND AGE - Total population
12,BA003_008,Char,55,$55.00 ,$55.00 ,BA003_008 : Estimate; SEX AND AGE - Male
13,BA003_009,Char,62,$62.00 ,$62.00 ,BA003_009 : Estimate Margin of Error; SEX AND AGE - Male
14,BA003_010,Char,56,$56.00 ,$56.00 ,BA003_010 : Percent; SEX AND AGE - Male
15,BA003_011,Char,63,$63.00 ,$63.00 ,BA003_011 : Percent Margin of Error; SEX AND AGE - Male
16,BA003_012,Char,57,$57.00 ,$57.00 ,BA003_012 : Estimate; SEX AND AGE - Female
17,BA003_013,Char,64,$64.00 ,$64.00 ,BA003_013 : Estimate Margin of Error; SEX AND AGE - Female
18,BA003_014,Char,58,$58.00 ,$58.00 ,BA003_014 : Percent; SEX AND AGE - Female
19,BA003_015,Char,65,$65.00 ,$65.00 ,BA003_015 : Percent Margin of Error; SEX AND AGE - Female
20,BA003_016,Char,64,$64.00 ,$64.00 ,BA003_016 : Estimate; SEX AND AGE - Under 5 years
21,BA003_017,Char,71,$71.00 ,$71.00 ,BA003_017 : Estimate Margin of Error; SEX AND AGE - Under 5 years
22,BA003_018,Char,65,$65.00 ,$65.00 ,BA003_018 : Percent; SEX AND AGE - Under 5 years
23,BA003_019,Char,72,$72.00 ,$72.00 ,BA003_019 : Percent Margin of Error; SEX AND AGE - Under 5 years
24,BA003_020,Char,63,$63.00 ,$63.00 ,BA003_020 : Estimate; SEX AND AGE - 5 to 9 years
25,BA003_021,Char,70,$70.00 ,$70.00 ,BA003_021 : Estimate Margin of Error; SEX AND AGE - 5 to 9 years
26,BA003_022,Char,64,$64.00 ,$64.00 ,BA003_022 : Percent; SEX AND AGE - 5 to 9 years
27,BA003_023,Char,71,$71.00 ,$71.00 ,BA003_023 : Percent Margin of Error; SEX AND AGE - 5 to 9 years
28,BA003_024,Char,65,$65.00 ,$65.00 ,BA003_024 : Estimate; SEX AND AGE - 10 to 14 years
29,BA003_025,Char,72,$72.00 ,$72.00 ,BA003_025 : Estimate Margin of Error; SEX AND AGE - 10 to 14 years
30,BA003_026,Char,66,$66.00 ,$66.00 ,BA003_026 : Percent; SEX AND AGE - 10 to 14 years
31,BA003_027,Char,73,$73.00 ,$73.00 ,BA003_027 : Percent Margin of Error; SEX AND AGE - 10 to 14 years
32,BA003_028,Char,65,$65.00 ,$65.00 ,BA003_028 : Estimate; SEX AND AGE - 15 to 19 years
33,BA003_029,Char,72,$72.00 ,$72.00 ,BA003_029 : Estimate Margin of Error; SEX AND AGE - 15 to 19 years
