"Municipal","County","State","Region","Five_Year_Range","Total_Population","Margin_Error_Total_Population","Male_Pct","Margin_Error_Male","Female_Pct","Margin_Error_Female","Age_under_5_Pct","Margin_Error_under_5_Pct","Age_5_9_Pct","Margin_Error_5_9_Pct","Age_10_14_Pct","Margin_Error_10_14_Pct","Age_15_19_Pct","Margin_Error_15_19_Pct","Age_20_24_Pct","Margin_Error_20_24_Pct","Age_25_34_Pct","Margin_Error_25_34_Pct","Age_35_44_Pct","Margin_Error_35_44_Pct","Age_45_54_Pct","Margin_Error_45_54_Pct","Age_55_59_Pct","Margin_Error_55_59_Pct","Age_60_64_Pct","Margin_Error_60_64_Pct","Age_65_74_Pct","Margin_Error_65_74_Pct","Age_75_84_Pct","Margin_Error_75_84_Pct","Age_over_85_Pct","Margin_Error_85._Pct","White_Pct","Margin_Error_White_Pct","Black_Pct","Margin_Error_Black_Pct","American_Indian_and_Alaska_Native_Pct","Margin_Error_American_Indian_and_Alaska_Native_Pct","Asian_Pct","Margin_Error_Asian_Pct","Hawaiian_and_Other_Pacific_Islander_Pct","Margin_Error_Hawaiian_and_Other_Pacific_Islander_Pct","Others_Pct","Margin_Error_Others_Pct","Hispanic_Pct","Margin_Error_Hispanic_Pct","Not_Hispanic_Pct","Margin_Error_Not_Hispanic_Pct","Age_under_20_Pct_plot","Age_20_34_Pct_plot","Age_35_54_Pct_plot","Age_55_64_Pct_plot","Age_65_74_Pct_plot","Age_over_75_Pct_plot"
NA,NA,NA,"United States","2005-2009",301461533,"*****",49.3,"0.1",50.7,"0.1",6.9,"0.1",6.6,0.1,6.8,0.1,7.1,0.1,7,0.1,13.4,"0.1",14.2,"0.1",14.5,"0.1",6,0.1,4.8,0.1,6.5,"0.1",4.4,0.1,1.7,0.1,76.4,0.1,13.2,0.1,1.5,0.1,5,0.1,0.3,0.1,6.1,0.1,15.1,"0.1",84.9,"0.1",27.4,20.4,28.7,10.8,6.5,6.1
NA,NA,NA,"United States","2006-2010",303965272,"*****",49.1,"0.1",50.9,"0.1",6.6,"0.1",6.6,0.1,6.8,0.1,7.3,0.1,7,0.1,13.2,"0.1",13.9,"0.1",14.6,"0.1",6.2,0.1,5.1,0.1,6.7,"0.1",4.3,0.1,1.7,0.1,76.1,0.1,13.4,0.1,1.6,0.1,5.3,0.1,0.3,0.1,6,0.1,15.7,"0.1",84.3,"0.1",27.3,20.2,28.5,11.3,6.7,6
NA,NA,NA,"United States","2007-2011",306603772,"*****",49.2,"0.1",50.8,"0.1",6.6,"0.1",6.6,0.1,6.7,0.1,7.2,0.1,7,0.1,13.3,"0.1",13.6,"0.1",14.5,"0.1",6.3,0.1,5.3,0.1,6.9,"0.1",4.3,0.1,1.7,0.1,76.3,0.1,13.5,0.1,1.6,0.1,5.5,0.1,0.3,0.1,5.6,0.1,16.1,"0.1",83.9,"0.1",27.1,20.3,28.1,11.6,6.9,6
NA,NA,NA,"United States","2008-2012",309138711,"*****",49.2,"0.1",50.8,"0.1",6.5,"0.1",6.6,0.1,6.7,0.1,7.1,0.1,7,0.1,13.3,"0.1",13.3,"0.1",14.4,"0.1",6.4,0.1,5.5,0.1,7.1,"0.1",4.3,0.1,1.8,0.1,76.5,0.1,13.6,0.1,1.6,0.1,5.6,0.1,0.4,0.1,5.3,0.1,16.4,"0.1",83.6,"0.1",26.9,20.3,27.7,11.9,7.1,6.1
NA,NA,"MA","MA","2005-2009",6511176,"*****",48.5,"0.1",51.5,"0.1",5.9,"0.1",6,0.1,6.3,0.1,7.2,0.1,6.8,0.1,12.9,"0.1",15,"0.1",15.3,"0.1",6.3,0.1,5,0.1,6.5,"0.1",4.7,0.1,2.1,0.1,84.4,0.1,7.1,0.1,0.6,0.1,5.2,0.1,0.1,0.1,4.6,0.1,8.3,"0.1",91.7,"0.1",25.4,19.7,30.3,11.3,6.5,6.8
NA,NA,"MA","MA","2006-2010",6477096,"*****",48.4,"0.1",51.6,"0.1",5.7,"0.1",6,0.1,6.3,0.1,7.2,0.1,7.1,0.1,12.8,"0.1",14.4,"0.1",15.3,"0.1",6.4,0.1,5.3,0.1,6.6,"0.1",4.8,0.1,2.1,0.1,83.6,0.1,7.7,0.1,0.6,0.1,5.7,0.1,0.1,0.1,4.6,0.1,9,"0.1",91,"0.1",25.2,19.9,29.7,11.7,6.6,6.9
NA,NA,"MA","MA","2007-2011",6512227,"*****",48.4,"0.1",51.6,"0.1",5.6,"0.1",6,0.1,6.2,0.1,7.2,0.1,7.1,0.1,12.9,"0.1",14,"0.1",15.4,"0.1",6.5,0.1,5.5,0.1,6.8,"0.1",4.7,0.1,2.2,0.1,83.4,0.1,7.9,0.1,0.6,0.1,5.9,0.1,0.1,0.1,4.6,0.1,9.3,"0.1",90.7,"0.1",25,20,29.4,12,6.8,6.9
NA,NA,"MA","MA","2008-2012",6560595,"*****",48.4,"0.1",51.6,"0.1",5.6,"0.1",5.9,0.1,6.1,0.1,7.1,0.1,7.2,0.1,13,"0.1",13.6,"0.1",15.3,"0.1",6.6,0.1,5.7,0.1,7.1,"0.1",4.6,0.1,2.2,0.1,83.2,0.1,8.2,0.1,0.7,0.1,6,0.1,0.1,0.1,4.5,0.1,9.6,"0.1",90.4,"0.1",24.7,20.2,28.9,12.3,7.1,6.8
"Abington","Plymouth County","MA","Abington","2005-2009",16399,"36",49.7,"1.8",50.3,"1.8",6.2,"1.5",4.5,0.9,8.1,1.6,6.3,1.2,5.8,2,12.7,"3.3",14.9,"2.1",17.1,"1.5",5.7,1.4,5.7,1.2,8.4,"1.3",2.8,0.9,1.8,0.8,95.9,2.2,2.3,2.1,0,0.2,1.7,0.9,0,0.2,0.4,0.3,1,"0.9",99,"0.9",25.1,18.5,32,11.4,8.4,4.6
"Abington","Plymouth County","MA","Abington","2006-2010",15704,"46",48.8,"1.8",51.2,"1.8",6.5,"1.6",4.3,1.1,8.4,1.4,6.8,1.4,4.9,1.8,11.6,"2.5",16,"1.8",16.8,"2.1",5.6,1.2,6.8,1.4,7.5,"1",2.9,0.7,2.1,0.7,95.7,2.3,2,2,0,0.2,2.4,1.3,0,0.2,0.2,0.3,1.1,"1",98.9,"1",26,16.5,32.8,12.4,7.5,5
