"Municipal","County","State","Region","Five_Year_Range","Total_Population","Margin_Error_Total_Population","Male_Pct","Margin_Error_Male","Female_Pct","Margin_Error_Female","under_5_Pct","Margin_Error_under_5_Pct","5_9_Pct","Margin_Error_5_9_Pct","10_14_Pct","Margin_Error_10_14_Pct","15_19_Pct","Margin_Error_15_19_Pct","20_24_Pct","Margin_Error_20_24_Pct","25_34_Pct","Margin_Error_25_34_Pct","35_44_Pct","Margin_Error_35_44_Pct","45_54_Pct","Margin_Error_45_54_Pct","55_59_Pct","Margin_Error_55_59_Pct","60_64_Pct","Margin_Error_60_64_Pct","65_74_Pct","Margin_Error_65_74_Pct","75_84_Pct","Margin_Error_75_84_Pct","85+_Pct","Margin_Error_85+_Pct","White_Pct","Margin_Error_White_Pct","Black_Pct","Margin_Error_Black_Pct","American_Indian_and_ Alaska_Native_Pct","Margin_Error_American_Indian_and_ Alaska_Native_Pct","Asian_Pct","Margin_Error_Asian_Pct","Hawaiian_and_Other_Pacific_Islander_Pct","Margin_Error_Hawaiian_and_Other_Pacific_Islander_Pct","Others_Pct","Margin_Error_Others_Pct","Hispanic_Pct","Margin_Error_Hispanic_Pct","Not_Hispanic_Pct","Margin_Error_Not_Hispanic_Pct"
NA,NA,NA,"United States","2005-2009","301461533","*****","49.3","0.1","50.7","0.1","6.9","0.1","6.6","0.1","6.8","0.1","7.1","0.1","7","0.1","13.4","0.1","14.2","0.1","14.5","0.1","6","0.1","4.8","0.1","6.5","0.1","4.4","0.1","1.7","0.1","76.4","0.1","13.2","0.1","1.5","0.1","5","0.1","0.3","0.1","6.1","0.1","15.1","0.1","84.9","0.1"
NA,NA,"MA","MA","2005-2009","6511176","*****","48.5","0.1","51.5","0.1","5.9","0.1","6","0.1","6.3","0.1","7.2","0.1","6.8","0.1","12.9","0.1","15","0.1","15.3","0.1","6.3","0.1","5","0.1","6.5","0.1","4.7","0.1","2.1","0.1","84.4","0.1","7.1","0.1","0.6","0.1","5.2","0.1","0.1","0.1","4.6","0.1","8.3","0.1","91.7","0.1"
NA,"Barnstable County","MA","Barnstable County","2005-2009","222629","*****","47.4","0.1","52.6","0.1","4.3","0.1","4.7","0.2","5.3","0.2","6","0.1","5.1","0.1","7","0.1","12.3","0.1","15.9","0.1","8.1","0.3","7.5","0.3","12","0.1","8.7","0.2","3.1","0.2","95.7","0.3","2.8","0.1","1.1","0.1","1.2","0.1","0","0.1","1","0.2","1.8","*****","98.2","*****"
NA,"Berkshire County","MA","Berkshire County","2005-2009","130168","*****","48","0.1","52","0.1","4.8","0.1","5.5","0.3","5.7","0.3","7.3","0.1","6.8","0.1","9","0.2","13.1","0.2","16.3","0.1","7.4","0.3","6","0.3","8.6","0.1","6.8","0.2","2.7","0.2","95.4","0.3","3.2","0.1","0.5","0.1","1.7","0.1","0","0.1","0.8","0.2","2.5","*****","97.5","*****"
NA,"Bristol County","MA","Bristol County","2005-2009","545210","*****","48.3","0.1","51.7","0.1","5.9","*****","6.1","0.2","6.7","0.2","7.1","0.1","6.5","0.1","12.1","0.1","15.3","0.1","15.3","0.1","6.2","0.2","5.1","0.2","6.5","0.1","4.9","0.1","2.2","0.1","91.9","0.3","4.1","0.1","0.7","0.1","2","0.1","0.1","0.1","3.3","0.3","5","*****","95","*****"
NA,"Dukes County","MA","Dukes County","2005-2009","15675","*****","47.8","1.3","52.2","1.3","5.7","0.8","4.3","1","6.1","0.9","6.8","1.3","5.7","1.4","8.3","1","14.1","0.9","17.5","0.4","9.7","1.4","6.3","1.4","7.9","0.2","5.7","0.6","1.8","0.6","88.4","3.3","4.2","1","3.1","0.4","0.7","0.7","0","0.2","5.5","3.3","0.6","0.6","99.4","0.6"
NA,"Essex County","MA","Essex County","2005-2009","734889","*****","48.4","0.1","51.6","0.1","6.2","0.1","6.3","0.2","6.9","0.1","7","0.1","6.1","0.1","10.8","0.1","15.1","0.1","16.2","0.1","6.4","0.1","5.3","0.1","6.6","0.1","4.9","0.1","2.3","0.1","84.7","0.3","4.1","0.2","0.4","0.1","3.3","0.1","0.1","0.1","9.2","0.3","14.2","*****","85.8","*****"
NA,"Franklin County","MA","Franklin County","2005-2009","71826","*****","49.1","0.2","50.9","0.2","4.8","0.1","5.5","0.3","5.5","0.3","6.8","0.2","6.1","0.1","11","0.2","13.7","0.2","17.7","0.2","8.5","0.4","6.1","0.4","7","0.1","4.9","0.3","2.4","0.3","96.5","0.4","1.8","0.2","1","0.1","1.6","0.1","0.1","0.1","1","0.3","2.6","*****","97.4","*****"
NA,"Hampden County","MA","Hampden County","2005-2009","468171","*****","48.2","0.1","51.8","0.1","6.1","0.1","6.4","0.2","7","0.2","7.9","0.1","7.1","0.1","11.5","0.1","13.9","0.1","15","0.1","6.3","0.2","4.8","0.2","6.5","0.1","4.9","0.1","2.4","0.1","80.4","0.4","9.4","0.2","0.6","0.1","1.9","0.1","0","0.1","9.6","0.4","18.5","*****","81.5","*****"
NA,"Hampshire County","MA","Hampshire County","2005-2009","155160","*****","47","0.1","53","0.1","4.1","0.1","4.7","0.3","5.3","0.3","11.4","0.2","15.2","0.2","7.3","0.1","12.8","0.2","15.1","0.1","6.8","0.3","5","0.3","6","0.1","4.4","0.2","1.9","0.2","92.2","0.4","3","0.2","0.6","0.1","4.2","0.1","0","0.1","2","0.3","4.4","*****","95.6","*****"
