Alphabetic List of Variables and Attributes,,,,,,
#,Variable,Type,Len,Format,Informat,Label
5,BA002_001,Char,9,,,BA002_001 : Five_Year_Average
6,BA002_002,Char,19,$19.00 ,$19.00 ,BA002_002 : Id
7,BA002_003,Char,10,$10.00 ,$10.00 ,BA002_003 : Id2
8,BA002_004,Char,67,$67.00 ,$67.00 ,BA002_004 : Geography
9,BA002_005,Char,47,$47.00 ,$47.00 ,BA002_005 : Estimate; HOUSEHOLDS BY TYPE - Total households
10,BA002_006,Char,63,$63.00 ,$63.00 ,BA002_006 : Estimate Margin of Error; HOUSEHOLDS BY TYPE - Total households
11,BA002_007,Char,62,$62.00 ,$62.00 ,BA002_007 : Percent Margin of Error; HOUSEHOLDS BY TYPE - Total households
12,BA002_008,Char,59,$59.00 ,$59.00 ,BA002_008 : Estimate; HOUSEHOLDS BY TYPE - Family households (families)
13,BA002_009,Char,75,$75.00 ,$75.00 ,BA002_009 : Estimate Margin of Error; HOUSEHOLDS BY TYPE - Family households (families)
14,BA002_010,Char,58,$58.00 ,$58.00 ,BA002_010 : Percent; HOUSEHOLDS BY TYPE - Family households (families)
15,BA002_011,Char,74,$74.00 ,$74.00 ,BA002_011 : Percent Margin of Error; HOUSEHOLDS BY TYPE - Family households (families)
16,BA002_012,Char,51,$51.00 ,$51.00 ,BA002_012 : Estimate; HOUSEHOLDS BY TYPE - Nonfamily households
17,BA002_013,Char,67,$67.00 ,$67.00 ,BA002_013 : Estimate Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households
18,BA002_014,Char,50,$50.00 ,$50.00 ,BA002_014 : Percent; HOUSEHOLDS BY TYPE - Nonfamily households
19,BA002_015,Char,66,$66.00 ,$66.00 ,BA002_015 : Percent Margin of Error; HOUSEHOLDS BY TYPE - Nonfamily households
20,BA002_016,Char,80,$80.00 ,$80.00 ,BA002_016 : Estimate; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
21,BA002_017,Char,96,$96.00 ,$96.00 ,BA002_017 : Estimate Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
22,BA002_018,Char,79,$79.00 ,$79.00 ,BA002_018 : Percent; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
23,BA002_019,Char,95,$95.00 ,$95.00 ,BA002_019 : Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people under 18 years
24,BA002_020,Char,83,$83.00 ,$83.00 ,BA002_020 : Estimate; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
25,BA002_021,Char,99,$99.00 ,$99.00 ,BA002_021 : Estimate Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
26,BA002_022,Char,82,$82.00 ,$82.00 ,BA002_022 : Percent; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
27,BA002_023,Char,98,$98.00 ,$98.00 ,BA002_023 : Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
28,BA002_024,Char,53,$53.00 ,$53.00 ,BA002_024 : Estimate; HOUSEHOLDS BY TYPE - Average household size
29,BA002_025,Char,69,$69.00 ,$69.00 ,BA002_025 : Estimate Margin of Error; HOUSEHOLDS BY TYPE - Average household size
30,BA002_026,Char,52,$52.00 ,$52.00 ,BA002_026 : Percent; HOUSEHOLDS BY TYPE - Average household size
31,BA002_027,Char,68,$68.00 ,$68.00 ,BA002_027 : Percent Margin of Error; HOUSEHOLDS BY TYPE - Average household size
32,BA002_028,Char,50,$50.00 ,$50.00 ,BA002_028 : Estimate; HOUSEHOLDS BY TYPE - Average family size
33,BA002_029,Char,66,$66.00 ,$66.00 ,BA002_029 : Estimate Margin of Error; HOUSEHOLDS BY TYPE - Average family size
34,BA002_030,Char,49,$49.00 ,$49.00 ,BA002_030 : Percent; HOUSEHOLDS BY TYPE - Average family size
35,BA002_031,Char,65,$65.00 ,$65.00 ,BA002_031 : Percent Margin of Error; HOUSEHOLDS BY TYPE - Average family size
36,BA002_032,Char,50,$50.00 ,$50.00 ,BA002_032 : Estimate; MARITAL STATUS - Males 15 years and over
37,BA002_033,Char,66,$66.00 ,$66.00 ,BA002_033 : Estimate Margin of Error; MARITAL STATUS - Males 15 years and over
39,BA002_034,Char,65,$65.00 ,$65.00 ,BA002_034 : Percent Margin of Error; MARITAL STATUS - Males 15 years and over
40,BA002_035,Char,40,$40.00 ,$40.00 ,BA002_035 : Estimate; MARITAL STATUS - Never married
41,BA002_036,Char,56,$56.00 ,$56.00 ,BA002_036 : Estimate Margin of Error; MARITAL STATUS - Never married
42,BA002_037,Char,39,$39.00 ,$39.00 ,BA002_037 : Percent; MARITAL STATUS - Never married
43,BA002_038,Char,55,$55.00 ,$55.00 ,BA002_038 : Percent Margin of Error; MARITAL STATUS - Never married
44,BA002_039,Char,58,$58.00 ,$58.00 ,"BA002_039 : Estimate; MARITAL STATUS - Now married, except separated"
45,BA002_040,Char,74,$74.00 ,$74.00 ,"BA002_040 : Estimate Margin of Error; MARITAL STATUS - Now married, except separated"
46,BA002_041,Char,57,$57.00 ,$57.00 ,"BA002_041 : Percent; MARITAL STATUS - Now married, except separated"
47,BA002_042,Char,73,$73.00 ,$73.00 ,"BA002_042 : Percent Margin of Error; MARITAL STATUS - Now married, except separated"
48,BA002_043,Char,36,$36.00 ,$36.00 ,BA002_043 : Estimate; MARITAL STATUS - Separated
49,BA002_044,Char,52,$52.00 ,$52.00 ,BA002_044 : Estimate Margin of Error; MARITAL STATUS - Separated
50,BA002_045,Char,35,$35.00 ,$35.00 ,BA002_045 : Percent; MARITAL STATUS - Separated
51,BA002_046,Char,51,$51.00 ,$51.00 ,BA002_046 : Percent Margin of Error; MARITAL STATUS - Separated
52,BA002_047,Char,34,$34.00 ,$34.00 ,BA002_047 : Estimate; MARITAL STATUS - Widowed
53,BA002_048,Char,50,$50.00 ,$50.00 ,BA002_048 : Estimate Margin of Error; MARITAL STATUS - Widowed
54,BA002_049,Char,33,$33.00 ,$33.00 ,BA002_049 : Percent; MARITAL STATUS - Widowed
55,BA002_050,Char,49,$49.00 ,$49.00 ,BA002_050 : Percent Margin of Error; MARITAL STATUS - Widowed
56,BA002_051,Char,35,$35.00 ,$35.00 ,BA002_051 : Estimate; MARITAL STATUS - Divorced
57,BA002_052,Char,51,$51.00 ,$51.00 ,BA002_052 : Estimate Margin of Error; MARITAL STATUS - Divorced
58,BA002_053,Char,34,$34.00 ,$34.00 ,BA002_053 : Percent; MARITAL STATUS - Divorced
59,BA002_054,Char,50,$50.00 ,$50.00 ,BA002_054 : Percent Margin of Error; MARITAL STATUS - Divorced
60,BA002_055,Char,52,$52.00 ,$52.00 ,BA002_055 : Estimate; MARITAL STATUS - Females 15 years and over
61,BA002_056,Char,68,$68.00 ,$68.00 ,BA002_056 : Estimate Margin of Error; MARITAL STATUS - Females 15 years and over
63,BA002_057,Char,67,$67.00 ,$67.00 ,BA002_057 : Percent Margin of Error; MARITAL STATUS - Females 15 years and over
64,BA002_058,Char,40,$40.00 ,$40.00 ,BA002_058 : Estimate; MARITAL STATUS - Never married
65,BA002_059,Char,56,$56.00 ,$56.00 ,BA002_059 : Estimate Margin of Error; MARITAL STATUS - Never married
66,BA002_060,Char,39,$39.00 ,$39.00 ,BA002_060 : Percent; MARITAL STATUS - Never married
67,BA002_061,Char,55,$55.00 ,$55.00 ,BA002_061 : Percent Margin of Error; MARITAL STATUS - Never married
68,BA002_062,Char,58,$58.00 ,$58.00 ,"BA002_062 : Estimate; MARITAL STATUS - Now married, except separated"
