"","Municipal","County","State","Region","Five.year.average","Population","Never_Married","Now_Married","Separated","Widowed","Divorced","Never_Married_Pct","Now_Married_Pct","Separated_Pct","Widowed_Pct","Divorced_Pct","Year"
"1","N/A","Barnstable","MA","N/A","2006-2010",186473,44373,104670,2349,14999,20082,23.7959382859717,56.13145066578,1.25969979568088,8.04352372729564,10.7693875252718,2010
"2","N/A","Barnstable","MA","N/A","2007-2011",186275,45398,102431,2367,15322,20757,24.371493759227,54.9891289759764,1.27070191920548,8.22547309086029,11.1432022547309,2011
"3","N/A","Barnstable","MA","N/A","2008-2012",186183,46393,101337,2286,15205,20962,24.9179570637491,54.4287072396513,1.22782423744381,8.16669620749478,11.258815251661,2012
"4","N/A","Berkshire","MA","N/A","2006-2010",110753,34721,50983,2225,9215,13609,31.3499408593898,46.0330645670998,2.0089749261871,8.32031637969175,12.2877032676316,2010
"5","N/A","Berkshire","MA","N/A","2007-2011",110825,35093,50260,2231,9454,13787,31.6652379878186,45.3507782540041,2.01308369050305,8.53056620798556,12.4403338596887,2011
"6","N/A","Berkshire","MA","N/A","2008-2012",110823,35509,49855,2284,9174,14001,32.0411827869666,44.9861490845763,2.06094402786425,8.27806502260361,12.6336590779892,2012
"7","N/A","Bristol","MA","N/A","2006-2010",444997,141273,216625,9896,32221,44982,31.7469555974535,48.6801034613717,2.22383521686663,7.2407229711661,10.1083827531422,2010
"8","N/A","Bristol","MA","N/A","2007-2011",446944,143495,215706,9997,31531,46215,32.1058119137968,48.2624221378965,2.2367455430658,7.05479881148421,10.3402215937567,2011
"9","N/A","Bristol","MA","N/A","2008-2012",449323,147444,212905,9822,31316,47836,32.8147012282923,47.383508077708,2.18595531499612,6.9695964818182,10.6462388971853,2012
"10","N/A","Dukes","MA","N/A","2006-2010",13631,4385,6502,247,822,1675,32.1693199325068,47.7000953708459,1.81204607145477,6.03037194629888,12.2881666788937,2010
"11","N/A","Dukes","MA","N/A","2007-2011",13489,4038,6812,219,860,1560,29.9355030024464,50.5004077396397,1.62354511083105,6.37556527540959,11.5649788716732,2011
"12","N/A","Dukes","MA","N/A","2008-2012",14007,4372,6834,175,843,1783,31.2129649460984,48.7898907689013,1.24937531234383,6.0184193617477,12.7293496109088,2012
"13","N/A","Essex","MA","N/A","2006-2010",594531,188794,295536,12928,39834,57439,31.7551145356592,49.7090984322096,2.17448711673571,6.70007114851875,9.66122876687675,2010
"14","N/A","Essex","MA","N/A","2007-2011",599253,190461,297763,12753,39729,58547,31.783069922053,49.6890295084046,2.128149546185,6.62975404378451,9.7699969795729,2011
"15","N/A","Essex","MA","N/A","2008-2012",604997,193739,297744,13506,39508,60500,32.0231339990116,49.2141283345207,2.23240776400544,6.53028031543958,10.0000495870227,2012
"16","N/A","Franklin","MA","N/A","2006-2010",60020,17740,29698,1213,3714,7655,29.5568143952016,49.4801732755748,2.02099300233256,6.18793735421526,12.7540819726758,2010
"17","N/A","Franklin","MA","N/A","2007-2011",60175,18017,29374,1131,3675,7978,29.941005400914,48.814291649356,1.87951807228916,6.10718737017034,13.2579975072705,2011
"18","N/A","Franklin","MA","N/A","2008-2012",60283,18150,28828,1038,3913,8354,30.1079906441285,47.8211104291425,1.7218784732014,6.49105054492975,13.8579699085978,2012
"19","N/A","Hampden","MA","N/A","2006-2010",372678,132422,164937,10297,26192,38830,35.5325508884345,44.2572408352519,2.76297500791568,7.02805102528188,10.419182243116,2010
"20","N/A","Hampden","MA","N/A","2007-2011",373821,133932,163887,10296,26347,39359,35.8278427375669,43.841036217869,2.75425939152696,7.04802565933963,10.5288359936975,2011
"21","N/A","Hampden","MA","N/A","2008-2012",375673,135800,162529,10609,26284,40451,36.1484588990958,43.2634232430864,2.82399853063702,6.99651026291482,10.767609064266,2012
"22","N/A","Hampshire","MA","N/A","2006-2010",135391,57106,56497,1745,7573,12470,42.178579078373,41.7287707454705,1.28885967309496,5.59342940077258,9.21036110228893,2010
"23","N/A","Hampshire","MA","N/A","2007-2011",136140,57914,56294,1806,7754,12372,42.5400323196709,41.3500807991773,1.32657558395769,5.69560746290583,9.08770383428823,2011
"24","N/A","Hampshire","MA","N/A","2008-2012",137685,59029,56319,1940,7374,13023,42.8724988197698,40.9042379344155,1.40901332752297,5.35570323564659,9.45854668264517,2012
"25","N/A","Middlesex","MA","N/A","2006-2010",1217228,412298,623465,18094,68065,95306,33.8718793849632,51.2200672347333,1.48649225946166,5.59180367194971,7.82975744889207,2010
"26","N/A","Middlesex","MA","N/A","2007-2011",1229168,417473,628633,17765,67738,97559,33.9638682425836,51.1429682516955,1.44528656782474,5.51088215768715,7.93699478020905,2011
"27","N/A","Middlesex","MA","N/A","2008-2012",1244111,425355,632235,18457,67729,100335,34.1894734473049,50.8182147734406,1.48354929745015,5.44396762025253,8.06479486155174,2012
