"","Municipal","County","State","Region","Five.year.average","Population","Never_Married","Now_Married","Separated","Widowed","Divorced","Never_Married_Pct","Now_Married_Pct","Separated_Pct","Widowed_Pct","Divorced_Pct","Year"
"1","Abington","Plymouth","MA","N/A","2006-2010",12695,3562,6987,183,806,1157,28.0582906656164,55.0374163056321,1.44151240645924,6.34895628200079,9.11382434029145,"2010"
"2","Abington","Plymouth","MA","N/A","2007-2011",12710,3669,6944,118,714,1265,28.8670338316286,54.6341463414634,0.928402832415421,5.61762391817467,9.95279307631786,"2011"
"3","Abington","Plymouth","MA","N/A","2008-2012",12868,3780,7078,146,658,1206,29.3751942803855,55.0046627292509,1.13459745104134,5.11345974510413,9.37208579421821,"2012"
"4","Acton","Middlesex","MA","N/A","2006-2010",16263,3895,10450,168,734,1016,23.9500707126606,64.25628727787,1.03301973805571,4.51331242698149,6.24730984443215,"2010"
"5","Acton","Middlesex","MA","N/A","2007-2011",16570,3986,10563,170,661,1190,24.055522027761,63.7477368738684,1.02595051297526,3.9891369945685,7.1816535908268,"2011"
"6","Acton","Middlesex","MA","N/A","2008-2012",17149,4281,10810,144,713,1201,24.9635547262231,63.0357455245204,0.839699107819698,4.15767683246837,7.00332380896845,"2012"
"7","Acushnet","Bristol","MA","N/A","2006-2010",8517,2216,4786,144,559,812,26.0185511330281,56.1934953622167,1.6907361747094,6.56334390043443,9.53387342961136,"2010"
"8","Acushnet","Bristol","MA","N/A","2007-2011",8658,2336,4747,193,625,757,26.980826980827,54.8279048279048,2.22915222915223,7.21875721875722,8.74335874335874,"2011"
"9","Acushnet","Bristol","MA","N/A","2008-2012",8751,2498,4698,163,623,769,28.5453091075306,53.6852931093589,1.86264426922637,7.11918637869958,8.78756713518455,"2012"
"10","Adams","Berkshire","MA","N/A","2006-2010",6961,2119,3020,142,628,1052,30.4410285878466,43.3845711823014,2.03993679069099,9.02169228559115,15.1127711535699,"2010"
"11","Adams","Berkshire","MA","N/A","2007-2011",7042,2162,2914,202,602,1162,30.7015052541892,41.3802896904289,2.86850326611758,8.54870775347912,16.5009940357853,"2011"
"12","Adams","Berkshire","MA","N/A","2008-2012",7027,2093,3085,198,564,1087,29.7851145581329,43.9020919311228,2.8177031450121,8.02618471609506,15.4689056496371,"2012"
"13","Agawam","Hampden","MA","N/A","2006-2010",23638,6190,12088,442,1978,2940,26.1866486166342,51.1379981385904,1.86987054742364,8.36788222353837,12.4376004738134,"2010"
"14","Agawam","Hampden","MA","N/A","2007-2011",23709,6548,11776,439,1971,2975,27.6182040575309,49.668902104686,1.85161752920832,8.31329874731115,12.5479775612637,"2011"
"15","Agawam","Hampden","MA","N/A","2008-2012",23691,6463,11844,488,1954,2942,27.2804018403613,49.9936684817019,2.05985395297792,8.24785783630915,12.4182178886497,"2012"
"16","Alford","Berkshire","MA","N/A","2006-2010",401,79,244,0,46,32,19.7007481296758,60.8478802992519,0,11.4713216957606,7.98004987531172,"2010"
"17","Alford","Berkshire","MA","N/A","2007-2011",451,77,286,3,37,48,17.0731707317073,63.4146341463415,0.665188470066519,8.2039911308204,10.6430155210643,"2011"
"18","Alford","Berkshire","MA","N/A","2008-2012",420,63,273,2,38,44,15,65,0.476190476190476,9.04761904761905,10.4761904761905,"2012"
"19","Amesbury","Essex","MA","N/A","2006-2010",13291,4004,6859,208,791,1429,30.1256489353698,51.6063501617636,1.56496877586337,5.95139568128809,10.7516364457151,"2010"
"20","Amesbury","Essex","MA","N/A","2007-2011",13369,3895,7137,218,732,1387,29.134565038522,53.3846959383649,1.63063804323435,5.47535342957588,10.3747475503029,"2011"
"21","Amesbury","Essex","MA","N/A","2008-2012",13517,3783,7265,235,726,1508,27.9869793593253,53.7471332396242,1.73855145372494,5.37101427831619,11.1563216690094,"2012"
"22","Amherst","Hampshire","MA","N/A","2006-2010",34697,24740,7378,183,706,1690,71.3029944952013,21.2640862322391,0.52742312015448,2.03475804824625,4.87073810415886,"2010"
"23","Amherst","Hampshire","MA","N/A","2007-2011",34919,24993,7674,209,679,1364,71.5742146109568,21.9765743577995,0.598528021993757,1.94450012886967,3.90618288038031,"2011"
"24","Amherst","Hampshire","MA","N/A","2008-2012",35607,26007,7087,230,669,1614,73.0390091835875,19.9033897829079,0.64594040497655,1.87884404751875,4.53281658100935,"2012"
"25","Andover","Essex","MA","N/A","2006-2010",25630,5924,16095,192,1591,1828,23.1135388216933,62.7975029262583,0.74912212251268,6.20756925477956,7.13226687475615,"2010"
"26","Andover","Essex","MA","N/A","2007-2011",25916,6063,16158,188,1654,1853,23.3948140145084,62.3475845037814,0.72542058959716,6.38215774039204,7.15002315172094,"2011"
"27","Andover","Essex","MA","N/A","2008-2012",26463,6148,16481,171,1588,2075,23.2324377432642,62.2794089861316,0.646185239768734,6.00083134943128,7.84113668140423,"2012"
"28","Aquinnah","Dukes","MA","N/A","2006-2010",352,127,202,0,15,8,36.0795454545455,57.3863636363636,0,4.26136363636364,2.27272727272727,"2010"
"29","Aquinnah","Dukes","MA","N/A","2007-2011",359,164,179,0,4,12,45.6824512534819,49.8607242339833,0,1.1142061281337,3.34261838440111,"2011"
"30","Aquinnah","Dukes","MA","N/A","2008-2012",330,103,202,0,3,22,31.2121212121212,61.2121212121212,0,0.909090909090909,6.66666666666667,"2012"
"31","Arlington","Middlesex","MA","N/A","2006-2010",35033,11743,18116,396,1811,2967,33.5198241657865,51.711243684526,1.13036280078783,5.16941169754232,8.46915765135729,"2010"
"32","Arlington","Middlesex","MA","N/A","2007-2011",35075,11721,17940,376,1733,3305,33.4169636493229,51.1475409836066,1.071988595866,4.94084105488239,9.42266571632217,"2011"
"33","Arlington","Middlesex","MA","N/A","2008-2012",35451,11434,18496,387,1977,3157,32.2529688866323,52.1734224704522,1.09164762630109,5.57671151730558,8.9052494993089,"2012"
"34","Ashburnham","Worcester","MA","N/A","2006-2010",4732,1211,2792,90,209,430,25.5917159763314,59.0025359256128,1.90194420963652,4.4167371090448,9.08706677937447,"2010"
"35","Ashburnham","Worcester","MA","N/A","2007-2011",4777,1268,2885,88,181,355,26.5438559765543,60.3935524387691,1.84216035168516,3.78898890517061,7.43144232782081,"2011"
"36","Ashburnham","Worcester","MA","N/A","2008-2012",4965,1346,2831,30,257,501,27.1097683786506,57.0191339375629,0.604229607250755,5.17623363544814,10.0906344410876,"2012"
"37","Ashby","Middlesex","MA","N/A","2006-2010",2347,537,1459,8,105,238,22.8802726885386,62.1644652748189,0.34086067319983,4.47379633574776,10.1406050276949,"2010"
"38","Ashby","Middlesex","MA","N/A","2007-2011",2401,546,1429,0,138,288,22.7405247813411,59.5168679716785,0,5.74760516451479,11.9950020824656,"2011"
"39","Ashby","Middlesex","MA","N/A","2008-2012",2470,566,1499,5,143,257,22.914979757085,60.6882591093117,0.202429149797571,5.78947368421053,10.4048582995951,"2012"
"40","Ashfield","Franklin","MA","N/A","2006-2010",1417,358,790,21,71,177,25.2646436132675,55.7515878616796,1.48200423429781,5.0105857445307,12.4911785462244,"2010"
"41","Ashfield","Franklin","MA","N/A","2007-2011",1473,399,785,18,72,199,27.0875763747454,53.2926001357773,1.22199592668024,4.88798370672098,13.509843856076,"2011"
"42","Ashfield","Franklin","MA","N/A","2008-2012",1388,370,718,18,78,204,26.657060518732,51.7291066282421,1.29682997118156,5.61959654178674,14.6974063400576,"2012"
"43","Ashland","Middlesex","MA","N/A","2006-2010",12499,2978,7384,136,756,1245,23.8259060724858,59.076726138091,1.08808704696376,6.0484838787103,9.9607968637491,"2010"
"44","Ashland","Middlesex","MA","N/A","2007-2011",12852,2939,7797,124,699,1293,22.8680361033302,60.6676003734827,0.964830376595083,5.43884220354809,10.0606909430439,"2011"
"45","Ashland","Middlesex","MA","N/A","2008-2012",13161,3123,7717,205,673,1443,23.7291999088215,58.6353620545551,1.55763239875389,5.11359319200669,10.9642124458628,"2012"
"46","Athol","Worcester","MA","N/A","2006-2010",9362,2550,4718,158,791,1145,27.2377697073275,50.3952146977142,1.68767357402264,8.44904934842982,12.2302926725059,"2010"
"47","Athol","Worcester","MA","N/A","2007-2011",9297,2660,4422,184,817,1214,28.6113800150586,47.5637302355599,1.97913305367323,8.78778100462515,13.0579756910831,"2011"
"48","Athol","Worcester","MA","N/A","2008-2012",9274,2745,4354,215,749,1211,29.5988785852922,46.9484580547768,2.31830925167134,8.07634246279922,13.0580116454604,"2012"
"49","Attleboro","Bristol","MA","N/A","2006-2010",35313,11205,17686,393,2049,3980,31.7305241695693,50.0835386401608,1.11290459604112,5.80239571829071,11.270636875938,"2010"
"50","Attleboro","Bristol","MA","N/A","2007-2011",35355,10819,18111,462,2132,3831,30.6010465280724,51.2261349172677,1.30674586338566,6.03026446047235,10.8358082308019,"2011"
"51","Attleboro","Bristol","MA","N/A","2008-2012",35392,11089,17871,536,2092,3804,31.3319394213382,50.4944620253165,1.51446654611212,5.91094032549729,10.748191681736,"2012"
"52","Auburn","Worcester","MA","N/A","2006-2010",13381,3246,7484,108,1110,1433,24.2582766609371,55.9300500709962,0.807114565428593,8.29534414468276,10.7092145579553,"2010"
