"","Region","Five_Year_Range","Population","Never_Married","Never_Married_Pct","Now_Married","Now_Married_Pct","Separated","Separated_Pct","Widowed","Widowed_Pct","Divorced","Divorced_Pct","Gender"
"1","United States",2010,118264295,40461438,34.2,61745693,52.2,2137849,1.8,2977072,2.5,10942243,9.3,"Male"
"2","MA",2010,2536607,951729,37.5,1287165,50.7,38976,1.5,66680,2.6,192057,7.6,"Male"
"3","Barnstable County",2010,87824,24359,27.7,51824,59,905,1,2896,3.3,7840,8.9,"Male"
"4","Berkshire County",2010,52641,18428,35,25405,48.3,990,1.9,2018,3.8,5800,11,"Male"
"5","Bristol County",2010,212635,73478,34.6,109790,51.6,3948,1.9,6819,3.2,18600,8.7,"Male"
"6","Dukes County",2010,6673,2382,35.7,3205,48,130,1.9,144,2.2,812,12.2,"Male"
"7","Essex County",2010,280972,96854,34.5,149119,53.1,4644,1.7,8611,3.1,21744,7.7,"Male"
"8","Franklin County",2010,29046,9409,32.4,15124,52.1,473,1.6,754,2.6,3286,11.3,"Male"
"9","Hampden County",2010,176485,68229,38.7,83423,47.3,3770,2.1,5599,3.2,15464,8.8,"Male"
"10","Hampshire County",2010,62461,26670,42.7,28387,45.4,717,1.1,1693,2.7,4994,8,"Male"
"11","Middlesex County",2010,585490,215912,36.9,313358,53.5,6611,1.1,12511,2.1,37098,6.3,"Male"
"12","Nantucket County",2010,4296,1548,36,2347,54.6,56,1.3,107,2.5,238,5.5,"Male"
"13","Norfolk County",2010,253117,84344,33.3,143630,56.7,2396,0.9,7068,2.8,15679,6.2,"Male"
"14","Plymouth County",2010,188123,61245,32.6,103420,55,3118,1.7,4855,2.6,15485,8.2,"Male"
"15","Suffolk County",2010,286268,161077,56.3,94540,33,6645,2.3,5345,1.9,18661,6.5,"Male"
"16","Worcester County",2010,310576,107794,34.7,163593,52.7,4573,1.5,8260,2.7,26356,8.5,"Male"
"17","Barnstable",2010,18646,5619,30.1,10655,57.1,256,1.4,480,2.6,1636,8.8,"Male"
"18","Bourne",2010,8108,2790,34.4,4400,54.3,55,0.7,333,4.1,530,6.5,"Male"
"19","Brewster",2010,4027,1021,25.4,2422,60.1,26,0.6,159,3.9,399,9.9,"Male"
"20","Chatham",2010,2647,596,22.5,1692,63.9,67,2.5,117,4.4,175,6.6,"Male"
"21","Dennis",2010,5777,1380,23.9,3403,58.9,54,0.9,259,4.5,681,11.8,"Male"
"22","Eastham",2010,2201,455,20.7,1453,66,0,0,85,3.9,208,9.5,"Male"
"23","Falmouth",2010,12501,3061,24.5,7680,61.4,200,1.6,519,4.2,1041,8.3,"Male"
"24","Harwich",2010,4719,1024,21.7,3159,66.9,32,0.7,183,3.9,321,6.8,"Male"
"25","Mashpee",2010,5600,1471,26.3,3444,61.5,13,0.2,122,2.2,550,9.8,"Male"
"26","Orleans",2010,2438,542,22.2,1548,63.5,0,0,109,4.5,239,9.8,"Male"
"27","Provincetown",2010,1745,1038,59.5,329,18.9,43,2.5,0,0,335,19.2,"Male"
"28","Sandwich",2010,7782,2059,26.5,5062,65,27,0.3,168,2.2,466,6,"Male"
"29","Truro",2010,862,306,35.5,398,46.2,39,4.5,7,0.8,112,13,"Male"
"30","Wellfleet",2010,1116,222,19.9,748,67,0,0,0,0,146,13.1,"Male"
"31","Yarmouth",2010,9655,2775,28.7,5431,56.3,93,1,355,3.7,1001,10.4,"Male"
"32","Adams",2010,3197,1037,32.4,1485,46.4,72,2.3,122,3.8,481,15,"Male"
"33","Alford",2010,183,38,20.8,122,66.7,0,0,11,6,12,6.6,"Male"
"34","Becket",2010,634,94,14.8,391,61.7,0,0,21,3.3,128,20.2,"Male"
"35","Cheshire",2010,1472,427,29,752,51.1,10,0.7,27,1.8,256,17.4,"Male"
"36","Clarksburg",2010,741,148,20,444,59.9,11,1.5,28,3.8,110,14.8,"Male"
"37","Dalton",2010,2652,771,29.1,1550,58.4,13,0.5,118,4.4,200,7.5,"Male"
