"","Municipal","County","State","Region","Five_Year_Range","Pop_25","Margin_Error_Pop","Grad_Pct","Margin_Error_Grad","HS_Pct","Margin_Error_HS","Bachelors_Pct","Margin_Error_Bach","Five_Year_Range"
"277","Abington","Plymouth County","MA","Abington","2006-2010",10864,"315",6.9,1.7,94.4,1.6,25.7,3.1,2010
"644","Abington","Plymouth County","MA","Abington","2007-2011",10983,"291",7.2,1.5,95.2,1.4,27.5,3.1,2011
"1011","Abington","Plymouth County","MA","Abington","2008-2012",10989,"289",7.1,1.5,95.1,1.4,25.9,2.7,2012
"194","Acton","Middlesex County","MA","Acton","2006-2010",13923,"235",40.8,2.8,96.9,1.2,73.9,2.6,2010
"561","Acton","Middlesex County","MA","Acton","2007-2011",14185,"295",40.5,2.6,97.2,1.1,72,2.6,2011
"928","Acton","Middlesex County","MA","Acton","2008-2012",14771,"230",43.5,2.8,97.4,0.9,73.9,2.6,2012
"64","Acushnet","Bristol County","MA","Acushnet","2006-2010",7265,"234",5.4,1.9,79.7,3.1,20.3,2.9,2010
"431","Acushnet","Bristol County","MA","Acushnet","2007-2011",7276,"235",5.8,1.8,81.6,3,20.7,3.7,2011
"798","Acushnet","Bristol County","MA","Acushnet","2008-2012",7321,"283",6.3,1.6,81.1,3,22.4,3.3,2012
"32","Adams","Berkshire County","MA","Adams","2006-2010",5911,"223",6.3,1.9,84.6,2.9,20.4,3.3,2010
"399","Adams","Berkshire County","MA","Adams","2007-2011",5916,"249",5.8,1.9,85.1,3,21.1,4.1,2011
"766","Adams","Berkshire County","MA","Adams","2008-2012",5906,"203",6.1,1.6,85.5,2.9,21,3.8,2012
"151","Agawam","Hampden County","MA","Agawam","2006-2010",20464,"433",9.7,1.2,92.5,1.2,25.6,2.4,2010
"518","Agawam","Hampden County","MA","Agawam","2007-2011",20456,"398",9.3,1.4,92.9,1.3,25.4,2.3,2011
"885","Agawam","Hampden County","MA","Agawam","2008-2012",20476,"424",10.3,1.3,92.2,1.4,26.4,2.4,2012
"33","Alford","Berkshire County","MA","Alford","2006-2010",360,"49",32.2,7,96.1,2.4,57.2,7.8,2010
"400","Alford","Berkshire County","MA","Alford","2007-2011",404,"54",25.5,5.1,95.8,2.7,49,7.5,2011
"767","Alford","Berkshire County","MA","Alford","2008-2012",378,"49",21.2,4.7,96,3.4,47.9,7.7,2012
"91","Amesbury","Essex County","MA","Amesbury","2006-2010",11316,"236",15.2,2.3,92.6,1.4,39,3.1,2010
"458","Amesbury","Essex County","MA","Amesbury","2007-2011",11582,"243",16,2.1,93.6,1.5,41.4,3,2011
"825","Amesbury","Essex County","MA","Amesbury","2008-2012",11807,"195",17.7,2.3,93.5,1.4,42.3,3.6,2012
"174","Amherst","Hampshire County","MA","Amherst","2006-2010",12570,"754",41.4,2.8,95.3,1.5,68,3.1,2010
"541","Amherst","Hampshire County","MA","Amherst","2007-2011",12294,"691",42.2,3.3,96.1,1.1,70.6,2.8,2011
"908","Amherst","Hampshire County","MA","Amherst","2008-2012",12030,"746",40.6,3.2,95.6,1.4,67.7,2.8,2012
"92","Andover","Essex County","MA","Andover","2006-2010",21794,"425",31.9,2,96,0.8,65.4,2.3,2010
"459","Andover","Essex County","MA","Andover","2007-2011",21949,"342",32.9,2.1,96.4,1,67.1,2.2,2011
"826","Andover","Essex County","MA","Andover","2008-2012",22322,"350",34.9,1.9,96.2,1,68,2.3,2012
"84","Aquinnah","Dukes County","MA","Aquinnah","2006-2010",276,"88",22.5,9.5,100,12.7,36.6,13.1,2010
"451","Aquinnah","Dukes County","MA","Aquinnah","2007-2011",240,"91",20,11,99.6,1.3,41.3,14.2,2011
"818","Aquinnah","Dukes County","MA","Aquinnah","2008-2012",274,"96",19.3,12.5,98.5,1.7,39.8,13.1,2012
"195","Arlington","Middlesex County","MA","Arlington","2006-2010",31827,"491",34.5,2.1,95.6,0.9,62.3,2.3,2010
"562","Arlington","Middlesex County","MA","Arlington","2007-2011",31636,"458",34.6,1.9,95.8,0.9,63.7,2.1,2011
"929","Arlington","Middlesex County","MA","Arlington","2008-2012",32186,"386",35.5,1.8,95.3,0.8,64.3,2.1,2012
"308","Ashburnham","Worcester County","MA","Ashburnham","2006-2010",3989,"233",15.9,4.6,96.1,2.3,34.8,6.4,2010
"675","Ashburnham","Worcester County","MA","Ashburnham","2007-2011",4018,"216",14.3,4.4,96.6,1.9,34.5,5.5,2011
"1042","Ashburnham","Worcester County","MA","Ashburnham","2008-2012",4143,"244",14.5,4.2,95.9,2,35.3,5.4,2012
"196","Ashby","Middlesex County","MA","Ashby","2006-2010",2046,"85",12.4,4.1,93.9,2.4,29.9,6.1,2010
"563","Ashby","Middlesex County","MA","Ashby","2007-2011",2096,"73",11.7,3.3,92.6,2.9,28.3,4.8,2011
"930","Ashby","Middlesex County","MA","Ashby","2008-2012",2157,"76",10.9,3.8,93.1,2.5,27.7,5.7,2012
"125","Ashfield","Franklin County","MA","Ashfield","2006-2010",1269,"96",23.7,4.2,95.9,2.1,47.7,5.5,2010
"492","Ashfield","Franklin County","MA","Ashfield","2007-2011",1314,"108",21.8,4.3,94.7,2.5,46.4,5,2011
"859","Ashfield","Franklin County","MA","Ashfield","2008-2012",1241,"123",19.6,4.3,95.4,2.4,45,5.2,2012
"197","Ashland","Middlesex County","MA","Ashland","2006-2010",11006,"248",23,3,96.2,1.4,54.9,3.8,2010
"564","Ashland","Middlesex County","MA","Ashland","2007-2011",11151,"325",24.9,3.2,96.6,1.4,57.4,3.6,2011
"931","Ashland","Middlesex County","MA","Ashland","2008-2012",11420,"266",22.3,3.1,96.3,1.2,54.8,3.9,2012
