"","Org.Name","Org.Code","Address.1","Address.2","Town","Zip","query","lon","lat","loc"
"1","Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School","04450105","10 New Bond Street","","Worcester","01606","10 New Bond Street, , Worcester, 01606, Massachusetts",NA,NA,"NA NA"
"2","Abington: Abington High","00010505","201 Gliniewicz Way","","Abington","02351","201 Gliniewicz Way, , Abington, 02351, Massachusetts",NA,NA,"NA NA"
"3","Abington: Beaver Brook Elementary School","00010003","1 Ralph Hamlin Lane","","Abington","02351","1 Ralph Hamlin Lane, , Abington, 02351, Massachusetts",NA,NA,"NA NA"
"4","Abington: Center Elementary School","00010002","65 Thaxter Avenue","","Abington","02351","65 Thaxter Avenue, , Abington, 02351, Massachusetts",NA,NA,"NA NA"
"5","Abington: Frolio Middle School","00010405","1071 Washington Street","","Abington","02351","1071 Washington Street, , Abington, 02351, Massachusetts",NA,NA,"NA NA"
"6","Abington: Woodsdale Elementary School","00010015","128 Chestnut Street","","Abington","02351","128 Chestnut Street, , Abington, 02351, Massachusetts",NA,NA,"NA NA"
"7","Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School","04120530","1 Westinghouse Plaza","","Hyde Park","02136","1 Westinghouse Plaza, , Hyde Park, 02136, Massachusetts",NA,NA,"NA NA"
"8","Acton-Boxborough: Acton-Boxborough Regional High","06000505","36 Charter Rd","","Acton","01720","36 Charter Rd, , Acton, 01720, Massachusetts",NA,NA,"NA NA"
"9","Acton-Boxborough: Blanchard Memorial School","06000005","493 Massachusetts Avenue","","Boxborough","01719","493 Massachusetts Avenue, , Boxborough, 01719, Massachusetts",-71.505959,42.4821128,"-71.505959 42.4821128"
"10","Acton-Boxborough: C.T. Douglas Elementary School","06000020","21 Elm Street","","Acton","01720","21 Elm Street, , Acton, 01720, Massachusetts",-71.4739501,42.483175,"-71.4739501 42.483175"
"11","Acton-Boxborough: Luther Conant School","06000030","80 Taylor Road","","Acton","01720","80 Taylor Road, , Acton, 01720, Massachusetts",-71.4363701,42.4752849,"-71.4363701 42.4752849"
"12","Acton-Boxborough: McCarthy-Towne School","06000015","11 Charter Road","","Acton","01720","11 Charter Road, , Acton, 01720, Massachusetts",-71.4533624,42.4766815,"-71.4533624 42.4766815"
"13","Acton-Boxborough: Merriam School","06000010","11 Charter Road","","Acton","01720","11 Charter Road, , Acton, 01720, Massachusetts",-71.4533624,42.4766815,"-71.4533624 42.4766815"
"14","Acton-Boxborough: Paul P Gates Elementary School","06000025","75 Spruce Street","","Acton","01720","75 Spruce Street, , Acton, 01720, Massachusetts",-71.4736594,42.479221,"-71.4736594 42.479221"
"15","Acton-Boxborough: Raymond J Grey Junior High","06000405","16 Charter Rd","","Acton","01720","16 Charter Rd, , Acton, 01720, Massachusetts",-71.4580038,42.4764217,"-71.4580038 42.4764217"
