Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade
Abby Kelley Foster Charter Public (District): Abby Kelley Foster Charter Public School,04450105,Charter School,Principal,Brian Haas,10 New Bond Street,,Worcester,MA,01606,508-854-8400,508-854-8484,"K,01,02,03,04,05,06,07,08,09,10,11,12"
Abington: Abington High,00010505,Public School,Principal,Teresa Sullivan-Cruz,201 Gliniewicz Way,,Abington,MA,02351,781-982-2160,781-982-0061,"09,10,11,12"
Abington: Beaver Brook Elementary School,00010003,Public School,Principal,Danielle Kay,1 Ralph Hamlin Lane,,Abington,MA,02351,781-982-2185,781-982-2187,"01,02,03,04"
Abington: Center Elementary School,00010002,Public School,Principal,Lora Monachino,65 Thaxter Avenue,,Abington,MA,02351,781-982-2195,781-982-0053,"PK,K"
Abington: Frolio Middle School,00010405,Public School,Principal,Roseanne Kurposka,1071 Washington Street,,Abington,MA,02351,781-982-2170,781-982-2173,"07,08"
Abington: Woodsdale Elementary School,00010015,Public School,Principal,Matthew MacCurtain,128 Chestnut Street,,Abington,MA,02351,781-982-2180,781-982-2184,"05,06"
Academy Of the Pacific Rim Charter Public (District): Academy Of the Pacific Rim Charter Public School,04120530,Charter School,Principal,Chris Collins,1 Westinghouse Plaza,,Hyde Park,MA,02136,617-361-0050,617-361-0045,"05,06,07,08,09,10,11,12"
Acton-Boxborough: Acton-Boxborough Regional High,06000505,Public School,Principal,JoAnn Kilpatrick,36 Charter Rd,,Acton,MA,01720,978-264-4700,978-264-3345,"09,10,11,12"
Acton-Boxborough: Blanchard Memorial School,06000005,Public School,Principal,Dana Labb,493 Massachusetts Avenue,,Boxborough,MA,01719,978-263-4569,--,"PK,K,01,02,03,04,05,06"
Acton-Boxborough: C.T. Douglas Elementary School,06000020,Public School,Principal,Christopher Whitbeck,21 Elm Street,,Acton,MA,01720,978-266-2560,--,"K,01,02,03,04,05,06"
Acton-Boxborough: Luther Conant School,06000030,Public School,Principal,Damian Sugrue,80 Taylor Road,,Acton,MA,01720,978-266-2550,--,"K,01,02,03,04,05,06"
Acton-Boxborough: McCarthy-Towne School,06000015,Public School,Principal,David Krane,11 Charter Road,,Acton,MA,01720,978-264-3377,--,"K,01,02,03,04,05,06"
Acton-Boxborough: Merriam School,06000010,Public School,Principal,Edward Kaufman,11 Charter Road,,Acton,MA,01720,978-264-3371,--,"PK,K,01,02,03,04,05,06"
Acton-Boxborough: Paul P Gates Elementary School,06000025,Public School,Principal,Lynne Newman,75 Spruce Street,,Acton,MA,01720,978-266-2570,--,"K,01,02,03,04,05,06"
Acton-Boxborough: Raymond J Grey Junior High,06000405,Public School,Principal,Andrew Shen,16 Charter Rd,,Acton,MA,01720,978-264-4700,978-264-3343,"07,08"
Acushnet: Acushnet Elementary School,00030025,Public School,Principal,Susan Beck,800 Middle Road,,Acushnet,MA,02743,508-998-0255,508-998-0259,"PK,K,01,02,03,04"
Acushnet: Albert F Ford Middle School,00030305,Public School,Principal,Helder Angelo,708 Middle Road,,Acushnet,MA,02743,508-998-0265,508-998-7316,"05,06,07,08"
Adams-Cheshire: Cheshire Elementary,06030004,Public School,Principal,Peter Bachli,191 Church Street,,Cheshire,MA,01225,413-743-2298,413-743-8423,"PK,K,01,02,03,04,05"
Adams-Cheshire: Hoosac Valley Middle & High School,06030505,Public School,Principal,Jeremiah Ames,125 Savoy Road,,Cheshire,MA,01225,413-743-5200,413-743-8420,"06,07,08,09,10,11,12"
