"","school","org.code","lon","lat"
"1","Abby Kelley Foster Charter Public School School Worcester MA","04450105",-71.781538,42.295224
"2","Abington High School Abington MA","00010505",-70.965912,42.10207
"3","Beaver Brook Elementary School School Abington MA","00010003",-70.958316,42.140685
"4","Center Elementary School School Abington MA","00010002",-71.122774,42.483348
"5","Frolio Middle School School Abington MA","00010405",-72.875119,42.627848
"6","Woodsdale Elementary School School Abington MA","00010015",-70.718289,42.021338
"7","Academy Of the Pacific Rim Charter Public School School Boston MA","04120530",-71.097331,42.321067
"8","Acton-Boxborough Regional High School Acton MA","06000505",-71.433494,42.442827
"9","Raymond J Grey Junior High School Acton MA","06000405",-71.433494,42.442827
"10","Douglas School Acton MA","00020020",-71.755966,42.054318
"11","Gates School Acton MA","00020025",-71.454792,42.460716
"12","Luther Conant School Acton MA","00020030",-71.450547,42.452197
"13","McCarthy-Towne School Acton MA","00020015",-71.454792,42.460716
"14","Merriam School Acton MA","00020010",-71.439707,42.458109
"15","Acushnet Elementary School School Acushnet MA","00030025",-71.073877,41.654849
"16","Albert F Ford Middle School School Acushnet MA","00030305",-70.922462,41.685713
"17","Cheshire Elementary School Cheshire MA","06030004",-73.20449,42.474371
"18","Hoosac Valley Middle & High School School Cheshire MA","06030505",NA,NA
"19","Plunkett Elementary School Adams MA","06030020",-73.123117,42.615621
"20","Advanced Math and Science Academy Charter School School Marlborough MA","04300305",-71.542456,42.355309
"21","Agawam Early Childhood Center School Agawam MA","00050003",-72.630282,42.075454
"22","Agawam High School Agawam MA","00050505",-72.63212,42.098559
"23","Agawam Junior High School Agawam MA","00050405",-72.63212,42.098559
"24","Benjamin J Phelps School Agawam MA","00050020",-72.615186,42.069595
"25","Clifford M Granger School Agawam MA","00050010",-72.615186,42.069595
"26","James Clark School School Agawam MA","00050030",-72.615186,42.069595
"27","Roberta G. Doering School School Agawam MA","00050303",-72.606398,42.060759
"28","Robinson Park School Agawam MA","00050025",-72.615899,42.071025
"29","Alma del Mar Charter School School New Bedford MA","04090205",-70.923307,41.633012
"30","Amesbury Academy Charter Public School School Amesbury MA","04150505",-70.9785,42.842912
"31","Amesbury Elementary School Amesbury MA","00070005",-70.945377,42.823212
"32","Amesbury High School Amesbury MA","00070505",-70.9785,42.842912
"33","Amesbury Middle School Amesbury MA","00070013",-70.9785,42.842912
"34","Charles C Cashman Elementary School Amesbury MA","00070010",-72.530624,42.374123
"35","Amherst Regional High School Amherst MA","06050505",-72.519654,42.368219
"36","Amherst Regional Middle School School Amherst MA","06050405",-72.519654,42.368219
"37","Crocker Farm Elementary School Amherst MA","00080009",-72.488942,42.363333
"38","Fort River Elementary School Amherst MA","00080020",-70.846308,42.263563
"39","Wildwood Elementary School Amherst MA","00080050",-72.515569,42.388221
"40","Andover High School Andover MA","00090505",-71.151423,42.647518
"41","Andover West Middle School Andover MA","00090310",-71.151423,42.647518
"42","Bancroft Elementary School Andover MA","00090003",-71.130229,42.638805
"43","Doherty Middle School Andover MA","00090305",-71.15565,42.677339
"44","Henry C Sanborn Elementary School Andover MA","00090010",-71.136748,42.649735
"45","High Plain Elementary School Andover MA","00090004",-71.167344,42.661375
"46","Shawsheen School School Andover MA","00090005",-71.147151,42.65725
"47","South Elementary School Andover MA","00090020",-71.136748,42.649735
"48","West Elementary School Andover MA","00090025",-71.749482,42.565721
"49","Wood Hill Middle School School Andover MA","00090350",-71.210207,42.647503
"50","Arlington High School Arlington MA","00100505",-71.170608,42.420755
"51","Brackett School Arlington MA","00100010",-71.170608,42.420755
"52","Cyrus E Dallin School Arlington MA","00100025",-71.170608,42.420755
"53","Hardy School Arlington MA","00100030",-71.176003,42.431554
"54","John A Bishop School Arlington MA","00100005",-71.170608,42.420755
"55","M Norcross Stratton School Arlington MA","00100055",-71.135714,42.409843
"56","Menotomy Preschool School Arlington MA","00100038",-71.169756,42.420314
"57","Ottoson Middle School Arlington MA","00100410",-71.164549,42.434698
"58","Peirce School Arlington MA","00100045",-71.175065,42.424282
"59","Thompson School Arlington MA","00100050",-71.170608,42.420755
"60","Briggs Elementary School Ashburnham MA","06100025",-71.934394,42.60832
"61","Meetinghouse School School Westminster MA","06100010",-71.912823,42.542359
"62","Oakmont Regional High School School Ashburnham MA","06100505",-71.934394,42.60832
"63","Overlook Middle School School Ashburnham MA","06100305",-71.934394,42.60832
"64","Westminster Elementary School Westminster MA","06100005",-71.86688,42.561239
"65","Ashland High School Ashland MA","00140505",-71.488087,42.254583
"66","Ashland Middle School Ashland MA","00140405",-71.43401,42.227741
"67","David Mindess School Ashland MA","00140015",-71.413626,42.322933
"68","Henry E Warren Elementary School Ashland MA","00140010",-72.214812,42.216955
"69","William Pittaway Elementary School Ashland MA","00140005",-71.803643,42.577715
"70","Assabet Valley Vocational High School School Marlborough MA","08010605",-71.543848,42.340783
"71","Athol High School Athol MA","06150505",-72.220233,42.593537
"72","Athol-Royalston Middle School School Athol MA","06150305",-72.228376,42.593137
"73","Pleasant Street School Athol MA","06150016",-70.005203,41.722369
