"","Municipal","State","C_year","AP003_001","AP003_002","AP003_003","AP003_004","AP003_005"
"1","Abington","MA",2001,112,"Abington","10","Total, All Industries",4119
"75","Acton","MA",2001,472,"Acton","10","Total, All Industries",10405
"216","Acushnet","MA",2001,302,"Acushnet","10","Total, All Industries",2035
"260","Adams","MA",2001,332,"Adams","10","Total, All Industries",2182
"317","Agawam","MA",2001,432,"Agawam","10","Total, All Industries",11862
"441","Alford","MA",2001,372,"Alford","10","Total, All Industries",30
"446","Amesbury","MA",2001,322,"Amesbury","10","Total, All Industries",4970
"542","Amherst","MA",2001,342,"Amherst","10","Total, All Industries",13039
"665","Andover","MA",2001,232,"Andover","10","Total, All Industries",34528
"803","Aquinnah","MA",2001,307,"Aquinnah","10","Total, All Industries",72
"809","Arlington","MA",2001,62,"Arlington","10","Total, All Industries",8735
"938","Ashburnham","MA",2001,162,"Ashburnham","10","Total, All Industries",1064
"973","Ashby","MA",2001,163,"Ashby","10","Total, All Industries",238
"992","Ashfield","MA",2001,182,"Ashfield","10","Total, All Industries",234
"1007","Ashland","MA",2001,262,"Ashland","10","Total, All Industries",4565
"1100","Athol","MA",2001,1,"Athol","10","Total, All Industries",3628
"1181","Attleboro","MA",2001,21,"Attleborough","10","Total, All Industries",21649
"1327","Auburn","MA",2001,502,"Auburn","10","Total, All Industries",11564
"1446","Avon","MA",2001,113,"Avon","10","Total, All Industries",6853
"1523","Ayer","MA",2001,164,"Ayer","10","Total, All Industries",6314
"1605","Barnstable","MA",2001,31,"Barnstable","10","Total, All Industries",28045
"1800","Barre","MA",2001,2,"Barre","10","Total, All Industries",1134
"1836","Becket","MA",2001,373,"Becket","10","Total, All Industries",354
"1855","Bedford","MA",2001,473,"Bedford","10","Total, All Industries",21786
"1974","Belchertown","MA",2001,343,"Belchertown","10","Total, All Industries",2006
"2036","Bellingham","MA",2001,282,"Bellingham","10","Total, All Industries",5124
"2126","Belmont","MA",2001,63,"Belmont","10","Total, All Industries",6359
"2233","Berkley","MA",2001,462,"Berkley","10","Total, All Industries",541
"2255","Berlin","MA",2001,263,"Berlin","10","Total, All Industries",699
"2288","Bernardston","MA",2001,183,"Bernardston","10","Total, All Industries",466
"2310","Beverly","MA",2001,412,"Beverly","10","Total, All Industries",19467
"2476","Billerica","MA",2001,242,"Billerica","10","Total, All Industries",25615
"2632","Blackstone","MA",2001,283,"Blackstone","10","Total, All Industries",1331
"2669","Blandford","MA",2001,433,"Blandford","10","Total, All Industries",166
"2672","Bolton","MA",2001,264,"Bolton","10","Total, All Industries",2286
"2712","Boston","MA",2001,51,"Boston","10","Total, All Industries",578460
"3038","Bourne","MA",2001,32,"Bourne","10","Total, All Industries",7117
"3171","Boxborough","MA",2001,165,"Boxborough","10","Total, All Industries",2332
"3217","Boxford","MA",2001,212,"Boxford","10","Total, All Industries",929
"3252","Boylston","MA",2001,503,"Boylston","10","Total, All Industries",1458
"3294","Braintree","MA",2001,402,"Braintree","10","Total, All Industries",30999
"3468","Brewster","MA",2001,33,"Brewster","10","Total, All Industries",2494
"3533","Bridgewater","MA",2001,114,"Bridgewater","10","Total, All Industries",7334
"3631","Brimfield","MA",2001,434,"Brimfield","10","Total, All Industries",494
"3663","Brockton","MA",2001,111,"Brockton","10","Total, All Industries",37604
"3862","Brookfield","MA",2001,504,"Brookfield","10","Total, All Industries",475
"3883","Brookline","MA",2001,52,"Brookline","10","Total, All Industries",15442
"4043","Buckland","MA",2001,184,"Buckland","10","Total, All Industries",500
"4058","Burlington","MA",2001,492,"Burlington","10","Total, All Industries",39125
"4226","Cambridge","MA",2001,61,"Cambridge","10","Total, All Industries",113465
"4439","Canton","MA",2001,362,"Canton","10","Total, All Industries",21097
"4589","Carlisle","MA",2001,474,"Carlisle","10","Total, All Industries",808
"4618","Carver","MA",2001,115,"Carver","10","Total, All Industries",1857
"4685","Charlemont","MA",2001,185,"Charlemont","10","Total, All Industries",321
"4696","Charlton","MA",2001,482,"Charlton","10","Total, All Industries",2804
"4771","Chatham","MA",2001,34,"Chatham","10","Total, All Industries",3020
"4856","Chelmsford","MA",2001,243,"Chelmsford","10","Total, All Industries",23735
"5012","Chelsea","MA",2001,141,"Chelsea","10","Total, All Industries",13610
"5146","Cheshire","MA",2001,374,"Cheshire","10","Total, All Industries",312
"5160","Chester","MA",2001,344,"Chester","10","Total, All Industries",126
"5172","Chesterfield","MA",2001,345,"Chesterfield","10","Total, All Industries",126
"5178","Chicopee","MA",2001,435,"Chicopee","10","Total, All Industries",20560
"5347","Chilmark","MA",2001,303,"Chilmark","10","Total, All Industries",275
"5367","Clarksburg","MA",2001,333,"Clarksburg","10","Total, All Industries",241
"5384","Clinton","MA",2001,166,"Clinton","10","Total, All Industries",4865
"5470","Cohasset","MA",2001,403,"Cohasset","10","Total, All Industries",2496
"5548","Colrain","MA",2001,186,"Colrain","10","Total, All Industries",258
"5563","Concord","MA",2001,475,"Concord","10","Total, All Industries",12812
"5699","Conway","MA",2001,187,"Conway","10","Total, All Industries",186
"5709","Cummington","MA",2001,346,"Cummington","10","Total, All Industries",245
"5715","Dalton","MA",2001,375,"Dalton","10","Total, All Industries",2180
"5755","Danvers","MA",2001,413,"Danvers","10","Total, All Industries",23026
"5928","Dartmouth","MA",2001,304,"Dartmouth","10","Total, All Industries",13912
"6063","Dedham","MA",2001,363,"Dedham","10","Total, All Industries",14809
"6213","Deerfield","MA",2001,188,"Deerfield","10","Total, All Industries",3891
"6281","Dennis","MA",2001,35,"Dennis","10","Total, All Industries",4762
"6383","Dighton","MA",2001,463,"Dighton","10","Total, All Industries",2034
"6430","Douglas","MA",2001,483,"Douglas","10","Total, All Industries",851
"6474","Dover","MA",2001,364,"Dover","10","Total, All Industries",844
"6511","Dracut","MA",2001,244,"Dracut","10","Total, All Industries",4893
"6610","Dudley","MA",2001,484,"Dudley","10","Total, All Industries",2781
"6666","Dunstable","MA",2001,245,"Dunstable","10","Total, All Industries",272
"6681","Duxbury","MA",2001,116,"Duxbury","10","Total, All Industries",2548
"6769","East Bridgewater","MA",2001,117,"East Bridgewater","10","Total, All Industries",3008
"6834","East Brookfield","MA",2001,505,"East Brookfield","10","Total, All Industries",391
"6851","East Longmeadow","MA",2001,436,"East Longmeadow","10","Total, All Industries",9208
"6963","Eastham","MA",2001,36,"Eastham","10","Total, All Industries",1049
"7004","Easthampton","MA",2001,347,"Easthampton","10","Total, All Industries",4645
"7097","Easton","MA",2001,118,"Easton","10","Total, All Industries",9256
"7223","Edgartown","MA",2001,305,"Edgartown","10","Total, All Industries",1955
"7294","Egremont","MA",2001,376,"Egremont","10","Total, All Industries",276
"7314","Erving","MA",2001,189,"Erving","10","Total, All Industries",359
"7323","Essex","MA",2001,414,"Essex","10","Total, All Industries",1383
"7372","Everett","MA",2001,72,"Everett","10","Total, All Industries",12835
"7495","Fairhaven","MA",2001,306,"Fairhaven","10","Total, All Industries",7051
"7596","Fall River","MA",2001,151,"Fall River","10","Total, All Industries",40069
"7801","Falmouth","MA",2001,37,"Falmouth","10","Total, All Industries",14240
"7950","Fitchburg","MA",2001,161,"Fitchburg","10","Total, All Industries",14416
"8116","Florida","MA",2001,334,"Florida","10","Total, All Industries",81
"8118","Foxborough","MA",2001,22,"Foxborough","10","Total, All Industries",9434
"8223","Framingham","MA",2001,265,"Framingham","10","Total, All Industries",45749
"8420","Franklin","MA",2001,284,"Franklin","10","Total, All Industries",16096
"8569","Freetown","MA",2001,152,"Freetown","10","Total, All Industries",2137
"8641","Gardner","MA",2001,167,"Gardner","10","Total, All Industries",8463
"8755","Georgetown","MA",2001,213,"Georgetown","10","Total, All Industries",2435
"8825","Gill","MA",2001,190,"Gill","10","Total, All Industries",198
"8838","Gloucester","MA",2001,415,"Gloucester","10","Total, All Industries",11701
"8992","Goshen","MA",2001,348,"Goshen","10","Total, All Industries",90
"8997","Gosnold","MA",2001,308,"Gosnold","10","Total, All Industries",50
"8999","Grafton","MA",2001,506,"Grafton","10","Total, All Industries",4684
"9076","Granby","MA",2001,349,"Granby","10","Total, All Industries",849
"9116","Granville","MA",2001,437,"Granville","10","Total, All Industries",164
"9123","Great Barrington","MA",2001,377,"Great Barrington","10","Total, All Industries",5076
"9238","Greenfield","MA",2001,181,"Greenfield","10","Total, All Industries",10510
"9382","Groton","MA",2001,168,"Groton","10","Total, All Industries",2958
"9447","Groveland","MA",2001,214,"Groveland","10","Total, All Industries",1122
"9479","Hadley","MA",2001,350,"Hadley","10","Total, All Industries",4333
"9569","Halifax","MA",2001,119,"Halifax","10","Total, All Industries",1113
"9599","Hamilton","MA",2001,416,"Hamilton","10","Total, All Industries",1444
"9663","Hampden","MA",2001,438,"Hampden","10","Total, All Industries",727
"9707","Hanover","MA",2001,120,"Hanover","10","Total, All Industries",7352
"9828","Hanson","MA",2001,122,"Hanson","10","Total, All Industries",1821
"9887","Hardwick","MA",2001,3,"Hardwick","10","Total, All Industries",317
"9905","Harvard","MA",2001,169,"Harvard","10","Total, All Industries",963
"9955","Harwich","MA",2001,38,"Harwich","10","Total, All Industries",3373
"10042","Hatfield","MA",2001,352,"Hatfield","10","Total, All Industries",2653
"10082","Haverhill","MA",2001,211,"Haverhill","10","Total, All Industries",18960
"10264","Hawley","MA",2001,192,"Hawley","10","Total, All Industries",12
"10266","Heath","MA",2001,193,"Heath","10","Total, All Industries",81
"10271","Hingham","MA",2001,404,"Hingham","10","Total, All Industries",11339
"10403","Hinsdale","MA",2001,379,"Hinsdale","10","Total, All Industries",208
"10425","Holbrook","MA",2001,123,"Holbrook","10","Total, All Industries",2876
"10500","Holden","MA",2001,507,"Holden","10","Total, All Industries",3544
"10576","Holland","MA",2001,439,"Holland","10","Total, All Industries",127
"10587","Holliston","MA",2001,285,"Holliston","10","Total, All Industries",5247
"10677","Holyoke","MA",2001,221,"Holyoke","10","Total, All Industries",24045
"10846","Hopedale","MA",2001,286,"Hopedale","10","Total, All Industries",1687
"10900","Hopkinton","MA",2001,287,"Hopkinton","10","Total, All Industries",8731
"10984","Hubbardston","MA",2001,4,"Hubbardston","10","Total, All Industries",632
"11011","Hudson","MA",2001,266,"Hudson","10","Total, All Industries",10702
"11124","Hull","MA",2001,405,"Hull","10","Total, All Industries",1315
"11181","Huntington","MA",2001,353,"Huntington","10","Total, All Industries",419
"11197","Ipswich","MA",2001,323,"Ipswich","10","Total, All Industries",3912
"11290","Kingston","MA",2001,124,"Kingston","10","Total, All Industries",5118
"11385","Lakeville","MA",2001,309,"Lakeville","10","Total, All Industries",3061
"11462","Lancaster","MA",2001,170,"Lancaster","10","Total, All Industries",2395
"11513","Lanesborough","MA",2001,380,"Lanesborough","10","Total, All Industries",1703
"11561","Lawrence","MA",2001,231,"Lawrence","10","Total, All Industries",23942
"11736","Lee","MA",2001,382,"Lee","10","Total, All Industries",3677
"11813","Leicester","MA",2001,508,"Leicester","10","Total, All Industries",2118
"11864","Lenox","MA",2001,383,"Lenox","10","Total, All Industries",3718
"11935","Leominster","MA",2001,172,"Leominster","10","Total, All Industries",18685
"12099","Leverett","MA",2001,194,"Leverett","10","Total, All Industries",181
"12111","Lexington","MA",2001,476,"Lexington","10","Total, All Industries",21426
"12258","Lincoln","MA",2001,477,"Lincoln","10","Total, All Industries",2051
"12295","Littleton","MA",2001,246,"Littleton","10","Total, All Industries",5766
"12381","Longmeadow","MA",2001,440,"Longmeadow","10","Total, All Industries",3261
"12447","Lowell","MA",2001,241,"Lowell","10","Total, All Industries",34556
"12637","Ludlow","MA",2001,442,"Ludlow","10","Total, All Industries",5937
"12736","Lunenburg","MA",2001,173,"Lunenburg","10","Total, All Industries",2464
"12800","Lynn","MA",2001,251,"Lynn","10","Total, All Industries",25258
"12962","Lynnfield","MA",2001,252,"Lynnfield","10","Total, All Industries",5168
"13041","Malden","MA",2001,71,"Malden","10","Total, All Industries",17482
"13196","Manchester-by-the-Sea","MA",2001,417,"Manchester","10","Total, All Industries",1496
"13261","Mansfield","MA",2001,23,"Mansfield","10","Total, All Industries",11711
"13375","Marblehead","MA",2001,418,"Marblehead","10","Total, All Industries",4931
"13491","Marion","MA",2001,310,"Marion","10","Total, All Industries",2042
"13548","Marlborough","MA",2001,261,"Marlborough","10","Total, All Industries",30368
"13712","Marshfield","MA",2001,125,"Marshfield","10","Total, All Industries",4988
"13816","Mashpee","MA",2001,39,"Mashpee","10","Total, All Industries",3524
"13898","Mattapoisett","MA",2001,312,"Mattapoisett","10","Total, All Industries",1705
"13959","Maynard","MA",2001,267,"Maynard","10","Total, All Industries",5617
"14029","Medfield","MA",2001,365,"Medfield","10","Total, All Industries",3604
"14113","Medford","MA",2001,81,"Medford","10","Total, All Industries",18931
"14267","Medway","MA",2001,288,"Medway","10","Total, All Industries",2730
"14348","Melrose","MA",2001,73,"Melrose","10","Total, All Industries",6549
"14453","Mendon","MA",2001,289,"Mendon","10","Total, All Industries",1355
"14507","Merrimac","MA",2001,215,"Merrimac","10","Total, All Industries",924
"14552","Methuen","MA",2001,233,"Methuen","10","Total, All Industries",14586
"14689","Middleborough","MA",2001,126,"Middleborough","10","Total, All Industries",7698
"14797","Middlefield","MA",2001,354,"Middlefield","10","Total, All Industries",47
"14800","Middleton","MA",2001,419,"Middleton","10","Total, All Industries",4867
"14877","Milford","MA",2001,281,"Milford","10","Total, All Industries",14653
"15019","Millbury","MA",2001,509,"Millbury","10","Total, All Industries",3814
"15092","Millis","MA",2001,366,"Millis","10","Total, All Industries",2146
"15156","Millville","MA",2001,290,"Millville","10","Total, All Industries",213
"15171","Milton","MA",2001,406,"Milton","10","Total, All Industries",6067
"15254","Monroe","MA",2001,335,"Monroe","10","Total, All Industries",37
"15256","Monson","MA",2001,443,"Monson","10","Total, All Industries",1374
"15304","Montague","MA",2001,196,"Montague","10","Total, All Industries",2713
"15371","Monterey","MA",2001,384,"Monterey","10","Total, All Industries",175
"15381","Montgomery","MA",2001,444,"Montgomery","10","Total, All Industries",66
"15383","Nahant","MA",2001,253,"Nahant","10","Total, All Industries",407
"15405","Nantucket","MA",2001,313,"Nantucket","10","Total, All Industries",5591
"15519","Natick","MA",2001,268,"Natick","10","Total, All Industries",23872
"15685","Needham","MA",2001,92,"Needham","10","Total, All Industries",20006
"15839","New Ashford","MA",2001,336,"New Ashford","10","Total, All Industries",111
"15843","New Bedford","MA",2001,301,"New Bedford","10","Total, All Industries",36293
"16056","New Braintree","MA",2001,510,"New Braintree","10","Total, All Industries",141
"16066","New Marlborough","MA",2001,386,"New Marlborough","10","Total, All Industries",382
"16083","New Salem","MA",2001,5,"New Salem","10","Total, All Industries",160
"16090","Newbury","MA",2001,324,"Newbury","10","Total, All Industries",1256
"16141","Newburyport","MA",2001,321,"Newburyport","10","Total, All Industries",10180
"16281","Newton","MA",2001,91,"Newton","10","Total, All Industries",48050
"16489","Norfolk","MA",2001,367,"Norfolk","10","Total, All Industries",3190
"16552","North Adams","MA",2001,331,"North Adams","10","Total, All Industries",6158
"16655","North Andover","MA",2001,234,"North Andover","10","Total, All Industries",18328
"16784","North Attleborough","MA",2001,24,"North Attleborough","10","Total, All Industries",12233
"16918","North Brookfield","MA",2001,512,"North Brookfield","10","Total, All Industries",1171
"16953","North Reading","MA",2001,493,"North Reading","10","Total, All Industries",6794
"17050","Northampton","MA",2001,341,"Northampton","10","Total, All Industries",17729
"17213","Northborough","MA",2001,269,"Northborough","10","Total, All Industries",6606
"17330","Northbridge","MA",2001,292,"Northbridge","10","Total, All Industries",4401
"17404","Northfield","MA",2001,197,"Northfield","10","Total, All Industries",1183
"17418","Norton","MA",2001,25,"Norton","10","Total, All Industries",6058
"17498","Norwell","MA",2001,407,"Norwell","10","Total, All Industries",8615
"17601","Norwood","MA",2001,361,"Norwood","10","Total, All Industries",25059
"17773","Oak Bluffs","MA",2001,314,"Oak Bluffs","10","Total, All Industries",1873
"17818","Oakham","MA",2001,513,"Oakham","10","Total, All Industries",150
"17825","Orange","MA",2001,6,"Orange","10","Total, All Industries",2071
"17888","Orleans","MA",2001,40,"Orleans","10","Total, All Industries",4362
"17991","Otis","MA",2001,387,"Otis","10","Total, All Industries",294
"18012","Oxford","MA",2001,485,"Oxford","10","Total, All Industries",3287
"18089","Palmer","MA",2001,445,"Palmer","10","Total, All Industries",5429
"18191","Paxton","MA",2001,514,"Paxton","10","Total, All Industries",707
"18219","Peabody","MA",2001,420,"Peabody","10","Total, All Industries",26877
"18404","Pelham","MA",2001,355,"Pelham","10","Total, All Industries",151
"18414","Pembroke","MA",2001,127,"Pembroke","10","Total, All Industries",5223
"18526","Pepperell","MA",2001,174,"Pepperell","10","Total, All Industries",1582
"18587","Petersham","MA",2001,7,"Petersham","10","Total, All Industries",140
"18597","Phillipston","MA",2001,8,"Phillipston","10","Total, All Industries",178
"18604","Pittsfield","MA",2001,371,"Pittsfield","10","Total, All Industries",26652
"18793","Plainfield","MA",2001,356,"Plainfield","10","Total, All Industries",125
"18798","Plainville","MA",2001,26,"Plainville","10","Total, All Industries",2961
"18878","Plymouth","MA",2001,128,"Plymouth","10","Total, All Industries",19170
"19046","Plympton","MA",2001,129,"Plympton","10","Total, All Industries",271
"19075","Princeton","MA",2001,175,"Princeton","10","Total, All Industries",741
"19104","Provincetown","MA",2001,42,"Provincetown","10","Total, All Industries",2392
"19186","Quincy","MA",2001,401,"Quincy","10","Total, All Industries",47299
"19360","Randolph","MA",2001,130,"Randolph","10","Total, All Industries",10530
"19485","Raynham","MA",2001,464,"Raynham","10","Total, All Industries",7153
"19604","Reading","MA",2001,494,"Reading","10","Total, All Industries",7312
"19708","Rehoboth","MA",2001,465,"Rehoboth","10","Total, All Industries",1557
"19777","Revere","MA",2001,142,"Revere","10","Total, All Industries",8604
"19903","Richmond","MA",2001,389,"Richmond","10","Total, All Industries",207
"19912","Rochester","MA",2001,315,"Rochester","10","Total, All Industries",1014
"19945","Rockland","MA",2001,132,"Rockland","10","Total, All Industries",8313
"20057","Rockport","MA",2001,422,"Rockport","10","Total, All Industries",1492
"20121","Rowe","MA",2001,198,"Rowe","10","Total, All Industries",119
"20125","Rowley","MA",2001,325,"Rowley","10","Total, All Industries",2362
"20192","Royalston","MA",2001,9,"Royalston","10","Total, All Industries",152
"20200","Russell","MA",2001,446,"Russell","10","Total, All Industries",233
"20208","Rutland","MA",2001,515,"Rutland","10","Total, All Industries",974
"20246","Salem","MA",2001,411,"Salem","10","Total, All Industries",18579
"20404","Salisbury","MA",2001,326,"Salisbury","10","Total, All Industries",2722
"20487","Sandisfield","MA",2001,390,"Sandisfield","10","Total, All Industries",207
"20491","Sandwich","MA",2001,43,"Sandwich","10","Total, All Industries",5049
"20597","Saugus","MA",2001,254,"Saugus","10","Total, All Industries",11040
"20715","Savoy","MA",2001,337,"Savoy","10","Total, All Industries",65
"20718","Scituate","MA",2001,408,"Scituate","10","Total, All Industries",3117
"20809","Seekonk","MA",2001,466,"Seekonk","10","Total, All Industries",8215
"20929","Sharon","MA",2001,368,"Sharon","10","Total, All Industries",4049
"21010","Sheffield","MA",2001,392,"Sheffield","10","Total, All Industries",1296
"21052","Shelburne","MA",2001,199,"Shelburne","10","Total, All Industries",773
"21098","Sherborn","MA",2001,270,"Sherborn","10","Total, All Industries",546
"21139","Shirley","MA",2001,176,"Shirley","10","Total, All Industries",2171
"21175","Shrewsbury","MA",2001,516,"Shrewsbury","10","Total, All Industries",13423
"21311","Shutesbury","MA",2001,200,"Shutesbury","10","Total, All Industries",143
"21321","Somerset","MA",2001,153,"Somerset","10","Total, All Industries",4143
"21396","Somerville","MA",2001,101,"Somerville","10","Total, All Industries",22948
"21557","South Hadley","MA",2001,223,"South Hadley","10","Total, All Industries",4897
"21644","Southampton","MA",2001,357,"Southampton","10","Total, All Industries",1061
"21690","Southborough","MA",2001,272,"Southborough","10","Total, All Industries",6018
"21771","Southbridge","MA",2001,486,"Southbridge","10","Total, All Industries",6177
"21874","Southwick","MA",2001,447,"Southwick","10","Total, All Industries",2593
"21947","Spencer","MA",2001,517,"Spencer","10","Total, All Industries",3555
"22009","Springfield","MA",2001,431,"Springfield","10","Total, All Industries",79927
"22250","Sterling","MA",2001,177,"Sterling","10","Total, All Industries",2163
"22311","Stockbridge","MA",2001,393,"Stockbridge","10","Total, All Industries",1487
