"Municipal","State","C_year","Industry.Title","Average.Monthly.Employment","Average.Weekly.Wage","Number.of.Employer.Establishments.in.the.Industry..reporting.units.","Total.Wages.Paid.to.All.Workers.in.the.Industry"
"Abington","MA",2001,"Total, All Industries",4119,562,302,120348448
"Acton","MA",2001,"Total, All Industries",10405,994,791,537785795
"Acushnet","MA",2001,"Total, All Industries",2035,689,151,72942774
"Adams","MA",2001,"Total, All Industries",2182,566,195,64234276
"Agawam","MA",2001,"Total, All Industries",11862,567,706,349703673
"Alford","MA",2001,"Total, All Industries",30,419,9,646046
"Amesbury","MA",2001,"Total, All Industries",4970,650,390,168024543
"Amherst","MA",2001,"Total, All Industries",13039,699,686,473959970
"Andover","MA",2001,"Total, All Industries",34528,1088,1075,1953006362
"Aquinnah","MA",2001,"Total, All Industries",72,519,13,1953252
"Arlington","MA",2001,"Total, All Industries",8735,728,956,330749126
"Ashburnham","MA",2001,"Total, All Industries",1064,626,105,34610406
"Ashby","MA",2001,"Total, All Industries",238,544,57,6728816
"Ashfield","MA",2001,"Total, All Industries",234,395,48,4802693
"Ashland","MA",2001,"Total, All Industries",4565,661,411,156938609
"Athol","MA",2001,"Total, All Industries",3628,546,235,102953479
"Attleboro","MA",2001,"Total, All Industries",21649,631,1002,710838251
"Auburn","MA",2001,"Total, All Industries",11564,579,574,347882172
"Avon","MA",2001,"Total, All Industries",6853,784,271,279362271
"Ayer","MA",2001,"Total, All Industries",6314,769,305,252488491
"Barnstable","MA",2001,"Total, All Industries",28045,647,2230,942898238
"Barre","MA",2001,"Total, All Industries",1134,600,104,35397323
"Becket","MA",2001,"Total, All Industries",354,432,38,7951617
"Bedford","MA",2001,"Total, All Industries",21786,1231,653,1395023429
"Belchertown","MA",2001,"Total, All Industries",2006,483,228,50352019
"Bellingham","MA",2001,"Total, All Industries",5124,501,389,133433222
"Belmont","MA",2001,"Total, All Industries",6359,694,645,229460511
"Berkley","MA",2001,"Total, All Industries",541,525,79,14773562
"Berlin","MA",2001,"Total, All Industries",699,611,105,22209453
