"","Municipal","Year","Average_Monthly_Employment"
"1","Abington",2001,4119
"2","Abington",2002,4166
"3","Abington",2003,3980
"4","Abington",2004,3985
"5","Abington",2005,4041
"6","Abington",2006,4078
"7","Abington",2007,4023
"8","Abington",2008,3977
"9","Abington",2009,3812
"10","Abington",2010,3732
"11","Abington",2011,3823
"12","Abington",2012,3903
"13","Acton",2001,10405
"14","Acton",2002,9775
"15","Acton",2003,9340
"16","Acton",2004,9302
"17","Acton",2005,9491
"18","Acton",2006,9784
"19","Acton",2007,10089
"20","Acton",2008,10095
"21","Acton",2009,9451
"22","Acton",2010,9286
"23","Acton",2011,9489
"24","Acton",2012,9837
"25","Acushnet",2001,2035
"26","Acushnet",2002,2255
"27","Acushnet",2003,2116
"28","Acushnet",2004,1442
"29","Acushnet",2005,1271
"30","Acushnet",2006,1490
"31","Acushnet",2007,1436
"32","Acushnet",2008,1340
"33","Acushnet",2009,1102
"34","Acushnet",2010,1130
"35","Acushnet",2011,1130
"36","Acushnet",2012,1177
"37","Adams",2001,2182
"38","Adams",2002,2131
"39","Adams",2003,2061
"40","Adams",2004,1912
"41","Adams",2005,1894
"42","Adams",2006,1920
"43","Adams",2007,1833
"44","Adams",2008,1824
"45","Adams",2009,1719
"46","Adams",2010,1756
"47","Adams",2011,1759
"48","Adams",2012,1813
"49","Agawam",2001,11862
"50","Agawam",2002,11518
"51","Agawam",2003,11301
"52","Agawam",2004,11823
"53","Agawam",2005,12125
"54","Agawam",2006,12130
"55","Agawam",2007,12020
"56","Agawam",2008,12091
"57","Agawam",2009,11562
"58","Agawam",2010,11637
"59","Agawam",2011,11823
"60","Agawam",2012,11953
"61","Alford",2001,30
"62","Alford",2002,38
"63","Alford",2003,41
"64","Alford",2004,38
"65","Alford",2005,35
"66","Alford",2006,37
"67","Alford",2007,38
"68","Alford",2008,28
"69","Alford",2009,34
"70","Alford",2010,24
"71","Amesbury",2001,4970
"72","Amesbury",2002,4652
"73","Amesbury",2003,4551
"74","Amesbury",2004,4700
"75","Amesbury",2005,4727
"76","Amesbury",2006,4715
"77","Amesbury",2007,4709
"78","Amesbury",2008,4657
"79","Amesbury",2009,4587
"80","Amesbury",2010,4707
"81","Amesbury",2011,4730
"82","Amesbury",2012,4778
"83","Amherst",2001,13039
"84","Amherst",2002,12585
"85","Amherst",2003,12545
"86","Amherst",2004,14156
"87","Amherst",2005,13986
"88","Amherst",2006,14266
"89","Amherst",2007,14617
"90","Amherst",2008,14651
"91","Amherst",2009,14606
"92","Amherst",2010,14820
"93","Amherst",2011,15207
"94","Amherst",2012,15595
"95","Andover",2001,34528
"96","Andover",2002,32846
"97","Andover",2003,31769
"98","Andover",2004,31600
"99","Andover",2005,31907
"100","Andover",2006,31843
"101","Andover",2007,32440
"102","Andover",2008,32769
"103","Andover",2009,31840
"104","Andover",2010,31613
"105","Andover",2011,32326
"106","Andover",2012,33916
