"Municipal","State","Year","Average_Monthly_Employment","Average_Weekly_Wage","Number_of_Employer_Establishments","Total_Wages_Paid_to_All_Workers","Change","Employment_Change_Pct","Establishment_Change","Establishment_Change_Pct","Average_Weekly_Wage_Change","Average_Weekly_Wage_Change_Pct"
"Abington","MA",2001,4119,562,302,120348448,1,100,1,100,1,100
"Abington","MA",2002,4166,584,320,126590586,1.01141053653799,101.141053653799,1.05960264900662,105.960264900662,1.03914590747331,103.914590747331
"Abington","MA",2003,3980,607,330,125692728,0.966253945132314,96.6253945132314,1.09271523178808,109.271523178808,1.08007117437722,108.007117437722
"Abington","MA",2004,3985,638,345,132115662,0.967467831998058,96.7467831998058,1.14238410596026,114.238410596026,1.13523131672598,113.523131672598
"Abington","MA",2005,4041,654,348,137382632,0.981063364894392,98.1063364894392,1.1523178807947,115.23178807947,1.16370106761566,116.370106761566
"Abington","MA",2006,4078,679,350,144012510,0.990046127700898,99.0046127700898,1.15894039735099,115.894039735099,1.20818505338078,120.818505338078
"Abington","MA",2007,4023,694,352,145246122,0.976693372177713,97.6693372177713,1.16556291390728,116.556291390728,1.23487544483986,123.487544483986
"Abington","MA",2008,3977,721,333,149042578,0.965525613012867,96.5525613012867,1.10264900662252,110.264900662252,1.28291814946619,128.291814946619
"Abington","MA",2009,3812,697,329,138222387,0.925467346443312,92.5467346443312,1.08940397350993,108.940397350993,1.24021352313167,124.021352313167
"Abington","MA",2010,3732,697,367,135281093,0.906045156591406,90.6045156591406,1.21523178807947,121.523178807947,1.24021352313167,124.021352313167
"Abington","MA",2011,3823,727,374,144558637,0.928137897547949,92.8137897547949,1.23841059602649,123.841059602649,1.29359430604982,129.359430604982
"Abington","MA",2012,3903,721,353,146281639,0.947560087399854,94.7560087399854,1.16887417218543,116.887417218543,1.28291814946619,128.291814946619
"Acton","MA",2001,10405,994,791,537785795,1,100,1,100,1,100
"Acton","MA",2002,9775,893,813,454013974,0.939452186448823,93.9452186448823,1.02781289506953,102.781289506953,0.898390342052314,89.8390342052314
"Acton","MA",2003,9340,890,842,432088799,0.897645362806343,89.7645362806343,1.06447534766119,106.447534766119,0.895372233400402,89.5372233400402
"Acton","MA",2004,9302,864,862,417773879,0.893993272465161,89.3993272465161,1.0897597977244,108.97597977244,0.869215291750503,86.9215291750503
"Acton","MA",2005,9491,903,811,445798011,0.912157616530514,91.2157616530514,1.02528445006321,102.528445006321,0.908450704225352,90.8450704225352
"Acton","MA",2006,9784,927,819,471485152,0.94031715521384,94.031715521384,1.0353982300885,103.53982300885,0.932595573440644,93.2595573440644
"Acton","MA",2007,10089,976,799,512044530,0.969629985583854,96.9629985583854,1.01011378002528,101.011378002528,0.981891348088531,98.1891348088531
"Acton","MA",2008,10095,1003,792,526710871,0.970206631427198,97.0206631427198,1.00126422250316,100.126422250316,1.00905432595573,100.905432595573
"Acton","MA",2009,9451,990,788,486533916,0.908313310908217,90.8313310908217,0.996207332490518,99.6207332490518,0.995975855130785,99.5975855130785
"Acton","MA",2010,9286,986,793,475985647,0.892455550216242,89.2455550216242,1.00252844500632,100.252844500632,0.991951710261569,99.1951710261569
"Acton","MA",2011,9489,1029,829,507633431,0.911965401249399,91.1965401249399,1.0480404551201,104.80404551201,1.03521126760563,103.521126760563
"Acton","MA",2012,9837,1050,809,537030757,0.945410860163383,94.5410860163383,1.02275600505689,102.275600505689,1.05633802816901,105.633802816901
"Acushnet","MA",2001,2035,689,151,72942774,1,100,1,100,1,100
"Acushnet","MA",2002,2255,652,179,76492249,1.10810810810811,110.810810810811,1.18543046357616,118.543046357616,0.946298984034833,94.6298984034833
"Acushnet","MA",2003,2116,700,188,77047115,1.03980343980344,103.980343980344,1.24503311258278,124.503311258278,1.01596516690856,101.596516690856
"Acushnet","MA",2004,1442,677,203,50753989,0.708599508599509,70.8599508599509,1.34437086092715,134.437086092715,0.982583454281567,98.2583454281567
"Acushnet","MA",2005,1271,627,201,41447816,0.624570024570025,62.4570024570025,1.33112582781457,133.112582781457,0.910014513788099,91.0014513788099
"Acushnet","MA",2006,1490,639,202,49497077,0.732186732186732,73.2186732186732,1.33774834437086,133.774834437086,0.927431059506531,92.7431059506531
"Acushnet","MA",2007,1436,666,205,49737133,0.705651105651106,70.5651105651106,1.35761589403974,135.761589403974,0.966618287373004,96.6618287373004
"Acushnet","MA",2008,1340,665,201,46336756,0.658476658476658,65.8476658476659,1.33112582781457,133.112582781457,0.965166908563135,96.5166908563135
