"","Municipal","State","Year","Region","Industry_Title","Average_Monthly_Employment"
"1","Abington","MA",2001,"Abington","Total, All Industries",4119
"2","Acton","MA",2001,"Acton","Total, All Industries",10405
"3","Acushnet","MA",2001,"Acushnet","Total, All Industries",2035
"4","Adams","MA",2001,"Adams","Total, All Industries",2182
"5","Agawam","MA",2001,"Agawam","Total, All Industries",11862
"6","Alford","MA",2001,"Alford","Total, All Industries",30
"7","Amesbury","MA",2001,"Amesbury","Total, All Industries",4970
"8","Amherst","MA",2001,"Amherst","Total, All Industries",13039
"9","Andover","MA",2001,"Andover","Total, All Industries",34528
"10","Aquinnah","MA",2001,"Aquinnah","Total, All Industries",72
"11","Arlington","MA",2001,"Arlington","Total, All Industries",8735
"12","Ashburnham","MA",2001,"Ashburnham","Total, All Industries",1064
"13","Ashby","MA",2001,"Ashby","Total, All Industries",238
"14","Ashfield","MA",2001,"Ashfield","Total, All Industries",234
"15","Ashland","MA",2001,"Ashland","Total, All Industries",4565
"16","Athol","MA",2001,"Athol","Total, All Industries",3628
"17","Attleboro","MA",2001,"Attleborough","Total, All Industries",21649
"18","Auburn","MA",2001,"Auburn","Total, All Industries",11564
"19","Avon","MA",2001,"Avon","Total, All Industries",6853
"20","Ayer","MA",2001,"Ayer","Total, All Industries",6314
"21","Barnstable","MA",2001,"Barnstable","Total, All Industries",28045
"22","Barre","MA",2001,"Barre","Total, All Industries",1134
"23","Becket","MA",2001,"Becket","Total, All Industries",354
"24","Bedford","MA",2001,"Bedford","Total, All Industries",21786
"25","Belchertown","MA",2001,"Belchertown","Total, All Industries",2006
"26","Bellingham","MA",2001,"Bellingham","Total, All Industries",5124
"27","Belmont","MA",2001,"Belmont","Total, All Industries",6359
"28","Berkley","MA",2001,"Berkley","Total, All Industries",541
"29","Berlin","MA",2001,"Berlin","Total, All Industries",699
"30","Bernardston","MA",2001,"Bernardston","Total, All Industries",466
"31","Beverly","MA",2001,"Beverly","Total, All Industries",19467
"32","Billerica","MA",2001,"Billerica","Total, All Industries",25615
"33","Blackstone","MA",2001,"Blackstone","Total, All Industries",1331
"34","Blandford","MA",2001,"Blandford","Total, All Industries",166
"35","Bolton","MA",2001,"Bolton","Total, All Industries",2286
"36","Boston","MA",2001,"Boston","Total, All Industries",578460
"37","Bourne","MA",2001,"Bourne","Total, All Industries",7117
"38","Boxborough","MA",2001,"Boxborough","Total, All Industries",2332
"39","Boxford","MA",2001,"Boxford","Total, All Industries",929
"40","Boylston","MA",2001,"Boylston","Total, All Industries",1458
"41","Braintree","MA",2001,"Braintree","Total, All Industries",30999
"42","Brewster","MA",2001,"Brewster","Total, All Industries",2494
"43","Bridgewater","MA",2001,"Bridgewater","Total, All Industries",7334
"44","Brimfield","MA",2001,"Brimfield","Total, All Industries",494
"45","Brockton","MA",2001,"Brockton","Total, All Industries",37604
"46","Brookfield","MA",2001,"Brookfield","Total, All Industries",475
"47","Brookline","MA",2001,"Brookline","Total, All Industries",15442
"48","Buckland","MA",2001,"Buckland","Total, All Industries",500
"49","Burlington","MA",2001,"Burlington","Total, All Industries",39125
"50","Cambridge","MA",2001,"Cambridge","Total, All Industries",113465
"51","Canton","MA",2001,"Canton","Total, All Industries",21097
"52","Carlisle","MA",2001,"Carlisle","Total, All Industries",808
"53","Carver","MA",2001,"Carver","Total, All Industries",1857
"54","Charlemont","MA",2001,"Charlemont","Total, All Industries",321
"55","Charlton","MA",2001,"Charlton","Total, All Industries",2804
"56","Chatham","MA",2001,"Chatham","Total, All Industries",3020
"57","Chelmsford","MA",2001,"Chelmsford","Total, All Industries",23735
"58","Chelsea","MA",2001,"Chelsea","Total, All Industries",13610
"59","Cheshire","MA",2001,"Cheshire","Total, All Industries",312
"60","Chester","MA",2001,"Chester","Total, All Industries",126
"61","Chesterfield","MA",2001,"Chesterfield","Total, All Industries",126
"62","Chicopee","MA",2001,"Chicopee","Total, All Industries",20560
"63","Chilmark","MA",2001,"Chilmark","Total, All Industries",275
"64","Clarksburg","MA",2001,"Clarksburg","Total, All Industries",241
"65","Clinton","MA",2001,"Clinton","Total, All Industries",4865
"66","Cohasset","MA",2001,"Cohasset","Total, All Industries",2496
"67","Colrain","MA",2001,"Colrain","Total, All Industries",258
"68","Concord","MA",2001,"Concord","Total, All Industries",12812
"69","Conway","MA",2001,"Conway","Total, All Industries",186
