"Municipal","State","Year","Average_Monthly_Employment","Average_Weekly_Wage","Number_of_Employer_Establishments","Total_Wages_Paid_to_All_Workers","Inflation_Adjusted_Average_Weekly_Wage","Change","Employment_Change_Pct","Establishment_Change","Establishment_Change_Pct","Average_Weekly_Wage_Change","Average_Weekly_Wage_Change_Pct","Employment_difference","Establishment_difference","Average_Weekly_Wage_difference"
"Abington","MA",2003,3980,607,330,125692728,757,1,100,1,100,1,100,0,0,0
"Abington","MA",2004,3985,638,345,132115662,775,1.00125628140704,100.1,1.04545454545455,104.5,1.02377807133421,102.4,0.1,4.5,2.4
"Abington","MA",2005,4041,654,348,137382632,769,1.01532663316583,101.5,1.05454545454545,105.5,1.01585204755614,101.6,1.5,5.5,1.6
"Abington","MA",2006,4078,679,350,144012510,773,1.02462311557789,102.5,1.06060606060606,106.1,1.02113606340819,102.1,2.5,6.1,2.1
"Abington","MA",2007,4023,694,352,145246122,768,1.0108040201005,101.1,1.06666666666667,106.7,1.01453104359313,101.5,1.1,6.7,1.5
"Abington","MA",2008,3977,721,333,149042578,769,0.999246231155779,99.9,1.00909090909091,100.9,1.01585204755614,101.6,-0.1,0.9,1.6
"Abington","MA",2009,3812,697,329,138222387,746,0.957788944723618,95.8,0.996969696969697,99.7,0.985468956406869,98.5,-4.2,-0.3,-1.5
"Abington","MA",2010,3732,697,367,135281093,734,0.937688442211055,93.8,1.11212121212121,111.2,0.969616908850727,97,-6.2,11.2,-3
"Abington","MA",2011,3823,727,374,144558637,742,0.960552763819095,96.1,1.13333333333333,113.3,0.980184940554822,98,-3.9,13.3,-2
"Abington","MA",2012,3903,721,353,146281639,721,0.980653266331658,98.1,1.06969696969697,107,0.952443857331572,95.2,-1.9,7,-4.8
"Acton","MA",2003,9340,890,842,432088799,1111,1,100,1,100,1,100,0,0,0
"Acton","MA",2004,9302,864,862,417773879,1050,0.99593147751606,99.6,1.02375296912114,102.4,0.945094509450945,94.5,-0.4,2.4,-5.5
"Acton","MA",2005,9491,903,811,445798011,1062,1.0161670235546,101.6,0.963182897862233,96.3,0.955895589558956,95.6,1.6,-3.7,-4.4
"Acton","MA",2006,9784,927,819,471485152,1056,1.0475374732334,104.8,0.972684085510689,97.3,0.95049504950495,95,4.8,-2.7,-5
"Acton","MA",2007,10089,976,799,512044530,1081,1.08019271948608,108,0.948931116389549,94.9,0.972997299729973,97.3,8,-5.1,-2.7
"Acton","MA",2008,10095,1003,792,526710871,1070,1.08083511777302,108.1,0.94061757719715,94.1,0.963096309630963,96.3,8.1,-5.9,-3.7
"Acton","MA",2009,9451,990,788,486533916,1059,1.01188436830835,101.2,0.935866983372922,93.6,0.953195319531953,95.3,1.2,-6.4,-4.7
"Acton","MA",2010,9286,986,793,475985647,1038,0.994218415417559,99.4,0.941805225653207,94.2,0.934293429342934,93.4,-0.6,-5.8,-6.6
"Acton","MA",2011,9489,1029,829,507633431,1050,1.01595289079229,101.6,0.984560570071259,98.5,0.945094509450945,94.5,1.6,-1.5,-5.5
"Acton","MA",2012,9837,1050,809,537030757,1050,1.05321199143469,105.3,0.960807600950119,96.1,0.945094509450945,94.5,5.3,-3.9,-5.5
"Acushnet","MA",2003,2116,700,188,77047115,873,1,100,1,100,1,100,0,0,0
"Acushnet","MA",2004,1442,677,203,50753989,823,0.681474480151229,68.1,1.07978723404255,108,0.942726231386025,94.3,-31.9,8,-5.7
"Acushnet","MA",2005,1271,627,201,41447816,737,0.600661625708885,60.1,1.06914893617021,106.9,0.844215349369989,84.4,-39.9,6.9,-15.6
"Acushnet","MA",2006,1490,639,202,49497077,728,0.704158790170132,70.4,1.07446808510638,107.4,0.833906071019473,83.4,-29.6,7.4,-16.6
"Acushnet","MA",2007,1436,666,205,49737133,737,0.678638941398866,67.9,1.09042553191489,109,0.844215349369989,84.4,-32.1,9,-15.6
