"","Municipal","State","Year","Average_Monthly_Employment","Average_Weekly_Wage","Number_of_Employer_Establishments","Total_Wages_Paid_to_All_Workers","Inflation_Adjusted_Average_Weekly_Wage","Change","Employment_Change_Pct","Establishment_Change","Establishment_Change_Pct","Average_Weekly_Wage_Change","Average_Weekly_Wage_Change_Pct","Employment_difference","Establishment_difference","Average_Weekly_Wage_difference"
"1","Abington","MA",2003,3980,607,330,125692728,808.629565217391,1,100,1,100,1,100,0,0,0
"2","Abington","MA",2004,3985,638,345,132115662,827.880148226575,1.00125628140704,100.125628140704,1.04545454545455,104.545454545455,1.02380642983788,102.380642983788,0.1,4.5,2.4
"3","Abington","MA",2005,4041,654,348,137382632,820.831950844854,1.01532663316583,101.532663316583,1.05454545454545,105.454545454545,1.01509020465283,101.509020465283,1.5,5.5,1.5
"4","Abington","MA",2006,4078,679,350,144012510,825.577777777778,1.02462311557789,102.462311557789,1.06060606060606,106.060606060606,1.02095917993776,102.095917993776,2.5,6.1,2.1
"5","Abington","MA",2007,4023,694,352,145246122,820.447762633716,1.0108040201005,101.08040201005,1.06666666666667,106.666666666667,1.01461509438274,101.461509438274,1.1,6.7,1.5
"6","Abington","MA",2008,3977,721,333,149042578,820.850243610168,0.999246231155779,99.9246231155779,1.00909090909091,100.909090909091,1.01511282658765,101.511282658765,-0.1,0.9,1.5
"7","Abington","MA",2009,3812,697,329,138222387,796.359788754387,0.957788944723618,95.7788944723618,0.996969696969697,99.6969696969697,0.984826455782995,98.4826455782995,-4.2,-0.3,-1.5
"8","Abington","MA",2010,3732,697,367,135281093,783.50808966504,0.937688442211055,93.7688442211055,1.11212121212121,111.212121212121,0.968933271014402,96.8933271014401,-6.2,11.2,-3.1
"9","Abington","MA",2011,3823,727,374,144558637,792.224736484113,0.960552763819095,96.0552763819096,1.13333333333333,113.333333333333,0.979712801214648,97.9712801214648,-3.9,13.3,-2
"10","Abington","MA",2012,3903,721,353,146281639,769.756700959084,0.980653266331658,98.0653266331658,1.06969696969697,106.969696969697,0.951927475904426,95.1927475904426,-1.9,7,-4.8
"11","Abington","MA",2013,3844,737,356,147284001,775.479766652215,0.965829145728643,96.5829145728643,1.07878787878788,107.878787878788,0.959004963470184,95.9004963470184,-3.4,7.9,-4.1
"12","Abington","MA",2014,3996,787,362,163470157,814.871586915383,1.00402010050251,100.402010050251,1.0969696969697,109.69696969697,1.00771925980262,100.771925980262,0.4,9.7,0.8
"13","Abington","MA",2015,4068,788,383,166741998,814.93968787049,1.02211055276382,102.211055276382,1.16060606060606,116.060606060606,1.00780347754339,100.780347754339,2.2,16.1,0.8
"14","Abington","MA",2016,4115,829,395,177408090,846.660639064694,1.03391959798995,103.391959798995,1.1969696969697,119.69696969697,1.04703151539739,104.703151539739,3.4,19.7,4.7
"15","Abington","MA",2017,4210,861,409,188454541,861,1.05778894472362,105.778894472362,1.23939393939394,123.939393939394,1.06476443236221,106.476443236221,5.8,23.9,6.5
"16","Acton","MA",2003,9340,890,842,432088799,1185.6347826087,1,100,1,100,1,100,0,0,0
"17","Acton","MA",2004,9302,864,862,417773879,1121.14176813129,0.99593147751606,99.593147751606,1.02375296912114,102.375296912114,0.94560465379102,94.560465379102,-0.4,2.4,-5.4
"18","Acton","MA",2005,9491,903,811,445798011,1133.35053763441,1.0161670235546,101.61670235546,0.963182897862233,96.3182897862233,0.95590189682252,95.590189682252,1.6,-3.7,-4.4
"19","Acton","MA",2006,9784,927,819,471485152,1127.11428571429,1.0475374732334,104.75374732334,0.972684085510689,97.2684085510689,0.950642054574639,95.0642054574639,4.8,-2.7,-4.9
"20","Acton","MA",2007,10089,976,799,512044530,1153.82855379036,1.08019271948608,108.019271948608,0.948931116389549,94.8931116389549,0.973173670944135,97.3173670944135,8,-5.1,-2.7
"21","Acton","MA",2008,10095,1003,792,526710871,1141.90401434258,1.08083511777302,108.083511777302,0.94061757719715,94.061757719715,0.963116156081471,96.3116156081471,8.1,-5.9,-3.7
"22","Acton","MA",2009,9451,990,788,486533916,1131.12796394095,1.01188436830835,101.188436830835,0.935866983372922,93.5866983372922,0.954027311388575,95.4027311388575,1.2,-6.4,-4.6
"23","Acton","MA",2010,9286,986,793,475985647,1108.37729757493,0.994218415417559,99.4218415417559,0.941805225653207,94.1805225653207,0.934838715794273,93.4838715794273,-0.6,-5.8,-6.5
"24","Acton","MA",2011,9489,1029,829,507633431,1121.31946883377,1.01595289079229,101.595289079229,0.984560570071259,98.4560570071259,0.945754531902806,94.5754531902806,1.6,-1.5,-5.4
"25","Acton","MA",2012,9837,1050,809,537030757,1121.00490430935,1.05321199143469,105.321199143469,0.960807600950119,96.0807600950119,0.945489218731296,94.5489218731296,5.3,-3.9,-5.5
"26","Acton","MA",2013,9704,1057,813,533191512,1112.1873993913,1.0389721627409,103.89721627409,0.965558194774347,96.5558194774347,0.938052270146977,93.8052270146976,3.9,-3.4,-6.2
"27","Acton","MA",2014,10009,1095,843,569985029,1133.77939983779,1.07162740899358,107.162740899358,1.00118764845606,100.118764845606,0.956263612090726,95.6263612090726,7.2,0.1,-4.4
"28","Acton","MA",2015,9960,1165,857,603152739,1204.82834564609,1.06638115631692,106.638115631692,1.01781472684086,101.781472684086,1.01618842776792,101.618842776792,6.6,1.8,1.6
"29","Acton","MA",2016,10061,1173,866,613692636,1197.98905865246,1.0771948608137,107.71948608137,1.02850356294537,102.850356294537,1.01041996761986,101.041996761986,7.7,2.9,1
"30","Acton","MA",2017,9853,1202,855,616073610,1202,1.05492505353319,105.492505353319,1.01543942992874,101.543942992874,1.01380291606771,101.380291606771,5.5,1.5,1.4
"31","Acushnet","MA",2003,2116,700,188,77047115,932.521739130435,1,100,1,100,1,100,0,0,0
"32","Acushnet","MA",2004,1442,677,203,50753989,878.487241926945,0.681474480151229,68.1474480151229,1.07978723404255,107.978723404255,0.942055509339787,94.2055509339787,-31.9,8,-5.8
"33","Acushnet","MA",2005,1271,627,201,41447816,786.944393241167,0.600661625708885,60.0661625708885,1.06914893617021,106.914893617021,0.843888523151196,84.3888523151196,-39.9,6.9,-15.6
"34","Acushnet","MA",2006,1490,639,202,49497077,776.942857142857,0.704158790170132,70.4158790170132,1.07446808510638,107.446808510638,0.833163265306123,83.3163265306122,-29.6,7.4,-16.7
"35","Acushnet","MA",2007,1436,666,205,49737133,787.346123795468,0.678638941398866,67.8638941398866,1.09042553191489,109.042553191489,0.844319323353962,84.4319323353962,-32.1,9,-15.6
"36","Acushnet","MA",2008,1340,665,201,46336756,757.094884883165,0.633270321361059,63.3270321361059,1.06914893617021,106.914893617021,0.811879072748638,81.1879072748638,-36.7,6.9,-18.8
