"State","Region","C_year","Federal Information Processing Standards (FIPS)","Personal Income (thousands of dollars)","Less: Personal Current Taxes (thousands of dollars)","Equals: Disposable Personal Income (thousands of dollars)","Population (persons)","Per Capita Personal Income (dollars)","Per Capita Disposable Personal Income (dollars)","Personal Current Taxes (thousands of dollars)","Personal Current Taxes to Federal Government (thousands of dollars)","Personal Current Taxes to Federal Government (thousands of dollars): Income Taxes (net of refunds)","Personal Current Taxes to Federal Government (thousands of dollars): Income Taxes (gross)","Personal Current Taxes to Federal Government (thousands of dollars): Less: Refunds","Personal Current Taxes to State Governments (thousands of dollars)","Personal Current Taxes to State Governments (thousands of dollars): Income Taxes","Personal Current Taxes to State Governments (thousands of dollars): Motor Vehicle Licenses","Personal Current Taxes to State Governments (thousands of dollars): Other Taxes","Personal Current Taxes to Local Governments (thousands of dollars)","Personal Current Taxes to Local Governments (thousands of dollars): Income Taxes","Personal Current Taxes to Local Governments (thousands of dollars): Motor Vehicle Licenses","Personal Current Taxes to Local Governments (thousands of dollars): Other Taxes","State and Local Personal Property Taxes"
"N/A","United States","2000","00000",8554866000,1231177000,7323689000,282162411,30319,25956,1231177000,994469000,994469000,1128425000,133956000,211191000,199220000,10751000,1220000,20669000,18134000,657000,1878000,4848000
"N/A","United States","2001","00000",8983388000,1233728000,7749660000,284968955,31524,27195,1233728000,990710000,990710000,1139389000,148679000,217696000,205736000,10675000,1285000,20257000,17600000,650000,2007000,5065000
"N/A","United States","2002","00000",9145998000,1049264000,8096734000,287625193,31798,28150,1049264000,827414000,827414000,1008709000,181295000,196804000,184258000,11251000,1295000,19873000,17070000,677000,2126000,5173000
"N/A","United States","2003","00000",9479611000,999803000,8479808000,290107933,32676,29230,999803000,7.73e+08,7.73e+08,951641000,178641000,199639000,186432000,11960000,1247000,21411000,18266000,698000,2447000,5753000
"N/A","United States","2004","00000",10043284000,1044893000,8998391000,292805298,34300,30732,1044893000,797447000,797447000,984096000,186649000,217778000,203373000,12966000,1439000,23936000,20271000,711000,2954000,5732000
"N/A","United States","2005","00000",10605645000,1207284000,9398361000,295516599,35888,31803,1207284000,930849000,930849000,1111038000,180189000,243723000,228997000,13279000,1447000,26513000,22514000,742000,3257000,6199000
"N/A","United States","2006","00000",11376460000,1350810000,10025650000,298379912,38127,33600,1350810000,1048310000,1048310000,1244454000,196144000,268021000,252545000,13902000,1574000,27839000,23607000,780000,3452000,6640000
"N/A","United States","2007","00000",11990244000,1486505000,10503739000,301231207,39804,34869,1486505000,1163023000,1163023000,1369535000,206512000,285911000,269841000,14178000,1892000,30632000,26535000,812000,3285000,6939000
"N/A","United States","2008","00000",12429284000,1433912000,10995372000,304093966,40873,36158,1433912000,1100375000,1100375000,1386292000,285917000,296811000,280915000,14067000,1829000,29699000,26104000,835000,2760000,7027000
"N/A","United States","2009","00000",12073738000,1143809000,10929929000,306771529,39357,35629,1143809000,856038000,856038000,1129053000,273015000,253450000,236255000,14562000,2633000,26884000,23250000,829000,2805000,7437000
