Alphabetic List of Variables and Attributes,,,,,,
#,Variable,Type,Len,Format,Informat,Label
5,AT003_001,Char,19,$19.00 ,$19.00 ,AT003_001: ID Number
6,AT003_002,Num,8,BEST.,,AT003_002: ID Number 2
7,AT003_003,Char,65,$65.00 ,$65.00 ,AT003_003: Geography
8,AT003_004,Char,9,,,AT003_004: Five Year Average
9,AT003_005,Num,8,,,AT003_005: Estimate; Median household income in the past 12 months (inflation-adjusted dollars)
10,AT003_006,Num,8,,,AT003_006: Margin of Error; Median household income in the past 12 months (inflation-adjusted dollars)
11,AT003_007,Num,8,,,AT003_007: Estimate; Quintile Upper Limits- Lowest Quintile (inflation-adjusted dollars)
12,AT003_008,Num,8,,,AT003_008: Margin of Error; Quintile Upper Limits- Lowest Quintile
13,AT003_009,Num,8,,,AT003_009: Estimate; Quintile Upper Limits- Second Quintile (inflation-adjusted dollars)
14,AT003_010,Num,8,,,AT003_010: Margin of Error; Quintile Upper Limits- Second Quintile
15,AT003_011,Num,8,,,AT003_011: Estimate; Quintile Upper Limits- Third Quintile (inflation-adjusted dollars)
16,AT003_012,Num,8,,,AT003_012: Margin of Error; Quintile Upper Limits- Third Quintile
17,AT003_013,Num,8,,,AT003_013: Estimate; Quintile Upper Limits- Fourth Quintile (inflation-adjusted dollars)
18,AT003_014,Num,8,,,AT003_014: Margin of Error; Quintile Upper Limits- Fourth Quintile
19,AT003_015,Num,8,,,AT003_015: Estimate; Lower Limit of Top 5 Percent (inflation-adjusted dollars)
20,AT003_016,Num,8,,,AT003_016: Margin of Error; Lower Limit of Top 5 Percent
21,AT003_017,Num,8,,,AT003_017: Estimate; Quintile Means: - Lowest Quintile
22,AT003_018,Num,8,,,AT003_018: Margin of Error; Quintile Means: - Lowest Quintile
23,AT003_019,Num,8,,,AT003_019: Estimate; Quintile Means: - Second Quintile
24,AT003_020,Num,8,,,AT003_020: Margin of Error; Quintile Means: - Second Quintile
25,AT003_021,Num,8,,,AT003_021: Estimate; Quintile Means: - Third Quintile
26,AT003_022,Num,8,,,AT003_022: Margin of Error; Quintile Means: - Third Quintile
27,AT003_023,Num,8,,,AT003_023: Estimate; Quintile Means: - Fourth Quintile
28,AT003_024,Num,8,,,AT003_024: Margin of Error; Quintile Means: - Fourth Quintile
29,AT003_025,Num,8,,,AT003_025: Estimate; Quintile Means: - Highest Quintile
30,AT003_026,Num,8,,,AT003_026: Margin of Error; Quintile Means: - Highest Quintile
31,AT003_027,Num,8,,,AT003_027: Estimate; Lower Limit of Top 5 Percent (inflation-adjusted dollars)
32,AT003_028,Num,8,,,AT003_028: Margin of Error; Lower Limit of Top 5 Percent
2,County,Char,18,,,County
1,Municipal,Char,21,,,Municipal
4,Region,Char,60,,,Region
3,State,Char,3,,,State
