"","Municipal","County","State","Region","Five_Year_Range","Five_Year_Average","Median_Annual_Household_Income","Margin_Error_Median"
"1","Abington","Plymouth County","MA","Abington","2005-2009",2009,73956,8952
"2","Abington","Plymouth County","MA","Abington","2006-2010",2010,74589,7143
"3","Abington","Plymouth County","MA","Abington","2007-2011",2011,81677,9830
"4","Abington","Plymouth County","MA","Abington","2008-2012",2012,76164,7710
"5","Acton","Middlesex County","MA","Acton","2005-2009",2009,115677,7067
"6","Acton","Middlesex County","MA","Acton","2006-2010",2010,105523,7844
"7","Acton","Middlesex County","MA","Acton","2007-2011",2011,109491,11409
"8","Acton","Middlesex County","MA","Acton","2008-2012",2012,114458,10250
"9","Acushnet","Bristol County","MA","Acushnet","2005-2009",2009,60911,5238
"10","Acushnet","Bristol County","MA","Acushnet","2006-2010",2010,62457,6510
"11","Acushnet","Bristol County","MA","Acushnet","2007-2011",2011,64695,6947
"12","Acushnet","Bristol County","MA","Acushnet","2008-2012",2012,65222,4494
"13","Adams","Berkshire County","MA","Adams","2005-2009",2009,39768,3587
"14","Adams","Berkshire County","MA","Adams","2006-2010",2010,38340,2119
"15","Adams","Berkshire County","MA","Adams","2007-2011",2011,39080,2204
"16","Adams","Berkshire County","MA","Adams","2008-2012",2012,40039,2801
"17","Agawam","Hampden County","MA","Agawam","2006-2010",2010,62664,3075
"18","Agawam","Hampden County","MA","Agawam","2007-2011",2011,65339,2786
"19","Agawam","Hampden County","MA","Agawam","2008-2012",2012,66409,3383
"20","Agawam","Hampden County","MA","Agawam","2005-2009",2009,61944,3831
"21","Alford","Berkshire County","MA","Alford","2005-2009",2009,80208,14663
"22","Alford","Berkshire County","MA","Alford","2006-2010",2010,82500,19452
"23","Alford","Berkshire County","MA","Alford","2007-2011",2011,85833,19359
"24","Alford","Berkshire County","MA","Alford","2008-2012",2012,75417,30861
"25","Amesbury","Essex County","MA","Amesbury","2006-2010",2010,74968,5097
"26","Amesbury","Essex County","MA","Amesbury","2007-2011",2011,79293,5124
"27","Amesbury","Essex County","MA","Amesbury","2008-2012",2012,80062,4333
"28","Amesbury","Essex County","MA","Amesbury","2005-2009",2009,70522,6028
"29","Amherst","Hampshire County","MA","Amherst","2005-2009",2009,44011,5173
"30","Amherst","Hampshire County","MA","Amherst","2006-2010",2010,50063,6681
"31","Amherst","Hampshire County","MA","Amherst","2007-2011",2011,52281,4065
"32","Amherst","Hampshire County","MA","Amherst","2008-2012",2012,53733,5250
"33","Andover","Essex County","MA","Andover","2005-2009",2009,111851,4876
"34","Andover","Essex County","MA","Andover","2006-2010",2010,111002,6786
"35","Andover","Essex County","MA","Andover","2007-2011",2011,113936,6651
"36","Andover","Essex County","MA","Andover","2008-2012",2012,118324,6988
"37","Aquinnah","Dukes County","MA","Aquinnah","2005-2009",2009,44028,16103
"38","Aquinnah","Dukes County","MA","Aquinnah","2006-2010",2010,57500,31269
"39","Aquinnah","Dukes County","MA","Aquinnah","2007-2011",2011,82500,29608
"40","Aquinnah","Dukes County","MA","Aquinnah","2008-2012",2012,91875,56686
"41","Arlington","Middlesex County","MA","Arlington","2005-2009",2009,83740,4043
"42","Arlington","Middlesex County","MA","Arlington","2006-2010",2010,82771,3670
"43","Arlington","Middlesex County","MA","Arlington","2007-2011",2011,85059,4001
"44","Arlington","Middlesex County","MA","Arlington","2008-2012",2012,87525,3213
"45","Ashburnham","Worcester County","MA","Ashburnham","2005-2009",2009,82654,9924
"46","Ashburnham","Worcester County","MA","Ashburnham","2006-2010",2010,80000,10272
"47","Ashburnham","Worcester County","MA","Ashburnham","2007-2011",2011,81842,9251
"48","Ashburnham","Worcester County","MA","Ashburnham","2008-2012",2012,81690,7673
"49","Ashby","Middlesex County","MA","Ashby","2005-2009",2009,78750,11662
"50","Ashby","Middlesex County","MA","Ashby","2006-2010",2010,80143,9661
"51","Ashby","Middlesex County","MA","Ashby","2007-2011",2011,82614,8408
"52","Ashby","Middlesex County","MA","Ashby","2008-2012",2012,75435,8741
"53","Ashfield","Franklin County","MA","Ashfield","2005-2009",2009,60375,9393
"54","Ashfield","Franklin County","MA","Ashfield","2006-2010",2010,63438,7597
"55","Ashfield","Franklin County","MA","Ashfield","2007-2011",2011,66429,9296
"56","Ashfield","Franklin County","MA","Ashfield","2008-2012",2012,69000,10891
"57","Ashland","Middlesex County","MA","Ashland","2005-2009",2009,97500,6706
"58","Ashland","Middlesex County","MA","Ashland","2006-2010",2010,92974,11118
"59","Ashland","Middlesex County","MA","Ashland","2007-2011",2011,93770,9746
"60","Ashland","Middlesex County","MA","Ashland","2008-2012",2012,95296,8812
"61","Athol","Worcester County","MA","Athol","2005-2009",2009,47221,3306
"62","Athol","Worcester County","MA","Athol","2006-2010",2010,47099,3270
"63","Athol","Worcester County","MA","Athol","2007-2011",2011,50866,3371
"64","Athol","Worcester County","MA","Athol","2008-2012",2012,48414,4997
"65","Attleboro","Bristol County","MA","Attleboro","2005-2009",2009,65949,2643
"66","Attleboro","Bristol County","MA","Attleboro","2006-2010",2010,64634,3376
"67","Attleboro","Bristol County","MA","Attleboro","2007-2011",2011,65298,2833
"68","Attleboro","Bristol County","MA","Attleboro","2008-2012",2012,65767,2925
"69","Auburn","Worcester County","MA","Auburn","2005-2009",2009,68067,3158
"70","Auburn","Worcester County","MA","Auburn","2006-2010",2010,71375,5284
"71","Auburn","Worcester County","MA","Auburn","2007-2011",2011,73559,6177
"72","Auburn","Worcester County","MA","Auburn","2008-2012",2012,73068,4575
"73","Avon","Norfolk County","MA","Avon","2005-2009",2009,60933,6373
"74","Avon","Norfolk County","MA","Avon","2006-2010",2010,67313,14936
"75","Avon","Norfolk County","MA","Avon","2007-2011",2011,72880,12832
"76","Avon","Norfolk County","MA","Avon","2008-2012",2012,70481,8673
"77","Ayer","Middlesex County","MA","Ayer","2005-2009",2009,55529,6439
"78","Ayer","Middlesex County","MA","Ayer","2006-2010",2010,55863,8295
"79","Ayer","Middlesex County","MA","Ayer","2007-2011",2011,54899,7818
"80","Ayer","Middlesex County","MA","Ayer","2008-2012",2012,59144,8631
"81","Barnstable","Barnstable County","MA","Barnstable","2005-2009",2009,62671,2899
"82","Barnstable","Barnstable County","MA","Barnstable","2006-2010",2010,62264,2640
"83","Barnstable","Barnstable County","MA","Barnstable","2007-2011",2011,62191,2931
"84","Barnstable","Barnstable County","MA","Barnstable","2008-2012",2012,60745,2747
"85",NA,"Barnstable County","MA","Barnstable County","2005-2009",2009,60096,1245
"86",NA,"Barnstable County","MA","Barnstable County","2006-2010",2010,60317,1168
"87",NA,"Barnstable County","MA","Barnstable County","2007-2011",2011,60525,1544
"88",NA,"Barnstable County","MA","Barnstable County","2008-2012",2012,60424,1478
"89","Barre","Worcester County","MA","Barre","2005-2009",2009,72539,7237
"90","Barre","Worcester County","MA","Barre","2006-2010",2010,75423,8316
"91","Barre","Worcester County","MA","Barre","2007-2011",2011,73687,8265
"92","Barre","Worcester County","MA","Barre","2008-2012",2012,76234,9655
"93","Becket","Berkshire County","MA","Becket","2005-2009",2009,44135,9815
"94","Becket","Berkshire County","MA","Becket","2006-2010",2010,42031,4053
"95","Becket","Berkshire County","MA","Becket","2007-2011",2011,41852,5732
"96","Becket","Berkshire County","MA","Becket","2008-2012",2012,43397,6172
"97","Bedford","Middlesex County","MA","Bedford","2005-2009",2009,102367,9967
"98","Bedford","Middlesex County","MA","Bedford","2006-2010",2010,107639,11347
"99","Bedford","Middlesex County","MA","Bedford","2007-2011",2011,101886,13065
"100","Bedford","Middlesex County","MA","Bedford","2008-2012",2012,104623,11017
"101","Belchertown","Hampshire County","MA","Belchertown","2005-2009",2009,75068,3416
"102","Belchertown","Hampshire County","MA","Belchertown","2006-2010",2010,77090,6451
"103","Belchertown","Hampshire County","MA","Belchertown","2007-2011",2011,75502,6437
"104","Belchertown","Hampshire County","MA","Belchertown","2008-2012",2012,77617,7061
"105","Bellingham","Norfolk County","MA","Bellingham","2005-2009",2009,77826,6278
"106","Bellingham","Norfolk County","MA","Bellingham","2006-2010",2010,78290,7242
"107","Bellingham","Norfolk County","MA","Bellingham","2007-2011",2011,83534,4139
"108","Bellingham","Norfolk County","MA","Bellingham","2008-2012",2012,82859,7072
"109","Belmont","Middlesex County","MA","Belmont","2005-2009",2009,95377,5586
"110","Belmont","Middlesex County","MA","Belmont","2006-2010",2010,95197,5314
"111","Belmont","Middlesex County","MA","Belmont","2007-2011",2011,99529,6374
"112","Belmont","Middlesex County","MA","Belmont","2008-2012",2012,105717,4326
"113","Berkley","Bristol County","MA","Berkley","2005-2009",2009,84337,6618
"114","Berkley","Bristol County","MA","Berkley","2006-2010",2010,81125,8386
"115","Berkley","Bristol County","MA","Berkley","2007-2011",2011,81094,6937
"116","Berkley","Bristol County","MA","Berkley","2008-2012",2012,89549,9089
