"","Municipal","County","State","Region","Geography","Five_Year_Average","Estimate; Median household income in the past 12 months (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Lowest Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Second Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Third Quintile (inflation-adjusted dollars)","Estimate; Quintile Upper Limits- Fourth Quintile (inflation-adjusted dollars)","Estimate; Lower Limit of Top 5 Percent (inflation-adjusted dollars)","Estimate; Quintile Means: - Lowest Quintile","Estimate; Quintile Means: - Second Quintile","Estimate; Quintile Means: - Third Quintile","Estimate; Quintile Means: - Fourth Quintile","Estimate; Quintile Means: - Highest Quintile","Estimate; Lower Limit of Top 5 Percent (inflation-adjusted dollars).1"
"1","Barnstable","Barnstable County","MA","Barnstable","Barnstable Town city, Barnstable County, Massachusetts",2009,62671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Bourne","Barnstable County","MA","Bourne","Bourne town, Barnstable County, Massachusetts",2009,61914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Brewster","Barnstable County","MA","Brewster","Brewster town, Barnstable County, Massachusetts",2009,57857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Chatham","Barnstable County","MA","Chatham","Chatham town, Barnstable County, Massachusetts",2009,64824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Dennis","Barnstable County","MA","Dennis","Dennis town, Barnstable County, Massachusetts",2009,50694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Eastham","Barnstable County","MA","Eastham","Eastham town, Barnstable County, Massachusetts",2009,55675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Falmouth","Barnstable County","MA","Falmouth","Falmouth town, Barnstable County, Massachusetts",2009,62686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Harwich","Barnstable County","MA","Harwich","Harwich town, Barnstable County, Massachusetts",2009,53607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Mashpee","Barnstable County","MA","Mashpee","Mashpee town, Barnstable County, Massachusetts",2009,59856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Barnstable County","MA","Barnstable County","Barnstable County, Massachusetts",2009,60096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
