"","Municipal","County","State","Region","Year","Unemployment Rate Avg","No Unemployed Avg","No Employed Avg","Labor Avg"
"3957",NA,"NA County","MA","MA","1976","Massachusetts",267633,2458306,2725939
"3958",NA,"NA County","MA","MA","1977","Massachusetts",218418,2541441,2759859
"3959",NA,"NA County","MA","MA","1978","Massachusetts",173402,2635115,2808517
"3960",NA,"NA County","MA","MA","1979","Massachusetts",156341,2706845,2863186
"3961",NA,"NA County","MA","MA","1980","Massachusetts",164064,2721430,2885494
"3962",NA,"NA County","MA","MA","1981","Massachusetts",189276,2749062,2938338
"3963",NA,"NA County","MA","MA","1982","Massachusetts",236372,2729293,2965665
"3964",NA,"NA County","MA","MA","1983","Massachusetts",208954,2763148,2972102
"3965",NA,"NA County","MA","MA","1984","Massachusetts",145657,2886782,3032439
"3966",NA,"NA County","MA","MA","1985","Massachusetts",124753,2924626,3049379
"3967",NA,"NA County","MA","MA","1986","Massachusetts",122686,2957321,3080007
"3968",NA,"NA County","MA","MA","1987","Massachusetts",104458,3009900,3114358
"3969",NA,"NA County","MA","MA","1988","Massachusetts",104345,3051355,3155700
"3970",NA,"NA County","MA","MA","1989","Massachusetts",132422,3057019,3189441
"3971",NA,"NA County","MA","MA","1990","Massachusetts",203975,3022393,3226368
"3972",NA,"NA County","MA","MA","1991","Massachusetts",282590,2916293,3198883
"3973",NA,"NA County","MA","MA","1992","Massachusetts",281022,2899718,3180740
"3974",NA,"NA County","MA","MA","1993","Massachusetts",232339,2940565,3172904
"3975",NA,"NA County","MA","MA","1994","Massachusetts",198690,2989123,3187813
"3976",NA,"NA County","MA","MA","1995","Massachusetts",175528,3029360,3204888
"3977",NA,"NA County","MA","MA","1996","Massachusetts",147721,3083332,3231053
"3978",NA,"NA County","MA","MA","1997","Massachusetts",134564,3158851,3293415
"3979",NA,"NA County","MA","MA","1998","Massachusetts",112674,3208988,3321662
"3980",NA,"NA County","MA","MA","1999","Massachusetts",109563,3245761,3355324
"3981",NA,"NA County","MA","MA","2000","Massachusetts",92292,3273281,3365573
"3982",NA,"NA County","MA","MA","2001","Massachusetts",125993,3275343,3401336
"3983",NA,"NA County","MA","MA","2002","Massachusetts",181003,3243409,3424412
"3984",NA,"NA County","MA","MA","2003","Massachusetts",197648,3209062,3406710
"3985",NA,"NA County","MA","MA","2004","Massachusetts",176839,3203810,3380649
"3986",NA,"NA County","MA","MA","2005","Massachusetts",163579,3219717,3383296
"3987",NA,"NA County","MA","MA","2006","Massachusetts",162495,3255504,3417999
"3988",NA,"NA County","MA","MA","2007","Massachusetts",154422,3276532,3430954
"3989",NA,"NA County","MA","MA","2008","Massachusetts",185177,3277934,3463111
"3990",NA,"NA County","MA","MA","2009","Massachusetts",283193,3187538,3470731
"3991",NA,"NA County","MA","MA","2010","Massachusetts",287549,3187622,3475171
"3992",NA,"NA County","MA","MA","2011","Massachusetts",253592,3216160,3469752
"3993",NA,"NA County","MA","MA","2012","Massachusetts",233684,3241762,3475446
"1","Abington","Plymouth County","MA","Abington","1990","Abington town, MA",553,7229,7782
"2","Abington","Plymouth County","MA","Abington","1991","Abington town, MA",818,6938,7756
"3","Abington","Plymouth County","MA","Abington","1992","Abington town, MA",754,6935,7689
"4","Abington","Plymouth County","MA","Abington","1993","Abington town, MA",589,7164,7753
"5","Abington","Plymouth County","MA","Abington","1994","Abington town, MA",510,7690,8200
"6","Abington","Plymouth County","MA","Abington","1995","Abington town, MA",458,7774,8232
"7","Abington","Plymouth County","MA","Abington","1996","Abington town, MA",415,7868,8283
"8","Abington","Plymouth County","MA","Abington","1997","Abington town, MA",371,8110,8481
"9","Abington","Plymouth County","MA","Abington","1998","Abington town, MA",309,8163,8472
"10","Abington","Plymouth County","MA","Abington","1999","Abington town, MA",265,8271,8536
"11","Abington","Plymouth County","MA","Abington","2000","Abington town, MA",209,8207,8416
"12","Abington","Plymouth County","MA","Abington","2001","Abington town, MA",269,8279,8548
"13","Abington","Plymouth County","MA","Abington","2002","Abington town, MA",383,8283,8666
"14","Abington","Plymouth County","MA","Abington","2003","Abington town, MA",464,8515,8979
"15","Abington","Plymouth County","MA","Abington","2004","Abington town, MA",465,8602,9067
"16","Abington","Plymouth County","MA","Abington","2005","Abington town, MA",441,8676,9117
"17","Abington","Plymouth County","MA","Abington","2006","Abington town, MA",436,8803,9239
"18","Abington","Plymouth County","MA","Abington","2007","Abington town, MA",430,8917,9347
"19","Abington","Plymouth County","MA","Abington","2008","Abington town, MA",513,9030,9543
"20","Abington","Plymouth County","MA","Abington","2009","Abington town, MA",821,8778,9599
"21","Abington","Plymouth County","MA","Abington","2010","Abington town, MA",811,8349,9160
"22","Abington","Plymouth County","MA","Abington","2011","Abington town, MA",708,8427,9135
"23","Abington","Plymouth County","MA","Abington","2012","Abington town, MA",642,8502,9144
"24","Acton","Middlesex County","MA","Acton","1990","Acton town, MA",322,10147,10469
"25","Acton","Middlesex County","MA","Acton","1991","Acton town, MA",461,9727,10188
"26","Acton","Middlesex County","MA","Acton","1992","Acton town, MA",523,9800,10323
"27","Acton","Middlesex County","MA","Acton","1993","Acton town, MA",481,10056,10537
"28","Acton","Middlesex County","MA","Acton","1994","Acton town, MA",389,10238,10627
"29","Acton","Middlesex County","MA","Acton","1995","Acton town, MA",347,10469,10816
"30","Acton","Middlesex County","MA","Acton","1996","Acton town, MA",230,10782,11012
"31","Acton","Middlesex County","MA","Acton","1997","Acton town, MA",230,11118,11348
"32","Acton","Middlesex County","MA","Acton","1998","Acton town, MA",193,11350,11543
"33","Acton","Middlesex County","MA","Acton","1999","Acton town, MA",229,11531,11760
"34","Acton","Middlesex County","MA","Acton","2000","Acton town, MA",185,11454,11639
"35","Acton","Middlesex County","MA","Acton","2001","Acton town, MA",348,11559,11907
"36","Acton","Middlesex County","MA","Acton","2002","Acton town, MA",590,11388,11978
"37","Acton","Middlesex County","MA","Acton","2003","Acton town, MA",573,11213,11786
"38","Acton","Middlesex County","MA","Acton","2004","Acton town, MA",435,11166,11601
"39","Acton","Middlesex County","MA","Acton","2005","Acton town, MA",394,11231,11625
"40","Acton","Middlesex County","MA","Acton","2006","Acton town, MA",388,11112,11500
"41","Acton","Middlesex County","MA","Acton","2007","Acton town, MA",350,11255,11605
"42","Acton","Middlesex County","MA","Acton","2008","Acton town, MA",414,11306,11720
"43","Acton","Middlesex County","MA","Acton","2009","Acton town, MA",688,11066,11754
"44","Acton","Middlesex County","MA","Acton","2010","Acton town, MA",683,11598,12281
"45","Acton","Middlesex County","MA","Acton","2011","Acton town, MA",576,11769,12345
"46","Acton","Middlesex County","MA","Acton","2012","Acton town, MA",535,11898,12433
"47","Acushnet","Bristol County","MA","Acushnet","1990","Acushnet town, MA",426,4859,5285
"48","Acushnet","Bristol County","MA","Acushnet","1991","Acushnet town, MA",654,4761,5415
"49","Acushnet","Bristol County","MA","Acushnet","1992","Acushnet town, MA",571,4855,5426
"50","Acushnet","Bristol County","MA","Acushnet","1993","Acushnet town, MA",523,4975,5498
"51","Acushnet","Bristol County","MA","Acushnet","1994","Acushnet town, MA",492,5053,5545
"52","Acushnet","Bristol County","MA","Acushnet","1995","Acushnet town, MA",470,4877,5347
"53","Acushnet","Bristol County","MA","Acushnet","1996","Acushnet town, MA",395,4876,5271
"54","Acushnet","Bristol County","MA","Acushnet","1997","Acushnet town, MA",347,5033,5380
"55","Acushnet","Bristol County","MA","Acushnet","1998","Acushnet town, MA",285,5268,5553
"56","Acushnet","Bristol County","MA","Acushnet","1999","Acushnet town, MA",241,5390,5631
"57","Acushnet","Bristol County","MA","Acushnet","2000","Acushnet town, MA",189,5444,5633
"58","Acushnet","Bristol County","MA","Acushnet","2001","Acushnet town, MA",234,5426,5660
"59","Acushnet","Bristol County","MA","Acushnet","2002","Acushnet town, MA",325,5514,5839
"60","Acushnet","Bristol County","MA","Acushnet","2003","Acushnet town, MA",374,5433,5807
"61","Acushnet","Bristol County","MA","Acushnet","2004","Acushnet town, MA",321,5473,5794
"62","Acushnet","Bristol County","MA","Acushnet","2005","Acushnet town, MA",341,5543,5884
"63","Acushnet","Bristol County","MA","Acushnet","2006","Acushnet town, MA",343,5625,5968
"64","Acushnet","Bristol County","MA","Acushnet","2007","Acushnet town, MA",322,5600,5922
"65","Acushnet","Bristol County","MA","Acushnet","2008","Acushnet town, MA",373,5414,5787
"66","Acushnet","Bristol County","MA","Acushnet","2009","Acushnet town, MA",579,5265,5844
"67","Acushnet","Bristol County","MA","Acushnet","2010","Acushnet town, MA",617,5159,5776
"68","Acushnet","Bristol County","MA","Acushnet","2011","Acushnet town, MA",533,5212,5745
"69","Acushnet","Bristol County","MA","Acushnet","2012","Acushnet town, MA",471,5274,5745
"70","Adams","Berkshire County","MA","Adams","1990","Adams town, MA",430,4158,4588
"71","Adams","Berkshire County","MA","Adams","1991","Adams town, MA",761,3941,4702
"72","Adams","Berkshire County","MA","Adams","1992","Adams town, MA",623,3853,4476
"73","Adams","Berkshire County","MA","Adams","1993","Adams town, MA",543,3852,4395
"74","Adams","Berkshire County","MA","Adams","1994","Adams town, MA",469,3763,4232
"75","Adams","Berkshire County","MA","Adams","1995","Adams town, MA",335,3753,4088
"76","Adams","Berkshire County","MA","Adams","1996","Adams town, MA",323,3799,4122
"77","Adams","Berkshire County","MA","Adams","1997","Adams town, MA",295,3813,4108
"78","Adams","Berkshire County","MA","Adams","1998","Adams town, MA",239,3807,4046
"79","Adams","Berkshire County","MA","Adams","1999","Adams town, MA",232,3809,4041
"80","Adams","Berkshire County","MA","Adams","2000","Adams town, MA",178,4259,4437
"81","Adams","Berkshire County","MA","Adams","2001","Adams town, MA",233,4264,4497
"82","Adams","Berkshire County","MA","Adams","2002","Adams town, MA",306,4227,4533
"83","Adams","Berkshire County","MA","Adams","2003","Adams town, MA",351,4166,4517
"84","Adams","Berkshire County","MA","Adams","2004","Adams town, MA",297,4125,4422
"85","Adams","Berkshire County","MA","Adams","2005","Adams town, MA",269,4135,4404
"86","Adams","Berkshire County","MA","Adams","2006","Adams town, MA",267,4155,4422
"87","Adams","Berkshire County","MA","Adams","2007","Adams town, MA",284,4135,4419
"88","Adams","Berkshire County","MA","Adams","2008","Adams town, MA",310,4181,4491
"89","Adams","Berkshire County","MA","Adams","2009","Adams town, MA",462,4074,4536
"90","Adams","Berkshire County","MA","Adams","2010","Adams town, MA",455,4114,4569
"91","Adams","Berkshire County","MA","Adams","2011","Adams town, MA",411,4107,4518
"92","Adams","Berkshire County","MA","Adams","2012","Adams town, MA",394,4053,4447
"93","Agawam","Hampden County","MA","Agawam","1990","Agawam Town city, MA",744,14394,15138
"94","Agawam","Hampden County","MA","Agawam","1991","Agawam Town city, MA",1145,13969,15114
"95","Agawam","Hampden County","MA","Agawam","1992","Agawam Town city, MA",1260,13941,15201
"96","Agawam","Hampden County","MA","Agawam","1993","Agawam Town city, MA",1116,13913,15029
"97","Agawam","Hampden County","MA","Agawam","1994","Agawam Town city, MA",984,14016,15000
"98","Agawam","Hampden County","MA","Agawam","1995","Agawam Town city, MA",781,13670,14451
"99","Agawam","Hampden County","MA","Agawam","1996","Agawam Town city, MA",617,13845,14462
"100","Agawam","Hampden County","MA","Agawam","1997","Agawam Town city, MA",582,14190,14772
"101","Agawam","Hampden County","MA","Agawam","1998","Agawam Town city, MA",490,14242,14732
"102","Agawam","Hampden County","MA","Agawam","1999","Agawam Town city, MA",446,14323,14769
"103","Agawam","Hampden County","MA","Agawam","2000","Agawam Town city, MA",416,15295,15711
"104","Agawam","Hampden County","MA","Agawam","2001","Agawam Town city, MA",513,15357,15870
"105","Agawam","Hampden County","MA","Agawam","2002","Agawam Town city, MA",752,15309,16061
"106","Agawam","Hampden County","MA","Agawam","2003","Agawam Town city, MA",875,15187,16062
"107","Agawam","Hampden County","MA","Agawam","2004","Agawam Town city, MA",786,15228,16014
"108","Agawam","Hampden County","MA","Agawam","2005","Agawam Town city, MA",737,15279,16016
"109","Agawam","Hampden County","MA","Agawam","2006","Agawam Town city, MA",748,15335,16083
"110","Agawam","Hampden County","MA","Agawam","2007","Agawam Town city, MA",696,15283,15979
"111","Agawam","Hampden County","MA","Agawam","2008","Agawam Town city, MA",826,15017,15843
