"Circuit","District","County","Region","Circ/Dist and County","County Code","All Filings Total","All Filings Chapter 7","All Filings Chapter 11","All Filings Chapter 12","All Filings Chapter 13","Business Filings Total","Business Filings Chapter 7","Business Filings Chapter 11","Business Filings Chapter 12","Business Filings Chapter 13","Nonbusiness Filings Total","Nonbusiness Filings Chapter 7","Nonbusiness Filings Chapter 11","Nonbusiness Filings Chapter 13"
NA,NA,NA,"United States","Total","","936795","619069","7234","361","310061","26983","18184","6093","360","2278","909812","600885","1141","307783"
NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","","",NA,"","",""
NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","","",NA,"","",""
NA,"",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","","",NA,"","",""
"DC","DC",NA,NA,"DC","",NA,NA,NA,NA,NA,NA,"","","","",NA,"","",""
"DC","DC",NA,NA,"","","   791","   628","  39","  0","   124","   73","31","36","0","6","   718","597","3","118"
"DC","DC","Los Angeles",NA,"LOS ANGELES","06037","     1","     0","   0","  0","     1","    1","0","0","0","1","     0",NA,NA,NA
"DC","DC","District Of Columbia",NA,"DISTRICT OF COLUMBIA","11001","   760","   612","  32","  0","   116","   63","29","29","0","5","   697","583","3","111"
"DC","DC","Anne Arundel",NA,"ANNE ARUNDEL","24003","     1","     0","   0","  0","     1","    0",NA,NA,NA,NA,"     1","0","0","1"
"DC","DC","Montgomery",NA,"MONTGOMERY","24031","     4","     2","   2","  0","     0","    3","1","2","0","0","     1","1","0","0"
"DC","DC","Prince George's",NA,"PRINCE GEORGE'S","24033","    12","     9","   0","  0","     3","    0",NA,NA,NA,NA,"    12","9","0","3"
"DC","DC","Washington",NA,"WASHINGTON","24043","     1","     1","   0","  0","     0","    0",NA,NA,NA,NA,"     1","1","0","0"
"DC","DC","Suffolk",NA,"SUFFOLK","25025","     3","     0","   3","  0","     0","    3","0","3","0","0","     0",NA,NA,NA
"DC","DC","Kings",NA,"KINGS","36047","     1","     1","   0","  0","     0","    0",NA,NA,NA,NA,"     1","1","0","0"
"DC","DC","Halifax",NA,"HALIFAX","37083","     1","     0","   0","  0","     1","    0",NA,NA,NA,NA,"     1","0","0","1"
"DC","DC","Tarrant",NA,"TARRANT","48439","     1","     0","   0","  0","     1","    0",NA,NA,NA,NA,"     1","0","0","1"
"DC","DC","Fairfax",NA,"FAIRFAX","51059","     2","     0","   1","  0","     1","    1","0","1","0","0","     1","0","0","1"
"DC","DC","Loudoun",NA,"LOUDOUN","51107","     1","     0","   1","  0","     0","    1","0","1","0","0","     0",NA,NA,NA
"DC","DC","Spotsylvania",NA,"SPOTSYLVANIA","51177","     1","     1","   0","  0","     0","    0",NA,NA,NA,NA,"     1","1","0","0"
"DC","DC","Outside Home State",NA,"OUTSIDE HOME STATE","88888","     1","     1","   0","  0","     0","    0",NA,NA,NA,NA,"     1","1","0","0"
"DC","DC","Outside U.S.",NA,"OUTSIDE U.S.","99999","     1","     1","   0","  0","     0","    1","1","0","0","0","     0",NA,NA,NA
"DC","DC",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","","",NA,"","",""
"1ST",NA,NA,NA,"1ST",""," 29038"," 18490"," 353"," 47"," 10147"," 1195","705","299","47","143"," 27843","17785","54","10004"
"1ST","",NA,NA,"","",NA,NA,NA,NA,NA,NA,"","","","",NA,"","",""
"1ST","ME",NA,NA,"ME","",NA,NA,NA,NA,NA,NA,"","","","",NA,"","",""
"1ST","",NA,NA,"","","  2094","  1707","  15","  7","   365","  108","68","12","7","21","  1986","1639","3","344"
"1ST","","Androscoggin",NA,"ANDROSCOGGIN","23001","   210","   177","   1","  0","    32","   13","12","1","0","0","   197","165","0","32"
"1ST","","Aroostook",NA,"AROOSTOOK","23003","   104","    91","   0","  0","    13","    9","8","0","0","1","    95","83","0","12"
"1ST","","Cumberland",NA,"CUMBERLAND","23005","   388","   313","   5","  2","    68","   30","13","5","2","10","   358","300","0","58"
"1ST","","Franklin",NA,"FRANKLIN","23007","    32","    31","   0","  0","     1","    7","6","0","0","1","    25","25","0","0"
"1ST","","Hancock",NA,"HANCOCK","23009","    62","    54","   0","  1","     7","    6","4","0","1","1","    56","50","0","6"
"1ST","","Kennebec",NA,"KENNEBEC","23011","   188","   153","   0","  0","    35","    5","4","0","0","1","   183","149","0","34"
"1ST","","Knox",NA,"KNOX","23013","    49","    37","   2","  2","     8","    6","2","2","2","0","    43","35","0","8"
"1ST","","Lincoln",NA,"LINCOLN","23015","    39","    34","   0","  0","     5","    1","1","0","0","0","    38","33","0","5"
"1ST","","Oxford",NA,"OXFORD","23017","    84","    75","   0","  0","     9","    1","1","0","0","0","    83","74","0","9"
