"","County","Region","All_Filings_Total","All_Filings_Chapter_7","All_Filings_Chapter_11","All_Filings_Chapter_12","All_Filings_Chapter_13","Business_Filings_Total","Business_Filings_Chapter_7","Business_Filings_Chapter_11","Business_Filings_Chapter_12","Business_Filings_Chapter_13","NonBusiness_Filings_Total","NonBusiness_Filings_Chapter_7","NonBusiness_Filings_Chapter_11","NonBusiness_Filings_Chapter_13"
"1",NA,"Total",1071932,728833,8980,395,333626,33212,22334,7660,395,2727,1038720,706499,1320,330899
"39",NA,"MA",12562,9864,114,25,2559,435,288,78,25,44,12127,9576,36,2515
"40","Fresno","FRESNO",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"41","Litchfield","LITCHFIELD",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"42","Tolland","TOLLAND",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"43","Bay","BAY",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"44","Broward","BROWARD",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"45","Hillsborough","HILLSBOROUGH",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"46","Miami-Dade","MIAMI-DADE",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"47","Orange","ORANGE",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"48","Anne Arundel","ANNE ARUNDEL",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"49","Montgomery","MONTGOMERY",1,1,0,0,0,1,1,0,0,0,0,NA,NA,NA
"50","Barnstable","BARNSTABLE",576,407,8,1,160,21,13,5,1,2,555,394,3,158
"51","Berkshire","BERKSHIRE",199,174,0,0,25,13,10,0,0,3,186,164,0,22
"52","Bristol","BRISTOL",1519,1170,5,21,323,55,25,5,21,4,1464,1145,0,319
"53","Dukes","DUKES",19,15,0,0,4,1,1,0,0,0,18,14,0,4
"54","Essex","ESSEX",1560,1249,10,0,301,43,32,7,0,4,1517,1217,3,297
"55","Franklin","FRANKLIN",143,134,0,0,9,2,2,0,0,0,141,132,0,9
"56","Hampden","HAMPDEN",916,795,3,0,118,25,18,3,0,4,891,777,0,114
"57","Hampshire","HAMPSHIRE",189,163,1,0,25,7,5,1,0,1,182,158,0,24
"58","Middlesex","MIDDLESEX",2157,1747,23,0,387,84,61,15,0,8,2073,1686,8,379
"59","Nantucket","NANTUCKET",19,15,3,0,1,3,1,2,0,0,16,14,1,1
"60","Norfolk","NORFOLK",1079,793,17,0,269,53,32,14,0,7,1026,761,3,262
"61","Plymouth","PLYMOUTH",1285,872,12,2,399,49,32,9,2,6,1236,840,3,393
"62","Suffolk","SUFFOLK",973,725,21,0,227,30,20,9,0,1,943,705,12,226
"63","Worcester","WORCESTER",1902,1585,9,1,307,45,33,7,1,4,1857,1552,2,303
"64","Cheshire","CHESHIRE",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"65","Hillsborough","HILLSBOROUGH",2,2,0,0,0,1,1,0,0,0,1,1,0,0
"66","Rockingham","ROCKINGHAM",4,4,0,0,0,0,NA,NA,NA,NA,4,4,0,0
"67","St. Lawrence","ST. LAWRENCE",1,1,0,0,0,0,NA,NA,NA,NA,1,1,0,0
"68","Suffolk","SUFFOLK",1,1,0,0,0,1,1,0,0,0,0,NA,NA,NA
"69","Providence","PROVIDENCE",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"70","Chittenden","CHITTENDEN",1,0,0,0,1,0,NA,NA,NA,NA,1,0,0,1
"71","Outside Home State","OUTSIDE HOME STATE",2,0,2,0,0,1,0,1,0,0,1,0,1,0
"72","Outside U.S.","OUTSIDE U.S.",3,3,0,0,0,0,NA,NA,NA,NA,3,3,0,0
