Alphabetic List of Variables and Attributes,,,,,,
#,Variable,Type,Len,Format,Informat,Label
5,AT001_001,Char,19,$19.00 ,$19.00 ,AT001_001 ID Number
6,AT001_002,Num,8,BEST12.,BEST32.,AT001_002 ID Number 2
7,AT001_003,Char,67,$67.00 ,$67.00 ,AT001_003 Geography
8,AT001_004,Char,9,,,AT001_004 Five Year Average
9,AT001_005,Num,8,BEST12.,BEST32.,AT001_005 Total; Estimate; Population for whom poverty status is determined
10,AT001_006,Num,8,BEST12.,BEST32.,AT001_006 Total; Margin of Error; Population for whom poverty status is determined
11,AT001_007,Num,8,BEST12.,BEST32.,AT001_007 Below poverty level; Estimate; Population for whom poverty status is determined
12,AT001_008,Num,8,BEST12.,BEST32.,AT001_008 Below poverty level; Margin of Error; Population for whom poverty status is determined
13,AT001_009,Char,4,$4.00 ,$4.00 ,AT001_009 Percent below poverty level; Estimate; Population for whom poverty status is determined
14,AT001_010,Char,3,$3.00 ,$3.00 ,AT001_010 Percent below poverty level; Margin of Error; Population for whom poverty status is determined
15,AT001_011,Num,8,BEST12.,BEST32.,AT001_011 Total; Estimate; Population for whom poverty status is determined - AGE - Under 18 years
16,AT001_012,Num,8,BEST12.,BEST32.,AT001_012 Total; Margin of Error; Population for whom poverty status is determined - AGE - Under 18 years
17,AT001_013,Num,8,BEST12.,BEST32.,AT001_013 Below poverty level; Estimate; Population for whom poverty status is determined - AGE - Under 18 years
18,AT001_014,Num,8,BEST12.,BEST32.,AT001_014 Below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - Under 18 years
19,AT001_015,Char,4,$4.00 ,$4.00 ,AT001_015 Percent below poverty level; Estimate; Population for whom poverty status is determined - AGE - Under 18 years
20,AT001_016,Char,3,$3.00 ,$3.00 ,AT001_016 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - Under 18 years
21,AT001_017,Num,8,BEST12.,BEST32.,AT001_017 Total; Estimate; Population for whom poverty status is determined - AGE - Related children under 18 years
22,AT001_018,Num,8,BEST12.,BEST32.,AT001_018 Total; Margin of Error; Population for whom poverty status is determined - AGE - Related children under 18 years
23,AT001_019,Num,8,BEST12.,BEST32.,AT001_019 Below poverty level; Estimate; Population for whom poverty status is determined - AGE - Related children under 18 years
24,AT001_020,Num,8,BEST12.,BEST32.,AT001_020 Below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - Related children under 18 years
25,AT001_021,Char,4,$4.00 ,$4.00 ,AT001_021 Percent below poverty level; Estimate; Population for whom poverty status is determined - AGE - Related children under 18 years
26,AT001_022,Char,3,$3.00 ,$3.00 ,AT001_022 Percent below poverty level; Margin of Error; Population for whom poverty status is determined - AGE - Related children under 18 years
27,AT001_023,Num,8,BEST12.,BEST32.,AT001_023 Total; Estimate; Population for whom poverty status is determined - AGE - 18 to 64 years
28,AT001_024,Num,8,BEST12.,BEST32.,AT001_024 Total; Margin of Error; Population for whom poverty status is determined - AGE - 18 to 64 years
