"","Municipal","County","State","Region","Five Year Average","Total; Estimate; Population for whom poverty status is determined","Below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Estimate; Population for whom poverty status is determined","Percent below poverty level; Margin of Error; Population for whom poverty status is determined"
"1",NA,"NA County",NA,"United States","2005-2009",293507923,39537240,"13.5","0.1"
"2",NA,"NA County","MA","MA","2005-2009",6283288,633667,"10.1","0.2"
"3",NA,"Barnstable County","MA","Barnstable County","2005-2009",218388,14124,"6.5","0.6"
"4",NA,"Berkshire County","MA","Berkshire County","2005-2009",124991,14274,"11.4","1"
"5",NA,"Bristol County","MA","Bristol County","2005-2009",530074,56875,"10.7","0.5"
"6",NA,"Dukes County","MA","Dukes County","2005-2009",15654,1258,"8","2.6"
"7",NA,"Essex County","MA","Essex County","2005-2009",720533,72181,"10","0.5"
"8",NA,"Franklin County","MA","Franklin County","2005-2009",70506,8564,"12.1","1.2"
"9",NA,"Hampden County","MA","Hampden County","2005-2009",452454,75120,"16.6","0.6"
"10",NA,"Hampshire County","MA","Hampshire County","2005-2009",133326,15281,"11.5","0.9"
"11",NA,"Middlesex County","MA","Middlesex County","2005-2009",1428959,105892,"7.4","0.3"
"12",NA,"Nantucket County","MA","Nantucket County","2005-2009",10767,789,"7.3","2.9"
"13",NA,"Norfolk County","MA","Norfolk County","2005-2009",638611,38113,"6","0.3"
"14",NA,"Plymouth County","MA","Plymouth County","2005-2009",475968,31443,"6.6","0.4"
"15",NA,"Suffolk County","MA","Suffolk County","2005-2009",695288,128504,"18.5","0.6"
"16",NA,"Worcester County","MA","Worcester County","2005-2009",767769,71249,"9.3","0.4"
"17","Barnstable","Barnstable County","MA","Barnstable","2005-2009",46432,3124,"6.7","1.7"
"18","Bourne","Barnstable County","MA","Bourne","2005-2009",17925,1183,"6.6","1.9"
"19","Brewster","Barnstable County","MA","Brewster","2005-2009",9755,849,"8.7","2.8"
"20","Chatham","Barnstable County","MA","Chatham","2005-2009",6269,413,"6.6","2.8"
"21","Dennis","Barnstable County","MA","Dennis","2005-2009",15556,1086,"7","2"
"22","Eastham","Barnstable County","MA","Eastham","2005-2009",5466,311,"5.7","3.4"
"23","Falmouth","Barnstable County","MA","Falmouth","2005-2009",32430,2091,"6.4","1.2"
"24","Harwich","Barnstable County","MA","Harwich","2005-2009",12193,904,"7.4","2.4"
"25","Mashpee","Barnstable County","MA","Mashpee","2005-2009",14205,1112,"7.8","2.7"
"26","Orleans","Barnstable County","MA","Orleans","2005-2009",6249,540,"8.6","5.5"
"27","Provincetown","Barnstable County","MA","Provincetown","2005-2009",3322,308,"9.3","3.7"
"28","Sandwich","Barnstable County","MA","Sandwich","2005-2009",19743,507,"2.6","1"
"29","Truro","Barnstable County","MA","Truro","2005-2009",1938,175,"9","7.2"
"30","Wellfleet","Barnstable County","MA","Wellfleet","2005-2009",3041,123,"4","2.9"
"31","Yarmouth","Barnstable County","MA","Yarmouth","2005-2009",23864,1398,"5.9","1.4"
"32","Adams","Berkshire County","MA","Adams","2005-2009",8363,765,"9.1","2.9"
"33","Alford","Berkshire County","MA","Alford","2005-2009",400,20,"5","2.8"
"34","Becket","Berkshire County","MA","Becket","2005-2009",1658,252,"15.2","6"
"35","Cheshire","Berkshire County","MA","Cheshire","2005-2009",3311,407,"12.3","7.6"
"36","Clarksburg","Berkshire County","MA","Clarksburg","2005-2009",1881,75,"4","1.4"
"37","Dalton","Berkshire County","MA","Dalton","2005-2009",6358,614,"9.7","4.3"
"38","Egremont","Berkshire County","MA","Egremont","2005-2009",1289,79,"6.1","3.1"
"39","Florida","Berkshire County","MA","Florida","2005-2009",820,33,"4","2.9"
"40","Great Barrington","Berkshire County","MA","Great Barrington","2005-2009",6956,423,"6.1","2.5"
"41","Hancock","Berkshire County","MA","Hancock","2005-2009",733,61,"8.3","7.4"
"42","Hinsdale","Berkshire County","MA","Hinsdale","2005-2009",2181,97,"4.4","2.6"
"43","Lanesborough","Berkshire County","MA","Lanesborough","2005-2009",2877,58,"2","1.6"
"44","Lee","Berkshire County","MA","Lee","2005-2009",5774,676,"11.7","10."
"45","Lenox","Berkshire County","MA","Lenox","2005-2009",4967,287,"5.8","3.8"
"46","Monterey","Berkshire County","MA","Monterey","2005-2009",855,194,"22.7","22."
"47","Mount Washington","Berkshire County","MA","Mount Washington","2005-2009",135,5,"3.7","4.8"
"48","New Ashford","Berkshire County","MA","New Ashford","2005-2009",245,15,"6.1","7.2"
"49","New Marlborough","Berkshire County","MA","New Marlborough","2005-2009",1538,100,"6.5","3.1"
"50","North Adams","Berkshire County","MA","North Adams","2005-2009",12454,1659,"13.3","2.6"
"51","Otis","Berkshire County","MA","Otis","2005-2009",1245,123,"9.9","5"
"52","Peru","Berkshire County","MA","Peru","2005-2009",909,74,"8.1","4.6"
"53","Pittsfield","Berkshire County","MA","Pittsfield","2005-2009",41754,6833,"16.4","2.1"
"54","Richmond","Berkshire County","MA","Richmond","2005-2009",1830,45,"2.5","1.5"
"55","Sandisfield","Berkshire County","MA","Sandisfield","2005-2009",786,49,"6.2","3.5"
"56","Savoy","Berkshire County","MA","Savoy","2005-2009",763,48,"6.3","3.8"
"57","Sheffield","Berkshire County","MA","Sheffield","2005-2009",3319,282,"8.5","4.1"
"58","Stockbridge","Berkshire County","MA","Stockbridge","2005-2009",1533,144,"9.4","7.5"
"59","Tyringham","Berkshire County","MA","Tyringham","2005-2009",412,21,"5.1","5.8"
"60","Washington","Berkshire County","MA","Washington","2005-2009",612,14,"2.3","2.4"
"61","West Stockbridge","Berkshire County","MA","West Stockbridge","2005-2009",1466,76,"5.2","2.3"
"62","Williamstown","Berkshire County","MA","Williamstown","2005-2009",6481,729,"11.2","5.9"
"63","Windsor","Berkshire County","MA","Windsor","2005-2009",1086,16,"1.5","1.3"
"64","Acushnet","Bristol County","MA","Acushnet","2005-2009",10363,448,"4.3","2.3"
"65","Attleboro","Bristol County","MA","Attleboro","2005-2009",42820,3328,"7.8","1.6"
"66","Berkley","Bristol County","MA","Berkley","2005-2009",6402,313,"4.9","3"
"67","Dartmouth","Bristol County","MA","Dartmouth","2005-2009",30327,1407,"4.6","1"
"68","Dighton","Bristol County","MA","Dighton","2005-2009",6645,159,"2.4","1.5"
"69","Easton","Bristol County","MA","Easton","2005-2009",20087,618,"3.1","1.1"
"70","Fairhaven","Bristol County","MA","Fairhaven","2005-2009",15622,1383,"8.9","2.4"
"71","Fall River","Bristol County","MA","Fall River","2005-2009",88971,16876,"19","1.5"
"72","Freetown","Bristol County","MA","Freetown","2005-2009",8966,441,"4.9","2.7"
"73","Mansfield","Bristol County","MA","Mansfield","2005-2009",23304,1103,"4.7","1.6"
"74","New Bedford","Bristol County","MA","New Bedford","2005-2009",89003,19776,"22.2","1.8"
"75","North Attleborough","Bristol County","MA","North Attleborough","2005-2009",27585,980,"3.6","1.1"
"76","Norton","Bristol County","MA","Norton","2005-2009",17555,723,"4.1","1.7"
"77","Raynham","Bristol County","MA","Raynham","2005-2009",13480,397,"2.9","1.7"
"78","Rehoboth","Bristol County","MA","Rehoboth","2005-2009",11290,624,"5.5","2.9"
"79","Seekonk","Bristol County","MA","Seekonk","2005-2009",13533,607,"4.5","1.9"
"80","Somerset","Bristol County","MA","Somerset","2005-2009",17772,602,"3.4","1.6"
"81","Swansea","Bristol County","MA","Swansea","2005-2009",16084,740,"4.6","1.9"
"82","Taunton","Bristol County","MA","Taunton","2005-2009",55026,5634,"10.2","1.6"
"83","Westport","Bristol County","MA","Westport","2005-2009",15239,716,"4.7","1.4"
"84","Aquinnah","Dukes County","MA","Aquinnah","2005-2009",456,64,"14","9"
"85","Chilmark","Dukes County","MA","Chilmark","2005-2009",1028,94,"9.1","7.1"
"86","Edgartown","Dukes County","MA","Edgartown","2005-2009",3992,456,"11.4","5.3"
"87","Gosnold","Dukes County","MA","Gosnold","2005-2009",156,0,"0","21."
"88","Oak Bluffs","Dukes County","MA","Oak Bluffs","2005-2009",3835,374,"9.8","9"
"89","Tisbury","Dukes County","MA","Tisbury","2005-2009",3874,165,"4.3","2.6"
"90","West Tisbury","Dukes County","MA","West Tisbury","2005-2009",2313,105,"4.5","3.5"
"91","Amesbury","Essex County","MA","Amesbury","2005-2009",16221,631,"3.9","1.2"
"92","Andover","Essex County","MA","Andover","2005-2009",32056,892,"2.8","1.1"
"93","Beverly","Essex County","MA","Beverly","2005-2009",37139,3033,"8.2","1.6"
"94","Boxford","Essex County","MA","Boxford","2005-2009",8175,136,"1.7","2.3"
"95","Danvers","Essex County","MA","Danvers","2005-2009",26419,1316,"5","1.5"
"96","Essex","Essex County","MA","Essex","2005-2009",3294,76,"2.3","3.1"
"97","Georgetown","Essex County","MA","Georgetown","2005-2009",8493,112,"1.3","0.8"
"98","Gloucester","Essex County","MA","Gloucester","2005-2009",30017,2104,"7","1.6"
"99","Groveland","Essex County","MA","Groveland","2005-2009",6865,392,"5.7","4.5"
"100","Hamilton","Essex County","MA","Hamilton","2005-2009",7835,554,"7.1","3.7"
"101","Haverhill","Essex County","MA","Haverhill","2005-2009",59795,7033,"11.8","1.8"
"102","Ipswich","Essex County","MA","Ipswich","2005-2009",12985,707,"5.4","2.1"
"103","Lawrence","Essex County","MA","Lawrence","2005-2009",69432,18948,"27.3","2.3"
"104","Lynn","Essex County","MA","Lynn","2005-2009",86578,16781,"19.4","1.9"
"105","Lynnfield","Essex County","MA","Lynnfield","2005-2009",11492,638,"5.6","3"
"106","Manchester-by-the-Sea","Essex County","MA","Manchester-by-the-Sea","2005-2009",5169,190,"3.7","2.3"
"107","Marblehead","Essex County","MA","Marblehead","2005-2009",19849,899,"4.5","1.6"
"108","Merrimac","Essex County","MA","Merrimac","2005-2009",6475,250,"3.9","2.9"
"109","Methuen","Essex County","MA","Methuen","2005-2009",43162,3077,"7.1","1.3"
"110","Middleton","Essex County","MA","Middleton","2005-2009",7703,271,"3.5","3.4"
"111","Nahant","Essex County","MA","Nahant","2005-2009",3602,188,"5.2","4.5"
"112","Newbury","Essex County","MA","Newbury","2005-2009",6814,267,"3.9","2.6"
"113","Newburyport","Essex County","MA","Newburyport","2005-2009",17075,1013,"5.9","1.9"
"114","North Andover","Essex County","MA","North Andover","2005-2009",26768,972,"3.6","1.1"
"115","Peabody","Essex County","MA","Peabody","2005-2009",50673,3414,"6.7","1.2"
