JURISDICTIONCODE,NAME,Year,Total_Taxable_Property_Values,Total_Tax_Exempt_Values,Total,Taxable_as_a___of_Total,Tax_Exempt_as_a___of_Total
1,Abington,2003,995841000,72358700,1068199700,93.23,6.77
1,Abington,2004,1494676600,98304800,1592981400,93.83,6.17
1,Abington,2005,1787735400,120765300,1908500700,93.67,6.33
1,Abington,2006,1984637500,134319900,2118957400,93.66,6.34
1,Abington,2007,2027507500,134031900,2161539400,93.8,6.2
1,Abington,2008,1999801200,131676400,2131477600,93.82,6.18
1,Abington,2009,1975647800,131646900,2107294700,93.75,6.25
1,Abington,2010,1841792600,131518083,1973310683,93.34,6.66
1,Abington,2011,1775754800,132219183,1907973983,93.07,6.93
1,Abington,2012,1766231234,134381849,1900613083,92.93,7.07
1,Abington,2013,1694292700,132476000,1826768700,92.75,7.25
1,Abington,2014,1654752800,130937400,1785690200,92.67,7.33
1,Abington,2015,1725866400,131535400,1857401800,92.92,7.08
1,Abington,2016,1762181100,131497500,1893678600,93.06,6.94
2,Acton,2003,3093786673,180640900,3274427573,94.48,5.52
2,Acton,2004,3328663383,197857800,3526521183,94.39,5.61
2,Acton,2005,3542254777,197857800,3740112577,94.71,5.29
2,Acton,2006,3776365916,215158500,3991524416,94.61,5.39
2,Acton,2007,3947971323,244198800,4192170123,94.17,5.83
2,Acton,2008,3851376136,245444300,4096820436,94.01,5.99
2,Acton,2009,3751255130,241192800,3992447930,93.96,6.04
2,Acton,2010,3741421414,239375500,3980796914,93.99,6.01
2,Acton,2011,3640773825,245960000,3886733825,93.67,6.33
2,Acton,2012,3641550118,245361400,3886911518,93.69,6.31
2,Acton,2013,3679116507,270067600,3949184107,93.16,6.84
2,Acton,2014,3716266225,270760700,3987026925,93.21,6.79
2,Acton,2015,3905754158,271518900,4177273058,93.5,6.5
2,Acton,2016,4034183348,286688100,4320871448,93.37,6.63
3,Acushnet,2003,576639752,38811000,615450752,93.69,6.31
3,Acushnet,2004,840287333,48710016,888997349,94.52,5.48
3,Acushnet,2005,963001911,50979916,1013981827,94.97,5.03
3,Acushnet,2006,1118644873,56376512,1175021385,95.2,4.8
3,Acushnet,2007,1238612324,59074456,1297686780,95.45,4.55
3,Acushnet,2008,1256193644,58267856,1314461500,95.57,4.43
3,Acushnet,2009,1249728518,57737856,1307466374,95.58,4.42
3,Acushnet,2010,1191724554,58361956,1250086510,95.33,4.67
3,Acushnet,2011,1126630210,57306102,1183936312,95.16,4.84
3,Acushnet,2012,1065467881,55210600,1120678481,95.07,4.93
3,Acushnet,2013,1035820941,55567300,1091388241,94.91,5.09
3,Acushnet,2014,1011828885,54372600,1066201485,94.9,5.1
3,Acushnet,2015,1022874645,54575900,1077450545,94.93,5.07
3,Acushnet,2016,1062424323,54410600,1116834923,95.13,4.87
4,Adams,2003,340456200,43747600,384203800,88.61,11.39
4,Adams,2004,341238800,45481400,386720200,88.24,11.76
4,Adams,2005,357934500,43930300,401864800,89.07,10.93
4,Adams,2006,451142517,56786700,507929217,88.82,11.18
4,Adams,2007,451870547,56886000,508756547,88.82,11.18
4,Adams,2008,472461771,59489900,531951671,88.82,11.18
4,Adams,2009,492008878,62310400,554319278,88.76,11.24
4,Adams,2010,494010962,67514100,561525062,87.98,12.02
4,Adams,2011,496897189,67337300,564234489,88.07,11.93
4,Adams,2012,494039099,67312700,561351799,88.01,11.99
4,Adams,2013,465558447,63405600,528964047,88.01,11.99
4,Adams,2014,466302433,63926300,530228733,87.94,12.06
4,Adams,2015,470221030,63502100,533723130,88.1,11.9
4,Adams,2016,482882333,62994800,545877133,88.46,11.54
5,Agawam,2003,1916018984,257135920,2173154904,88.17,11.83
5,Agawam,2004,2016303057,258476360,2274779417,88.64,11.36
5,Agawam,2005,2231893423,292791760,2524685183,88.4,11.6
5,Agawam,2006,2583304394,313547180,2896851574,89.18,10.82
5,Agawam,2007,2741090684,318243900,3059334584,89.6,10.4
5,Agawam,2008,2855698631,319257400,3174956031,89.94,10.06
5,Agawam,2009,2864660697,391294756,3255955453,87.98,12.02
5,Agawam,2010,2796296393,388207312,3184503705,87.81,12.19
5,Agawam,2011,2689617727,368638044,3058255771,87.95,12.05
5,Agawam,2012,2715790563,368726244,3084516807,88.05,11.95
5,Agawam,2013,2701515986,370821636,3072337622,87.93,12.07
