"Municipal","Fiscal_Year","Residential","Open_Space","Commercial","Industrial","Personal_Property","Total_Levy","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Levy","Percentage_of_Residential","Percentage_of_Open_Space","Percentage_of_Commercial","Percentage_of_Industrial","Percentage_of_Personal_Property"
"Abington",2003,14091729,0,1634200,203531,352540,16282000,18772634,0,2177039,271139,469645,21690456,86.55,0,10.04,1.25,2.17
"Abington",2004,16190475,0,1467471,199513,347702,18205161,21009048,0,1904216,258892,451184,23623341,88.93,0,8.06,1.1,1.91
"Abington",2005,17058536,0,1725512,234563,306809,19325420,21410079,0,2165681,294399,385074,24255233,88.27,0,8.93,1.21,1.59
"Abington",2006,17788540,0,1970248,258294,305607,20322689,21628606,0,2395571,314053,371579,24709809,87.53,0,9.69,1.27,1.5
"Abington",2007,19117571,0,2209809,251847,317854,21897081,22600819,0,2612439,297734,375767,25886760,87.31,0,10.09,1.15,1.45
"Abington",2008,19292140,0,2358395,265473,361778,22277786,21963880,0,2685006,302238,411880,25363004,86.6,0,10.59,1.19,1.62
"Abington",2009,21082103,0,2641578,303976,450619,24478276,24087431,0,3018144,347309,514856,27967740,86.13,0,10.79,1.24,1.84
"Abington",2010,21846515,0,2861285,304765,514680,25527245,24557993,0,3216413,342591,578559,28695557,85.58,0,11.21,1.19,2.02
"Abington",2011,22877359,0,3050037,310909,646622,26884927,24929862,0,3323679,338803,704635,29296980,85.09,0,11.34,1.16,2.41
"Abington",2012,23178847,0,3055774,321921,572770,27129312,24746287,0,3262417,343690,611503,28963897,85.44,0,11.26,1.19,2.11
"Abington",2013,23969410,0,3143844,338378,588912,28040544,25220885,0,3307988,356045,619660,29504579,85.48,0,11.21,1.21,2.1
"Abington",2014,24214898,0,3288715,352483,589105,28445201,25072468,0,3405185,364966,609968,29452587,85.13,0,11.56,1.24,2.07
"Abington",2015,25158309,0,3230867,347667,602886,29339729,26018407,0,3341322,359553,623497,30342779,85.75,0,11.01,1.18,2.05
"Abington",2016,27247590,0,3376425,314065,657827,31595907,31803365,0,3940961,366576,767815,36878717,86.24,0,10.69,0.99,2.08
"Abington",2017,29771290,0,3435217,329126,714226,34249859,29771290,0,3435217,329126,714226,34249859,86.92,0,10.03,0.96,2.09
"Acton",2003,36590043,0,3601992,1241819,486956,41920810,48744301,0,4798480,1654319,648710,55845809,87.28,0,8.59,2.96,1.16
"Acton",2004,40670679,0,3956132,1384771,689566,46701148,52774996,0,5133547,1796903,894793,60600240,87.09,0,8.47,2.97,1.48
"Acton",2005,42855278,0,3965401,1363670,734190,48918539,53787433,0,4976954,1711535,921478,61397400,87.61,0,8.11,2.79,1.5
"Acton",2006,48388760,0,4524519,1555226,590910,55059415,58834588,0,5501241,1890957,718472,66945257,87.88,0,8.22,2.82,1.07
"Acton",2007,50094321,0,5336154,1684866,604000,57719341,59221576,0,6308409,1991851,714050,68235885,86.79,0,9.25,2.92,1.05
"Acton",2008,51324892,0,5512885,1716493,718409,59272679,58432802,0,6276356,1954208,817900,67481266,86.59,0,9.3,2.9,1.21
"Acton",2009,53769049,0,5559306,1711118,968774,62008247,61434015,0,6351805,1955044,1106876,70847740,86.71,0,8.97,2.76,1.56
"Acton",2010,55769176,0,5497569,1675574,1110816,64053135,62690962,0,6179899,1883538,1248685,72003084,87.07,0,8.58,2.62,1.73
"Acton",2011,57398208,0,5590238,1644477,1192268,65825191,62547841,0,6091781,1792016,1299235,71730873,87.2,0,8.49,2.5,1.81
"Acton",2012,59085091,0,5550450,1703587,1211627,67550755,63080645,0,5925792,1818790,1293562,72118788,87.47,0,8.22,2.52,1.79
"Acton",2013,61275263,0,5976485,1798426,1220951,70271125,64474527,0,6288525,1892324,1284699,73940075,87.2,0,8.5,2.56,1.74
"Acton",2014,63172698,0,5949040,1805745,1353894,72281377,65409958,0,6159725,1869695,1401842,74841220,87.4,0,8.23,2.5,1.87
"Acton",2015,65694136,0,5785869,1740505,1184106,74404616,67940049,0,5983673,1800008,1224588,76948318,88.29,0,7.78,2.34,1.59
"Acton",2016,68390226,0,6081020,1757470,1348630,77577346,79825016,0,7097762,2051318,1574120,90548215,88.16,0,7.84,2.27,1.74
"Acton",2017,71255442,0,6120481,1737499,1519040,80632462,71255442,0,6120481,1737499,1519040,80632462,88.37,0,7.59,2.15,1.88
"Acushnet",2003,8290981,0,387661,339835,298013,9316490,11045029,0,516432,452719,397005,12411185,88.99,0,4.16,3.65,3.2
"Acushnet",2004,8921375,0,439919,533639,260430,10155363,11576535,0,570847,692459,337939,13177780,87.85,0,4.33,5.25,2.56
"Acushnet",2005,9596142,0,366034,460488,223603,10646267,12044067,0,459407,577956,280643,13362074,90.14,0,3.44,4.33,2.1
"Acushnet",2006,9980913,0,360231,375565,198610,10915319,12135523,0,437995,456639,241485,13271642,91.44,0,3.3,3.44,1.82
"Acushnet",2007,10585823,0,369414,361552,196150,11512939,12514575,0,436722,427427,231889,13610612,91.95,0,3.21,3.14,1.7
"Acushnet",2008,10798074,0,387632,380351,230513,11796570,12293484,0,441315,433025,262436,13430260,91.54,0,3.29,3.22,1.95
"Acushnet",2009,11164636,0,404891,391876,294224,12255627,12756194,0,462610,447739,336167,14002710,91.1,0,3.3,3.2,2.4
"Acushnet",2010,11551731,0,430929,366522,335047,12684229,12985473,0,484414,412013,376631,14258531,91.07,0,3.4,2.89,2.64
"Acushnet",2011,11872193,0,453670,373037,373841,13072741,12937338,0,494372,406505,407381,14245597,90.82,0,3.47,2.85,2.86
"Acushnet",2012,12200222,0,491871,387385,447308,13526786,13025246,0,525133,413581,477557,14441518,90.19,0,3.64,2.86,3.31
"Acushnet",2013,12517607,0,529951,409139,498326,13955023,13171168,0,557620,430501,524344,14683634,89.7,0,3.8,2.93,3.57
"Acushnet",2014,12934679,0,566480,394081,549758,14444998,13392760,0,586542,408037,569228,14956567,89.54,0,3.92,2.73,3.81
"Acushnet",2015,13343852,0,588217,403879,624426,14960374,13800044,0,608327,417687,645774,15471831,89.19,0,3.93,2.7,4.17
"Acushnet",2016,14098060,0,601139,416795,696089,15812083,16455244,0,701649,486483,812475,18455850,89.16,0,3.8,2.64,4.4
"Acushnet",2017,14591582,0,594735,424216,799223,16409756,14591582,0,594735,424216,799223,16409756,88.92,0,3.62,2.59,4.87
"Adams",2003,4485390,0,584414,407101,324636,5801541,5975320,0,778541,542329,432472,7728662,77.31,0,10.07,7.02,5.6
"Adams",2004,4707412,0,597274,427333,335317,6067336,6108422,0,775033,554515,435113,7873083,77.59,0,9.84,7.04,5.53
"Adams",2005,5148537,0,621609,438033,337397,6545576,6461902,0,780178,549773,423465,8215318,78.66,0,9.5,6.69,5.15
"Adams",2006,5268654,0,646356,449674,311044,6675728,6406014,0,785887,546746,378190,8116838,78.92,0,9.68,6.74,4.66
"Adams",2007,5798557,0,706922,497501,346773,7349753,6855062,0,835724,588146,409956,8688888,78.89,0,9.62,6.77,4.72
"Adams",2008,5985232,0,666702,521904,341251,7515089,6814118,0,759033,594182,388510,8555843,79.64,0,8.87,6.94,4.54
"Adams",2009,6291215,0,692019,545259,429347,7957840,7188050,0,790669,622988,490552,9092258,79.06,0,8.7,6.85,5.4
"Adams",2010,6290748,0,625539,499283,396873,7812443,7071524,0,703178,561251,446131,8782084,80.52,0,8.01,6.39,5.08
"Adams",2011,6616422,0,648160,523077,410307,8197966,7210032,0,706311,570006,447119,8933468,80.71,0,7.91,6.38,5
"Adams",2012,7082262,0,695169,566323,452072,8795826,7561191,0,742179,604620,482643,9390632,80.52,0,7.9,6.44,5.14
"Adams",2013,7029068,0,709379,565641,467335,8771423,7396065,0,746417,595174,491735,9229391,80.14,0,8.09,6.45,5.33
"Adams",2014,7694799,0,799004,599402,510966,9604171,7967310,0,827301,620630,529062,9944302,80.12,0,8.32,6.24,5.32
"Adams",2015,8290914,0,866526,677750,543261,10378451,8574359,0,896150,700921,561834,10733263,79.89,0,8.35,6.53,5.23
"Adams",2016,8467474,0,911712,726278,624556,10730020,9883229,0,1064150,847711,728981,12524071,78.91,0,8.5,6.77,5.82
"Adams",2017,8989219,0,840272,704867,597350,11131708,8989219,0,840272,704867,597350,11131708,80.75,0,7.55,6.33,5.37
"Agawam",2003,19694097,0,4249884,6645206,2605508,33194695,26235962,0,5661585,8852570,3470990,44221107,59.33,0,12.8,20.02,7.85
"Agawam",2004,21138113,0,4465889,5966605,3611218,35181825,27429191,0,5795017,7742373,4685981,45652562,60.08,0,12.69,16.96,10.26
"Agawam",2005,22530691,0,5610169,6156878,3671606,37969344,28278151,0,7041294,7727465,4608213,47655123,59.34,0,14.78,16.22,9.67
"Agawam",2006,23466856,0,6203753,6632569,3100473,39403651,28532717,0,7542976,8064362,3769781,47909836,59.56,0,15.74,16.83,7.87
"Agawam",2007,25234456,0,6100445,6565265,2974145,40874311,29832209,0,7211955,7761465,3516038,48321667,61.74,0,14.92,16.06,7.28
"Agawam",2008,26298504,0,6143989,6629662,3010887,42083042,29940546,0,6994861,7547794,3427860,47911061,62.49,0,14.6,15.75,7.15
"Agawam",2009,27624866,0,6226323,6030292,2740846,42622327,31562887,0,7113907,6889931,3131563,48698289,64.81,0,14.61,14.15,6.43
"Agawam",2010,28786614,0,6435977,6236613,2802625,44261829,32359462,0,7234778,7010670,3150473,49755382,65.04,0,14.54,14.09,6.33
"Agawam",2011,29881875,0,6454974,6273258,2994978,45605085,32562807,0,7034099,6836080,3263680,49696666,65.52,0,14.15,13.76,6.57
"Agawam",2012,30887173,0,6688174,6243820,3314339,47133506,32975878,0,7140453,6666050,3538467,50320849,65.53,0,14.19,13.25,7.03
"Agawam",2013,32014931,0,6826799,5985464,5231141,50058335,33686474,0,7183235,6297973,5504266,52671948,63.96,0,13.64,11.96,10.45
