"Municipal","F_year","Total Budget","Residential","Open Space","Commercial","Industrial","Personal Property","Total Levy"
"Abington","2003",32728571.75,14091729,0,1634200,203531,352540,16282000
"Abington","2004",33460683.07,16190475,0,1467471,199513,347702,18205161
"Abington","2005",35924152.51,17058536,0,1725512,234563,306809,19325420
"Abington","2006",39731412.16,17788540,0,1970248,258294,305607,20322689
"Abington","2007",43207964.11,19117571,0,2209809,251847,317854,21897081
"Abington","2008",43813673.18,19292140,0,2358395,265473,361778,22277786
"Abington","2009",47011532.36,21082103,0,2641578,303976,450619,24478276
"Abington","2010",43629169.5,21846515,0,2861285,304765,514680,25527245
"Abington","2011",44697691.23,22877359,0,3050037,310909,646622,26884927
"Abington","2012",46934186.06,23178847,0,3055774,321921,572770,27129312
"Abington","2013",47342153.62,23969410,0,3143844,338378,588912,28040544
"Acton","2003",57504888.41,36590043,0,3601992,1241819,486956,41920810
"Acton","2004",64445851.97,40670679,0,3956132,1384771,689566,46701148
"Acton","2005",68881312.47,42855278,0,3965401,1363670,734190,48918539
"Acton","2006",68977826.55,48388760,0,4524519,1555226,590910,55059415
"Acton","2007",72881896.74,50094321,0,5336154,1684866,604000,57719341
"Acton","2008",77314915.73,51324892,0,5512885,1716493,718409,59272679
"Acton","2009",80925052.3,53769049,0,5559306,1711118,968774,62008247
"Acton","2010",82498451.54,55769176,0,5497569,1675574,1110816,64053135
"Acton","2011",85551488.14,57398208,0,5590238,1644477,1192268,65825191
"Acton","2012",85484019.69,59085091,0,5550450,1703587,1211627,67550755
"Acton","2013",87895061.29,61275263,0,5976485,1798426,1220951,70271125
"Acushnet","2003",21492265.63,8290981,0,387661,339835,298013,9316490
"Acushnet","2004",22907878.24,8921375,0,439919,533639,260430,10155363
"Acushnet","2005",23457794.08,9596142,0,366034,460488,223603,10646267
"Acushnet","2006",24820766.66,9980913,0,360231,375565,198610,10915319
"Acushnet","2007",25624194.86,10585823,0,369414,361552,196150,11512939
"Acushnet","2008",26875499.36,10798074,0,387632,380351,230513,11796570
"Acushnet","2009",27279303.8,11164636,0,404891,391876,294224,12255627
"Acushnet","2010",26539461.28,11551731,0,430929,366522,335047,12684229
"Acushnet","2011",27040316.62,11872193,0,453670,373037,373841,13072741
"Acushnet","2012",27701330.09,12200222,0,491871,387385,447308,13526786
"Acushnet","2013",28262209.72,12517607,0,529951,409139,498326,13955023
"Adams","2003",11292756.47,4485390,0,584414,407101,324636,5801541
"Adams","2004",11552610.91,4707412,0,597274,427333,335317,6067336
"Adams","2005",12262738.2,5148537,0,621609,438033,337397,6545576
"Adams","2006",12702231.65,5268654,0,646356,449674,311044,6675728
"Adams","2007",13518883.1,5798557,0,706922,497501,346773,7349753
"Adams","2008",13332857.05,5985232,0,666702,521904,341251,7515089
"Adams","2009",14158695.69,6291215,0,692019,545259,429347,7957840
"Adams","2010",13690519.94,6290748,0,625539,499283,396873,7812443
"Adams","2011",13437737.3,6616422,0,648160,523077,410307,8197966
"Adams","2012",13056942.29,7082262,0,695169,566323,452072,8795826
"Adams","2013",13596816.38,7029068,0,709379,565641,467335,8771423
"Agawam","2003",64099999.3,19694097,0,4249884,6645206,2605508,33194695
"Agawam","2004",64047815.26,21138113,0,4465889,5966605,3611218,35181825
"Agawam","2005",66210859.23,22530691,0,5610169,6156878,3671606,37969344
"Agawam","2006",70524557.13,23466856,0,6203753,6632569,3100473,39403651
"Agawam","2007",74304342.13,25234456,0,6100445,6565265,2974145,40874311
"Agawam","2008",77666007.27,26298504,0,6143989,6629662,3010887,42083042
"Agawam","2009",80528424.6,27624866,0,6226323,6030292,2740846,42622327
"Agawam","2010",80578879.02,28786614,0,6435977,6236613,2802625,44261829
"Agawam","2011",81642942.78,29881875,0,6454974,6273258,2994978,45605085
"Agawam","2012",84000550.14,30887173,0,6688174,6243820,3314339,47133506
"Agawam","2013",90634593.67,32014931,0,6826799,5985464,5231141,50058335
"Alford","2003",974340.96,787670,0,10960,140,15272,814042
"Alford","2004",1024945.29,817595,0,9660,140,19996,847391
"Alford","2005",1231546.18,868642,0,9432,0,16564,894638
"Alford","2006",1040390.55,900134,0,9342,136,17126,926738
"Alford","2007",1121606.96,941894,0,9144,137,20540,971715
"Alford","2008",1356563.57,988956,0,9814,113,14704,1013587
"Alford","2009",1231996,1036495,0,8861,117,17525,1062998
"Alford","2010",1346364.7,1093136,0,9233,124,18486,1120979
"Alford","2011",1466647.38,1066414,0,8840,118,16154,1091526
"Alford","2012",1419387.72,1105551,0,7031,121,16660,1129363
"Alford","2013",1277315.26,1116095,0,6967,131,16826,1140019
"Amesbury","2003",44676119.52,19756264,0,1949704,1435018,603745,23744731
"Amesbury","2004",46504281.67,21416434,0,1974932,1353037,556162,25300565
"Amesbury","2005",47357904.01,22398003,0,1820710,1231114,455740,25905567
"Amesbury","2006",50484926.46,23970672,0,1830194,1244569,440695,27486130
"Amesbury","2007",50933052.23,24279176,0,2070861,1529001,480759,28359797
"Amesbury","2008",54610148.18,25738160,0,2571805,1747007,550012,30606984
"Amesbury","2009",55843673.69,28053569,0,2411931,1603404,614549,32683453
"Amesbury","2010",55951772.67,29007565,0,2557154,1690962,642237,33897918
"Amesbury","2011",55353099.71,28673425,0,2549108,1802731,1143570,34168834
"Amesbury","2012",57004210.83,29524649,0,2619994,1804037,1286868,35235548
"Amesbury","2013",58162402.83,29928804,0,2806127,1926447,1263032,35924410
"Amherst","2003",56672544.6,21719548,0,2278072,79187,708209,24785016
"Amherst","2004",59485598.4,22750342,0,2287047,70117,747955,25855461
"Amherst","2005",59718854.65,25641716,0,2270532,74666,615689,28602603
"Amherst","2006",63824132.74,27597486,0,2225570,73806,639122,30535984
"Amherst","2007",67403878.16,28983904,0,2311801,75446,708900,32080051
"Amherst","2008",70166213.39,30228150,0,2287655,77082,802271,33395158
"Amherst","2009",73422737.42,31654521,0,2335621,72198,809087,34871427
"Amherst","2010",71427931.42,32517975,0,2615297,77355,848380,36059007
"Amherst","2011",72456981.18,34807241,0,2724022,78569,922478,38532310
