"Municipal","County","State","Year","Residential","Open.Space","Commercial","Industrial","Personal.Property","Total.Assessed","R/O as % of Total Value","CIP as % of Total Value","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Assessed","Percentage_of_Residential","Percentage_of_Open_Space","Percentage_of_Commercial","Percentage_of_Industrial","Percentage_of_Personal_Property","Total_Assessed_Pct_Change","Total_Assessed_Million","Residential_Million","Open_Space_Million","Commercial_Million","Industrial_Million","Personal_Property_Million"
"Barnstable","Barnstable","MA",2003,6496915232,0,767960498,56678770,188114795,7509669295,86.51,13.49,8474484424,0,1001716822,73930987,245374280,9795506514,86.51,0,10.23,0.75,2.5,0,9795.51,8474.48,0,1001.72,73.93,245.37
"Barnstable","Barnstable","MA",2004,10023257151,0,967131329,75686020,214717352,11280791852,88.85,11.15,12735054945,0,1228789248,96162915,272809251,14332816358,88.85,0,8.57,0.67,1.9,46.3,14332.82,12735.05,0,1228.79,96.16,272.81
"Barnstable","Barnstable","MA",2005,11381231761,0,1129516623,80250820,228014240,12819013444,88.78,11.22,13986560631,0,1388079345,98621396,280210004,15753471376,88.78,0,8.81,0.63,1.78,60.8,15753.47,13986.56,0,1388.08,98.62,280.21
"Barnstable","Barnstable","MA",2006,12710161443,0,1230557567,77084090,245409010,14263212110,89.11,10.89,15131585900,0,1464992212,91769450,292162104,16980509667,89.11,0,8.63,0.54,1.72,73.3,16980.51,15131.59,0,1464.99,91.77,292.16
"Barnstable","Barnstable","MA",2007,13443704362,0,1275048264,77011100,149981380,14945745106,89.95,10.05,15561647678,0,1475921466,89143555,173609693,17300322393,89.95,0,8.53,0.52,1,76.6,17300.32,15561.65,0,1475.92,89.14,173.61
"Barnstable","Barnstable","MA",2008,13323872172,0,1286489328,73265400,151079850,14834706750,89.82,10.18,14852661544,0,1434101913,81671918,168414846,16536850220,89.82,0,8.67,0.49,1.02,68.8,16536.85,14852.66,0,1434.1,81.67,168.41
"Barnstable","Barnstable","MA",2009,12983016619,0,1303893716,78598400,179274450,14544783185,89.26,10.74,14524370480,0,1458692995,87929663,200558053,16271551191,89.26,0,8.96,0.54,1.23,66.1,16271.55,14524.37,0,1458.69,87.93,200.56
"Barnstable","Barnstable","MA",2010,11822832710,0,1279251935,81780400,176352980,13360218025,88.49,11.51,13012999460,0,1408030135,90012971,194105870,14705148437,88.49,0,9.58,0.61,1.32,50.1,14705.15,13013,0,1408.03,90.01,194.11
"Barnstable","Barnstable","MA",2011,11474497625,0,1235696120,82267300,194882820,12987343865,88.35,11.65,12243140369,0,1318471758,87778144,207937445,13857327716,88.35,0,9.51,0.63,1.5,41.5,13857.33,12243.14,0,1318.47,87.78,207.94
"Barnstable","Barnstable","MA",2012,11343180287,0,1205426293,79571600,196937290,12825115470,88.45,11.55,11857638576,0,1260097164,83180488,205869178,13406785406,88.45,0,9.4,0.62,1.54,36.9,13406.79,11857.64,0,1260.1,83.18,205.87
"Barnstable","Barnstable","MA",2013,11220887767,0,1223179078,80290800,197055870,12721413515,88.2,11.8,11560466568,0,1260196264,82720648,203019391,13106402870,88.2,0,9.62,0.63,1.55,33.8,13106.4,11560.47,0,1260.2,82.72,203.02
"Barnstable","Barnstable","MA",2014,11114256735,0,1206529030,79328500,193985740,12594100005,88.25,11.75,11267823298,0,1223199737,80424588,196666056,12768113679,88.25,0,9.58,0.63,1.54,30.3,12768.11,11267.82,0,1223.2,80.42,196.67
"Barnstable","Barnstable","MA",2015,11207187750,0,1204713235,78592100,212290440,12702783525,88.23,11.77,11348567868,0,1219910848,79583549,214968511,12863030776,88.23,0,9.48,0.62,1.67,31.3,12863.03,11348.57,0,1219.91,79.58,214.97
"Barnstable","Barnstable","MA",2016,11559979680,0,1266853600,79821600,236236480,13142891360,87.96,12.04,11559979680,0,1266853600,79821600,236236480,13142891360,87.96,0,9.64,0.61,1.8,34.2,13142.89,11559.98,0,1266.85,79.82,236.24
"Barnstable","Barnstable","MA",2017,11609385779,0,1291731901,80275500,249000650,13230393830,87.75,12.25,11609385779,0,1291731901,80275500,249000650,13230393830,87.75,0,9.76,0.61,1.88,35.1,13230.39,11609.39,0,1291.73,80.28,249
"Bourne","Barnstable","MA",2003,2600848928,806100,263052832,20572900,64764890,2950045650,88.19,11.81,3392510591,1051465,343122397,26835000,84478407,3847997860,88.16,0.03,8.92,0.7,2.2,0,3848,3392.51,1.05,343.12,26.84,84.48
"Bourne","Barnstable","MA",2004,3032972582,454780,285432968,22982800,73250330,3415093460,88.82,11.18,3853545000,577821,362657016,29200809,93068247,4339048894,88.81,0.01,8.36,0.67,2.14,12.8,4339.05,3853.55,0.58,362.66,29.2,93.07
"Bourne","Barnstable","MA",2005,3572807952,609460,319706968,26922220,80046050,4000092650,89.33,10.67,4390675464,748974,392892526,33085106,98369751,4915771821,89.32,0.02,7.99,0.67,2,27.7,4915.77,4390.68,0.75,392.89,33.09,98.37
"Bourne","Barnstable","MA",2006,4073243219,280600,355491436,31210720,70262030,4530488005,89.91,10.09,4849240502,334057,423216434,37156703,83647713,5393595410,89.91,0.01,7.85,0.69,1.55,40.2,5393.6,4849.24,0.33,423.22,37.16,83.65
"Bourne","Barnstable","MA",2007,4298715115,311500,376809785,34114210,72729670,4782680280,89.89,10.11,4975941771,360574,436173019,39488619,84187622,5536151604,89.88,0.01,7.88,0.71,1.52,43.9,5536.15,4975.94,0.36,436.17,39.49,84.19
"Bourne","Barnstable","MA",2008,4377051879,316000,385936461,33163110,81476190,4877943640,89.74,10.26,4879277531,352258,430219050,36968266,90824819,5437641924,89.73,0.01,7.91,0.68,1.67,41.3,5437.64,4879.28,0.35,430.22,36.97,90.82
"Bourne","Barnstable","MA",2009,4089345385,0,400553265,33376210,92112520,4615387380,88.6,11.4,4574835659,0,448107261,37338660,103048190,5163329770,88.6,0,8.68,0.72,2,34.2,5163.33,4574.84,0,448.11,37.34,103.05
"Bourne","Barnstable","MA",2010,4085719149,0,394574831,33374510,96212450,4609880940,88.63,11.37,4497015426,0,434295417,36734215,105897850,5073942908,88.63,0,8.56,0.72,2.09,31.9,5073.94,4497.02,0,434.3,36.73,105.9
