"Municipal","County","State","Year","Residential","Open.Space","Commercial","Industrial","Personal.Property","Total.Assessed","R/O as % of Total Value","CIP as % of Total Value","Inflation_Adjusted_Residential","Inflation_Adjusted_Open_Space","Inflation_Adjusted_Commercial","Inflation_Adjusted_Industrial","Inflation_Adjusted_Personal_Property","Inflation_Adjusted_Total_Assessed","Percentage_of_Residential","Percentage_of_Open_Space","Percentage_of_Commercial","Percentage_of_Industrial","Percentage_of_Personal_Property","Total_Assessed_Pct_Change","Total_Assessed_Million","Residential_Million","Open_Space_Million","Commercial_Million","Industrial_Million","Personal_Property_Million"
"Barnstable","Barnstable","MA",2003,6496915232,0,767960498,56678770,188114795,7509669295,86.51,13.49,8866417898,0,1048044874,77350195,256722510,10248535476,86.51,0,10.23,0.75,2.5,0,10248.54,8866.42,0,1048.04,77.35,256.72
"Barnstable","Barnstable","MA",2004,10023257151,0,967131329,75686020,214717352,11280791852,88.85,11.15,13324034057,0,1285619093,100610320,285426311,14995689781,88.85,0,8.57,0.67,1.9,46.3,14995.69,13324.03,0,1285.62,100.61,285.43
"Barnstable","Barnstable","MA",2005,11381231761,0,1129516623,80250820,228014240,12819013444,88.78,11.22,14633420194,0,1452276143,103182502,293169338,16482048177,88.78,0,8.81,0.63,1.78,60.8,16482.05,14633.42,0,1452.28,103.18,293.17
"Barnstable","Barnstable","MA",2006,12710161443,0,1230557567,77084090,245409010,14263212110,89.11,10.89,15831401337,0,1532746126,96013664,305674208,17765835334,89.11,0,8.63,0.54,1.72,73.3,17765.84,15831.4,0,1532.75,96.01,305.67
"Barnstable","Barnstable","MA",2007,13443704362,0,1275048264,77011100,149981380,14945745106,89.95,10.05,16281352891,0,1544180843,93266325,181638908,18100438967,89.95,0,8.53,0.52,1,76.6,18100.44,16281.35,0,1544.18,93.27,181.64
"Barnstable","Barnstable","MA",2008,13323872172,0,1286489328,73265400,151079850,14834706750,89.82,10.18,15539577105,0,1500427192,85449134,176203805,17301657236,89.82,0,8.67,0.49,1.02,68.8,17301.66,15539.58,0,1500.43,85.45,176.2
"Barnstable","Barnstable","MA",2009,12983016619,0,1303893716,78598400,179274450,14544783185,89.26,10.74,15196103023,0,1526155578,91996292,209833592,17024088485,89.26,0,8.96,0.54,1.23,66.1,17024.09,15196.1,0,1526.16,92,209.83
"Barnstable","Barnstable","MA",2010,11822832710,0,1279251935,81780400,176352980,13360218025,88.49,11.51,13614833131,0,1473149630,94175950,203083005,15385241716,88.49,0,9.58,0.61,1.32,50.1,15385.24,13614.83,0,1473.15,94.18,203.08
"Barnstable","Barnstable","MA",2011,11474497625,0,1235696120,82267300,194882820,12987343865,88.35,11.65,12809369096,0,1379449298,91837764,217554272,14498210430,88.35,0,9.51,0.63,1.5,41.5,14498.21,12809.37,0,1379.45,91.84,217.55
"Barnstable","Barnstable","MA",2012,11343180287,0,1205426293,79571600,196937290,12825115470,88.45,11.55,12406038365,0,1318374958,87027474,215390350,14026831147,88.45,0,9.4,0.62,1.54,36.9,14026.83,12406.04,0,1318.37,87.03,215.39
"Barnstable","Barnstable","MA",2013,11220887767,0,1223179078,80290800,197055870,12721413515,88.2,11.8,12095122553,0,1318478641,86546367,212408764,13712556324,88.2,0,9.62,0.63,1.55,33.8,13712.56,12095.12,0,1318.48,86.55,212.41
"Barnstable","Barnstable","MA",2014,11114256735,0,1206529030,79328500,193985740,12594100005,88.25,11.75,11788944926,0,1279771075,84144117,205761596,13358621713,88.25,0,9.58,0.63,1.54,30.3,13358.62,11788.94,0,1279.77,84.14,205.76
"Barnstable","Barnstable","MA",2015,11207187750,0,1204713235,78592100,212290440,12702783525,88.23,11.77,11873423823,0,1276330079,83264181,224910515,13457928598,88.23,0,9.48,0.62,1.67,31.3,13457.93,11873.42,0,1276.33,83.26,224.91
"Barnstable","Barnstable","MA",2016,11559979680,0,1266853600,79821600,236236480,13142891360,87.96,12.04,12094613147,0,1325443870,83513241,247162099,13750732357,87.96,0,9.64,0.61,1.8,34.2,13750.73,12094.61,0,1325.44,83.51,247.16
