"Municipal","County","State","F_year","","","","","","","",""
"Barnstable","Barnstable","MA","2003",6496915232,0,767960498,56678770,188114795,7509669295,86.5,13.5
"Barnstable","Barnstable","MA","2004",10023257151,0,967131329,75686020,214717352,11280791852,88.9,11.1
"Barnstable","Barnstable","MA","2005",11381231761,0,1129516623,80250820,228014240,12819013444,88.8,11.2
"Barnstable","Barnstable","MA","2006",12710161443,0,1230557567,77084090,245409010,14263212110,89.1,10.9
"Barnstable","Barnstable","MA","2007",13443704362,0,1275048264,77011100,149981380,14945745106,90,10
"Barnstable","Barnstable","MA","2008",13323872172,0,1286489328,73265400,151079850,14834706750,89.8,10.2
"Barnstable","Barnstable","MA","2009",12983016619,0,1303893716,78598400,179274450,14544783185,89.3,10.7
"Barnstable","Barnstable","MA","2010",11822832710,0,1279251935,81780400,176352980,13360218025,88.5,11.5
"Barnstable","Barnstable","MA","2011",11474497625,0,1235696120,82267300,194882820,12987343865,88.4,11.6
"Barnstable","Barnstable","MA","2012",11343180287,0,1205426293,79571600,196937290,12825115470,88.4,11.6
"Barnstable","Barnstable","MA","2013",11220887767,0,1223179078,80290800,197055870,12721413515,88.2,11.8
"Bourne","Barnstable","MA","2003",2600848928,806100,263052832,20572900,64764890,2950045650,88.2,11.8
"Bourne","Barnstable","MA","2004",3032972582,454780,285432968,22982800,73250330,3415093460,88.8,11.2
"Bourne","Barnstable","MA","2005",3572807952,609460,319706968,26922220,80046050,4000092650,89.3,10.7
"Bourne","Barnstable","MA","2006",4073243219,280600,355491436,31210720,70262030,4530488005,89.9,10.1
"Bourne","Barnstable","MA","2007",4298715115,311500,376809785,34114210,72729670,4782680280,89.9,10.1
"Bourne","Barnstable","MA","2008",4377051879,316000,385936461,33163110,81476190,4877943640,89.7,10.3
"Bourne","Barnstable","MA","2009",4089345385,0,400553265,33376210,92112520,4615387380,88.6,11.4
"Bourne","Barnstable","MA","2010",4085719149,0,394574831,33374510,96212450,4609880940,88.6,11.4
"Bourne","Barnstable","MA","2011",3870024721,0,391147829,33203910,99747500,4394123960,88.1,11.9
"Bourne","Barnstable","MA","2012",3578236558,0,378290712,31454500,100014230,4087996000,87.5,12.5
"Bourne","Barnstable","MA","2013",3577954295,0,374249795,31253700,99433210,4082891000,87.6,12.4
"Brewster","Barnstable","MA","2003",2105255727,0,115858013,5405000,43301830,2269820570,92.7,7.3
"Brewster","Barnstable","MA","2004",2412448967,0,122625053,9865600,47489480,2592429100,93.1,6.9
"Brewster","Barnstable","MA","2005",3026822332,0,127322428,10423700,55439560,3220008020,94,6
"Brewster","Barnstable","MA","2006",3446053665,0,141716615,8155000,56318470,3652243750,94.4,5.6
"Brewster","Barnstable","MA","2007",3663604330,0,156038020,9314100,32062000,3861018450,94.9,5.1
"Brewster","Barnstable","MA","2008",3659276435,0,159793855,9391500,30530330,3858992120,94.8,5.2
"Brewster","Barnstable","MA","2009",3587865966,0,161870154,10129700,33795470,3793661290,94.6,5.4
"Brewster","Barnstable","MA","2010",3539749545,0,164629445,10086100,38376280,3752841370,94.3,5.7
"Brewster","Barnstable","MA","2011",3227010196,0,151680284,9300200,39616660,3427607340,94.1,5.9
"Brewster","Barnstable","MA","2012",3153569867,0,146327053,8886500,37398990,3346182410,94.2,5.8
"Brewster","Barnstable","MA","2013",3062749028,0,141858222,9755400,37604460,3251967110,94.2,5.8
"Chatham","Barnstable","MA","2003",2776375719,0,214719273,10624808,25229879,3026949679,91.7,8.3
"Chatham","Barnstable","MA","2004",4185750418,0,242724514,13741782,31752057,4473968771,93.6,6.4
"Chatham","Barnstable","MA","2005",4958749595,0,257174782,15806944,37296723,5269028044,94.1,5.9
"Chatham","Barnstable","MA","2006",5451938845,0,289532590,17502565,45418605,5804392605,93.9,6.1
"Chatham","Barnstable","MA","2007",6090554615,0,313558515,26341470,22308418,6452763018,94.4,5.6
"Chatham","Barnstable","MA","2008",5990905365,0,320954765,30436670,25254372,6367551172,94.1,5.9
"Chatham","Barnstable","MA","2009",6004324648,0,347582892,30881660,28908316,6411697516,93.6,6.4
"Chatham","Barnstable","MA","2010",5949895817,0,347898048,35056635,31198734,6364049234,93.5,6.5
"Chatham","Barnstable","MA","2011",5440065307,0,342716473,35972020,33322350,5852076150,93,7
"Chatham","Barnstable","MA","2012",5459707886,0,339064694,36444220,34877010,5870093810,93,7
"Chatham","Barnstable","MA","2013",5380886064,0,355685721,20640735,34676510,5791889030,92.9,7.1
"Dennis","Barnstable","MA","2003",3666004438,722400,232608952,15080600,102233860,4016650250,91.3,8.7
"Dennis","Barnstable","MA","2004",4691564860,846700,263784150,16723200,86093430,5059012340,92.8,7.2
"Dennis","Barnstable","MA","2005",5218353458,817200,300671472,19965800,53752018,5593559948,93.3,6.7
"Dennis","Barnstable","MA","2006",5816462064,1150500,348175836,23850800,57212810,6246852010,93.1,6.9
"Dennis","Barnstable","MA","2007",6200949945,995500,368213355,23761800,59883330,6653803930,93.2,6.8
"Dennis","Barnstable","MA","2008",6239624772,711900,375053658,24657600,64537400,6704585330,93.1,6.9
"Dennis","Barnstable","MA","2009",6112060169,643000,374631391,24667700,73257800,6585260060,92.8,7.2
"Dennis","Barnstable","MA","2010",5841481823,596600,370363207,23827200,75170130,6311438960,92.6,7.4
"Dennis","Barnstable","MA","2011",5590054555,618100,369666405,23750200,77341010,6061430270,92.2,7.8
"Dennis","Barnstable","MA","2012",5398029939,603400,358649671,24683000,76212090,5858178100,92.2,7.8
"Dennis","Barnstable","MA","2013",5385094151,595200,354865229,23894000,76659520,5841108100,92.2,7.8
"Eastham","Barnstable","MA","2003",1130571770,0,41588160,3867100,32884110,1208911140,93.5,6.5
