GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median contract rent,Margin of Error; Median contract rent
0100000US,,United States,767,2
0400000US25,25,Massachusetts,954,5
0500000US25001,25001,"Barnstable County, Massachusetts",970,29
0500000US25003,25003,"Berkshire County, Massachusetts",641,14
0500000US25005,25005,"Bristol County, Massachusetts",688,8
0500000US25007,25007,"Dukes County, Massachusetts",1171,100
0500000US25009,25009,"Essex County, Massachusetts",922,9
0500000US25011,25011,"Franklin County, Massachusetts",717,18
0500000US25013,25013,"Hampden County, Massachusetts",700,10
0500000US25015,25015,"Hampshire County, Massachusetts",832,21
0500000US25017,25017,"Middlesex County, Massachusetts",1193,9
0500000US25019,25019,"Nantucket County, Massachusetts",1568,176
0500000US25021,25021,"Norfolk County, Massachusetts",1195,15
0500000US25023,25023,"Plymouth County, Massachusetts",996,16
0500000US25025,25025,"Suffolk County, Massachusetts",1153,9
0500000US25027,25027,"Worcester County, Massachusetts",795,8
0600000US2500100000,2500100000,"County subdivisions not defined, Barnstable County, Massachusetts",-,**
0600000US2500103690,2500103690,"Barnstable Town city, Barnstable County, Massachusetts",984,63
0600000US2500107175,2500107175,"Bourne town, Barnstable County, Massachusetts",831,74
0600000US2500107980,2500107980,"Brewster town, Barnstable County, Massachusetts",907,112
0600000US2500112995,2500112995,"Chatham town, Barnstable County, Massachusetts",841,104
0600000US2500116775,2500116775,"Dennis town, Barnstable County, Massachusetts",884,36
0600000US2500119295,2500119295,"Eastham town, Barnstable County, Massachusetts",1070,144
0600000US2500123105,2500123105,"Falmouth town, Barnstable County, Massachusetts",1002,65
0600000US2500129020,2500129020,"Harwich town, Barnstable County, Massachusetts",1015,147
0600000US2500139100,2500139100,"Mashpee town, Barnstable County, Massachusetts",1141,88
0600000US2500151440,2500151440,"Orleans town, Barnstable County, Massachusetts",762,87
0600000US2500155500,2500155500,"Provincetown town, Barnstable County, Massachusetts",901,79
0600000US2500159735,2500159735,"Sandwich town, Barnstable County, Massachusetts",1150,115
0600000US2500170605,2500170605,"Truro town, Barnstable County, Massachusetts",738,108
0600000US2500174385,2500174385,"Wellfleet town, Barnstable County, Massachusetts",795,119
0600000US2500182525,2500182525,"Yarmouth town, Barnstable County, Massachusetts",1019,55
0600000US2500300555,2500300555,"Adams town, Berkshire County, Massachusetts",556,39
0600000US2500300975,2500300975,"Alford town, Berkshire County, Massachusetts",1021,169
0600000US2500304545,2500304545,"Becket town, Berkshire County, Massachusetts",940,211
0600000US2500313345,2500313345,"Cheshire town, Berkshire County, Massachusetts",622,141
0600000US2500314010,2500314010,"Clarksburg town, Berkshire County, Massachusetts",516,65
0600000US2500316180,2500316180,"Dalton town, Berkshire County, Massachusetts",621,158
0600000US2500321360,2500321360,"Egremont town, Berkshire County, Massachusetts",771,222
0600000US2500324120,2500324120,"Florida town, Berkshire County, Massachusetts",975,358
0600000US2500326815,2500326815,"Great Barrington town, Berkshire County, Massachusetts",844,183
0600000US2500328180,2500328180,"Hancock town, Berkshire County, Massachusetts",772,185
0600000US2500330315,2500330315,"Hinsdale town, Berkshire County, Massachusetts",608,368
0600000US2500334340,2500334340,"Lanesborough town, Berkshire County, Massachusetts",561,331
0600000US2500334655,2500334655,"Lee town, Berkshire County, Massachusetts",663,58
0600000US2500334970,2500334970,"Lenox town, Berkshire County, Massachusetts",742,74
0600000US2500342460,2500342460,"Monterey town, Berkshire County, Massachusetts",675,525
0600000US2500343300,2500343300,"Mount Washington town, Berkshire County, Massachusetts",-,**
0600000US2500344385,2500344385,"New Ashford town, Berkshire County, Massachusetts",700,128
0600000US2500345420,2500345420,"New Marlborough town, Berkshire County, Massachusetts",944,77
0600000US2500346225,2500346225,"North Adams city, Berkshire County, Massachusetts",569,45
0600000US2500351580,2500351580,"Otis town, Berkshire County, Massachusetts",567,34
0600000US2500353050,2500353050,"Peru town, Berkshire County, Massachusetts",525,299
0600000US2500353960,2500353960,"Pittsfield city, Berkshire County, Massachusetts",633,19
0600000US2500356795,2500356795,"Richmond town, Berkshire County, Massachusetts",1010,297
0600000US2500359665,2500359665,"Sandisfield town, Berkshire County, Massachusetts",623,144
0600000US2500360225,2500360225,"Savoy town, Berkshire County, Massachusetts",600,265
0600000US2500361065,2500361065,"Sheffield town, Berkshire County, Massachusetts",767,112
0600000US2500367595,2500367595,"Stockbridge town, Berkshire County, Massachusetts",857,79
0600000US2500371095,2500371095,"Tyringham town, Berkshire County, Massachusetts",1067,286
0600000US2500373335,2500373335,"Washington town, Berkshire County, Massachusetts",-,**
0600000US2500377990,2500377990,"West Stockbridge town, Berkshire County, Massachusetts",988,618
0600000US2500379985,2500379985,"Williamstown town, Berkshire County, Massachusetts",770,150
0600000US2500380685,2500380685,"Windsor town, Berkshire County, Massachusetts",-,**
0600000US2500500000,2500500000,"County subdivisions not defined, Bristol County, Massachusetts",-,**
0600000US2500500520,2500500520,"Acushnet town, Bristol County, Massachusetts",681,60
0600000US2500502690,2500502690,"Attleboro city, Bristol County, Massachusetts",831,32
0600000US2500505280,2500505280,"Berkley town, Bristol County, Massachusetts",626,273
0600000US2500516425,2500516425,"Dartmouth town, Bristol County, Massachusetts",815,161
0600000US2500516950,2500516950,"Dighton town, Bristol County, Massachusetts",832,496
0600000US2500520100,2500520100,"Easton town, Bristol County, Massachusetts",1048,138
0600000US2500522130,2500522130,"Fairhaven town, Bristol County, Massachusetts",733,36
0600000US2500523000,2500523000,"Fall River city, Bristol County, Massachusetts",604,11
0600000US2500525240,2500525240,"Freetown town, Bristol County, Massachusetts",823,182
0600000US2500538225,2500538225,"Mansfield town, Bristol County, Massachusetts",1060,53
0600000US2500545000,2500545000,"New Bedford city, Bristol County, Massachusetts",641,12
0600000US2500546575,2500546575,"North Attleborough town, Bristol County, Massachusetts",853,39
0600000US2500549970,2500549970,"Norton town, Bristol County, Massachusetts",894,61
0600000US2500556060,2500556060,"Raynham town, Bristol County, Massachusetts",1163,101
0600000US2500556375,2500556375,"Rehoboth town, Bristol County, Massachusetts",832,182
0600000US2500560645,2500560645,"Seekonk town, Bristol County, Massachusetts",892,299
0600000US2500562430,2500562430,"Somerset town, Bristol County, Massachusetts",848,25
0600000US2500568750,2500568750,"Swansea town, Bristol County, Massachusetts",747,86
0600000US2500569170,2500569170,"Taunton city, Bristol County, Massachusetts",805,24
0600000US2500577570,2500577570,"Westport town, Bristol County, Massachusetts",821,59
0600000US2500701585,2500701585,"Aquinnah town, Dukes County, Massachusetts",675,891
0600000US2500713800,2500713800,"Chilmark town, Dukes County, Massachusetts",1054,202
0600000US2500721150,2500721150,"Edgartown town, Dukes County, Massachusetts",1243,136
0600000US2500726325,2500726325,"Gosnold town, Dukes County, Massachusetts",-,**
0600000US2500750390,2500750390,"Oak Bluffs town, Dukes County, Massachusetts",1293,231
